,index,CTPRVN_CODE,SIGNGU_CODE,EMD_CODE,STLE_SE_CODE,INDUST_LCLAS_CODE,ONLINE_TRADE_EXST_ENNC,BULD_TOTAL_SUM,BULD_POSESN_TOTAL,BULD_LEASE_TOTAL,BULD_FREE_TOTAL,STOR_POSESN_TOTAL,STOR_LEASE_TOTAL,STOR_FREE_TOTAL,STOR_TOTAL_SUM,SELNG_AMT,MAIN_INDUST_ICME,MAIN_INDUST_ELSE_ICME,BSN_COST,GD_SELNG_PRMPC,TT_GD_PUCHAS_AMT,EOT_GD_STO_AMT,LEASE_CHRGE,ADVRTS_COST,BSN_PROFIT,SEEM_WORKER_SUM,WORKER_TOT_SUBSUM
0,0,22,10,54,1,G,N,45597.0,6010.0,39326.0,261.0,4334.0,30773.0,181.0,35288.0,461563.0,2268.0,434938.0,321076.0,306943.0,33408.0,11427.0,3834.0,28893.0,455.0,1613.0,27318.0
1,1,22,10,56,1,G,N,237584.0,65090.0,169282.0,3212.0,41097.0,124599.0,2376.0,168072.0,1023606.0,8901.0,959970.0,637258.0,645625.0,148632.0,42475.0,19030.0,72537.0,1980.0,5993.0,67902.0
2,2,22,10,59,1,G,N,271246.0,184305.0,62728.0,24213.0,95929.0,55242.0,23561.0,174732.0,1100557.0,723.0,1005923.0,693928.0,670789.0,119234.0,27126.0,24102.0,95357.0,1281.0,4492.0,85902.0
3,3,22,10,61,1,G,N,66741.0,29793.0,35733.0,1215.0,25898.0,31159.0,867.0,57924.0,609184.0,8197.0,576107.0,501825.0,508275.0,78018.0,4188.0,1168.0,41274.0,590.0,1918.0,33629.0
4,4,22,10,62,1,G,N,71178.0,22986.0,47056.0,1136.0,19028.0,43747.0,1057.0,63832.0,386548.0,6390.0,314054.0,272780.0,274253.0,76008.0,16598.0,78.0,78884.0,3315.0,4837.0,8835.0
5,5,22,10,64,1,G,N,20717.0,6044.0,14604.0,69.0,2419.0,12841.0,36.0,15296.0,59018.0,2010.0,54087.0,42144.0,42880.0,8862.0,1547.0,639.0,6941.0,238.0,632.0,4440.0
6,6,22,10,65,1,G,N,13462.0,4000.0,9292.0,170.0,2896.0,7392.0,137.0,10425.0,68338.0,102.0,63454.0,49685.0,51618.0,6420.0,1087.0,314.0,4986.0,133.0,389.0,5477.0
7,7,22,10,66,1,G,N,8522.0,3212.0,5310.0,0.0,2660.0,4958.0,0.0,7618.0,33666.0,0.0,31184.0,26449.0,26718.0,2662.0,526.0,35.0,2482.0,83.0,215.0,1996.0
8,8,22,10,67,1,G,N,13941.0,1543.0,12216.0,182.0,1403.0,9955.0,146.0,11504.0,98550.0,24.0,90236.0,56780.0,28761.0,3281.0,1435.0,1883.0,8338.0,141.0,610.0,8714.0
9,9,22,10,68,1,G,N,123996.0,98276.0,25317.0,403.0,45052.0,23466.0,391.0,68909.0,284393.0,37.0,273700.0,154177.0,155574.0,35436.0,6984.0,20203.0,10730.0,283.0,1225.0,24743.0
10,10,22,10,69,1,G,N,13452.0,4265.0,9187.0,0.0,3628.0,7243.0,0.0,10871.0,58632.0,0.0,54419.0,46128.0,47070.0,8549.0,595.0,175.0,4213.0,104.0,270.0,3496.0
11,11,22,10,70,1,G,N,59412.0,18841.0,39270.0,1301.0,11405.0,31733.0,1178.0,44316.0,579952.0,4754.0,560413.0,478709.0,470726.0,34989.0,5177.0,5375.0,24293.0,433.0,1609.0,31099.0
12,12,22,20,51,1,G,N,18018.0,4250.0,13320.0,448.0,3178.0,10478.0,181.0,13837.0,68733.0,41.0,60542.0,47794.0,35746.0,5549.0,1243.0,194.0,8232.0,269.0,566.0,5157.0
13,13,22,20,52,1,G,N,18835.0,3070.0,15712.0,53.0,2210.0,12070.0,0.0,14280.0,64465.0,0.0,60333.0,50276.0,50744.0,7070.0,1097.0,327.0,4132.0,112.0,322.0,3289.0
14,14,22,20,53,1,G,N,19627.0,3251.0,16376.0,0.0,2545.0,12955.0,0.0,15500.0,107050.0,0.0,97267.0,78465.0,79812.0,11241.0,2231.0,346.0,9783.0,205.0,661.0,7590.0
15,15,22,20,54,1,G,N,33693.0,11371.0,21111.0,1211.0,5101.0,11658.0,749.0,17508.0,157307.0,124.0,143688.0,112681.0,113256.0,10627.0,1730.0,1115.0,13743.0,273.0,823.0,8537.0
16,16,22,20,55,1,G,N,14053.0,2895.0,11158.0,0.0,2422.0,5834.0,0.0,8256.0,28471.0,0.0,25305.0,20184.0,20684.0,3082.0,886.0,220.0,3166.0,134.0,327.0,1500.0
17,17,22,20,56,1,G,N,20545.0,6288.0,14212.0,45.0,3350.0,9603.0,36.0,12989.0,40527.0,60.0,35469.0,38271.0,39643.0,6396.0,991.0,66.0,5118.0,174.0,367.0,1986.0
18,18,22,20,58,1,G,N,48652.0,10097.0,38529.0,26.0,5078.0,25286.0,26.0,30390.0,940983.0,2296.0,920129.0,728003.0,707013.0,43706.0,14204.0,7344.0,23150.0,213.0,1532.0,38833.0
19,19,22,20,59,1,G,N,50669.0,16070.0,34473.0,126.0,9990.0,27538.0,92.0,37620.0,554258.0,12.0,520094.0,369924.0,342660.0,36472.0,4477.0,15044.0,34176.0,258.0,1548.0,45915.0
20,20,22,20,60,1,G,N,33519.0,9806.0,23284.0,429.0,7707.0,14356.0,429.0,22492.0,118627.0,38.0,108175.0,95846.0,95869.0,10219.0,1667.0,286.0,10490.0,270.0,550.0,4713.0
21,21,22,20,61,1,G,N,25054.0,3912.0,21054.0,88.0,2003.0,17822.0,53.0,19878.0,151019.0,795.0,138834.0,112762.0,94166.0,10140.0,3178.0,2416.0,12980.0,313.0,821.0,11292.0
22,22,22,20,62,1,G,N,9594.0,6365.0,3166.0,63.0,6180.0,2718.0,58.0,8956.0,15364.0,0.0,14089.0,12200.0,12637.0,1651.0,94.0,1.0,1275.0,47.0,111.0,917.0
23,23,22,20,63,1,G,N,131546.0,22339.0,81264.0,27943.0,13378.0,59719.0,26609.0,99706.0,419446.0,105.0,394533.0,305946.0,306744.0,54017.0,13277.0,3688.0,25018.0,516.0,1794.0,23957.0
24,24,22,20,65,1,G,N,16331.0,5019.0,11305.0,7.0,3989.0,10487.0,7.0,14483.0,59424.0,0.0,55017.0,48230.0,47890.0,4969.0,1039.0,191.0,4407.0,176.0,395.0,2475.0
25,25,22,20,66,1,G,N,70967.0,12514.0,58216.0,237.0,9098.0,26048.0,232.0,35378.0,289232.0,18.0,278827.0,222484.0,210830.0,16410.0,4856.0,1876.0,10423.0,231.0,889.0,17340.0
26,26,22,20,68,1,G,N,28393.0,4819.0,23319.0,255.0,2878.0,17659.0,251.0,20788.0,152996.0,29.0,142584.0,112823.0,108276.0,11151.0,2308.0,410.0,10441.0,269.0,678.0,8161.0
27,27,22,20,69,1,G,N,78835.0,30552.0,45929.0,2354.0,19044.0,30307.0,1182.0,50533.0,355592.0,42.0,334775.0,280402.0,280606.0,21981.0,3133.0,2915.0,20859.0,248.0,997.0,18687.0
28,28,22,20,71,1,G,N,25580.0,10527.0,14805.0,248.0,7600.0,11502.0,222.0,19324.0,55258.0,6.0,50791.0,45114.0,45952.0,5508.0,884.0,57.0,4473.0,165.0,362.0,2367.0
29,29,22,20,73,1,G,N,67756.0,23371.0,40637.0,3748.0,10914.0,33762.0,3744.0,48420.0,369088.0,186.0,344319.0,255874.0,261133.0,47666.0,9954.0,4808.0,24955.0,619.0,1920.0,22428.0
