연번,시도,시군구,업태,주메뉴,업소명,주소,최초 지정일자
1,강원특별자치도,춘천시,한식,"순두부찌개, 닭갈비",(주)원일유통 춘천(상)휴게소,강원특별자치도 춘천시 동내면 영서로 1432,2007-06-01
2,강원특별자치도,춘천시,한식,장어요리,(주)춘천장어마을,"강원특별자치도 춘천시 구마니1길 36-11, 1층 (삼천동)",2021-10-18
3,강원특별자치도,춘천시,한식,"닭갈비,막국수",9우미닭갈비만천점,"강원특별자치도 춘천시 동면 만천로143번길 46-4, 1층",2015-11-23
4,강원특별자치도,춘천시,한식,설렁탕,감미옥설렁탕,"강원특별자치도 춘천시 춘천로 217, 1층 (효자동)",2007-06-01
5,강원특별자치도,춘천시,한식,한우전문점,강원한우타운,"강원특별자치도 춘천시 지석로 11, 별관동 3층 (퇴계동, 춘천축산농협하이록한우타운)",2011-12-01
6,강원특별자치도,춘천시,한식,"막국수,편육",강촌막국수,강원특별자치도 춘천시 남산면 강촌로 62-1,2017-12-06
7,강원특별자치도,춘천시,한식,생선구이,고미고미,"강원특별자치도 춘천시 근화길15번길 17, 1층 (근화동)",2022-10-26
8,강원특별자치도,춘천시,한식,"삼겹살, 목살",고반식당춘천거두점,강원특별자치도 춘천시 동내면 춘천순환로 114,2022-10-26
9,강원특별자치도,춘천시,한식,한정식,곰배령,"강원특별자치도 춘천시 춘천로 19, 1층 (온의동)",2011-12-01
10,강원특별자치도,춘천시,한식,갈비,공지천왕갈비,강원특별자치도 춘천시 효자로 5 (퇴계동),2014-12-09
11,강원특별자치도,춘천시,한식,"생삼겹살, 생갈매기살",구울래머글래,"강원특별자치도 춘천시 대양당길9번길 15, 1층 (후평동)",2022-10-26
12,강원특별자치도,춘천시,한식,숯불갈비,귀품찬곽만근숯불갈비(춘천점),강원특별자치도 춘천시 동내면 춘천순환로 65,2011-12-01
13,강원특별자치도,춘천시,한식,"유황오리백숙,우거지해장국",그랑셰프(클럽하우스),강원특별자치도 춘천시 남산면 북한강변길 688,2007-06-01
14,강원특별자치도,춘천시,한식,"닭갈비,막국수",금병산숯불철판닭갈비,강원특별자치도 춘천시 신동면 금병의숙길 6 (1리),2015-11-23
15,강원특별자치도,춘천시,한식,"막국수, 돼지곰탕",금옥,"강원특별자치도 춘천시 동면 금옥길 289-27, 1층",2023-10-30
16,강원특별자치도,춘천시,한식,"닭갈비, 막국수",꼬꼬메이플가든,"강원특별자치도 춘천시 동내면 동내로 195, 1,2층",2016-11-28
17,강원특별자치도,춘천시,한식,"오리, 닭백숙",나능이능이버섯백숙만천점,강원특별자치도 춘천시 동면 만천로 94,2019-10-31
18,강원특별자치도,춘천시,한식,능이버섯백숙,나능이능이버섯백숙춘천점,"강원특별자치도 춘천시 우묵길78번길 7, 1층 (퇴계동, 좌측)",2014-12-09
19,강원특별자치도,춘천시,한식,닭갈비,남춘천명물닭갈비,강원특별자치도 춘천시 충혼길5번길 3 (퇴계동),2012-11-29
20,강원특별자치도,춘천시,한식,바닷가재,뉴욕바닷가재,강원특별자치도 춘천시 동내면 대룡산길 19-11,2014-12-09
21,강원특별자치도,춘천시,한식,닭갈비,대웅닭갈비막국수,강원특별자치도 춘천시 동면 금옥길 5,2007-06-01
22,강원특별자치도,춘천시,한식,뷔페,더클래식,강원특별자치도 춘천시 동내면 공지로 76,2014-12-09
23,강원특별자치도,춘천시,한식,"등심,갈비탕",동광한우프라자,강원특별자치도 춘천시 춘천로170번길 5 (운교동),2014-12-09
24,강원특별자치도,춘천시,한식,"막국수, 족발",동해막국수퇴계점,강원특별자치도 춘천시 퇴계로 23 (퇴계동),2016-11-28
25,강원특별자치도,춘천시,한식,"돼지갈비, 삼겹살",돼지한마리(후평점),"강원특별자치도 춘천시 후석로326번길 12, 2층 (후평동)",2016-11-28
26,강원특별자치도,춘천시,한식,샤브칼국수,등촌 샤브 칼국수,"강원특별자치도 춘천시 금강로 32-1 (소양로3가, 169-2,180-1,180-2)",2007-06-01
27,강원특별자치도,춘천시,한식,"등심,정육",뚜레,"강원특별자치도 춘천시 동내면 순환대로 643, 가동 1,2층",2020-11-02
28,강원특별자치도,춘천시,한식,"막국수, 편육",메바우명가춘천막국수,"강원특별자치도 춘천시 당간지주길 76, 1층 (근화동)",2016-11-28
29,강원특별자치도,춘천시,한식,막국수,명가막국수,강원특별자치도 춘천시 신북읍 상천3길 8,2007-06-01
30,강원특별자치도,춘천시,한식,닭갈비,명동명물닭갈비,"강원특별자치도 춘천시 금강로62번길 8, 1층 (조양동)",2007-06-01
31,강원특별자치도,춘천시,한식,닭갈비,명동산골닭갈비,"강원특별자치도 춘천시 금강로62번길 7, 1,2층 (조양동)",2020-11-02
32,강원특별자치도,춘천시,한식,"닭갈비,막국수",명동일번지닭갈비,"강원특별자치도 춘천시 금강로62번길 7 (조양동, 외8필지)",2007-06-01
33,강원특별자치도,춘천시,한식,스테이크,미수라,강원특별자치도 춘천시 세실로208번길 4 (후평동),2019-10-31
34,강원특별자치도,춘천시,한식,"막국수,편육",별당막국수,"강원특별자치도 춘천시 춘천로81번길 15, 1층 (약사동)",2007-06-01
35,강원특별자치도,춘천시,한식,칼국수,보영이네해물칼국수만천리점,강원특별자치도 춘천시 동면 만천로 145,2020-11-02
36,강원특별자치도,춘천시,한식,"막국수,편육,빈대떡",본관남부막국수,"강원특별자치도 춘천시 춘천로81번길 16, 1,2층 (약사동)",2014-12-09
37,강원특별자치도,춘천시,한식,한정식,봄담은산채,"강원특별자치도 춘천시 선들길 38, 1층 (삼천동)",2013-12-03
38,강원특별자치도,춘천시,한식,"갈비,갈비탕",봉운장,강원특별자치도 춘천시 소양고개길 26 (소양로3가),2007-06-01
39,강원특별자치도,춘천시,한식,막국수,봉의산막국수,"강원특별자치도 춘천시 후석로 447-2, 1층 (후평동)",2017-12-06
40,강원특별자치도,춘천시,한식,막국수,부안막국수,강원특별자치도 춘천시 후석로344번길 7 (후평동),2007-06-01
41,강원특별자치도,춘천시,한식,"소갈비살, 삼겹살",부안옥,"강원특별자치도 춘천시 보안길 58, 1층 (후평동)",2015-11-23
42,강원특별자치도,춘천시,한식,닭갈비,비와별닭갈비본점,"강원특별자치도 춘천시 스무숲길 5 (석사동, 1,2층)",2009-06-01
43,강원특별자치도,춘천시,한식,막국수,샘밭막국수,강원특별자치도 춘천시 신북읍 신샘밭로 644,2009-06-01
44,강원특별자치도,춘천시,한식,숯불닭갈비,샘토숯불닭갈비남춘천역점,강원특별자치도 춘천시 우묵길52번길 10 (퇴계동),2016-11-28
45,강원특별자치도,춘천시,한식,"월남쌈,소고기샤브",샤브향,강원특별자치도 춘천시 동내면 외솔길19번길 64-8,2012-11-29
46,강원특별자치도,춘천시,한식,샤브샤브,샤브향(퇴계점),"강원특별자치도 춘천시 우묵들길 35-6, 1층 (퇴계동)",2018-11-28
47,강원특별자치도,춘천시,한식,닭갈비,성우닭갈비,강원특별자치도 춘천시 동내면 춘천순환로 110,2012-11-29
48,강원특별자치도,춘천시,한식,돼지갈비,소담송하앤드더나인피크,"강원특별자치도 춘천시 동면 춘천순환로 868, 1~2층",2017-12-06
49,강원특별자치도,춘천시,한식,송어.산천어,소양강양어장,강원특별자치도 춘천시 동면 소양강로 675 (외1필지),2007-06-01
50,강원특별자치도,춘천시,한식,사골순대국밥,순대박사,강원특별자치도 춘천시 영서로 2502 (근화동),2021-10-18
51,강원특별자치도,춘천시,한식,막국수,시골막국수,강원특별자치도 춘천시 신북읍 율문길 100,2007-06-01
52,강원특별자치도,춘천시,한식,"막국수, 수육",연산골막국수,강원특별자치도 춘천시 동면 연산골길 105-12,2022-10-26
53,강원특별자치도,춘천시,한식,장어,영산강,강원특별자치도 춘천시 동내면 거두길 18,2013-12-03
54,강원특별자치도,춘천시,한식,한정식,옛날옛집,강원특별자치도 춘천시 동면 만천로 102,2007-06-01
55,강원특별자치도,춘천시,한식,"닭갈비,막국수",오부자닭갈비막국수,강원특별자치도 춘천시 안마산로 22 (온의동),2011-12-01
56,강원특별자치도,춘천시,한식,"막국수,보쌈",오수물막국수,강원특별자치도 춘천시 신북읍 맥국2길 15,2014-12-09
57,강원특별자치도,춘천시,한식,"숯불양념삽겹살,숯불닭갈비",우물집,강원특별자치도 춘천시 남산면 강촌로 86 (2층),2012-11-29
58,강원특별자치도,춘천시,한식,닭갈비,우성닭갈비본점,강원특별자치도 춘천시 동면 만천양지길 87,2019-10-31
59,강원특별자치도,춘천시,한식,갈비탕,원조갈비탕,"강원특별자치도 춘천시 시청길 32, 1층 110호 (조양동)",2019-10-31
60,강원특별자치도,춘천시,한식,추어탕,원주토정추어탕,강원특별자치도 춘천시 신동면 김유정로 1746,2022-10-26
