업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명,데이터기준일자,위도,경도
일반음식점,춘천세종호텔,강원특별자치도 춘천시 봉의산길 31 (봉의동),강원특별자치도 춘천시 봉의동 15-3 , 033- 252-1191,한식,2025-04-30,37.8866252853171,127.731541748401
일반음식점,강촌식당,강원특별자치도 춘천시 남산면 강촌로 56,강원특별자치도 춘천시 남산면 강촌리 227-41 , 033- 261-0021,한식,2025-04-30,37.8138534737228,127.6331260179
일반음식점,중화루,"강원특별자치도 춘천시 둥지길 5-17, 2,3층 (효자동)",강원특별자치도 춘천시 효자동 652 ,033 -254 -2591,중국식,2025-04-30,37.8755454305588,127.735770180448
일반음식점,대화관,강원특별자치도 춘천시 서부대성로44번길 12-2 (요선동),강원특별자치도 춘천시 요선동 11-5 ,,중국식,2025-04-30,37.8822884820124,127.72729626171
일반음식점,옥산포코다리(춘천),강원특별자치도 춘천시 영서로 3048 (사농동),강원특별자치도 춘천시 사농동 274-29 ,033 -251 -0136,한식,2025-04-30,37.9241849100018,127.721350665355
일반음식점,우미닭갈비본점,강원특별자치도 춘천시 금강로62번길 4 (조양동),강원특별자치도 춘천시 조양동 50-4 , 033- 253-2428,한식,2025-04-30,37.8795211000416,127.72806811303
일반음식점,원조숯불닭불고기집,"강원특별자치도 춘천시 중앙로 78 (중앙로2가, 1층)",강원특별자치도 춘천시 중앙로2가 70 ,033 - 257-5326,식육(숯불구이),2025-04-30,37.8787119589476,127.7254291696
일반음식점,충북집,"강원특별자치도 춘천시 명동길29번길 5-5, 1층 (죽림동)",강원특별자치도 춘천시 죽림동 11-72 , 033- 256-7629,한식,2025-04-30,37.8780960174613,127.726082828214
일반음식점,몽우해장국,강원특별자치도 춘천시 공단로 44 (후평동),강원특별자치도 춘천시 후평동 245-17 ,033 -252 -2490,한식,2025-04-30,37.8900200845704,127.749456253849
일반음식점,샘밭막국수,강원특별자치도 춘천시 신북읍 신샘밭로 644,강원특별자치도 춘천시 신북읍 천전리 118-11 ,033 -242 -1702,한식,2025-04-30,37.9295171303137,127.781207132274
일반음식점,삼악산등선폭포에있는등선집,"강원특별자치도 춘천시 서면 경춘로 1401-21, 1층",강원특별자치도 춘천시 서면 덕두원리 118-18 (3리) ,033 -262 -2519,한식,2025-04-30,37.8255382300572,127.659322154962
일반음식점,대청봉,강원특별자치도 춘천시 금강로62번길 14-1 (조양동),강원특별자치도 춘천시 조양동 51-7 ,033 -257 -2131,식육(숯불구이),2025-04-30,37.8790708117041,127.727208696407
일반음식점,봉운장,강원특별자치도 춘천시 소양고개길 26 (소양로3가),강원특별자치도 춘천시 소양로3가 4 ,033 -254 -3203,식육(숯불구이),2025-04-30,37.8835657588564,127.725539529038
일반음식점,낙원의밤,강원특별자치도 춘천시 낙원길 47-2 (낙원동),강원특별자치도 춘천시 낙원동 28-2 ,,한식,2025-04-30,37.8804459679864,127.726716401759
일반음식점,배터식당,"강원특별자치도 춘천시 당간지주길 83, 1층 (소양로1가)",강원특별자치도 춘천시 소양로1가 100-59 (1층) ,033 -243 -6344,탕류(보신용),2025-04-30,37.8924472392168,127.724656386538
일반음식점,알밤이밥상,강원특별자치도 춘천시 가연길 5 (소양로4가),강원특별자치도 춘천시 소양로4가 104-13 ,033 -242 -1318,한식,2025-04-30,37.8770646340206,127.722127744273
일반음식점,우물집,강원특별자치도 춘천시 남산면 한치로 105,강원특별자치도 춘천시 남산면 창촌리 46-8 ,033 -263 -3830,한식,2025-04-30,37.7891110663874,127.647169749935
일반음식점,일흥불고기,"강원특별자치도 춘천시 서부대성로44번길 15 (요선동, 1층)",강원특별자치도 춘천시 요선동 14-13 , 033- 254-1024,한식,2025-04-30,37.8819917531696,127.727421448374
일반음식점,어촌,"강원특별자치도 춘천시 서부대성로44번길 7-7, 1층 (요선동)",강원특별자치도 춘천시 요선동 8-44 ,033 -254 -9526,한식,2025-04-30,37.8826344765954,127.727800380513
일반음식점,회영루,강원특별자치도 춘천시 소양로3가 180-6 ,강원특별자치도 춘천시 소양로3가 180-6 , 033- 254-3841,중국식,2025-04-30,,
일반음식점,대원장,"강원특별자치도 춘천시 중앙로134번길 24-1, 1층 (소양로4가)",강원특별자치도 춘천시 소양로4가 105-17 ,033 -254 -4520,중국식,2025-04-30,37.8773395415788,127.720916860943
일반음식점,실비막국수,강원특별자치도 춘천시 소양고개길 25 (소양로2가),강원특별자치도 춘천시 소양로2가 127-1 , 033- 254-2472,한식,2025-04-30,37.8836855755583,127.725862167759
