"행정구역","2025년10월_총인구수","2025년10월_세대수","2025년10월_세대당 인구","2025년10월_남자 인구수","2025년10월_여자 인구수","2025년10월_남여 비율"
"전국  (1000000000)","51,143,421","24,287,806","          2.11","25,451,723","25,691,698","          0.99"
"서울특별시  (1100000000)","9,313,532","4,503,798","          2.07","4,489,067","4,824,465","          0.93"
"부산광역시  (2600000000)","3,246,304","1,574,190","          2.06","1,578,085","1,668,219","          0.95"
"대구광역시  (2700000000)","2,355,677","1,111,480","          2.12","1,154,160","1,201,517","          0.96"
"인천광역시  (2800000000)","3,049,315","1,398,222","          2.18","1,523,210","1,526,105","          1.00"
"광주광역시  (2900000000)","1,395,869","658,975","          2.12","688,690","707,179","          0.97"
"대전광역시  (3000000000)","1,442,046","697,280","          2.07","718,579","723,467","          0.99"
"울산광역시  (3100000000)","1,092,797","498,670","          2.19","563,285","529,512","          1.06"
"세종특별자치시  (3600000000)","392,406","165,442","          2.37","195,359","197,047","          0.99"
"경기도  (4100000000)","13,724,652","6,113,200","          2.25","6,893,167","6,831,485","          1.01"
"강원특별자치도  (5100000000)","1,509,064","767,989","          1.96","758,837","750,227","          1.01"
"충청북도  (4300000000)","1,592,916","795,498","          2.00","811,762","781,154","          1.04"
"충청남도  (4400000000)","2,136,678","1,061,879","          2.01","1,096,883","1,039,795","          1.05"
"전북특별자치도  (5200000000)","1,726,914","868,091","          1.99","860,355","866,559","          0.99"
"전라남도  (4600000000)","1,779,263","913,613","          1.95","898,708","880,555","          1.02"
"경상북도  (4700000000)","2,510,859","1,296,440","          1.94","1,270,741","1,240,118","          1.02"
"경상남도  (4800000000)","3,209,853","1,547,631","          2.07","1,618,503","1,591,350","          1.02"
"제주특별자치도  (5000000000)","665,276","315,408","          2.11","332,332","332,944","          1.00"
