Unnamed: 0,업종,업소명,주소,연락처,위도,경도
0,한식,청재,강원도 춘천시 서면 박사로 927,033-255-2867,37.8984653703934,127.693760728915
1,한식,두리감자탕,강원도 춘천시 후평동 748-4,033-244-2847,37.8884848958585,127.75147838385
2,한식,약사촌 닭갈비,강원도 춘천시 공지로384-9,033-256-9255,37.8719511821893,127.724553429217
3,한식,산마루,강원도 춘천시 백령로 171-1(1층),033-241-0769,37.8762586263488,127.745220491838
4,한식,청재,강원도 춘천시 서면 박사로 927,033-255-2867,37.8984653703934,127.693760728915
5,한식,58전집,강원도 춘천시 명동길29번길 8-8,033-242-8845,37.8778527744427,127.725906195613
6,한식,춘천뒷고기,강원도 춘천시 우묵길 52(신사우동),033-251-0430,37.8656528709527,127.722396160676
7,한식,왕가한식부페,강원도 춘천시 석사길15(석사동),033-261-0559,37.8579328322032,127.744971856148
8,한식,광치해장국,강원도 춘천시 소양로 108(소양동),033-253-1110,37.8932252439588,127.726036660624
9,한식,해미담,강원도 춘천시 효자로24번길 12(퇴계동),033-241-7376,37.8659593286983,127.728164896717
10,한식,낭만국시,강원도 춘천시 명동길29번길 3(죽림동),033-252-6255,37.8781171202343,127.725962552609
11,한식,촌닭곰탕,강원도 춘천시 동내면 영서로 1776,033-261-9631,37.8352490069807,127.760689284864
12,한식,진미식당,강원도 춘천시 후석로379번길 56(후평동),033-253-5879,37.8830250051398,127.741490149626
13,한식,삐삐스넥1호,강원도 춘천시 명동길 2(중앙로2가),033-254-4905,37.8800719875553,127.727942024603
14,한식,봉실스넥,강원도 춘천시 서부대성로239번길 8(효자동),033-251-6890,37.8732547890045,127.745099874572
15,한식,명문손칼국수,강원도 춘천시 행촌로32번길 5-26(퇴계동),033-242-1559,37.8601484635055,127.725601493885
16,한식,국수나라,강원도 춘천시 삭주로 130(후평동),033-243-5671,37.884975317142,127.744932071997
17,한식,뚝배기마을,강원도 춘천시 옥천길 3,033-251-3938,37.8806971931117,127.72864745741
18,한식,곰스낵,강원도 춘천시 서부대성로 86-1,033-254-2643,37.8815022305865,127.732079869947
19,한식,곱돌생삼겹살,강원도 춘천시 백령로 138번길 50,033-255-4241,37.872969864935,127.745065067733
20,한식,행복한두부,강원도 춘천시 둥지길 4,033-255-7710,37.874746449194,127.735372273477
21,일식,춘천민물횟집,강원도 춘천시 효자로42,033-252-3383,37.8677680218776,127.728895717992
22,중식,만리향,강원도 춘천시 명동길29번지 4-5,033-251-2227,,
23,중식,장꾸웨이,강원도 춘천시 춘주로 187번길20-13 (퇴계동),033-257-0333,37.8611769781056,127.726199080767
24,기타 양식,토스트잇,강원도 춘천시 동면 춘천로449번길 20-1,033-242-9592,37.8944683594215,127.753852076935
25,이·미용업,펑펑펑미용실,강원도 춘천시 낙원길 20(소양동),033-251-2252,37.8783924737417,127.724802705864
26,이·미용업,진미용실,강원도 춘천시 춘주로92번길 11(온의동),033-256-8485,37.86103190113,127.719364224275
27,이·미용업,쌍다리이용소,강원도 춘천시 춘천순환로 42(석사동),033-262-5087,37.8546857141914,127.748703975697
28,이·미용업,개성시대,강원도 춘천시 공지로 392-6(약사동),033-256-9304,,
29,이·미용업,가고파미용실,강원도 춘천시 안마산로 214(퇴계동) 금호상가 내,033-262-9488,37.849969074308,127.736573394731
30,이·미용업,현주헤어숍,강원도 춘천시 효석로 89번길 19,033-262-5535,37.8603183053788,127.740632830673
31,목욕업,바위목욕탕,강원도 춘천시 춘천로213번길 9(효자동),033-253-3610,37.8781770353052,127.737068247626
32,숙박업,서울파크,강원도 춘천시 신북읍 상천3길11,033-244-5400,37.9325818908606,127.791638718531
33,숙박업,계림산장,강원도 춘천시 스포츠타운길 340 (강남동),033-254-7392,37.8714875768873,127.696150666549
