Unnamed: 0,업종,업소명,주소,연락처,위도_업종,경도_업종,index_정류장,노선번호,노선,정류장순서,정류장,정류장명,경도_정류장,위도_정류장,데이터기준일
0,한식,청재,강원도 춘천시 서면 박사로 927,033-255-2867,37.8984653703934,127.693760728915,4942,서면1-1(서면104),250050306.0,22.0,250002168,서면행정복지센터,127.69411,37.89836,2025-02-12
1,한식,두리감자탕,강원도 춘천시 후평동 748-4,033-244-2847,37.8884848958585,127.75147838385,1436,9,250000900.0,4.0,250026602,동광길입구,127.75105,37.88831,2025-02-12
2,한식,약사촌 닭갈비,강원도 춘천시 공지로384-9,033-256-9255,37.8719511821893,127.724553429217,67,1,250000100.0,68.0,250002028,남부사거리,127.7246,37.87154,2025-02-12
3,한식,산마루,강원도 춘천시 백령로 171-1(1층),033-241-0769,37.8762586263488,127.745220491838,12,1,250000100.0,13.0,250002238,푸른언덕공원,127.74556,37.87622,2025-02-12
4,한식,청재,강원도 춘천시 서면 박사로 927,033-255-2867,37.8984653703934,127.693760728915,4942,서면1-1(서면104),250050306.0,22.0,250002168,서면행정복지센터,127.69411,37.89836,2025-02-12
5,한식,58전집,강원도 춘천시 명동길29번길 8-8,033-242-8845,37.8778527744427,127.725906195613,161,2,250000200.0,69.0,250001849,중앙시장,127.72549,37.87841,2025-02-12
6,한식,춘천뒷고기,강원도 춘천시 우묵길 52(신사우동),033-251-0430,37.8656528709527,127.722396160676,2655,15,250001500.0,89.0,250001983,온의사거리,127.72144,37.86576,2025-02-12
8,한식,광치해장국,강원도 춘천시 소양로 108(소양동),033-253-1110,37.8932252439588,127.726036660624,1365,08월 01일,250000801.0,25.0,250026550,소양강처녀상,127.72589,37.89369,2025-02-12
10,한식,낭만국시,강원도 춘천시 명동길29번길 3(죽림동),033-252-6255,37.8781171202343,127.725962552609,161,2,250000200.0,69.0,250001849,중앙시장,127.72549,37.87841,2025-02-12
11,한식,촌닭곰탕,강원도 춘천시 동내면 영서로 1776,033-261-9631,37.8352490069807,127.760689284864,52,1,250000100.0,53.0,250001283,학곡리종점,127.7606,37.8351,2025-02-12
12,한식,진미식당,강원도 춘천시 후석로379번길 56(후평동),033-253-5879,37.8830250051398,127.741490149626,169,2,250000200.0,77.0,250001548,동보빌리지,127.74144,37.88358,2025-02-12
13,한식,삐삐스넥1호,강원도 춘천시 명동길 2(중앙로2가),033-254-4905,37.8800719875553,127.727942024603,18,1,250000100.0,19.0,250002077,시청입구,127.72874,37.87957,2025-02-12
14,한식,봉실스넥,강원도 춘천시 서부대성로239번길 8(효자동),033-251-6890,37.8732547890045,127.745099874572,632,6,250000600.0,17.0,250001748,강원대후문,127.7443,37.87292,2025-02-12
16,한식,국수나라,강원도 춘천시 삭주로 130(후평동),033-243-5671,37.884975317142,127.744932071997,101,2,250000200.0,9.0,250002124,세경3차,127.74411,37.88482,2025-02-12
18,한식,곰스낵,강원도 춘천시 서부대성로 86-1,033-254-2643,37.8815022305865,127.732079869947,166,2,250000200.0,74.0,250001359,춘천시청별관,127.73264,37.88151,2025-02-12
19,한식,곱돌생삼겹살,강원도 춘천시 백령로 138번길 50,033-255-4241,37.872969864935,127.745065067733,632,6,250000600.0,17.0,250001748,강원대후문,127.7443,37.87292,2025-02-12
20,한식,행복한두부,강원도 춘천시 둥지길 4,033-255-7710,37.874746449194,127.735372273477,1701,11,250001100.0,10.0,250001781,팔호광장,127.73501,37.87524,2025-02-12
21,일식,춘천민물횟집,강원도 춘천시 효자로42,033-252-3383,37.8677680218776,127.728895717992,1790,11,250001100.0,99.0,250026556,효자교,127.72892,37.86784,2025-02-12
25,이·미용업,펑펑펑미용실,강원도 춘천시 낙원길 20(소양동),033-251-2252,37.8783924737417,127.724802705864,20,1,250000100.0,21.0,250001848,중앙시장/중앙초교,127.72505,37.87834,2025-02-12
27,이·미용업,쌍다리이용소,강원도 춘천시 춘천순환로 42(석사동),033-262-5087,37.8546857141914,127.748703975697,130,2,250000200.0,38.0,250001172,로데오거리,127.74831,37.85505,2025-02-12
32,숙박업,서울파크,강원도 춘천시 신북읍 상천3길11,033-244-5400,37.9325818908606,127.791638718531,1750,11,250001100.0,59.0,250001924,윗샘밭종점,127.7921,37.9324,2025-02-12
33,숙박업,계림산장,강원도 춘천시 스포츠타운길 340 (강남동),033-254-7392,37.8714875768873,127.696150666549,648,6,250000600.0,33.0,250001850,통일플러스센터,127.69699,37.87193,2025-02-12
