,filename,encoding,rows
150,강원특별자치도_일반음식점.csv,cp949,98965.0
185,강원특별자치도_통신판매업.csv,cp949,54073.0
40,강원특별자치도_담배소매업.csv,cp949,30703.0
167,강원특별자치도_즉석판매제조가공업.csv,cp949,21597.0
193,강원특별자치도_휴게음식점.csv,cp949,21178.0
2,강원특별자치도_가축사육업.csv,cp949,14891.0
67,강원특별자치도_미용업.csv,cp949,12328.0
6,강원특별자치도_건강기능식품일반판매업.csv,cp949,10173.0
35,강원특별자치도_농어촌민박업.csv,cp949,9678.0
105,강원특별자치도_식품자동판매기업.csv,cp949,7254.0
181,강원특별자치도_축산판매업.csv,cp949,7109.0
141,강원특별자치도_의료기기판매임대업.csv,cp949,5918.0
110,강원특별자치도_쓰레기종량제봉투판매업.csv,cp949,5224.0
106,강원특별자치도_식품제조가공업.csv,cp949,5121.0
94,강원특별자치도_숙박업.csv,cp949,5014.0
44,강원특별자치도_대기오염물질배출시설설치사업장.csv,cp949,3793.0
112,강원특별자치도_안전상비의약품판매업소.csv,cp949,3116.0
70,강원특별자치도_방문판매업.csv,cp949,2881.0
146,강원특별자치도_인터넷컴퓨터게임시설제공업.csv,cp949,2880.0
194,강원도_의원.csv,cp949,2681.0
133,강원특별자치도_유흥주점영업.csv,cp949,2595.0
172,강원특별자치도_집단급식소.csv,cp949,2445.0
120,강원특별자치도_옥외광고업.csv,cp949,2326.0
132,강원특별자치도_유통전문판매업.csv,cp949,2128.0
42,강원특별자치도_당구장업.csv,cp949,2048.0
160,강원특별자치도_제과점영업.csv,cp949,2044.0
103,강원특별자치도_식품소분업.csv,cp949,2011.0
90,강원특별자치도_세탁업.csv,cp949,1993.0
93,강원특별자치도_수질오염원설치시설기타.csv,cp949,1993.0
144,강원특별자치도_이용업.csv,cp949,1970.0
147,강원특별자치도_일반게임제공업.csv,cp949,1941.0
34,강원특별자치도_노래연습장업.csv,cp949,1933.0
182,강원특별자치도_출판사.csv,cp949,1917.0
131,강원특별자치도_유료직업소개소.csv,cp949,1839.0
38,강원특별자치도_단란주점영업.csv,cp949,1662.0
89,강원특별자치도_석유판매업.csv,cp949,1619.0
7,강원특별자치도_건물위생관리업.csv,cp949,1576.0
175,강원특별자치도_청소년게임제공업.csv,cp949,1535.0
114,강원특별자치도_약국.csv,cp949,1395.0
149,강원특별자치도_일반야영장업.csv,cp949,1122.0
15,강원특별자치도_고압가스업.csv,cp949,986.0
173,강원특별자치도_집단급식소식품판매업.csv,cp949,855.0
130,강원특별자치도_위탁급식영업.csv,cp949,821.0
177,강원특별자치도_체육도장업.csv,cp949,818.0
91,강원특별자치도_소독업.csv,cp949,802.0
49,강원특별자치도_동물생산업.csv,cp949,780.0
145,강원특별자치도_인쇄사.csv,cp949,762.0
60,강원특별자치도_목욕장업.csv,cp949,710.0
16,강원특별자치도_골프연습장업.csv,cp949,652.0
84,강원특별자치도_사료제조업.csv,cp949,645.0
101,강원특별자치도_식육포장처리업.csv,cp949,625.0
176,강원특별자치도_체력단련장업.csv,cp949,621.0
129,강원특별자치도_원목생산업.csv,cp949,608.0
28,강원특별자치도_국내여행업.csv,cp949,558.0
108,강원특별자치도_식품판매업기타.csv,cp949,548.0
192,강원특별자치도_후원방문판매업체.csv,cp949,515.0
159,강원특별자치도_전화권유판매업.csv,cp949,499.0
178,강원특별자치도_축산가공업.csv,cp949,459.0
29,강원특별자치도_국내외여행업.csv,cp949,458.0
33,강원특별자치도_급수공사대행업.csv,cp949,453.0
51,강원특별자치도_동물약국.csv,cp949,451.0
47,강원특별자치도_동물미용업.csv,cp949,446.0
111,강원특별자치도_안경업.csv,cp949,432.0
82,강원특별자치도_비디오물제작업.csv,cp949,423.0
123,강원특별자치도_외국인관광도시민박업.csv,cp949,348.0
37,강원특별자치도_단독정화조오수처리시설설계시공업.csv,cp949,339.0
154,강원특별자치도_저수조청소업.csv,cp949,327.0
23,강원특별자치도_관광숙박업.csv,cp949,321.0
55,강원특별자치도_동물위탁관리업.csv,cp949,313.0
169,강원특별자치도_지하수시공업체.csv,cp949,307.0
72,강원특별자치도_병원.csv,cp949,301.0
48,강원특별자치도_동물병원.csv,cp949,300.0
186,강원특별자치도_특정고압가스업.csv,cp949,294.0
184,강원특별자치도_테마파크업기타.csv,cp949,287.0
3,강원특별자치도_가축인공수정소.csv,cp949,284.0
58,강원특별자치도_동물판매업.csv,cp949,267.0
65,강원특별자치도_문화예술법인.csv,cp949,265.0
8,강원특별자치도_건설폐기물처리업.csv,cp949,261.0
163,강원특별자치도_종합여행업.csv,cp949,258.0
5,강원특별자치도_건강기능식품유통전문판매업.csv,cp949,255.0
68,강원특별자치도_민방위급수시설.csv,cp949,240.0
27,강원특별자치도_관광펜션업.csv,cp949,238.0
140,강원특별자치도_의료기기수리업.csv,cp949,238.0
104,강원특별자치도_식품운반업.csv,cp949,223.0
161,강원특별자치도_제재업.csv,cp949,213.0
189,강원특별자치도_환경전문공사업.csv,cp949,212.0
77,강원특별자치도_분뇨수집운반업.csv,cp949,191.0
116,강원특별자치도_영화상영관.csv,cp949,189.0
74,강원특별자치도_복합유통게임제공업.csv,cp949,175.0
190,강원특별자치도_환경측정대행업.csv,cp949,170.0
183,강원특별자치도_치과기공소.csv,cp949,154.0
152,강원특별자치도_자동차야영장업.csv,cp949,151.0
151,강원특별자치도_일반테마파크업.csv,cp949,151.0
155,강원특별자치도_전력기술감리업체.csv,cp949,143.0
143,강원특별자치도_의료유사업.csv,cp949,132.0
4,강원특별자치도_개인하수처리시설관리업사업장.csv,cp949,130.0
187,강원특별자치도_한옥체험업.csv,cp949,123.0
14,강원특별자치도_계량기증명업.csv,cp949,119.0
180,강원특별자치도_축산물운반업.csv,cp949,116.0
64,강원특별자치도_무료직업소개소.csv,cp949,114.0
43,강원특별자치도_대규모점포.csv,cp949,112.0
69,"강원특별자치도_박물관,미술관.csv",cp949,112.0
92,강원특별자치도_수영장업.csv,cp949,109.0
156,강원특별자치도_전력기술설계업체.csv,cp949,107.0
78,강원특별자치도_비디오물감상실업.csv,cp949,106.0
188,강원특별자치도_환경관리대행기관.csv,cp949,97.0
125,강원특별자치도_요양보호사교육기관.csv,cp949,94.0
63,강원특별자치도_무도학원업.csv,cp949,86.0
18,강원특별자치도_공연장.csv,cp949,83.0
