"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의원","01_01_02_P","4181000","PHMA120004180029041100016","2000-08-25","","02","휴업","02","휴업","","2025-04-03","2027-06-30","","033-252-7660","","","강원특별자치도 춘천시 온의동65-44","강원특별자치도 춘천시 스포츠타운길 533 (온의동)","24429","온세의원","2025-04-03 11:18:03","U","2025-04-05 02:40:00","의원","262808.456357804","485405.244083934","의원","2","0","0","80","101 111 105 104 114 115 113","내과, 외과, 정형외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"2","의원","01_01_02_P","4181000","PHMA120114180029041100011","2011-08-23","","03","폐업","03","폐업","2014-09-30","","","","033)263-7528","","200-180","강원특별자치도 춘천시 석사동 796번지 12호 2층","강원특별자치도 춘천시 퇴계로 207-1, 2층 (석사동)","200-936","봄내치과의원","2014-09-30 16:53:27","I","2023-06-13 00:00:00","치과의원","265216.296168285","484055.728702636","치과의원","1","0","0","253","401","치과","","","","0","0","","","0","",
"3","의원","01_01_02_P","4181000","PHMA120034180029041100009","2003-11-29","","03","폐업","03","폐업","2012-12-01","","","","033)261-2925","","","강원특별자치도 춘천시 남산면 강촌리 339-9","강원특별자치도 춘천시 남산면 강촌로 103","200-911","강촌의원","2012-11-30 13:25:41","I","2023-06-13 00:00:00","의원","255982.69352345","478814.373071831","의원","1","0","0","100","101 104 105 111","내과, 외과, 정형외과, 소아청소년과","","","","0","0","","","0","",
"4","의원","01_01_02_P","4181000","PHMA120154180029041100005","2015-03-24","","03","폐업","03","폐업","2024-03-01","","","","033-253-1079","","200-942","강원특별자치도 춘천시 조양동 34번지 2층","강원특별자치도 춘천시 금강로 68-3 (조양동)","24353","미가람여성한의원","2024-02-29 13:20:21","U","2024-03-02 02:40:00","한의원","264033.833068137","486464.959442249","한의원","1","0","0","133.85","301 302 308 305 306 304","한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"5","의원","01_01_02_P","4181000","PHMA120154180029041100002","2015-01-30","","03","폐업","03","폐업","2020-03-26","","","","033-261-3033","","200-936","강원특별자치도 춘천시 석사동 799번지 2호","강원특별자치도 춘천시 퇴계로 188 (석사동)","24378","가가연의원","2020-03-26 17:52:16","I","2023-06-13 00:00:00","의원","264995.650946312","484096.148098437","의원","1","0","0","176.67","108 114 113","성형외과, 이비인후과, 피부과","","","","0","0","","","0","",
"6","의원","01_01_02_P","4181000","PHMA120154180029041100003","2015-02-13","","03","폐업","03","폐업","2020-06-30","","","","033-256-9722","","","","강원특별자치도 춘천시 삭주로 89-4, 101호 (후평동, 현대상가)","24253","후평한의원","2020-06-26 17:16:59","I","2023-06-13 00:00:00","한의원","265151.407614774","487090.244872268","한의원","1","0","0","172.8","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"7","의원","01_01_02_P","4181000","PHMA120004180029041100005","2000-02-09","","03","폐업","03","폐업","2021-12-07","","","","033)255-9682","","","강원특별자치도 춘천시 조양동26-3","강원특별자치도 춘천시 금강로 57 (조양동)","24352","이대광성형외과의원","2021-12-07 17:56:55","I","2023-06-13 00:00:00","의원","264013.61357785","486642.73894588","의원","1","0","0","149.1","108","성형외과","","","","0","0","","","0","",
"8","의원","01_01_02_P","4181000","PHMA119984180029041100007","1998-09-21","","03","폐업","03","폐업","2010-11-01","","","","033)250-1500","","200-150","강원특별자치도 춘천시 우두동 1051번지 1호","강원특별자치도 춘천시 영서로 2779 (우두동)","200-940","신정형외과의원","2013-12-17 11:11:21","I","2023-06-13 00:00:00","의원","263993.078241232","488994.085807531","의원","2","8","29","1609.53","105 104 106 101 111 114 115","내과, 외과, 정형외과, 신경외과, 소아청소년과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"9","의원","01_01_02_P","4181000","PHMA119984180029041100008","1998-09-25","","03","폐업","03","폐업","2023-12-21","","","","033-242-2114","","","강원특별자치도 춘천시 소양로3가180-5","강원특별자치도 춘천시 금강로 38 (소양로3가)","24273","우덕안한의원","2023-12-26 16:23:51","U","2023-12-28 02:40:00","한의원","263830.109106208","486721.089820733","한의원","1","0","0","145","301 303 308 302 305 304","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"10","의원","01_01_02_P","4181000","PHMA119984180029041100010","1998-12-02","","03","폐업","03","폐업","2019-06-27","","","","033)262-1900","","","강원특별자치도 춘천시 석사동 880-4","강원특별자치도 춘천시 퇴계농공로 22 (석사동)","24414","부민한의원","2019-06-27 11:49:42","I","2023-06-13 00:00:00","한의원","265419.195718634","483446.822404389","한의원","1","0","0","260.6","301 303 308 302 304 305 306 307","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
