"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의료법인","01_01_08_P","4211000","PHMA420094210020021400001","2009-10-26","","01","영업/정상","10","변경","","","","","","","240-711","강원특별자치도 동해시 평릉동 134번지 동인병원","강원특별자치도 동해시 하평로 26 (평릉동)","240-711","의료법인동해동인병원","2023-08-08 09:05:36","U","2023-08-10 02:40:00","","386215.362120528","449619.01724887","","0","0","0","0","","","","","","0","0","","","0","",
"2","의료법인","01_01_08_P","4261000","PHMA419884260015021400001","1988-07-14","","01","영업/정상","01","신규","","","","","","","","","강원특별자치도 횡성군 횡성읍 횡성로 275 (대성병원)","25240","의료법인 선덕의료재단","2017-02-08 10:06:45","I","2023-06-13 00:00:00","","286612.789231186","442256.80743604","","0","0","0","0","","","","","","0","0","","","0","",
"3","의료법인","01_01_08_P","4261000","PHMA420124260015021400001","2012-10-22","","03","폐업","03","폐업","","","","","","","","","강원특별자치도 횡성군 횡성읍 삼일로81번길 40 (횡성삼성병원)","25217","의료법인 늘찬의료재단","2018-06-12 10:09:49","I","2023-06-13 00:00:00","","286966.897533628","444220.776857603","","0","0","0","0","","","","","","0","0","","","0","",
"4","의료법인","01_01_08_P","4261000","PHMA420164260015021400001","2016-10-07","","04","취소/말소/만료/정지/중지","24","직권폐업","","","","","033-340-9700","","","","강원특별자치도 횡성군 횡성읍 읍상서로 21","25232","의료법인 효양의료재단","2020-07-04 16:51:57","I","2023-06-13 00:00:00","","287262.274150206","443630.578461615","","0","0","0","0","","","","","","0","0","","","0","",
"5","의료법인","01_01_08_P","6530000","198164200001000001","1981-07-03","","01","영업/정상","BBBB","","","","","","0335300450","","","강원특별자치도 동해시 평릉동  134번지","강원특별자치도 동해시 하평로 26 (평릉동)","","동해동인의료재단","2025-09-25 00:00:00","U","2025-09-27 02:40:00","의료법인","386215.362120528","449619.01724887","","0","0","595","0","","","","","","0","0","","","0","",
"6","의료법인","01_01_08_P","6530000","200064200001000002","2000-06-19","","01","영업/정상","BBBB","","","","","","0335631912","","","강원특별자치도 정선군 사북읍 사북리 305번지 16호","강원특별자치도 정선군 사북읍 지장천로 727","","경천의료재단(2016.3.31 의료법인 해산)","2016-04-07 00:00:00","I","2023-06-13 00:00:00","의료법인","362023.877879962","415331.483541067","","0","0","250","0","","","","","","0","0","","","0","",
"7","의료법인","01_01_08_P","6530000","199764200001000001","1997-12-29","","01","영업/정상","BBBB","","","","","","0332617999","","","강원특별자치도 춘천시 동산면 군자리 442번지 1호","강원특별자치도 춘천시 동산면 새술막길 315-77","","서인의료재단","2025-08-29 00:00:00","U","2025-08-31 02:40:00","의료법인","264130.762308811","474489.513266524","","0","0","178","0","","","","","","0","0","","","0","",
"8","의료법인","01_01_08_P","6530000","200164200001000005","2001-05-21","","01","영업/정상","BBBB","","","","","","0333430901","","","강원특별자치도 횡성군 횡성읍 입석리 153번지 10호","강원특별자치도 횡성군 횡성읍 횡성로 275","","선덕의료재단","2024-03-19 00:00:00","U","2024-03-21 02:40:00","의료법인","286612.789231186","442256.80743604","","0","0","98","0","","","","","","0","0","","","0","",
"9","의료법인","01_01_08_P","6530000","200364200001000005","2003-11-18","","01","영업/정상","BBBB","","","","","","0226551295","","","강원특별자치도 원주시 흥업면 매지리 1925번지 6호","강원특별자치도 원주시 흥업면 세동길 10-10","","성모의료재단('07.7.24 의료법인 설립허가취소)","2010-07-21 00:00:00","I","2023-06-13 00:00:00","","280674.929364013","420101.513911375","","0","0","0","0","","","","","","0","0","","","0","",
"10","의료법인","01_01_08_P","6530000","197864200001000001","1978-05-01","","01","영업/정상","BBBB","","","","","","0333332409","","","강원특별자치도 원주시 학성동  311번지 6호","강원특별자치도 원주시 원일로 176-1 (학성동)","","의료법인 대화의료재단","2022-09-27 00:00:00","I","2023-06-13 00:00:00","의료법인","283756.782954782","428388.408815569","","0","0","82","0","","","","","","0","0","","","0","",
