"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물병원","02_03_01_P","4181000","418000001020150001","2015-07-28","","01","영업/정상","0000","정상","","","","","033-256-3319","94.51","","강원특별자치도 춘천시 신동면 정족리 377-1","강원특별자치도 춘천시 신동면 정족1길 6","24412","강동동물병원","2022-01-20 10:16:59","I","2023-06-13 00:00:00","","264513.895761355","481251.378917888","동물병원","","000","0",
"2","동물병원","02_03_01_P","4181000","418000001019800001","1980-01-16","","01","영업/정상","0000","정상","","","","","033-242-2925","0","","강원특별자치도 춘천시 후평동 713-8 24통2반","강원특별자치도 춘천시 후석로 401 (후평동)","24251","한독동물병원","2019-01-15 15:36:18","I","2023-06-13 00:00:00","","265535.693299175","487288.037686488","동물병원","","000","0",
"3","동물병원","02_03_01_P","4181000","418000001019840001","1984-04-01","","01","영업/정상","0000","정상","","","","","033-261-8175","0","","강원특별자치도 춘천시 동내면 학곡리 594","강원특별자치도 춘천시 동내면 영서로 1786","24408","동삼동물병원","2019-01-15 15:38:17","I","2023-06-13 00:00:00","","266842.724808428","481790.298848858","동물병원","","000","0",
"4","동물병원","02_03_01_P","4181000","418000001019960001","1996-06-11","","01","영업/정상","0000","정상","","","","","033-252-7582","0","","강원특별자치도 춘천시 퇴계동 889-3","강원특별자치도 춘천시 행촌로 43-1 (퇴계동)","24441","제일동물병원","2019-01-15 15:40:07","I","2023-06-13 00:00:00","","263722.526220741","484457.58853338","동물병원","","000","0",
"5","동물병원","02_03_01_P","4181000","418000001019970001","1997-03-07","","01","영업/정상","0000","정상","","","","","033-251-6577","0","","강원특별자치도 춘천시 온의동 152-15","강원특별자치도 춘천시 영서로 2293 (온의동)","24435","소망동물병원","2023-06-30 16:26:40","U","2023-07-02 02:40:00","","263289.853576607","485005.955439961","동물병원","","000","0",
"6","동물병원","02_03_01_P","4181000","418000001019980003","1998-12-19","","01","영업/정상","0000","정상","","","","","033-251-0911","0","","강원특별자치도 춘천시 효자동 708-11","강원특별자치도 춘천시 공지로 299-1 (효자동)","24372","조 동물병원","2013-12-17 09:53:35","I","2023-06-13 00:00:00","","264343.518009885","485220.763516057","동물병원","","000","0",
"7","동물병원","02_03_01_P","4181000","418000001020010001","2001-11-19","","01","영업/정상","0000","정상","","","","","033-263-0513","172.91","","강원특별자치도 춘천시 석사동 765-10","강원특별자치도 춘천시 우석로 37 (석사동)","24326","강남종합동물병원","2024-06-20 10:13:08","U","2024-06-22 02:40:00","","265926.691030073","484746.655438816","동물병원","","000","0",
"8","동물병원","02_03_01_P","4181000","418000001020040002","1989-04-20","","01","영업/정상","0000","정상","","","","","033-250-8606","3168","","강원특별자치도 춘천시 효자동 192-1","강원특별자치도 춘천시 강원대학길 1 (효자동)","24341","강원대학교 부속 동물병원","2025-03-27 11:37:52","U","2025-03-29 02:40:00","","265481.557982219","485420.871953344","동물병원","","P00","0",
"9","동물병원","02_03_01_P","4181000","418000001020040003","2004-07-23","","01","영업/정상","0000","정상","","","","","033-263-7502","0","","강원특별자치도 춘천시 동내면 거두리 926-5","강원특별자치도 춘천시 동내면 춘천순환로 70","24404","우리동물병원","2019-04-23 08:26:24","I","2023-06-13 00:00:00","","266079.306539143","483901.979099313","동물병원","","000","0",
"10","동물병원","02_03_01_P","4181000","418000001020190001","2019-04-07","","01","영업/정상","0000","정상","","","","","033-252-3205","0","","강원특별자치도 춘천시 후평동 244-34","강원특별자치도 춘천시 후석로440번길 10 (후평동)","24232","춘천철원화천양구축산업협동조합","2021-09-17 10:24:36","I","2023-06-13 00:00:00","","265400.35106042","487577.815703786","동물병원","","L00","0",
"11","동물병원","02_03_01_P","4181000","418000001020190002","2019-12-31","","01","영업/정상","0000","정상","","","","","","66.89","","강원특별자치도 춘천시 신북읍 산천리 352-28","강원특별자치도 춘천시 신북읍 신북로 207-1","24203","도담동물병원","2025-10-02 13:32:06","U","2025-10-05 02:40:00","","265549.537207917","491650.373154741","동물병원","","000","0",
"12","동물병원","02_03_01_P","4181000","418000001020220001","2022-01-07","","01","영업/정상","0000","정상","","","","","","39.6","","강원특별자치도 춘천시 사농동 437-105","강원특별자치도 춘천시 샘물단지길 22-26(사농동)","24235","와일드 동물병원","2024-01-17 14:07:59","U","2024-01-19 02:40:00","","263377.452786188","489852.795460358","동물병원","","000","0",
"13","동물병원","02_03_01_P","4181000","418000001020220002","2022-02-28","","01","영업/정상","0000","정상","","","","","033-242-7559","","","강원특별자치도 춘천시 퇴계동 532-10 102호","강원특별자치도 춘천시 안마산로 97, 102호 (퇴계동)","24455","품속동물병원","2022-02-28 11:43:23","I","2023-06-13 00:00:00","","263881.281114526","483867.606009445","동물병원","","000","0",
"14","동물병원","02_03_01_P","4181000","418000001020220003","2022-09-08","","01","영업/정상","0000","정상","","","","","033-263-7584","271.14","","강원특별자치도 춘천시 퇴계동 1113","강원특별자치도 춘천시 남춘천새길 4, 1층 및 2층 (퇴계동)","24380","리본고양이의료센터","2025-07-21 11:22:06","U","2025-07-23 02:40:00","","264537.865","484474.685","동물병원","","000","0",
"15","동물병원","02_03_01_P","4181000","418000001020220004","2022-09-08","","01","영업/정상","0000","정상","","","","","033-263-7584","271.14","","강원특별자치도 춘천시 퇴계동 1113","강원특별자치도 춘천시 남춘천새길 4, 2층 (퇴계동)","24380","리본동물의료센터","2025-03-13 10:22:28","U","2025-03-15 02:40:00","","264537.865","484474.685","동물병원","","000","0",
"16","동물병원","02_03_01_P","4181000","418000001020220005","2022-11-25","","01","영업/정상","0000","정상","","","","","","6.4","","강원특별자치도 춘천시 우두동 1092-4","강원특별자치도 춘천시 우두2길 3-1, 101호 뒤쪽 (우두동)","24221","춘천한우진료소","2025-09-01 16:03:20","U","2025-09-03 02:40:00","","264872.85261306","490145.857993628","동물병원","","000","0",
"17","동물병원","02_03_01_P","4181000","418000001020050003","2005-09-02","","01","영업/정상","0000","정상","","","","","033-264-9975","0","","강원특별자치도 춘천시 퇴계동 140-23","강원특별자치도 춘천시 안마산로 189 (퇴계동)","24422","고려동물병원","2019-01-16 08:19:32","I","2023-06-13 00:00:00","","264639.498608464","483424.123688559","동물병원","","000","0",
"18","동물병원","02_03_01_P","4181000","418000001020060002","2006-03-17","","01","영업/정상","0000","정상","","","","","033-257-7533","490.4","","강원특별자치도 춘천시 석사동 431-5","강원특별자치도 춘천시 공지로 159, 1층 (석사동)","24387","미래종합동물병원","2024-05-03 17:02:46","U","2024-05-05 02:40:00","","265448.34244046","484406.584828884","동물병원","","000","0",
"19","동물병원","02_03_01_P","4181000","418000001020070001","2007-06-14","","01","영업/정상","0000","정상","","","","","033-262-9070","0","","강원특별자치도 춘천시 석사동 818-2","강원특별자치도 춘천시 퇴계로 221 (석사동)","24390","봄내동물병원","2013-07-01 11:06:49","I","2023-06-13 00:00:00","","265328.029153914","484018.373448398","동물병원","","000","0",
"20","동물병원","02_03_01_P","4181000","418000001020070002","2007-10-04","","01","영업/정상","0000","정상","","","","","033-250-7500","0","","강원특별자치도 춘천시 효자동 192-1 강원대학교","강원특별자치도 춘천시 강원대학길 1, 강원대학교 (효자동)","24341","강원대학교부설 야생동물구조센터","2024-10-22 16:12:04","U","2024-10-24 02:40:00","","265481.557982219","485420.871953344","동물병원","","000","0",
"21","동물병원","02_03_01_P","4181000","418000001020100002","2010-08-31","","01","영업/정상","0000","정상","","","","","033-264-0909","488.4","","강원특별자치도 춘천시 동내면 학곡리 사서함 114-20","강원특별자치도 춘천시 동내면 영서로 1733","24408","육군 군견훈련소","2025-04-28 09:28:30","U","2025-04-30 02:40:00","","266882.623733409","480971.750526086","동물병원","","O00","0",
"22","동물병원","02_03_01_P","4181000","418000001020120001","2012-09-25","","01","영업/정상","0000","정상","","","","","033-242-2112","0","","강원특별자치도 춘천시 중앙로3가 66","강원특별자치도 춘천시 중앙로 127 (중앙로3가)","24358","AK동물병원","2019-01-16 08:22:39","I","2023-06-13 00:00:00","","263369.536645376","486169.445024671","동물병원","","000","0",
"23","동물병원","02_03_01_P","4181000","418000001020130002","2013-03-27","","01","영업/정상","0000","정상","","","","","033-242-8075","0","","강원특별자치도 춘천시 효자동 654-3","강원특별자치도 춘천시 춘천로 188, 114호 (효자동)","24329","광장동물병원","2023-02-28 09:35:34","I","2023-06-13 00:00:00","","264625.007546706","486195.45439825","동물병원","","000","0",
