"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물용의료용구판매업","02_03_03_P","4181000","418100001320230001","2023-06-30","","01","영업/정상","0000","정상","","","","","033-256-3385","","","강원특별자치도 춘천시 신북읍 율문리 ***-*","강원특별자치도 춘천시 후석로***번길 *, 춘천하이테크타워 ***,***호 (후평동)","24232","(주)이든바이오텍","2024-01-10 09:22:53","U","2024-01-12 02:40:00","","265274.938029442","491829.373809085","동물용의료용구판매업","","000","0",
"2","동물용의료용구판매업","02_03_03_P","4181000","418100001320230002","2023-08-18","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 춘천로 ***, 메가시티 *층 ***호 (효자동)","24329","(주)리바이오","2023-08-18 12:56:03","I","2023-08-20 00:19:02","","264625.007546706","486195.45439825","동물용의료용구판매업","","000","0",
"3","동물용의료용구판매업","02_03_03_P","4181000","418000001320050001","2005-06-08","","01","영업/정상","0000","정상","","","","","0332446969","0","","강원특별자치도 춘천시 근화동 ***-*","강원특별자치도 춘천시 영서로****번길 * (근화동)","24245","(주)프라임텍","2019-06-07 09:20:53","I","2023-06-13 00:00:00","","262594.659761547","486352.456383982","동물용의료용구판매업","","000","0",
"4","동물용의료용구판매업","02_03_03_P","4181000","418000001320130001","2013-04-24","","01","영업/정상","0000","정상","","","","","033-261-7460","","","강원특별자치도 춘천시 퇴계동 ****-* *층","강원특별자치도 춘천시 남춘천길 **-*, *층 (퇴계동)","24370","주식회사 케이랩솔루션","2020-08-28 15:48:06","I","2023-06-13 00:00:00","","263936.647731918","484937.566060978","동물용의료용구판매업","","L00","0",
"5","동물용의료용구판매업","02_03_03_P","4181000","418000001320190001","2019-04-09","","01","영업/정상","0000","정상","","","","","244-6967","","","강원특별자치도 춘천시 근화동 ***-*","강원특별자치도 춘천시 영서로****번길 * (근화동)","24245","주식회사 프라임텍","2019-04-09 15:46:29","I","2023-06-13 00:00:00","","262594.659761547","486352.456383982","동물용의료용구판매업","","000","0",
"6","동물용의료용구판매업","02_03_03_P","4181000","418000001320200001","2020-03-17","","01","영업/정상","0000","정상","","","","","033-262-6447","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 ***-**","24399","㈜코람바이오텍","2020-03-17 13:39:02","I","2023-06-13 00:00:00","","268712.42626135","484423.707831319","동물용의료용구판매업","","000","0",
"7","동물용의료용구판매업","02_03_03_P","4181000","418000001320200002","2023-11-24","","01","영업/정상","0000","정상","","","","","02-6930-5891","","","강원도 춘천시 후평동 ***-** *층","강원특별자치도 춘천시 삭주로***번길 **-**, *층 (후평동)","24232","주식회사 레메디","2023-11-24 16:53:17","U","2023-11-26 02:40:00","","265443.572773681","488089.692481736","동물용의료용구판매업","","L00","0",
"8","동물용의료용구판매업","02_03_03_P","4181000","418000001320200003","2020-10-12","","01","영업/정상","0000","정상","","","","","033-243-1411","","","강원특별자치도 춘천시 동내면 거두리 ****-*","강원특별자치도 춘천시 동내면 거두단지*길 **","24398","주식회사 애니벳","2020-10-12 09:33:02","I","2023-06-13 00:00:00","","268468.65031588","485207.862258781","동물용의료용구판매업","","000","0",
"9","동물용의료용구판매업","02_03_03_P","4181000","418000001320210001","2021-01-07","","01","영업/정상","0000","정상","","","","","033-263-6202","","","강원특별자치도 춘천시 후평동 ***-* ***호","강원특별자치도 춘천시 후석로***번길 *, ***호 (후평동)","24232","강원옵틱","2022-10-28 13:27:22","I","2023-06-13 00:00:00","","265474.842593179","487512.552718902","동물용의료용구판매업","","000","0",
"10","동물용의료용구판매업","02_03_03_P","4181000","418000001320210002","2021-01-15","","01","영업/정상","0000","정상","","","","","033-244-6969","","","강원특별자치도 춘천시 퇴계동 **** *층 D-*호","강원특별자치도 춘천시 지석로 **-**, *층 D-*호 (퇴계동)","24420","지노사이언스","2021-01-15 19:09:09","I","2023-06-13 00:00:00","","265346.955057411","483293.365700144","동물용의료용구판매업","","000","0",
"11","동물용의료용구판매업","02_03_03_P","4181000","418000001320210003","2021-03-29","","01","영업/정상","0000","정상","","","","","033-263-0005","","","강원특별자치도 춘천시 퇴계동 **-**","강원특별자치도 춘천시 퇴계공단*길 **-**, *층 (퇴계동)","24417","지에스비","2022-07-28 13:23:36","I","2023-06-13 00:00:00","","265499.931967591","482399.928903447","동물용의료용구판매업","","000","0",
"12","동물용의료용구판매업","02_03_03_P","4181000","418000001320210004","2021-03-29","","01","영업/정상","0000","정상","","","","","033-262-6100","","","강원특별자치도 춘천시 퇴계동 **","강원특별자치도 춘천시 안마산로 ***, ***호 (퇴계동)","24421","히어리","2023-03-10 11:39:49","I","2023-06-13 00:00:00","","264855.838698284","483301.263496797","동물용의료용구판매업","","000","0",
"13","동물용의료용구판매업","02_03_03_P","4181000","418000001320210006","2021-05-06","","01","영업/정상","0000","정상","","","","","033-256-3319","","","강원특별자치도 춘천시 신동면 정족리 ***-*","강원특별자치도 춘천시 신동면 정족*길 *","24412","주식회사 일성","2022-01-20 10:30:39","I","2023-06-13 00:00:00","","264513.895761355","481251.378917888","동물용의료용구판매업","","000","0",
"14","동물용의료용구판매업","02_03_03_P","4181000","418000001320210007","2021-05-14","","01","영업/정상","0000","정상","","","","","033-256-3685","","","강원특별자치도 춘천시 동내면 학곡리 ***-**","강원특별자치도 춘천시 동내면 학곡서*길 **-**","24408","그린가축약품","2021-05-14 17:15:30","I","2023-06-13 00:00:00","","266626.927426385","481665.828067359","동물용의료용구판매업","","000","0",
"15","동물용의료용구판매업","02_03_03_P","4181000","418000001320210008","2021-07-13","","01","영업/정상","0000","정상","","","","","070-4710-4218","","","강원특별자치도 춘천시 효자동 ***-** ***호","강원특별자치도 춘천시 백령로 **, *층 ***호 (효자동)","24342","다온바이오","2021-07-13 11:51:55","I","2023-06-13 00:00:00","","264754.051241354","485318.061119838","동물용의료용구판매업","","000","0",
"16","동물용의료용구판매업","02_03_03_P","4181000","418000001320210009","2021-07-16","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 춘천로 ***, *층 (효자동)","24329","엔서테크","2021-07-16 14:27:22","I","2023-06-13 00:00:00","","264625.007546706","486195.45439825","동물용의료용구판매업","","000","0",
"17","동물용의료용구판매업","02_03_03_P","4181000","418000001320210010","2021-09-13","","01","영업/정상","0000","정상","","","","","","128","","강원특별자치도 춘천시 퇴계동 **-**","강원특별자치도 춘천시 퇴계공단*길 **-**, *층 (퇴계동)","24417","(주)메이즈","2022-08-11 11:14:29","I","2023-06-13 00:00:00","","265499.931967591","482399.928903447","동물용의료용구판매업","","L00","0",
"18","동물용의료용구판매업","02_03_03_P","4181000","418000001320220002","2022-05-16","","01","영업/정상","0000","정상","","","","","033-269-8000","","","서울특별시 강서구 등촌동 *** 홈플러스","강원특별자치도 춘천시 김유정로 ****, 홈플러스 (퇴계동)","24423","(주)홈플러스 춘천점","2024-02-26 13:08:46","U","2024-02-29 02:40:00","","264597.191878957","483368.29049207","동물용의료용구판매업","","L00","0",
"19","동물용의료용구판매업","02_03_03_P","4181000","418000001320230001","2023-04-05","","01","영업/정상","0000","정상","","","","","033-263-5663","","","강원특별자치도 춘천시 퇴계동 ****-*","강원특별자치도 춘천시 남춘천길 ** (퇴계동)","24370","유니테크","2023-04-05 09:31:36","I","2023-06-13 00:00:00","","263925.839639694","484944.829148457","동물용의료용구판매업","","000","0",
"20","동물용의료용구판매업","02_03_03_P","4181000","418000001320230002","2023-05-22","","01","영업/정상","0000","정상","","","","","033-244-0513","","","강원특별자치도 춘천시 근화동 ***-*","강원특별자치도 춘천시 영서로 ****, 청암빌딩 *층 (근화동)","24360","인투랩","2023-05-22 09:08:19","I","2023-06-13 00:00:00","","262778.120568361","485879.524011517","동물용의료용구판매업","","000","0",
"21","동물용의료용구판매업","02_03_03_P","4181000","418100001320240002","2024-10-10","","01","영업/정상","0000","정상","","","","","033-242-2612","","","강원특별자치도 춘천시 퇴계동 ***-* ***호","강원특별자치도 춘천시 남춘로 **, 코아루웰라움타워 ***호 (퇴계동)","24370","강원상사","2024-10-10 17:10:53","I","2024-10-12 00:12:32","","264164.138221018","484758.925824151","동물용의료용구판매업","","000","0",
"22","동물용의료용구판매업","02_03_03_P","4181000","418100001320240001","2024-06-05","","01","영업/정상","0000","정상","","","","","033-261-6716","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 삭주로**번길 **-**, *층 (후평동)","24258","주식회사 금석건설","2024-06-05 12:06:00","I","2024-06-08 00:14:19","","265123.889251398","486829.73533059","동물용의료용구판매업","","000","0",
"23","동물용의료용구판매업","02_03_03_P","4181000","418100001320250004","2025-10-28","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-* ***호","강원특별자치도 춘천시 서부대성로 ***, *층 ***호 (효자동)","24293","오가노플로라","2025-10-28 14:07:36","I","2025-10-30 00:20:11","","264758.732173488","486226.577662528","동물용의료용구판매업","","000","0",
"24","동물용의료용구판매업","02_03_03_P","4181000","418100001320250005","2025-10-28","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-* ***호","강원특별자치도 춘천시 서부대성로 ***, *층 ***호 (효자동)","24293","오가노플로라","2025-10-28 14:10:49","I","2025-10-30 00:20:11","","264758.732173488","486226.577662528","동물용의료용구판매업","","000","0",
"25","동물용의료용구판매업","02_03_03_P","4181000","418100001320250003","2025-07-22","","01","영업/정상","0000","정상","","","","","033-264-8546","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 춘천순환로**번길 **-**, *층","24405","테오","2025-07-22 09:20:46","I","2025-07-24 00:20:02","","266388.743926607","483731.30804211","동물용의료용구판매업","","000","0",
"26","동물용의료용구판매업","02_03_03_P","4181000","418100001320250001","2025-03-04","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 새롬공원길*번길 **-*, *층 (석사동)","24394","댕츄리","2025-03-04 15:57:22","I","2025-03-06 00:10:58","","265623.697365039","483792.485359523","동물용의료용구판매업","","000","0",
"27","동물용의료용구판매업","02_03_03_P","4181000","418100001320250002","2025-04-02","","01","영업/정상","0000","정상","","","","","033-257-4804","","","강원특별자치도 춘천시 후평동 ***-* ***호","강원특별자치도 춘천시 후석로***번길 *, 춘천하이테크타워 *층 ***호 (후평동)","24232","엔사이언스","2025-04-02 09:15:22","I","2025-04-04 00:10:22","","265474.842593179","487512.552718902","동물용의료용구판매업","","000","0",
