"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","종합테마파크업","03_07_12_P","4181000","CDFI5271001985000001","1985-05-02","","01","영업/정상","13","영업중","","","","","252-7226","","200-140","강원특별자치도 춘천시 사농동 61-2","강원특별자치도 춘천시 영서로 2965 (사농동)","24235","육림랜드","2025-05-01 13:27:21","U","2025-05-03 02:40:00","","263264.191558109","490923.825564978","허가테마파크업","테마파크업","녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","11446.4","","0","Y","Y","Y","Y","","","0","","","","11446",
"2","종합테마파크업","03_07_12_P","4181000","CDFI5271002022000001","2022-03-31","","01","영업/정상","13","영업중","","","","","033-815-2300","","","강원특별자치도 춘천시 중도동 603","강원특별자치도 춘천시 하중도길 128 (중도동)","24240","레고랜드코리아","2025-09-29 17:59:39","U","2025-10-01 02:40:00","","261196.14804155","486795.908265274","허가테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","28231.18","27","0","Y","Y","Y","Y","","","0","","","","28231",
"3","종합테마파크업","03_07_12_P","4191000","CDFI5271001996000001","1996-04-27","","03","폐업","03","폐업","2015-10-28","","","","033)732-5800","","220-831","강원특별자치도 원주시 소초면 학곡리 223-3","강원특별자치도 원주시 소초면 구룡사로 47","26304","(주)드림랜드","2015-11-30 11:18:36","I","2023-06-13 00:00:00","","293994.091982093","437166.819596727","허가테마파크업","테마파크업","관리지역","2","기타","","","사무실","2","0","0","0","","","0","0","","0","0","","0","5950.61","16기종(휴업 6기종)","0","Y","Y","Y","Y","","","0","","","","5951",
"4","종합테마파크업","03_07_12_P","4231000","CDFI5271001984000001","1984-05-04","","01","영업/정상","13","영업중","","","","","033-635-7711","","","강원특별자치도 속초시 장사동 24-9 설악워터피아","강원특별자치도 속초시 미시령로2983번길 88, 설악워터피아 (장사동)","24801","한화리조트(주) 설악워터피아","2025-02-12 10:28:51","U","2025-02-15 02:40:00","","333861.329823747","523878.780261004","허가테마파크업","테마파크업","관리지역","1","기타","","","기타","1","0","0","0","","","0","0","","0","0","","0","23838","안전성검사 대상 10종","0","Y","Y","Y","Y","","","0","","","","23838",
"5","종합테마파크업","03_07_12_P","4231000","CDFI5271002017000002","2017-12-29","","01","영업/정상","13","영업중","","","","","033-634-1000","","","강원특별자치도 속초시 대포동 995 롯데리조트속초","강원특별자치도 속초시 대포항길 186, 롯데리조트속초 (대포동)","24900","롯데리조트 속초 워터파크","2025-05-28 09:12:01","U","2025-05-30 02:40:00","","341191.300260595","520960.677589006","허가테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","6","0","Y","Y","Y","Y","","","0","","","","0",
"6","종합테마파크업","03_07_12_P","4241000","CDFI5271002014000001","2014-09-26","","01","영업/정상","13","영업중","","","","","550-7788","","245-903","강원특별자치도 삼척시 도계읍 심포리 231-3","강원특별자치도 삼척시 도계읍 심포남길 99","25952","(주)하이원추추파크","2024-05-21 17:48:57","U","2024-05-23 02:40:00","","","","허가테마파크업","","관리지역","4","기타","","","숙박시설","2","2","0","0","","","0","0","","0","0","","0","719149","레일바이크 A · B, 미니트레인 C · D, 관람차, 회전목마, UFO스윙","0","Y","Y","Y","Y","","","0","","","","719149",
"7","종합테마파크업","03_07_12_P","4251000","CDFI5271002014000001","2014-12-23","","01","영업/정상","13","영업중","","","","","033-439-8308","","","강원특별자치도 홍천군 서면 팔봉리 1289 대명비발디파크","강원특별자치도 홍천군 서면 한치골길 264, 대명비발디파크","25102","(주)소노인터내셔널 오션월드","2025-10-30 18:05:20","U","2025-11-01 02:40:00","","260132.088814104","460528.355366015","허가테마파크업","","관리지역","4","기타","","","근린생활시설","3","1","0","0","","","0","0","","0","0","","0","7830.87","20종 21대","0","Y","Y","Y","Y","","","0","","","","7831",
"8","종합테마파크업","03_07_12_P","4261000","CDFI5271002020000004","2020-07-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 횡성군 둔내면 두원리 204 웰리힐리파크","강원특별자치도 횡성군 둔내면 고원로 451, 웰리힐리파크","25263","웰리힐리파크 워터플래닛","2025-04-24 17:50:03","U","2025-04-26 02:40:00","","310506.755038668","443916.785022628","허가테마파크업","","","3","기타","","","체육시설","2","1","0","0","","","0","0","","0","0","","0","0","만타슬라이드 외13종","0","Y","","Y","Y","","","0","","","","0",
"9","종합테마파크업","03_07_12_P","4281000","CDFI5271002008000001","2008-06-12","","01","영업/정상","13","영업중","","","","","033-330-6000","","","강원특별자치도 평창군 봉평면 면온리 1095-1 (주)휘닉스평창","강원특별자치도 평창군 봉평면 태기로 174 (주)휘닉스평창","25307","휘닉스 블루캐니언","2025-07-03 17:18:00","U","2025-07-05 02:40:00","","317177.713905004","454046.509523181","허가테마파크업","테마파크업","관리지역","0","기타","","","근린생활시설","2","2","0","0","","","0","0","","0","0","","0","13174.03","","0","","","","","","","0","","","","13174",
"10","종합테마파크업","03_07_12_P","4281000","CDFI5271002008000002","2008-07-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 평창군 대관령면 용산리 130 용평피크아일랜드","강원특별자치도 평창군 대관령면 올림픽로 715, 용평리조트","25352","용평워터파크","2025-09-16 09:06:20","U","2025-09-18 02:40:00","","348259.144297804","461699.273918606","허가테마파크업","테마파크업","관리지역","4","기타","","","유기장","4","1","0","0","","","0","0","","0","0","","0","16000","","0","","","","","","","0","","","","16000",
