"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","국제회의기획업","03_08_01_P","4181000","CDFI2263102015000001","2015-07-23","","02","휴업","02","휴업","","2016-11-30","2028-12-31","","0332557725","","200-080","강원특별자치도 춘천시 운교동 174-1 금강빌딩 307호","강원특별자치도 춘천시 운천길 28-29 (운교동, 금강빌딩 307호)","24335","주식회사에토스기획","2024-01-11 18:05:17","U","2024-01-13 02:40:00","","264361.310282032","486098.459689912","국제회의기획업","","일반상업지역","3","","","","","3","0","0","0","","","0","0","","0","0","","0","49","","0","","","","","","","50000000","","","","49",
"2","국제회의기획업","03_08_01_P","4181000","CDFI2263102013000001","2013-11-01","","03","폐업","03","폐업","2018-04-23","","","","02)3147-1401","","200-962","강원특별자치도 춘천시 후평동 822-4","강원특별자치도 춘천시 후만로 92-1 (후평동)","24312","(주)오렌지오션","2018-05-09 12:42:41","I","2023-06-13 00:00:00","","266340.088663724","486227.603568546","국제회의기획업","","","0","","","","","0","0","0","0","Orangeocean Co.,Ltd.","Professional Convention Organizer","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0",
"3","국제회의기획업","03_08_01_P","4181000","CDFI2263102023000001","2023-03-30","","03","폐업","03","폐업","2023-07-11","","","","033-262-9905","","","강원특별자치도 춘천시 퇴계동 392-63","강원특별자치도 춘천시 퇴계로 92, 5층 (퇴계동)","24377","(주)크리에이티브곰","2023-08-25 16:33:56","U","2023-08-27 02:40:00","","264213.865179602","484634.237594617","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","국제회의기획업","03_08_01_P","4181000","CDFI2263102004000001","2004-07-29","","01","영업/정상","13","영업중","","","","","033-256-5011","","","강원특별자치도 춘천시 석사동 351-8","강원특별자치도 춘천시 공지로 154, 4층 (석사동)","24327","(주)인터포스","2016-01-11 16:33:16","I","2023-06-13 00:00:00","","265516.91889812","484371.628354909","국제회의기획업","","","5","","","","사무실","0","0","0","0","Interforce Co.,Ltd.","Professional Convention Organizer","0","0","","0","0","","0","92.27","","0","","","","","","","50000000","","","","92",
"5","국제회의기획업","03_08_01_P","4181000","CDFI2263102012000001","2012-01-27","","01","영업/정상","13","영업중","","","","","033-263-3466","","","강원특별자치도 춘천시 약사동 1-64","강원특별자치도 춘천시 중앙로67번길 41-1 (약사동)","24355","(주)한국레저마케팅","2025-06-02 16:19:51","U","2025-06-04 02:40:00","","264036.329565912","486279.707488973","국제회의기획업","","일반주거지역","0","","","","","1","0","0","0","","","0","0","","0","0","","0","72","","0","","","","","","","0","","","","72",
"6","국제회의기획업","03_08_01_P","4181000","CDFI2263102014000001","2014-05-01","","01","영업/정상","13","영업중","","","","","033-248-5015","","200-719","강원특별자치도 춘천시 동면 장학리 635","강원특별자치도 춘천시 동면 소양강로 274","24210","주식회사 지원방송","2021-05-18 13:51:12","I","2023-06-13 00:00:00","","265770.452755788","490114.95221028","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","16000000000","","","","0",
"7","국제회의기획업","03_08_01_P","4181000","CDFI2263102014000002","2014-11-28","","01","영업/정상","13","영업중","","","","","033-244-7400","","","강원특별자치도 춘천시 요선동 9-2","강원특별자치도 춘천시 중앙로 30, 1층 (요선동)","24271","(합)앤투어","2018-06-12 09:09:39","I","2023-06-13 00:00:00","","264005.622086396","486882.449767053","국제회의기획업","","일반주거지역","1","","","","","3","0","0","0","","","0","0","","0","0","","0","62.45","","0","","","","","","","374959968","","","","62",
"8","국제회의기획업","03_08_01_P","4181000","CDFI2263102014000003","2014-12-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 658-5 춘천축협효자지점 5층","강원특별자치도 춘천시 효자로 135, 춘천축협효자지점 5층 (효자동)","24329","한테크 주식회사","2022-06-28 10:15:40","I","2023-06-13 00:00:00","","264563.94245221","486040.71272591","국제회의기획업","","준공업지역","1","","","","사무실","3","0","0","0","","","0","0","","0","0","","0","112","","0","","","","","","","81000000","","","","112",
"9","국제회의기획업","03_08_01_P","4181000","CDFI2263102021000001","2021-03-09","","01","영업/정상","13","영업중","","","","","1833-9132","","","강원특별자치도 춘천시 조양동 6-86","강원특별자치도 춘천시 금강로83번길 26, NNP빌딩 (조양동)","24351","주식회사 네이처앤드피플","2021-03-09 15:15:34","I","2023-06-13 00:00:00","","264333.894540381","486562.684745983","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0",
"10","국제회의기획업","03_08_01_P","4181000","CDFI2263102021000003","2021-11-24","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 소양로2가 172-1 신동아아파트","강원특별자치도 춘천시 서부대성로 12, 82호 (소양로2가, 신동아아파트)","24272","(주)세원","2022-04-27 13:43:06","I","2023-06-13 00:00:00","","263675.833817836","487157.336209289","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","300000000","","","","0",
"11","국제회의기획업","03_08_01_P","4181000","CDFI2263102023000002","2023-05-23","","01","영업/정상","13","영업중","","","","","033-264-1365","","","강원특별자치도 춘천시 중앙로1가 78","강원특별자치도 춘천시 중앙로 41-1, 3층 (중앙로1가)","24346","주식회사 비알씨","2024-02-08 17:58:18","U","2024-02-11 02:40:00","","263885.897682568","486855.695116577","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","70863000","","","","0",
"12","국제회의기획업","03_08_01_P","4181000","CDFI2263102024000001","2024-02-22","","01","영업/정상","13","영업중","","","","","070-4001-4582","","","강원특별자치도 춘천시 효자동 651-6","강원특별자치도 춘천시 둥지길 4, 3층 (효자동)","24334","(주)페스티벌온(Festival On)","2025-09-03 13:53:34","U","2025-09-05 02:40:00","","264628.805573156","486046.275827248","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"13","국제회의기획업","03_08_01_P","4181000","CDFI2263102025000003","2025-08-28","","01","영업/정상","13","영업중","","","","","070-8672-0155","","","강원특별자치도 춘천시 운교동 167-4","강원특별자치도 춘천시 금강로 91, 3층 (운교동)","24352","협동조합 판","2025-08-28 16:39:01","I","2025-08-30 00:20:01","","264205.175608981","486358.650189715","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0",
"14","국제회의기획업","03_08_01_P","4181000","CDFI2263102025000002","2025-06-27","","01","영업/정상","13","영업중","","","","","1644-4845","","","강원특별자치도 춘천시 효자동 652-16","강원특별자치도 춘천시 효자로 144 (효자동)","24330","주식회사 더픽트","2025-06-27 09:26:53","I","2025-06-29 00:20:02","","264629.1261171","486096.682005693","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50779000","","","","0",
