"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","대중문화예술기획업","03_08_02_P","4191000","CDFF3241092017000001","2017-02-09","","01","영업/정상","13","영업중","","","","","033-744-9711","","","강원특별자치도 원주시 일산동 ***-*","강원특별자치도 원주시 천사로 ***, 지하*층 (일산동)","26417","사단법인 한국예총문화예술원 강원특별자치도지부","2025-01-31 11:33:46","U","2025-02-02 02:40:00","","283348.931083681","427897.513308479","대중문화예술기획업","유통관련업","0","","교육, 자선, 공연","127.8","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","대중문화예술기획업","03_08_02_P","4191000","CDFF3241092021000001","2021-10-05","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 세계로 *, 가든식스 ***호 (반곡동)","26464","동아크누아","2021-10-05 16:19:52","I","2023-06-13 00:00:00","","287477.619024788","425162.657728818","대중문화예술기획업","유통관련업","0","","공연기획 및  제작, 아티스트 매니지먼트","139.06","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","대중문화예술기획업","03_08_02_P","4191000","CDFF3241092025000001","2025-08-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 해오름*길 **, *층 (반곡동)","26463","주식회사 퓨어크래프트","2025-08-11 17:13:41","I","2025-08-13 00:20:02","","287970.319817534","425334.127450522","대중문화예술기획업","유통관련업","0","","아티스트 매니지먼트","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","대중문화예술기획업","03_08_02_P","6530000","M04022015000002","2015-07-15","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 약사동 *번지 **호","강원특별자치도 춘천시 중앙로**번길 **-* (약사동)","","(주)한국레저마케팅","2024-12-24 13:13:19","U","2024-12-27 02:40:00","","264036.329565912","486279.707488973","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","공연기획 및 제작·알선, 연예대행업, 공연·문화에 관한 사업","","",
"5","대중문화예술기획업","03_08_02_P","6530000","M04022015000003","2015-07-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 무실동 ***번지","강원특별자치도 원주시 시청로 **, **층 ****호 (무실동)","","(주)로드","2015-07-27 15:49:53","I","2023-06-13 00:00:00","","282440.481022441","424845.250252795","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","스포츠 경기 개최, 후원, 마케팅, 포로모터, 대중문화에 대중문화관련 음반제작 및 기획, 연예자 발굴·양성 등","","",
"6","대중문화예술기획업","03_08_02_P","6530000","M04022015000004","2015-07-27","","01","영업/정상","1","영업","","","","","0332522994","","","강원특별자치도 춘천시 옥천동 **번지 *호","강원특별자치도 춘천시 서부대성로 ** (옥천동)","","(주)문화프로덕션 도모","2015-07-27 16:14:45","I","2023-06-13 00:00:00","","264271.934179086","486911.569011759","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","공연, 문화기획, 스텝지원, 행사대행, 거리퍼레이드, 엔터테이먼트업 등","","",
"7","대중문화예술기획업","03_08_02_P","6530000","M04022015000005","2015-08-10","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 석사동 ***번지 *호","강원특별자치도 춘천시 새롬공원길*번길 ** (석사동)","","토니픽처스","2015-09-17 10:34:35","I","2023-06-13 00:00:00","","265778.521592272","483579.133015949","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","매니저업, 음악 및 기타 오디오물 출판업, 일반 영화 및 비디오물 제작업","","",
"8","대중문화예술기획업","03_08_02_P","6530000","M04022015000006","2015-08-10","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 속초시 교동 ***번지","강원특별자치도 속초시 만천*길 * (교동)","","제이지엔터테인먼트","2015-09-17 10:28:54","I","2023-06-13 00:00:00","","338092.855083809","522984.661699788","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","엔터테인먼트 사업, 연예인 섭외 및 공연·연예인 홍보","","",
"9","대중문화예술기획업","03_08_02_P","6530000","M04022020000001","2020-10-05","","01","영업/정상","1","영업","","","","","0332456610","","","강원특별자치도 춘천시 온의동 ***번지 *호 트리플타워 *동","강원특별자치도 춘천시 춘주로 **-*, *동 *층 ***호 (온의동,트리플타워)","","주식회사 아츠","2020-10-29 15:52:22","I","2023-06-13 00:00:00","","263277.754058361","484647.309880067","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","대중문화예술산업(대중문화예술인 발굴, 육성 및 방송영상물, 영화, 비디오물, 공연물, 음반, 음악파일, 음악영상물, 음악영상파일 등) 알선, 기획, 관리","","",
"10","대중문화예술기획업","03_08_02_P","6530000","M04022020000002","2020-11-20","","01","영업/정상","1","영업","","","","","0339116510","","","강원특별자치도 춘천시 동면 장학리 ****번지 *호 서유빌딩(*층)","강원특별자치도 춘천시 동면 춘천순환로 ***-*, *층 (서유빌딩)","","주식회사 임팩시스","2020-11-20 11:12:21","I","2023-06-13 00:00:00","","266398.262051517","488106.261157729","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","영상콘텐츠 제작, 메니지먼트 사업 및 공연기획 등","","",
"11","대중문화예술기획업","03_08_02_P","6530000","M04022020000003","2020-11-20","","01","영업/정상","1","영업","","","","","07070047510","","","강원특별자치도 춘천시 소양로*가 ***번지 *호","강원특별자치도 춘천시 금강로 **-*, *층 (소양로*가)","","주식회사 아이엠커뮤니케이션즈","2020-11-20 11:11:57","I","2023-06-13 00:00:00","","263773.345710859","486758.193082647","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","영상콘텐츠 제작, 메니지먼트 사업 및 공연기획 등","","",
"12","대중문화예술기획업","03_08_02_P","6530000","M04022022000001","2022-02-15","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 신동면 증리 ***번지 *호","강원특별자치도 춘천시 신동면 김유정로 ****-*, *층 ***호","","(주)스튜디오콘","2022-02-22 11:01:07","I","2023-06-13 00:00:00","","262781.621543878","479571.303434834","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","1. 방송프로그램 기획 및 개발
2. 공연기획 및 개발
3. 광고홍보 기획 및 개발
4. 전시기획 및 개발
5. 영상콘텐츠 기획 및 개발","","",
"13","대중문화예술기획업","03_08_02_P","6530000","M04022022000002","2022-05-31","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 효자동 ***번지 *호","강원특별자치도 춘천시 둥지길 *-*, *층 (효자동)","","주식회사 페스티벌온","2023-07-04 09:54:58","U","2023-07-06 02:40:00","","264628.805573156","486046.275827248","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","대중문화예술기획업(공연기획, 알선 등)","","",
"14","대중문화예술기획업","03_08_02_P","6530000","M04022024000002","2024-04-15","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 태백시 황지동 ***번지 **호","강원특별자치도 태백시 상장남길 **-* (황지동)","","예스기획","2024-06-24 14:58:58","U","2024-06-26 02:40:00","","376547.675794873","406919.424070162","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","매니지먼트","","",
"15","대중문화예술기획업","03_08_02_P","6530000","M04022024000001","2024-01-10","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 횡성읍 읍상리 ***번지 *호","강원특별자치도 횡성군 횡성읍 향교서로 *-*","","주식회사 코끼리","2024-01-16 11:36:02","I","2024-01-18 00:16:19","","287666.133226852","443213.99406198","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","대중문화예술기획업","","",
"16","대중문화예술기획업","03_08_02_P","6530000","M04022023000001","2023-10-04","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 고성군 토성면 봉포리 **번지 **호","강원특별자치도 고성군 토성면 동해대로 ****-*","","수다원 엔터테인먼트","2023-10-05 10:53:49","I","2023-10-07 00:17:47","","337244.039165277","528064.242823538","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","대중문화예술 연예인 관리","","",
"17","대중문화예술기획업","03_08_02_P","6530000","M04022025000001","2025-01-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 속초시 조양동 ****번지 **호","강원특별자치도 속초시 새마을길 **-*, 조양동 *층 (조양동)","","주식회사 노련","2025-01-27 13:45:46","I","2025-02-01 00:11:02","","340416.491315016","521607.925309217","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","매니저업","","",
"18","대중문화예술기획업","03_08_02_P","6530000","M04022016000001","2016-06-13","","03","폐업","3","폐업","2019-12-31","","","","","","","강원특별자치도 철원군 갈말읍 신철원리 ***번지 *호","강원특별자치도 철원군 갈말읍 삼부연로*번길 *, *층","","금강상회","2020-03-03 16:38:36","I","2023-06-13 00:00:00","","226993.29215098","515818.090533485","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","문화예술기획업","","",
