"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식용얼음판매업","07_22_21_P","4191000","4191000-111-1974-00001","1974-03-15","","01","영업/정상","01","영업","","","","","033 7641802","","","강원특별자치도 원주시 명륜동 0-0 남부시장 24","","","남부얼음판매소","2002-07-28 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","","","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","식용얼음판매업","07_22_21_P","4191000","4191000-111-1994-00001","1994-07-14","","01","영업/정상","01","영업","","","","","033 7439321","","","강원특별자치도 원주시 평원동 323-21","강원특별자치도 원주시 평원로 24 (평원동)","26430","수정어름집","2011-07-07 16:06:08","I","2023-06-13 00:00:00","식용얼음판매업","284365.260119353","427871.905123005","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"3","식용얼음판매업","07_22_21_P","4191000","4191000-111-2002-00001","2002-05-13","","01","영업/정상","01","영업","","","","","","8.75","","강원특별자치도 원주시 단구동 701-8","강원특별자치도 원주시 단구로 330 (단구동)","","금강얼음","2014-05-12 17:22:15","I","2023-06-13 00:00:00","식용얼음판매업","284864.328336714","425364.229180891","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"4","식용얼음판매업","07_22_21_P","4191000","4191000-111-2013-00001","2013-04-03","","01","영업/정상","01","영업","","","","","033 744 7003","32.93","","강원특별자치도 원주시 원동 304-5 지상1층","강원특별자치도 원주시 남산로48번길 31-3, 지상1층 (원동)","26440","얼음나라","2017-03-31 10:17:25","I","2023-06-13 00:00:00","식용얼음판매업","283924.698066178","427099.436816291","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"5","식용얼음판매업","07_22_21_P","4201000","4201000-111-2010-00001","2010-05-27","","01","영업/정상","01","영업","","","","","033 655 5401","14.00","","강원특별자치도 강릉시 성남동 50 (지하 60호)","강원특별자치도 강릉시 금성로 21, 60호 (성남동)","25543","명동얼음","2021-11-23 16:05:02","I","2023-06-13 00:00:00","식용얼음판매업","367255.878725242","474087.754397503","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"6","식용얼음판매업","07_22_21_P","4201000","4201000-111-1991-00001","1991-09-06","","01","영업/정상","01","영업","","","","","033 6525005","23.80","","강원특별자치도 강릉시 성남동 50","강원특별자치도 강릉시 금성로 21 (성남동)","25543","영진수산물상회","2008-06-11 15:05:25","I","2023-06-13 00:00:00","식용얼음판매업","367255.878725242","474087.754397503","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"7","식용얼음판매업","07_22_21_P","4251000","4251000-111-2003-00001","2003-10-01","","01","영업/정상","01","영업","","","","","033 4320188","10.00","","강원특별자치도 홍천군 홍천읍 신장대리 55-47","강원특별자치도 홍천군 홍천읍 홍천로 366","25139","삼광얼음","2012-07-18 16:49:47","I","2023-06-13 00:00:00","식용얼음판매업","278073.814095034","465530.999446831","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"8","식용얼음판매업","07_22_21_P","4351000","4351000-111-2021-00001","2021-01-28","","01","영업/정상","01","영업","","","","","031 541 3369","199.23","","강원특별자치도 양양군 양양읍 포월리 256-3","강원특별자치도 양양군 양양읍 포월새말길 23-120","25013","설운아이스","2021-02-05 09:41:24","I","2023-06-13 00:00:00","식용얼음판매업","342533.451291793","511892.836657433","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","39.75","","","",
"9","식용얼음판매업","07_22_21_P","4181000","4181000-111-1971-00001","1971-05-21","","03","폐업","02","폐업","2008-11-28","","","","","","","강원특별자치도 춘천시 요선동 169","","","요선얼음상회","2002-07-30 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","","","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"10","식용얼음판매업","07_22_21_P","4181000","4181000-111-1978-00001","1978-04-07","","03","폐업","02","폐업","2007-01-23","","","","","","","강원특별자치도 춘천시 효자동 385","","","효자얼음","2002-06-21 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","","","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"11","식용얼음판매업","07_22_21_P","4181000","4181000-111-1989-00001","1989-07-03","","03","폐업","02","폐업","2024-04-25","","","","033 241 4555","","","강원특별자치도 춘천시 운교동 187-2","강원특별자치도 춘천시 춘천로185번길 12-1 (운교동)","24350","대한얼음","2024-04-25 13:52:46","U","2024-04-27 02:40:00","식용얼음판매업","264549.000639914","486360.891701564","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"12","식용얼음판매업","07_22_21_P","4181000","4181000-111-1994-00001","1994-05-30","","03","폐업","02","폐업","2016-12-20","","","","033 2543434","30.34","","강원특별자치도 춘천시 소양로2가 96-8","강원특별자치도 춘천시 기와집길 4 (소양로2가)","24269","서부얼음","2012-02-17 11:39:19","I","2023-06-13 00:00:00","식용얼음판매업","263665.804910791","487320.679470521","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"13","식용얼음판매업","07_22_21_P","4181000","4181000-111-1996-00001","1996-05-02","","03","폐업","02","폐업","2007-04-09","","","","","17.02","","강원특별자치도 춘천시 퇴계동 370-7","","","제일얼음","2007-10-09 11:20:35","I","2023-06-13 00:00:00","식용얼음판매업","264117.188010111","484756.191586825","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"14","식용얼음판매업","07_22_21_P","4181000","4181000-111-1996-00002","1996-06-26","","03","폐업","02","폐업","2007-02-08","","","","033 2570094","36.00","","강원특별자치도 춘천시 후평동 692-15","","","세원얼음","2002-06-21 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","265665.873522151","486806.791033455","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"15","식용얼음판매업","07_22_21_P","4191000","4191000-111-2000-00001","2000-05-23","","03","폐업","02","폐업","2023-04-12","","","","033 7638161","","","강원특별자치도 원주시 단구동 206-8","","","대원얼음","2023-04-12 14:23:10","I","2023-06-13 00:00:00","식용얼음판매업","","","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"16","식용얼음판매업","07_22_21_P","4191000","4191000-111-2001-00001","2001-04-27","","03","폐업","02","폐업","2002-02-25","","","","033 7457667","","","강원특별자치도 원주시 단계동 790-4","","","NEW 대원","2001-11-22 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","282923.827407052","427443.530048229","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"17","식용얼음판매업","07_22_21_P","4191000","4191000-111-2004-00001","2004-04-29","","03","폐업","02","폐업","2013-03-14","","","","033 7458887","13.06","","강원특별자치도 원주시 학성동 1163","강원특별자치도 원주시 원일로 296 (학성동)","26413","원주어름","2004-07-07 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","","","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"18","식용얼음판매업","07_22_21_P","4191000","4191000-111-2007-00001","2007-06-18","","03","폐업","02","폐업","2007-07-23","","","","","15.00","","강원특별자치도 원주시 태장동 1394-2 영복마트내","","","영복마트","2007-06-18 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","284050.120598476","431422.05520089","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"19","식용얼음판매업","07_22_21_P","4191000","4191000-111-2007-00002","2007-06-20","","03","폐업","02","폐업","2007-07-24","","","","","6.00","","강원특별자치도 원주시 소초면 장양리 815-8 썬마트 내","","","썬정육점","2007-06-20 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","284804.609293858","434796.815835755","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"20","식용얼음판매업","07_22_21_P","4191000","4191000-111-2007-00003","2007-06-21","","03","폐업","02","폐업","2007-07-24","","","","","15.00","","강원특별자치도 원주시 개운동 409","","","영복마트(개운점)","2007-06-21 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","284875.501476941","426760.435962397","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"21","식용얼음판매업","07_22_21_P","4191000","4191000-111-2007-00004","2007-08-27","","03","폐업","02","폐업","2010-03-17","","","","","18.17","","강원특별자치도 원주시 단계동 599-1","","","오성얼음","2007-10-11 11:09:03","I","2023-06-13 00:00:00","식용얼음판매업","281960.377971815","428638.365487763","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"22","식용얼음판매업","07_22_21_P","4201000","4201000-111-1995-00001","1995-06-12","","03","폐업","02","폐업","2007-01-30","","","","","6.21","","강원특별자치도 강릉시 성남동 50 중앙시장","","","강릉얼음종합직매장","2002-06-10 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","367255.878725242","474087.754397503","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"23","식용얼음판매업","07_22_21_P","4201000","4201000-111-2002-00001","2002-08-06","","03","폐업","02","폐업","2007-01-25","","","","","15.20","","강원특별자치도 강릉시 성남동 50 중앙시장 지하동 78,79호","","","명진얼음","2007-03-29 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","367255.878725242","474087.754397503","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"24","식용얼음판매업","07_22_21_P","4201000","4201000-111-1968-00001","1968-04-19","","03","폐업","02","폐업","2007-01-26","","","","","","","강원특별자치도 강릉시 금학동 27","","","안흥빙설","2002-06-24 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","","","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"25","식용얼음판매업","07_22_21_P","4201000","4201000-111-1979-00002","1979-02-26","","03","폐업","02","폐업","2004-01-31","","","","","","","강원특별자치도 강릉시 강문동 237","","","강릉상점","2007-01-24 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","","","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"26","식용얼음판매업","07_22_21_P","4201000","4201000-111-1979-00001","1979-05-16","","03","폐업","02","폐업","2007-02-02","","","","","","","강원특별자치도 강릉시 남문동 7","","","강릉얼음","2007-02-02 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","","","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"27","식용얼음판매업","07_22_21_P","4201000","4201000-111-1991-00002","1980-05-02","","03","폐업","02","폐업","2006-08-16","","","","","","","강원특별자치도 강릉시 성남동 50","","","중앙시장얼음창고","2007-01-24 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","367255.878725242","474087.754397503","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"28","식용얼음판매업","07_22_21_P","4231000","4231000-111-2011-00001","2011-07-04","","03","폐업","02","폐업","2014-11-07","","","","","16.40","","강원특별자치도 속초시 중앙동 503-76","강원특별자치도 속초시 중앙시장로 37 (중앙동)","24827","하얀얼음","2011-07-04 12:21:55","I","2023-06-13 00:00:00","식용얼음판매업","339010.209573897","523850.793075342","식용얼음판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","16.4","","","",
"29","식용얼음판매업","07_22_21_P","4251000","4251000-111-2001-00001","1989-07-21","","03","폐업","02","폐업","2003-08-09","","","","033 4320188","","","강원특별자치도 홍천군 홍천읍 희망리 71-1","","","명훈어름집","2003-02-28 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","278046.642108634","466038.993822717","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"30","식용얼음판매업","07_22_21_P","4251000","4251000-111-1990-00001","1990-04-16","","03","폐업","02","폐업","2003-08-09","","","","","","","강원특별자치도 홍천군 홍천읍 진리 21-2","","","창호상사","2001-10-04 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","278489.952669532","465835.408451459","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"31","식용얼음판매업","07_22_21_P","4251000","4251000-111-1991-00001","1991-06-13","","03","폐업","02","폐업","2005-02-03","","","","033 4331031","","","강원특별자치도 홍천군 홍천읍 진리 68","","","대종얼음","2001-10-04 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","","","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"32","식용얼음판매업","07_22_21_P","4251000","4251000-111-2001-00002","2001-05-29","","03","폐업","02","폐업","2005-05-04","","","","033 4348740","","","강원특별자치도 홍천군 홍천읍 갈마곡리 535-1","","","평생낚시얼음판매소","2001-10-04 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","278777.915754695","466128.41030407","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"33","식용얼음판매업","07_22_21_P","4311000","4311000-111-1977-00001","1977-07-26","","03","폐업","02","폐업","2007-05-04","","","","033 4422075","","","강원특별자치도 화천군 화천읍 하리 00","","","화신얼음","2001-07-23 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","","","식용얼음판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"34","식용얼음판매업","07_22_21_P","4321000","4321000-111-2001-00001","2001-10-22","","03","폐업","02","폐업","2014-12-16","","","","033 4820987","","","강원특별자치도 양구군 양구읍 상리 252-11","강원특별자치도 양구군 양구읍 중심로 146","24545","스피드 유통","2001-10-22 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","286900.567546419","511654.740673395","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"35","식용얼음판매업","07_22_21_P","4351000","4351000-111-2001-00001","2001-05-28","","03","폐업","02","폐업","2005-01-27","","","","033 6724040","","","강원특별자치도 양양군 양양읍 연창리 183","","","홈마트(양양점)","2003-01-06 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","342684.15915935","509639.973356673","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"36","식용얼음판매업","07_22_21_P","4351000","4351000-111-2001-00002","2001-05-28","","03","폐업","02","폐업","2005-01-27","","","","022 6724040","","","강원특별자치도 양양군 양양읍 남문리 241-5","","","홈마트(양양점)","2003-01-06 00:00:00","I","2023-06-13 00:00:00","식용얼음판매업","342174.703688994","509000.410204056","식용얼음판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
