"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","점포구분명",
"1","대규모점포","08_25_01_P","4181000","1983418001607514012","1983-03-30","","01","영업/정상","1","정상영업","","","","","033 2421561","5544.6","200-954","강원특별자치도 춘천시 효자1동 684번지 11호","강원특별자치도 춘천시 공지로 367 (효자동)","200-954","사단법인 춘천남부시장조합","2025-10-24 15:07:20","U","2025-10-26 02:40:00","복합쇼핑몰","263776.104141899","485573.469431416","대규모점포",
"2","대규모점포","08_25_01_P","4181000","1985418001607500010","1985-01-21","","01","영업/정상","1","정상영업","","","","","033 2547320","7141.98","200-050","강원특별자치도 춘천시 죽림동 32번지","강원특별자치도 춘천시 약사고개길 13 (죽림동, 제일시장)","200-050","제일시장","2025-06-30 11:25:00","U","2025-07-02 02:40:00","그 밖의 대규모점포","263815.717679964","486351.132414808","대규모점포",
"3","대규모점포","08_25_01_P","4181000","2009418016607500001","2009-11-27","","01","영업/정상","1","정상영업","","","","","033-248-7016","9687.55","200-070","강원특별자치도 춘천시 조양동 34번지","강원특별자치도 춘천시 금강로 68-9 (조양동)","200-942","(주)메가마트 엠 춘천점","2024-12-30 17:48:05","U","2025-01-03 02:40:00","백화점","264033.833068137","486464.959442249","대규모점포",
"4","대규모점포","08_25_01_P","4181000","2010418016607500001","2010-02-04","","01","영업/정상","1","정상영업","","","","","033 240 2500","14598.79","200-190","강원특별자치도 춘천시 온의동 6번지 25호","강원특별자치도 춘천시 방송길 84 (온의동, 롯데마트 춘천점)","200-937","롯데쇼핑(주)롯데마트 춘천점","2025-05-16 08:55:27","U","2025-05-18 02:40:00","대형마트","263109.175778889","485355.40305733","대규모점포",
"5","대규모점포","08_25_01_P","4181000","2010418016607500002","2010-03-11","","01","영업/정상","1","정상영업","","","","","033-269-8000","12426","200-943","강원특별자치도 춘천시 퇴계동 141번지","강원특별자치도 춘천시 김유정로 1840 (퇴계동, 홈플러스 춘천점)","200-943","홈플러스(주)춘천점","2024-03-05 19:20:31","U","2024-03-07 02:40:00","대형마트","264597.191878957","483368.29049207","대규모점포",
"6","대규모점포","08_25_01_P","4181000","2010418016607500003","2010-06-01","","01","영업/정상","1","정상영업","","","","","033-260-7781","6272","","강원특별자치도 춘천시 석사동 27-2 롯데마트 석사점","강원특별자치도 춘천시 세실로 108, 롯데마트 석사점 (석사동)","24315","롯데쇼핑(주)롯데마트 석사점","2025-05-16 08:55:56","U","2025-05-18 02:40:00","대형마트","266737.880921009","485159.020559127","대규모점포",
"7","대규모점포","08_25_01_P","4181000","1988418016607500001","1988-04-14","","01","영업/정상","1","정상영업","","","","","033-254-2235","4045","200-080","강원특별자치도 춘천시 운교동 183번지","강원특별자치도 춘천시 동부시장길 8 (운교동, 동부시장)","200-080","춘천동부시장","2024-04-16 10:10:46","U","2024-04-18 02:40:00","그 밖의 대규모점포","264518.245047485","486328.376714699","대규모점포",
"8","대규모점포","08_25_01_P","4181000","1995418001607500004","1995-05-23","","01","영업/정상","1","정상영업","","","","","033 2526581","","","강원특별자치도 춘천시 효자동 641번지 5   호","","","벨몽드","2007-07-21 10:12:48","I","2023-06-13 00:00:00","대형마트","","","",
"9","대규모점포","08_25_01_P","4181000","1996418001607500003","2020-03-05","","01","영업/정상","1","정상영업","","","","","033 2435588","3493.65","200-943","강원특별자치도 춘천시 퇴계동 381번지 1호","강원특별자치도 춘천시 영서로 2195 (퇴계동)","200-943","롯데슈퍼 춘천점","2023-04-28 11:18:24","I","2023-06-13 00:00:00","구분없음","264048.38885859","484444.290618198","준대규모점포",
"10","대규모점포","08_25_01_P","4181000","1997418001607500001","1997-08-08","","01","영업/정상","1","정상영업","","","","","033 2607000","","","호","","","LG마트춘천점","2007-07-21 10:12:48","I","2023-06-13 00:00:00","대형마트","","","",
