"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"1","전력기술설계업체","09_28_13_P","6530000","201664200008500003","2016-03-15","","01","영업/정상","1","인허가","","","","","0337354001","","26387","강원특별자치도 원주시 무실동 1720-1 경남빌딩 702호","강원특별자치도 원주시 만대로 53, 경남빌딩 702호(무실동)","26387","주식회사 바셈엔지니어링","2022-11-18 17:54:28","I","2023-06-13 00:00:00","","281541.451025346","426904.182637282","설계업","전문설계업1종","","30000000",
"2","전력기술설계업체","09_28_13_P","6530000","201564200008500001","2015-01-07","","01","영업/정상","1","인허가","","","","","","","24232","강원특별자치도 춘천시 후평동 558-1 춘천하이테크타워 706,707호","강원특별자치도 춘천시 후석로420번길 7, 춘천하이테크타워 7층 706,707호(후평동)","24232","주식회사 다올이엔지","2022-11-15 16:36:19","I","2023-06-13 00:00:00","","265474.842593179","487512.552718902","설계업","전문설계업1종","","50208000",
"3","전력기술설계업체","09_28_13_P","6530000","201564200008500002","2015-02-23","","01","영업/정상","1","인허가","","","","","07049006056","","24854","강원특별자치도 속초시 교동 1022-15","강원특별자치도 속초시 엑스포로2길 18, 4층 (교동)","24854","풀이음이엔지","2023-04-13 14:16:29","I","2023-06-13 00:00:00","","","","설계업","전문설계업2종","","52433320",
"4","전력기술설계업체","09_28_13_P","6530000","201564200008500003","2015-07-03","","01","영업/정상","1","인허가","","","","","0337427797","","","강원특별자치도 원주시 단구동 1550번지 1호 단구동, 백림빌딩 302호","강원특별자치도 원주시 천매봉길 36-22, 3층 302호 (단구동,단구동,백림빌딩)","26483","주식회사 일신이앤씨","2023-04-06 13:20:42","I","2023-06-13 00:00:00","","283550.019671907","425070.26290751","설계업","전문설계업1종","","50515400",
"5","전력기술설계업체","09_28_13_P","6530000","200964200008500004","2009-02-24","","01","영업/정상","1","인허가","","","","2019-11-28","0337495204","","","강원특별자치도 원주시 반곡동 2049번지 2호","강원특별자치도 원주시 혁신로 2 (반곡동)","26466","한국도로교통공단","2024-12-15 13:16:21","U","2024-12-17 02:40:00","","286366.823592193","425148.906223354","설계업","전문설계업2종","대한민국","0",
"6","전력기술설계업체","09_28_13_P","6530000","201764200008500001","2017-07-07","","01","영업/정상","1","인허가","","","","","0336425956","","","","강원특별자치도 강릉시 강릉대로 123 (교동)","25506","신호ENG","2022-07-28 10:05:06","I","2023-06-13 00:00:00","","365968.225975759","474305.646798131","설계업","전문설계업1종","","10000000",
"7","전력기술설계업체","09_28_13_P","6530000","201764200008500002","2017-08-17","","01","영업/정상","1","인허가","","","","","0335760319","","","강원특별자치도 삼척시 남양동 5번지 4호","강원특별자치도 삼척시 봉황로 97 (남양동)","25922","(주)동남엔지니어링","2017-08-17 12:47:23","I","2023-06-13 00:00:00","","392082.513216988","440470.540929679","설계업","전문설계업2종","","12121200",
"8","전력기술설계업체","09_28_13_P","6530000","201864200008500001","2018-05-16","","01","영업/정상","1","인허가","","","","","0332610204","","24408","강원특별자치도 춘천시 동내면 학곡리 265-3","강원특별자치도 춘천시 동내면 학곡서길 10","24408","주식회사 오성이엔씨","2025-09-29 17:32:32","U","2025-10-01 02:40:00","","266868.883852143","481464.181782804","설계업","전문설계업1종","","100000000",
"9","전력기술설계업체","09_28_13_P","6530000","201864200008500002","2018-07-06","","01","영업/정상","1","인허가","","","","","0337354745","","26437","강원특별자치도 원주시 단계동 1116-3 모닝프라자2 501호","강원특별자치도 원주시 천사로 24, 모닝프라자2 501호 (단계동)","26437","(주)서광엔지니어링","2018-07-06 16:08:47","I","2023-06-13 00:00:00","","282157.709732191","427714.288179997","설계업","전문설계업1종","","1000000000",
"10","전력기술설계업체","09_28_13_P","6530000","201864200008500003","2018-07-31","","01","영업/정상","1","인허가","","","","","0334631537","","24632","강원특별자치도 인제군 인제읍 상동리 295-3","강원특별자치도 인제군 인제읍 비봉로 10-2, 2층","24632","(주)정원엔지니어링","2021-10-06 10:32:41","I","2023-06-13 00:00:00","","302811.057917138","507908.423334437","설계업","전문설계업1종","","200000000",
