"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"1","특정고압가스업","09_28_14_P","4181000","2023418109312200001","2023-07-26","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 춘천시 효자동 192-1","강원특별자치도 춘천시 강원대학길 1, 자연과학대학1호관 117호 (효자동)","24341","강원대학교","2023-07-26 14:05:01","I","2023-07-28 00:18:47","","265481.557982219","485420.871953344","연구실 실험용","(금속산화물 반도체를 금속질화물로 합성)","4","0","",
"2","특정고압가스업","09_28_14_P","4181000","2018418028612200002","2018-07-18","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 춘천시 동면 만천리 811-5","강원특별자치도 춘천시 동면 세실로 252","24216","춘천시노인전문병원","2018-07-18 13:02:59","I","2023-06-13 00:00:00","","266472.713057028","486655.634360717","의료용","의료용산소 중앙공급","2500","166","",
"3","특정고압가스업","09_28_14_P","4181000","2018418028612200003","2018-10-01","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 춘천시 온의동 513-3 강남병원","강원특별자치도 춘천시 경춘로 2364, 강남병원 (온의동)","24436","의료법인 강남의료재단 강남병원","2018-10-01 15:28:39","I","2023-06-13 00:00:00","","263363.74960516","484877.145433762","병원 내 의료용","배관","3000","187","",
"4","특정고압가스업","09_28_14_P","4181000","2018418032312200001","2018-10-23","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 춘천시 석사동 166","강원특별자치도 춘천시 영서로 1925-9 (석사동)","24416","토마스요양병원","2018-10-23 17:54:43","I","2023-06-13 00:00:00","","266376.227610157","482956.40574868","병원 내 의료용","배관을 통한 산소 공급","115","144","",
"5","특정고압가스업","09_28_14_P","4181000","2023418040412200001","2023-03-03","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 춘천시 신동면 증리 산 85-4","강원특별자치도 춘천시 신동면 경춘로 1960-61","24412","제1137부대","2023-03-03 16:09:19","I","2023-06-13 00:00:00","","","","예하부대보급용(용접절단용)","용기","0","0","",
"6","특정고압가스업","09_28_14_P","4181000","2003418001602700001","2003-09-22","","01","영업/정상","BBBB","","","","","","000000000000","","","강원특별자치도 춘천시 신동 산 10-1","","","국군 춘천병원","2016-02-18 09:04:06","I","2023-06-13 00:00:00","","","","의료용","기체산소 사용","0","0","",
"7","특정고압가스업","09_28_14_P","4181000","2006418015502700001","2006-11-01","","01","영업/정상","BBBB","","","","","","033 2622558","","","강원특별자치도 춘천시 신동면 증리 114-15","","","육군 제 1137부대","2006-11-01 00:00:00","I","2023-06-13 00:00:00","","","","부대관리 및 정비용가스","","300","3","",
"8","특정고압가스업","09_28_14_P","4181000","2006418015502700002","2006-12-19","","01","영업/정상","BBBB","","","","","","033 2440130","","","강원특별자치도 춘천시 신동 산 10-1","","","182의무 보급정비대","2006-12-19 00:00:00","I","2023-06-13 00:00:00","","","","의료용","용기사용","10","2","",
"9","특정고압가스업","09_28_14_P","4181000","2008418016612200001","2008-09-18","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 춘천시 신동면 증리 114-25","","","제1137부대","2008-09-18 11:33:57","I","2023-06-13 00:00:00","","","","예하부대보급용","용기에 의한 공급","300","100","",
"10","특정고압가스업","09_28_14_P","4181000","2012418023112200001","2012-03-07","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 춘천시 우두중리길34번길 15 (우두동)","","강원도 재활병원","2012-05-08 08:58:37","I","2023-06-13 00:00:00","","265127.403373382","489410.028344165","환자 치료용","액체산소를 기화시켜 배관이송 및 환자호흡에 사용","28","60","",
"11","특정고압가스업","09_28_14_P","4181000","2012418023112200002","2012-09-13","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 춘천시 효자동 17-1","강원특별자치도 춘천시 백령로 156 (효자동)","","강원대학병원","2012-09-13 10:09:23","I","2023-06-13 00:00:00","","265438.256393839","486072.554860519","의료용산소","배관으로 병동에 산소공급","20","400","",
"12","특정고압가스업","09_28_14_P","4181000","2016418027912200001","2016-05-04","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 춘천시 동면 장학리 748-2","","","장학수산","2016-05-09 15:28:51","I","2023-06-13 00:00:00","","266064.599330358","489253.383703174","양식용","장어 양식용","4000","1","",
"13","특정고압가스업","09_28_14_P","4181000","2024418109312200001","2024-10-17","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 춘천시 효자동 192-1 강원대학교","강원특별자치도 춘천시 강원대학길 1, 강원대학교 (효자동)","24341","강원대학교","2024-10-17 16:44:10","I","2024-10-19 00:12:30","","265481.557982219","485420.871953344","분석 실험용","용기","41.8","0","",
"14","특정고압가스업","09_28_14_P","4191000","1996419007902700001","2004-12-01","","01","영업/정상","BBBB","","","","","","033 7412537","","","강원특별자치도 원주시 문막읍 동화리 1443-1","강원특별자치도 원주시 문막읍 동화공단로 236","","원주시수도사업소남부지소","2004-12-01 00:00:00","I","2023-06-13 00:00:00","","273206.496029052","426480.902397865","상수도정수용","","0","0","",
"15","특정고압가스업","09_28_14_P","4191000","1996419007902700002","1996-05-22","","01","영업/정상","BBBB","","","","","","033 7425947","","","강원특별자치도 원주시 문막읍 건등리 303-2","","","(주)도루코","2016-04-29 10:30:17","I","2023-06-13 00:00:00","","","","공업용","","0","0","",
"16","특정고압가스업","09_28_14_P","4191000","1998419007902700001","1998-11-20","","01","영업/정상","BBBB","","","","","","033 7474900","","","강원특별자치도 원주시 소초면 의관리 56-2","강원특별자치도 원주시 소초면 북원로 3356","","대우자동차(주)원주정비사업소","2007-12-10 16:44:31","I","2023-06-13 00:00:00","","286558.175334463","437538.167689142","차량수리","2007.11.28. 저장소 폐지
2007.12.03.폐지신고 수리","100","100","",
"17","특정고압가스업","09_28_14_P","4191000","2001419007902700001","2001-09-14","","01","영업/정상","BBBB","","","","","","033 7324090","","","강원특별자치도 원주시 부론면 노림리 924-1","","","(주)유진건철","2001-09-14 00:00:00","I","2023-06-13 00:00:00","","","","용접","","1500","50","",
"18","특정고압가스업","09_28_14_P","4191000","2002419007902700001","2002-11-01","","01","영업/정상","BBBB","","","","","","033 7474900","","","강원특별자치도 원주시 소초면 의관리 56-2","강원특별자치도 원주시 소초면 북원로 3356","","지엠대우자동차기술(주)원주정비사업소","2007-12-10 16:59:22","I","2023-06-13 00:00:00","","286558.175334463","437538.167689142","차량수리","2007.11.28. 저장소 폐지
2007.12.03. 폐지신고 수리","100","100","",
"19","특정고압가스업","09_28_14_P","4191000","2010419019812200001","2010-01-07","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 소초면 수암리 797-5 조양병원","강원특별자치도 원주시 소초면 치악로 2473  (조양병원)","","의료법인 조양의료재단","2010-03-16 15:28:32","I","2023-06-13 00:00:00","","287120.448723312","432848.690174154","입원 환자의 산소호흡기용","산소탱크에 저장된 산소가스를 배관을 통하여 호흡기용으로 사용","2000","300","",
"20","특정고압가스업","09_28_14_P","4191000","2013419019812200001","2013-12-12","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 원주시 고문골길 54 (행구동)","","원주공업고등학교","2013-12-12 14:33:45","I","2023-06-13 00:00:00","","289154.571040325","426840.290329633","용접교육","용접","48","10","",
