"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수영향조사기관","09_29_02_P","4181000","S001401110006202L00","2018-08-30","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 석사동 664","강원특별자치도 춘천시 후석로 44, 3층 (석사동)","24387","(주)동서엔지니어링","2023-03-10 16:56:25","I","2023-06-13 00:00:00","","265225.168616533","484221.188490755","3","0","지하수수위측정장비(P10/N3/250m)
간이수질측정기(HI-9829)","0",
"2","지하수영향조사기관","09_29_02_P","4181000","S001401110005676L00","1997-10-10","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 중앙로3가 66-14","","","(주)세신","2023-12-06 15:09:28","U","2023-12-08 02:40:00","","263390.344283278","486177.855056075","3","0","1. 자동측정장비 1
2. 수위측정센서기  1
3. 전기전도도 및 수온측정기 2","0",
"3","지하수영향조사기관","09_29_02_P","4181000","S003436600238000000","2022-04-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 퇴계동 902-4","강원특별자치도 춘천시 행촌로32번길 5-9, 2층 (퇴계동)","24442","중명기술사사무소","2022-04-12 09:01:23","I","2023-06-13 00:00:00","","263711.7","484353.665","3","0","지하수 수위측정장비 3개 : 수동측정 1개, 자동측정 2개
수소이온농도(pH) 측정장비 1개, 수온 및 전기전도도 측정장비 1개","0",
"4","지하수영향조사기관","09_29_02_P","4181000","S001345110042826L00","2015-07-31","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 공지로 57-11 (근화동, kt남춘천사옥 2층)","","(주)우경종합건설","2015-07-31 15:45:07","I","2023-06-13 00:00:00","","266027.910955951","483485.142338829","3","0","지하수수위 측정기
수소이온농도 수온 전기전도도 측정기","0",
"5","지하수영향조사기관","09_29_02_P","4181000","S001401110053443L00","2016-01-25","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 효자동 192-1 강원대학교","","","(주)비어스","2024-05-27 09:47:08","U","2024-05-29 02:40:00","","265481.557982219","485420.871953344","4","0","지하수수위측정기
수소이온농도
수온측정기
전기전도도측정기","0",
"6","지하수영향조사기관","09_29_02_P","4181000","S001101115987180L00","2016-12-12","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 충혼길52번길 10, 드림타워 304호 (온의동)","24437","(주)싱크워터","2024-04-25 13:23:24","U","2024-04-27 02:40:00","","","","3","0","장비 : 지하수위측정장비(고유번호 DI802DG925), 다항목수질측정기(HI991301) (고유번호 TA01410296)","0",
"7","지하수영향조사기관","09_29_02_P","4181000","S001401110091691L00","2023-03-29","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 온의동 513 한국교직원공제회강원회관","","","(주)지케이엔지니어링건축사사무소","2025-01-24 10:22:42","U","2025-01-26 02:40:00","","263372.793218163","484940.547073482","3","0","지하수수위측정기(50, 100m / OTT)
수질측정기 (D-74A-NS / HRIBA) 
  -  pH, 수온, 전기전도도","0",
"8","지하수영향조사기관","09_29_02_P","4181000","S001401110038304L00","2009-04-07","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 효자동 192-1 강원대 자연과학대 3호관 406호","강원특별자치도 춘천시 강원대학길 1 (효자동,강원대 자연과학대 3호관 406호)","","(주)지오쓰리에코","2011-04-25 17:01:04","I","2023-06-13 00:00:00","","265481.557982219","485420.871953344","4","0","수위측정기,전기전도도,수온측정기,PH측정기","0",
"9","지하수영향조사기관","09_29_02_P","4191000","S001351110048251L00","1999-04-13","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 우산동 479-13 기계공구상가 나동 202호","강원특별자치도 원주시 우산로 278-1 (우산동)","","지오엔지니어링(주)","2011-10-30 13:20:12","I","2023-06-13 00:00:00","","283118.278360975","431707.007702164","3","0","지하수위측정기1대,
수소이온농도1대,
수온1대,
전기전도도1대","0",
"10","지하수영향조사기관","09_29_02_P","4191000","S001412130004697L00","2017-03-02","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 태장동 725-19","강원특별자치도 원주시 치악로 1990-1 (태장동)","26323","(자)지엔테크","2017-03-03 09:18:45","I","2023-06-13 00:00:00","","284789.733360777","428862.206407839","5","0","천공기:CE-0151
수위측정기:WLM(100m)
포켓용PH,온도,전도도TDS,염도측정기:7200","0",
"11","지하수영향조사기관","09_29_02_P","4191000","S001341110092994L00","2018-06-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 단구동 1550-1","강원특별자치도 원주시 천매봉길 36-22, 302호 (단구동)","26483","(주)일신이앤씨","2023-04-04 17:55:26","I","2023-06-13 00:00:00","","283550.019671907","425070.26290751","2","0","지하수 수심측정기:1대(WL50M)
지하수 수질측정기:1대(HM-501)","0",
"12","지하수영향조사기관","09_29_02_P","4191000","S001412130006586L00","2018-07-09","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 단구동 139-11","강원특별자치도 원주시 판부면 도매촌길 64","","합자회사 영진이엔지","2021-06-21 15:28:20","I","2023-06-13 00:00:00","","285136.588018994","425291.16701703","3","0","수위/심도측정기  1대
전기전도측정기   1대(HI8033)
수질측정기         1대(HI8014)","0",
"13","지하수영향조사기관","09_29_02_P","4191000","S001412110146097L00","2025-10-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 A동 513호 (반곡동)","26460","㈜한울디앤비","2025-10-27 13:38:05","I","2025-10-29 00:20:02","","286650.196160256","425529.258545694","9","0","지하수위측정기,수질측정기","0",
"14","지하수영향조사기관","09_29_02_P","4201000","S001412110033814L00","2023-09-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 홍제동 637-13 에스클레스 3동 401호","강원특별자치도 강릉시 사임당로 129, 에스클레스 3동 4층 401호 (홍제동)","25520","(주)한국대체에너지","2023-09-12 13:20:02","U","2023-09-14 02:40:00","","364346.294653528","474274.181548216","3","0","수위측정기,수소이온농도(pH) 및 전기전도도 측정기,수온측정기","0",
