"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","폐기물처리업구분명","폐기물처리업별처리구분명","폐기물구분명","허용보관량","허용보관량내용",
"1","건설폐기물처리업","09_30_05_P","4181000","418100092201000001","2012-05-18","","03","폐업","2","폐업","2012-05-18","","","","","","","","강원특별자치도 춘천시 후만로126번길 10 (후평동)","24307","영서중기","2017-12-12 10:47:07","I","2023-06-13 00:00:00","","266656.016896446","486282.600764115","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"2","건설폐기물처리업","09_30_05_P","4181000","418100092201100003","2021-01-04","","03","폐업","2","폐업","2023-12-29","","","","033-262-0454","","","강원특별자치도 춘천시 신동면 혈동리 65-1","강원특별자치도 춘천시 신동면 김유정로 701-13","24411","삼호건설(주)아스콘춘천지점","2023-12-29 13:37:02","U","2025-02-28 18:26:33","","262799.054155448","474190.265812429","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","7098","",
"3","건설폐기물처리업","09_30_05_P","4181000","418100092201200001","2018-11-26","","03","폐업","2","폐업","2018-11-26","","","","033-262-5122","","200-812","강원특별자치도 춘천시 신동면 정족리 563","강원특별자치도 춘천시 신동면 정족길 175 (1동 103호)","200-812","(주)우창건설중기","2018-11-26 13:18:49","U","2025-02-28 18:26:33","","264504.433469117","482154.319685551","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"4","건설폐기물처리업","09_30_05_P","4181000","418100092201900002","2023-07-25","","03","폐업","2","폐업","2023-07-25","","","","033-252-7200","","","강원특별자치도 춘천시 신동면 증리 369-1","강원특별자치도 춘천시 신동면 김유정로 1391, 201호","24412","강원건설중기(주)","2023-09-05 15:07:59","U","2025-02-28 18:26:33","","262756.426976407","479555.955659144","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"5","건설폐기물처리업","09_30_05_P","4181000","418100092202000001","2020-03-25","","03","폐업","2","폐업","2024-03-12","","","","033-263-5487","","","강원특별자치도 춘천시 동내면 고은리 568-31","강원특별자치도 춘천시 동내면 고은길 84-59","24399","명일에코(주)춘천지점","2024-03-12 17:54:37","U","2025-02-28 18:26:33","","267722.048030107","482530.466911476","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"6","건설폐기물처리업","09_30_05_P","4181000","418100092200100004","2011-10-25","","03","폐업","2","폐업","2011-10-25","","","","0332564427","","200-853","강원특별자치도 춘천시 동면 장학리 648-9","강원특별자치도 춘천시 동면 소양강로 244","24210","(합)청명산업","2025-08-25 15:14:02","U","2025-08-27 02:40:00","","265808.299203741","489841.681109613","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"7","건설폐기물처리업","09_30_05_P","4181000","418100092200300001","2020-03-27","","03","폐업","2","폐업","2023-11-07","","","","033-264-9130","","200-180","","강원특별자치도 춘천시 경춘로 2137 (온의동, 영서화물빌딩 3층)","200-938","호반중기산업","2023-11-08 09:36:38","U","2025-02-28 18:26:33","","262783.432266062","482789.516811151","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"8","건설폐기물처리업","09_30_05_P","4181000","418100092200500004","2013-10-17","","03","폐업","2","폐업","2013-10-17","","","","0332410238","","200-931","강원특별자치도 춘천시 근화동 474-9","강원특별자치도 춘천시 소양로 23  (근화동)","","춘일환경실업","2013-10-17 11:16:39","U","2025-02-28 18:26:33","","262938.798755876","486443.694547654","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"9","건설폐기물처리업","09_30_05_P","4181000","418100092200600004","2022-11-18","","03","폐업","2","폐업","2023-12-12","","","","0332544966","","","강원특별자치도 춘천시 퇴계동 891-3","강원특별자치도 춘천시 춘주로 135 (퇴계동)","24441","청일중기","2023-12-12 17:34:08","U","2025-02-28 18:26:33","","263611.143246504","484350.139346725","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"10","건설폐기물처리업","09_30_05_P","4181000","418100092200100003","2001-12-15","","03","폐업","2","폐업","2024-06-05","","","","033-256-6400","","200-963","강원특별자치도 춘천시 후평동 873-1","강원특별자치도 춘천시 후만로126번길 10 (후평동)","200-963","영서중기","2024-06-05 18:18:12","U","2024-06-08 02:40:00","","266656.016896446","486282.600764115","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"11","건설폐기물처리업","09_30_05_P","4181000","418100092200700012","2018-09-19","","03","폐업","2","폐업","2018-09-19","","","","0332642727","","","강원특별자치도 춘천시 신동면 정족리 563","강원특별자치도 춘천시 신동면 정족길 175","24412","세보건기","2018-09-19 14:23:24","U","2025-02-28 18:26:33","","264504.433469117","482154.319685551","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"12","건설폐기물처리업","09_30_05_P","4181000","418100092200700014","2007-10-29","","03","폐업","2","폐업","2007-10-29","","","","","","200-949","강원특별자치도 춘천시 효자동 686","강원특별자치도 춘천시 춘천로68번길 16  (효자동)","","동화산업","2007-10-29 18:02:19","I","2023-06-13 00:00:00","","263823.716515124","485491.037562808","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"13","건설폐기물처리업","09_30_05_P","4181000","418100092200900001","2009-09-02","","01","영업/정상","BBBB","영업","","","","","0336445882","","210-852","강원특별자치도 강릉시 사천면 산대월리 544-3","강원특별자치도 강릉시 사천면 지재길 20","","(주)강릉산업","2010-01-28 16:33:11","I","2023-06-13 00:00:00","","363979.880190304","479761.382321867","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","20074","",
