"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199800003","1998-04-15","","02","휴업","1","휴업","","2013-01-02","2013-01-02","","","","200-853","강원특별자치도 춘천시 동면 지내리 231-10","강원특별자치도 춘천시 동면 가산로 95-11","","민한엔지니어링(주)","2012-01-27 09:49:26","I","2023-06-13 00:00:00","","268594.888460885","490283.04774684","분뇨등설계시공업관리","","","","","0","","0",
"2","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054200700001","2007-10-30","","01","영업/정상","11","영업","","","","","0332548600","","200-853","강원특별자치도 춘천시 동면 장학리 224-2","강원특별자치도 춘천시 동면 춘천로 514","","(주)호반환경건설","2021-04-30 17:19:48","U","2024-10-18 02:40:00","","266910.442508995","488303.779835994","분뇨등설계시공업관리","","","","","0","","0",
"3","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054201200001","2012-10-17","","01","영업/정상","11","영업","","","","","033-243-4507","","200-240","강원특별자치도 춘천시 신동 1206-4","강원특별자치도 춘천시 신샘밭로 227 (신동)","","조은환경","2022-01-26 11:29:34","U","2025-07-29 02:40:00","","264642.097138803","491368.825772472","분뇨등설계시공업관리","","","","","0","","0",
"4","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199000001","1990-08-20","","03","폐업","2","폐업","2003-12-15","","","","033 2566000","","200-090","강원특별자치도 춘천시 효자동 709","강원특별자치도 춘천시 공지로 289  (효자동)","","(주)대양","2007-01-19 09:22:54","U","2025-07-29 02:40:00","폐기물 처리 및 오염방지시설 건설업","264417.559626624","485150.06239761","분뇨등설계시공업관리","폐기물 처리 및 오염방지시설 건설업","","","","0","","0",
"5","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199000002","1990-08-20","","03","폐업","2","폐업","2012-10-31","","","","2566000","","200-090","강원특별자치도 춘천시 효자동 709","강원특별자치도 춘천시 공지로 289  (효자동)","","(주)대양","2012-10-31 13:25:27","I","2023-06-13 00:00:00","","264417.559626624","485150.06239761","분뇨등설계시공업관리","","","","","0","","0",
"6","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199100001","1991-05-24","","03","폐업","2","폐업","2003-03-31","","","","033 2620464","","200-812","강원특별자치도 춘천시 신동면 혈동리 65-1","강원특별자치도 춘천시 신동면 김유정로 701-13","","삼호건설(주)","2003-04-01 19:01:23","U","2025-07-29 02:40:00","폐기물 처리 및 오염방지시설 건설업","262799.054155448","474190.265812429","분뇨등설계시공업관리","폐기물 처리 및 오염방지시설 건설업","","","","0","","0",
"7","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199800004","1998-06-13","","03","폐업","2","폐업","2013-11-07","","","","0332432533","","200-160","강원특별자치도 춘천시 후평동 734-19","강원특별자치도 춘천시 삭주로 196  (후평동)","","(주)청솔환경건설","2013-11-07 15:24:54","I","2023-06-13 00:00:00","","266086.498127332","487368.018950843","분뇨등설계시공업관리","","","","","0","","0",
"8","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199800005","1998-09-18","","03","폐업","2","폐업","2008-07-14","","","","033 2540890","","200-882","강원특별자치도 춘천시 동내면 학곡리 321-7","강원특별자치도 춘천시 동내면 학곡서3길 20-8","","(합)대한환경건설","2013-11-07 15:27:30","I","2023-06-13 00:00:00","","266649.266952658","481703.038287532","분뇨등설계시공업관리","","","","","0","","0",
"9","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199800006","1998-11-16","","03","폐업","2","폐업","2002-04-30","","","","033 2574425","","200-950","강원특별자치도 춘천시 효자동 708","강원특별자치도 춘천시 공지로 305  (효자동)","","(주)양림건설","2002-05-07 15:04:53","U","2025-07-29 02:40:00","폐기물 처리 및 오염방지시설 건설업","264312.5178044","485239.21704575","분뇨등설계시공업관리","폐기물 처리 및 오염방지시설 건설업","","","","0","","0",
"10","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199800007","1998-11-16","","03","폐업","2","폐업","2005-09-05","","","","033 2623939","","200-944","강원특별자치도 춘천시 퇴계동 857","강원특별자치도 춘천시 퇴계농공로 76  (퇴계동)","","(주)청한","2007-01-19 09:34:17","U","2025-07-29 02:40:00","폐기물 처리 및 오염방지시설 건설업","265273.488231511","482942.342963703","분뇨등설계시공업관리","폐기물 처리 및 오염방지시설 건설업","","","","0","","0",
"11","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199800008","2001-06-16","","03","폐업","2","폐업","2010-07-07","","","","","","200-170","강원특별자치도 춘천시 퇴계동","","","1","2010-07-07 13:38:30","I","2023-06-13 00:00:00","","","","분뇨등설계시공업관리","","","","","0","","0",
"12","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199900001","1999-02-03","","03","폐업","2","폐업","2005-06-22","","","","033 2438353","","200-160","강원특별자치도 춘천시 후평동 685-1","강원특별자치도 춘천시 춘천로269번길 8  (후평동)","","(합)중진건설","2005-06-28 16:55:11","U","2025-07-29 02:40:00","폐기물 처리 및 오염방지시설 건설업","265290.696334271","486706.767283238","분뇨등설계시공업관리","폐기물 처리 및 오염방지시설 건설업","","","","0","","0",
"13","단독정화조/오수처리시설설계시공업","09_30_07_P","4181000","418100054199900002","1999-03-05","","03","폐업","2","폐업","2003-06-03","","","","033 2542555","","200-090","강원특별자치도 춘천시 효자동 700","강원특별자치도 춘천시 효자로 64  (효자동)","","(주)현대기업","2003-06-03 17:43:42","U","2025-07-29 02:40:00","폐기물 처리 및 오염방지시설 건설업","264207.316680753","485434.694504374","분뇨등설계시공업관리","폐기물 처리 및 오염방지시설 건설업","","","","0","","0",
