"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","분뇨수집운반업","09_30_10_P","4181000","418100053199600002","1996-11-22","","03","폐업","2","폐업","2009-07-29","","","","","","200-850","강원특별자치도 춘천시 동면 장학리 446-1","","","넘버원정화조","2017-05-19 11:06:54","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
"2","분뇨수집운반업","09_30_10_P","4181000","418100053199600003","1996-04-16","","03","폐업","2","폐업","2005-04-12","","","","","","200-114","강원특별자치도 춘천시 소양로4가 105-6","","","신대한 기업","2012-09-26 15:15:17","I","2023-06-13 00:00:00","분뇨 처리업","","","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"3","분뇨수집운반업","09_30_10_P","4181000","418100053199600004","1996-12-27","","03","폐업","2","폐업","2016-03-14","","","","033 255 7782","","200-112","강원특별자치도 춘천시 소양로2가 176-1","강원특별자치도 춘천시 소양로163번길 36  (소양로2가)","","춘천위생공사","2017-05-19 12:09:37","I","2023-06-13 00:00:00","","263638.310017837","487720.194405249","분뇨등관련영업관리","","","","","0","","0",
"4","분뇨수집운반업","09_30_10_P","4181000","418100053199700001","1997-08-26","","03","폐업","2","폐업","2016-03-14","","","","033 252 4683","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","현대정화조","2017-05-01 14:06:26","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"5","분뇨수집운반업","09_30_10_P","4181000","418100053199700002","1997-11-21","","03","폐업","2","폐업","2017-01-20","","","","033 254 6277","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","샛별정화조","2017-05-22 08:12:38","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"6","분뇨수집운반업","09_30_10_P","4181000","418100053199700003","1997-11-21","","03","폐업","2","폐업","2006-11-09","","","","","","200-850","강원특별자치도 춘천시 동면 장학리 446-1","","","넘버원위생공사","2000-09-29 14:24:53","I","2023-06-13 00:00:00","분뇨 처리업","","","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"7","분뇨수집운반업","09_30_10_P","4181000","418100053199800001","1998-02-12","","03","폐업","2","폐업","2004-12-22","","","","","","200-850","강원특별자치도 춘천시 동면 장학리 466-1","","","강원정화조공사","2017-05-01 15:24:36","I","2023-06-13 00:00:00","분뇨 처리업","","","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"8","분뇨수집운반업","09_30_10_P","4181000","418100053199800002","1998-02-12","","03","폐업","2","폐업","2004-12-23","","","","","","200-850","강원특별자치도 춘천시 동면 장학리 466-1","강원특별자치도 춘천시 동면 소양강로 304-13","","대한정화조공사","2017-05-01 15:21:08","I","2023-06-13 00:00:00","분뇨 처리업","265775.878620187","490445.152383618","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"9","분뇨수집운반업","09_30_10_P","4181000","418100053199800003","1998-02-12","","03","폐업","2","폐업","2004-12-17","","","","","","200-850","강원특별자치도 춘천시 동면 장학리 466-1","","","대한정화조","2017-05-01 16:20:50","I","2023-06-13 00:00:00","분뇨 처리업","","","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"10","분뇨수집운반업","09_30_10_P","4181000","418100053199800004","1998-05-02","","03","폐업","2","폐업","2017-01-20","","","","033-244-1231","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","시민정화조","2017-05-01 14:04:46","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
