"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","스키장","10_36_01_P","4221000","CDFH2302022008000001","2008-12-12","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 태백시 황지동 산 176-28","강원특별자치도 태백시 서학로 861 (황지동, 오투리조트)","26010","오투리조트 스키","2021-03-29 13:42:30","I","2023-06-13 00:00:00","","","","스키장","사립","0","0","0","27897.94","10000","","",
"2","스키장","10_36_01_P","4281000","CDFH2302021981000001","1981-04-07","","01","영업/정상","13","영업중","","","","","033-335-5757","","232-952","강원특별자치도 평창군 대관령면 용산리 2-2","","","용평스키장","2003-06-24 16:37:23","I","2023-06-13 00:00:00","","","","스키장","사립","0","0","0","0","0","","",
"3","스키장","10_36_01_P","4281000","CDFH2302021995000001","1995-12-15","","01","영업/정상","13","영업중","","","","","","","232-922","강원특별자치도 평창군 봉평면 면온리 1098","","","휘닉스파크스키장","2003-06-24 16:42:28","I","2023-06-13 00:00:00","","317059.630017773","454194.674829187","스키장","사립","1","2","0","0","0","","",
"4","스키장","10_36_01_P","6530000","302022006000002","2006-12-11","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 정선군 고한읍 고한리 산 1번지 17호","강원특별자치도 정선군 고한읍 고한7길 399","","하이원 스키리조트","2018-03-27 14:48:02","I","2025-04-10 18:19:27","","363682.230125753","411480.452935215","스키장","","","0","25","61556.21","0","","",
"5","스키장","10_36_01_P","6530000","302022007000001","2007-01-04","","01","영업/정상","1","영업","","","","","","0","","강원특별자치도 평창군 봉평면 면온리 1095번지 1호","강원특별자치도 평창군 봉평면 태기로 174","","휘닉스 스노우파크","2024-10-08 19:22:28","I","2025-04-10 18:19:27","","317177.713905004","454046.509523181","스키장","","","0","21","16614.89","0","","(주)보광",
"6","스키장","10_36_01_P","6530000","302022007000002","2007-01-17","","01","영업/정상","1","영업","","","","","","0","","강원특별자치도 홍천군 서면 팔봉리 산 125번지 16호","강원특별자치도 홍천군 서면 한치골길 262","","비발디파크 스키월드","2025-05-02 14:39:32","U","2025-05-04 02:40:00","","260639.34235408","460468.652029598","스키장","","","0","36","21653.84","0","","㈜소노인터내셔널",
"7","스키장","10_36_01_P","6530000","302022013000001","2013-12-31","","01","영업/정상","1","영업","","","","","","0","","강원특별자치도 원주시 지정면 판대리 577번지 2호","강원특별자치도 원주시 지정면 오크밸리2길 58","","오크밸리 스노우파크","2024-01-12 17:50:42","I","2025-04-10 18:19:27","","272000.036047268","434131.465949678","스키장","","","0","4","6274.26","0","","에이치디씨리조트(주)",
"8","스키장","10_36_01_P","6530000","302022013000002","2013-12-31","","01","영업/정상","1","영업","","","","","","0","","강원특별자치도 태백시 황지동 409번지 20호","강원특별자치도 태백시 서학로 861 (황지동)","","오투 스키 앤 리조트","2013-12-31 11:57:04","I","2025-04-10 18:19:27","","375854.400943616","407803.548102981","스키장","","","0","0","790","0","","",
"9","스키장","10_36_01_P","6530000","302022009000001","2009-04-21","","01","영업/정상","1","영업","","","","","","0","","강원특별자치도 춘천시 남산면 백양리 31번지 4호","강원특별자치도 춘천시 남산면 북한강변길 688","","엘리시안 강촌 스키장","2013-12-31 11:34:01","I","2025-04-10 18:19:27","","251614.006688124","480698.392554354","스키장","","","0","5","10259.47","0","","",
"10","스키장","10_36_01_P","6530000","302022009000002","2009-08-13","","01","영업/정상","1","영업","","","","","","0","","강원특별자치도 횡성군 둔내면 두원리 204번지","강원특별자치도 횡성군 둔내면 고원로 451","","웰리힐리 스키장","2017-04-12 15:52:34","I","2025-04-10 18:19:27","","310506.755038668","443916.785022628","스키장","","","0","0","20083.29","0","","신안종합리조트(주) 대표이사 이진철",
"11","스키장","10_36_01_P","6530000","302022009000004","2009-11-25","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 대관령면 용산리 438번지 28호","강원특별자치도 평창군 대관령면 솔봉로 325","","알펜시아 스키 & 스노우보드","2020-07-21 09:02:25","I","2025-04-10 18:19:27","","348000.792018818","462520.039928929","스키장","","","0","9","1617.21","0","","",
"12","스키장","10_36_01_P","6530000","302022009000005","2009-11-25","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 대관령면 용산리 438번지 28호","강원특별자치도 평창군 대관령면 솔봉로 325","","알펜시아 스키 & 스노우보드","2015-08-31 10:16:26","I","2025-04-10 18:19:27","","348000.792018818","462520.039928929","스키장","","","0","9","1617.21","0","","",
"13","스키장","10_36_01_P","6530000","302022018000001","2018-02-28","","01","영업/정상","1","영업","","","","","","0","","강원특별자치도 평창군 대관령면 용산리 130번지 0호 용평리조트","강원특별자치도 평창군 대관령면 올림픽로 715-0 (용평리조트)","","용평리조트 스키장","2025-09-25 10:53:33","U","2025-09-27 02:40:00","","348259.144297804","461699.273918606","스키장","","","0","0","27074.83","0","","",
"14","스키장","10_36_01_P","6530000","302022018000002","2018-02-28","","01","영업/정상","1","영업","","","","","","0","","강원특별자치도 평창군 대관령면 용산리 130번지 0호 용평리조트","강원특별자치도 평창군 대관령면 올림픽로 715-0 (용평리조트)","","용평리조트 스키장","2025-03-21 13:53:41","I","2025-04-10 18:19:27","","348259.144297804","461699.273918606","스키장","","","0","0","27074.83","0","","",
