"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자치단체코드","업체유형명","자본금","지정정비업종명","면허일자","면허유효기간시작일자","면허유효기간종료일자","자격면허발급기관",
"1","국제물류주선업","11_45_01_P","6530000","6530000-63-4","2017-05-15","","01","영업/정상","0010","운행","","","","","0332635783","","","강원특별자치도 춘천시 온의동   501번지 7호","강원특별자치도 춘천시 경춘로 2137 (온의동)","","(주)영서이앤에스","2024-10-07 00:00:00","U","2024-10-09 02:40:00","","","","6530000","국제물류주선업","300000000","","","","","",
"2","국제물류주선업","11_45_01_P","6530000","6530000-63-13","2022-07-28","","01","영업/정상","0010","운행","","","","","","","26335","강원특별자치도 원주시 우산동 390번지","강원특별자치도 원주시 우산로 177(우산동)","26335","삼양로지스틱스(주)","2025-07-09 00:00:00","U","2025-07-11 02:40:00","","282952.964980929","431133.811000084","6530000","국제물류주선업","1000000000","","","","","",
"3","국제물류주선업","11_45_01_P","6530000","6530000-63-15","2023-04-18","","01","영업/정상","0010","운행","","","","","","","25515","강원특별자치도 강릉시 교동 1883-6 갑재드림하이오피스텔 706호","강원특별자치도 강릉시 솔올로5번길 47, 706호 (교동)","25515","주식회사 트라이허브코리아","2024-08-09 00:00:00","U","2024-08-11 02:40:00","","365295.447151893","475160.88925942","6530000","국제물류주선업","300000000","","","","","",
"4","국제물류주선업","11_45_01_P","6530000","6530000-63-19","2025-08-26","","01","영업/정상","0010","운행","","","","","0337635119","","26483","강원특별자치도 원주시 단구동 1550-4","강원특별자치도 원주시 천매봉길 32-13, 5층 (단구동)","26483","주식회사 뱅가드솔루션","2025-08-25 00:00:00","I","2025-08-27 00:20:02","","283538.026663461","425006.250787174","6530000","국제물류주선업","500000000","","","","","",
"5","국제물류주선업","11_45_01_P","6530000","6530000-63-16","2023-11-30","","01","영업/정상","0010","운행","","","","","","","24431","강원특별자치도 춘천시 온의동 297번지","강원특별자치도 춘천시 경춘로 2269, 0동 2층 (온의동)","24431","새론국제물류 주식회사","2023-12-01 00:00:00","I","2023-12-03 00:17:36","","262861.445285683","484068.199879268","6530000","국제물류주선업","300000000","","","","","",
"6","국제물류주선업","11_45_01_P","6530000","6530000-63-18","2025-04-21","","01","영업/정상","0010","운행","","","","","","","24360","강원특별자치도 춘천시 근화동 283-3","강원특별자치도 춘천시 공지로451번길 10 (근화동)","24360","주식회사 씨티피인터내셔널","2025-09-25 00:00:00","U","2025-09-27 02:40:00","","263014.41466654","485881.22397654","6530000","국제물류주선업","300000000","","","","","",
"7","국제물류주선업","11_45_01_P","6530000","6530000-63-5","2013-04-22","","03","폐업","0030","폐지","","","","","0336385515","","","강원특별자치도 속초시 동명동 1번지 131호","강원특별자치도 속초시 동명항길 54 (동명동)","","동방스타주식회사","2016-04-11 00:00:00","I","2023-06-13 00:00:00","","","","6530000","국제물류주선업","300000000","","","","","",
"8","국제물류주선업","11_45_01_P","6530000","6530000-63-6","2015-06-18","","03","폐업","0030","폐지","","","","","07073402463","","","","강원특별자치도 동해시 평원5길 6-1, 203호 (평릉동)","25752","제이엠에이치(JMH)","2017-07-31 00:00:00","I","2023-06-13 00:00:00","","387130.597851259","449542.692653942","6530000","국제물류주선업","300000000","","","","","",
"9","국제물류주선업","11_45_01_P","6530000","6530000-63-7","2019-04-24","","03","폐업","0030","폐지","","","","","0335220300","","","","강원특별자치도 동해시 공단1로 7-5 (구호동)","25799","강원특수중량(주)","2022-07-19 00:00:00","I","2023-06-13 00:00:00","","389391.450102187","443086.660941811","6530000","국제물류주선업","300000000","","","","","",
"10","국제물류주선업","11_45_01_P","6530000","6530000-63-8","2017-03-29","","03","폐업","0030","폐지","","","","","0220384425","","","","강원특별자치도 춘천시 동면 소양강로 304, B동","24210","주식회사 제이엘로지스틱스","2022-07-19 00:00:00","I","2023-06-13 00:00:00","","265699.453468026","490417.67904109","6530000","국제물류주선업","300000000","","","","","",
"11","국제물류주선업","11_45_01_P","6530000","6530000-63-12","2021-12-20","","03","폐업","0030","폐지","","","","","","","25805","강원특별자치도 동해시 쇄운동 667-1","강원특별자치도 동해시 효자로 406-1(쇄운동)","25805","(주)용문글로벌포트","2025-02-07 00:00:00","U","2025-02-09 02:40:00","","384132.35245413","444213.628568029","6530000","국제물류주선업","660000000","","","","","",
