"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","비상시설위치","시설구분명","시설명건물명","해제일자",
"1","민방위급수시설","11_46_01_P","4181000","4181000-E199600001","1996-08-07","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 춘천시 근화동 282번지 5호","강원특별자치도 춘천시 방송길36번길 73-10 (근화동)","24360","테마모텔","2025-04-02 16:18:38","U","2025-04-04 02:40:00","","262955.386369187","485881.730147807","강원특별자치도 춘천시 근화동 282번지 5호","공공용시설","테마모텔","",
"2","민방위급수시설","11_46_01_P","4181000","4181000-E200800001","2008-04-16","","01","영업/정상","18","사용중","","","","","","210","","강원특별자치도 춘천시 교동 153번지","강원특별자치도 춘천시 삭주로 77 (교동, 춘천성심병원)","24253","한림대학교춘천성심병원","2025-04-02 16:23:03","U","2025-04-04 02:40:00","","264995.790705309","487048.050495199","강원특별자치도 춘천시 교동 153번지","공공용시설","한림대학교춘천성심병원","",
"3","민방위급수시설","11_46_01_P","4181000","4181000-E201700001","2017-03-09","","01","영업/정상","18","사용중","","","","","","500","","강원특별자치도 춘천시 삼천동 300번지 3호","강원특별자치도 춘천시 스포츠타운길 376 (삼천동, 춘천베어스타운관광호텔)","24239","춘천베어스관광호텔","2025-08-12 10:09:10","U","2025-08-17 02:40:00","","261426.409291116","485603.420620416","강원특별자치도 춘천시 삼천동 300번지 3호","공공용시설","춘천베어스관광호텔","",
"4","민방위급수시설","11_46_01_P","4181000","4181000-E199600005","2004-06-17","","01","영업/정상","18","사용중","","","","","","220","","강원특별자치도 춘천시 퇴계동 1155번지","강원특별자치도 춘천시 우묵들길 24 (퇴계동)","24367","대한스포렉스","2025-04-02 16:20:35","U","2025-04-04 02:40:00","","263708.146153108","485107.143480244","강원특별자치도 춘천시 퇴계동 1155번지","공공용시설","대한스포렉스","",
"5","민방위급수시설","11_46_01_P","4181000","4181000-E199100003","1991-06-23","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 춘천시 석사동 37번지","강원특별자치도 춘천시 세실로 100-12 (석사동)","24315","영사우나","2025-04-02 16:16:22","U","2025-04-04 02:40:00","","266752.417280968","485104.103457286","강원특별자치도 춘천시 석사동 37번지","공공용시설","영사우나","",
"6","민방위급수시설","11_46_01_P","4181000","4181000-E201300002","2013-05-16","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 춘천시 동면 36번지","강원특별자치도 춘천시 동면 장학길 24 (강원고등학교)","24210","강원고등학교(식당 인근)","2025-04-02 15:47:52","U","2025-04-04 02:40:00","","266490.215589284","488429.28879245","강원특별자치도 춘천시 동면 36번지","공공용시설","강원고등학교(식당 인근)","",
"7","민방위급수시설","11_46_01_P","4181000","4181000-E200400004","2004-01-01","","01","영업/정상","18","사용중","","","","","","187","","강원특별자치도 춘천시 신북읍 473번지 2호","강원특별자치도 춘천시 신북읍 장본길 74 (오동초등학교)","24203","오동초등학교","2025-09-30 10:20:10","U","2025-10-02 02:40:00","","266563.974012095","494598.409614765","강원특별자치도 춘천시 신북읍 473번지 2호","공공용시설","오동초등학교","",
"8","민방위급수시설","11_46_01_P","4181000","4181000-E202300001","2023-04-03","","01","영업/정상","18","사용중","","","","","","3024","","강원특별자치도 춘천시 죽림동 11-9","강원특별자치도 춘천시 약사고개길 15-1 (죽림동)","24355","천호장","2025-08-12 10:13:40","U","2025-08-17 02:40:00","","263814.724440574","486305.179917905","강원특별자치도 춘천시 죽림동 11-9","공공용시설","천호장","",
"9","민방위급수시설","11_46_01_P","4181000","4181000-E202300003","2023-04-03","","01","영업/정상","18","사용중","","","","","","1800","","강원특별자치도 춘천시 효자동 312-1","강원특별자치도 춘천시 공지로 270 (효자동)","24342","베드로병원","2025-07-30 11:31:47","U","2025-08-01 02:40:00","","264636.115691457","485077.929690747","강원특별자치도 춘천시 효자동 312-1","공공용시설","베드로병원","",
"10","민방위급수시설","11_46_01_P","4181000","4181000-E202300002","2023-04-03","","01","영업/정상","18","사용중","","","","","","3024","","강원특별자치도 춘천시 우두동 765-5 한국농어촌공사강원지역본부","강원특별자치도 춘천시 사우4길 18, 한국농어촌공사강원지역본부 (우두동)","24226","한국농어촌공사 강원지역본부","2025-09-30 10:28:51","U","2025-10-02 02:40:00","","263936.72598466","489388.798657856","강원특별자치도 춘천시 우두동 765-5 한국농어촌공사강원지역본부","공공용시설","한국농어촌공사 강원지역본부","",
"11","민방위급수시설","11_46_01_P","4181000","4181000-E200800007","2008-03-13","","01","영업/정상","18","사용중","","","","","","800","","강원특별자치도 춘천시 남산면 백양리 29번지 1호","강원특별자치도 춘천시 남산면 북한강변길 688-0","","엘리시안강촌","2025-04-02 16:28:15","U","2025-04-04 02:40:00","","251021.728216938","480612.913126754","강원특별자치도 춘천시 남산면 백양리 29번지 1호","공공용시설","엘리시안강촌","",
