"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","부속의료기관","01_01_03_P","4181000","PHMA320104180029021300001","2010-06-10","","01","영업/정상","13","영업중","","","","","033)240-6285","","","강원특별자치도 춘천시 효자동 349번지 2호 강원지방병무청","강원특별자치도 춘천시 백령로 15, 강원지방병무청 (효자동)","24342","강원지방병무청","2018-06-01 16:23:50","I","2023-06-13 00:00:00","","264724.970869134","485095.099377436","병무청","1","0","0","0","604","병무청","","","","0","0","","","0","",
"2","부속의료기관","01_01_03_P","4181000","PHMA320184180029041300001","2018-02-27","","01","영업/정상","13","영업중","","","","","033)261-9201","","","강원특별자치도 춘천시 동내면 신촌리 365번지 2호 신촌정보통신학교","강원특별자치도 춘천시 동내면 장안길 51, 신촌정보통신학교","24407","법무부 춘천소년원 부속의원","2022-06-16 21:43:20","I","2023-06-13 00:00:00","","267143.53777908","482864.895747453","부속의원","0","0","0","132.3","125 122 115 114 113 112 111 107 106 105 104 102 101","내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 가정의학과, 응급의학과","","","","0","0","","","0","",
"3","부속의료기관","01_01_03_P","4201000","PHMA320024200028021300001","2002-07-31","","01","영업/정상","13","영업중","","","","","033-649-4244","","210-928","강원특별자치도 강릉시 노암동 200번지 11호","강원특별자치도 강릉시 율곡로 2705 (노암동)","25590","강원영동병무지청","2024-09-23 11:09:57","U","2024-09-25 02:40:00","","368033.264743839","473511.195337033","부속의원","1","0","0","0","101","내과","","","","0","0","","","0","",
"4","부속의료기관","01_01_03_P","4201000","PHMA320054200028041300009","2005-09-26","","01","영업/정상","13","영업중","","","","","033-649-8275","","210-949","강원특별자치도 강릉시 홍제동 720번지","강원특별자치도 강릉시 공제로 413-15 (홍제동)","25522","강릉교도소부속의원","2024-02-11 18:43:19","U","2024-02-13 02:40:00","","364326.798647208","473468.99462148","부속의원","1","0","0","102","오류 101 104 401","내과, 외과, 치과","","","","0","0","","","0","",
"5","부속의료기관","01_01_03_P","4231000","PHMA320204230018041300001","2020-07-13","","01","영업/정상","13","영업중","","","","","033-634-7575","","","강원특별자치도 속초시 장사동 산 50","강원특별자치도 속초시 동해대로4511번길 13, 1층 (장사동)","24802","강원북부교도소부속의원","2020-07-14 17:44:33","I","2023-06-13 00:00:00","","336728.917646398","524603.115792629","부속의원","5","0","0","397.64","122 114 105 104 101","내과, 외과, 정형외과, 피부과, 가정의학과","","","","0","0","","","0","",
"6","부속의료기관","01_01_03_P","4251000","PHMA320194250013041300001","2019-12-17","","03","폐업","03","폐업","2021-12-01","","","","033-430-6055","","","","강원특별자치도 홍천군 북방면 홍천로 132","25115","11사단의무대","2021-11-25 14:38:50","I","2023-06-13 00:00:00","","275915.986457378","465942.531084887","부속의원","8","0","0","1225.8","407 403 301 105 104 103 101","내과, 정신건강의학과, 외과, 정형외과, 한방내과, 치과보철과, 치과보존과","","","","0","0","","","0","",
"7","부속의료기관","01_01_03_P","4251000","PHMA320204250013041300001","2020-01-13","","01","영업/정상","13","영업중","","","","","033-435-7067","","","강원특별자치도 홍천군 화촌면 송정리 19번지 2호","강원특별자치도 홍천군 화촌면 송정3길 16","25156","20기갑여단의무중대","2021-05-12 10:34:10","I","2023-06-13 00:00:00","","282696.19104074","471362.92658692","부속의원","4","0","0","481.66","406 114 105 101","내과, 정형외과, 피부과, 치주과","","","","0","0","","","0","",
"8","부속의료기관","01_01_03_P","4281000","PHMA320104280009041300001","2010-04-16","","03","폐업","03","폐업","2010-09-24","","","","","","232-912","강원특별자치도 평창군 대화면 대화리 1006번지","","","편한부속의원","2010-09-27 09:18:01","I","2023-06-13 00:00:00","","328546.241411583","445058.714557925","부속의원","1","0","0","176.48","101 104 111 105 114 115 120","내과, 외과, 정형외과, 소아청소년과, 피부과, 비뇨의학과, 재활의학과","","","","0","0","","","0","",
"9","부속의료기관","01_01_03_P","4281000","PHMA320234281034041300001","2023-08-10","","01","영업/정상","13","영업중","","","","","033-335-0465","","","강원특별자치도 평창군 대관령면 횡계리 364-1 평창동계훈련센터","강원특별자치도 평창군 대관령면 올림픽로 108-27, 평창동계훈련센터","25347","대한체육회 평창동계훈련센터 부속 의원","2025-03-27 09:24:23","U","2025-03-29 02:40:00","","350192.502933508","464491.694787984","부속의원","2","0","0","279.47","105","정형외과","","","","0","0","","","0","",
"10","부속의료기관","01_01_03_P","4311000","PHMA320134310010041300001","2013-01-15","","01","영업/정상","13","영업중","","","","","033-440-3670","","","강원특별자치도 화천군 간동면 오음리 612-1 간동우체국 사서함 2호","강원특별자치도 화천군 간동면 간척월명로 307, 간동우체국 사서함 2호","24137","제2하나원 부속의원","2025-04-08 16:16:09","U","2025-04-10 02:40:00","","271640.548992749","506077.457649608","부속의원","7","0","0","298.38","408 301 101","내과, 한방내과, 구강내과","","","","0","0","","","0","",
