"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","임산부정원수","영유아정원수","임산부실면적","영유아실면적","모유수유실면적","급식시설면적","세탁실면적","목욕실면적","조리원화장실면적","사무실면적","간호사수","간호조무사수","영양사수","취사부수","미화원수","기타인원수","건물층수","지상층수","지하층수",
"1","산후조리업","01_01_04_P","4181000","PHMB120064180029042100002","2006-12-07","","03","폐업","03","폐업","2013-05-02","","","","","","200-883","강원특별자치도 춘천시 동내면 거두리 929-3","","","호호산후조리원","2013-05-06 14:37:07","I","2023-06-13 00:00:00","","","","14","15","15.1","33","10.8","21","5.8","2","2","15.1","2","6","0","2","2","1","6","1","0",
"2","산후조리업","01_01_04_P","4181000","PHMB120134180029042100001","2013-06-27","","03","폐업","03","폐업","2016-01-07","","","","","","200-883","강원특별자치도 춘천시 동내면 거두리 929번지 3호 6층","강원특별자치도 춘천시 동내면 공지로 76, 6층","24404","호호산후조리원","2016-01-07 11:11:36","I","2023-06-13 00:00:00","","266028.169105689","483770.66058789","14","14","11.1","33","22.9","13.6","5.8","0","0","11.1","4","6","0","1","1","0","12","6","6",
"3","산후조리업","01_01_04_P","4181000","PHMB120064180029042100001","2006-12-15","","01","영업/정상","13","영업중","","2020-07-06","2020-07-18","","033-241-7677","","","강원특별자치도 춘천시 소양로4가","강원특별자치도 춘천시 중앙로 116 (소양로4가)","24276","(주)미래산후조리원","2021-09-15 09:59:16","I","2023-06-13 00:00:00","","263473.330661886","486259.054798942","16","16","14.52","46.4","13.47","0","11.5","2.8","2.8","0","3","5","0","0","1","1","5","5","0",
"4","산후조리업","01_01_04_P","4181000","PHMB120094180029042100001","2009-02-20","","01","영업/정상","13","영업중","","2020-04-13","2020-05-12","","033-241-7400","","","강원특별자치도 춘천시 온의동 123-29","강원특별자치도 춘천시 터미널길 21 (온의동)","24435","아름다운 산후조리원","2024-12-05 11:40:36","U","2024-12-07 02:40:00","","263206.939573518","484886.270109221","6","6","140","27.7","12.9","20","8","4.2","4.2","8","2","9","0","1","1","1","1","1","0",
"5","산후조리업","01_01_04_P","4181000","PHMB120104180029042100001","2010-12-08","","01","영업/정상","13","영업중","","","","","033-264-1700","","200-936","강원특별자치도 춘천시 석사동 799번지 썬타워 7층","강원특별자치도 춘천시 퇴계로 188, 6층~7층층 (석사동)","24378","호산후조리원","2022-05-02 14:23:27","I","2023-06-13 00:00:00","","264995.650946312","484096.148098437","22","22","434.1","44.02","7.3","60.8","0","0","28","6.6","3","11","0","2","2","1","2","2","0",
"6","산후조리업","01_01_04_P","4181000","PHMB120244181030042100001","2024-11-25","","01","영업/정상","13","영업중","","","","","033-256-3579","","","강원특별자치도 춘천시 삼천동 67-10","강원특별자치도 춘천시 옛경춘로 732, 3,4층 (삼천동)","24431","퀸즈포레산후조리원","2024-11-25 17:27:36","I","2024-11-27 00:12:13","","262221.389398696","484690.99453548","22","22","598.5","100","5.6","39.5","14.4","0","39.1","23","7","6","0","2","2","3","5","4","1",
"7","산후조리업","01_01_04_P","4191000","PHMB120064190023042100002","2006-12-06","","03","폐업","03","폐업","2022-09-20","","","","033-745-5602","","220-150","강원특별자치도 원주시 무실동 1642번지 3호","강원특별자치도 원주시 시청로 98 (무실동)","","연세봄산후조리원","2022-10-12 13:58:32","I","2023-06-13 00:00:00","","282235.0950053","426391.743033234","12","12","15","21","6.1","8.9","4.2","4.1","2.9","7.7","1","8","0","1","1","0","5","4","1",
"8","산후조리업","01_01_04_P","4191000","PHMB120134190023042100001","2013-04-11","","03","폐업","03","폐업","2013-07-26","","","","033-735-2292","","220-958","강원특별자치도 원주시 일산동 291번지 4호","강원특별자치도 원주시 일산초교길 14-18 (일산동)","220-956","맘스산후조리원","2013-07-26 15:06:22","I","2023-06-13 00:00:00","","283534.442244964","427460.354765178","19","19","463.14","52.09","7.9","44.1","0","0","0","22.68","3","8","0","2","1","2","7","2","0",
"9","산후조리업","01_01_04_P","4191000","PHMB120034190023042100001","2015-11-30","","01","영업/정상","13","영업중","","","","","033-733-3537","","220-100","강원특별자치도 원주시 단계동 883번지 6호","강원특별자치도 원주시 이화6길 1 (단계동)","26382","미즈산후조리원","2019-09-11 14:22:54","I","2023-06-13 00:00:00","","282565.224850342","427238.778461897","26","28","453.64","68.62","12.81","49.11","16.88","0","51.24","9.45","4","10","0","0","0","6","4","4","0",
"10","산후조리업","01_01_04_P","4191000","PHMB120064190023042100001","2006-12-11","","01","영업/정상","13","영업중","","","","","033-734-5605","","","","강원특별자치도 원주시 능라동길 61 (무실동)","26392","율산후조리원","2021-04-15 14:04:56","I","2023-06-13 00:00:00","","282457.561821675","426197.262434883","18","18","348.2","30.6","17.2","28.2","0","0","0","24.1","3","12","0","1","1","0","8","8","0",
"11","산후조리업","01_01_04_P","4191000","PHMB120094190023042100001","2009-06-25","","01","영업/정상","13","영업중","","","","","033-745-7020","","","강원특별자치도 원주시 단계동 862번지","강원특별자치도 원주시 장미공원길 43-6, 5층 (단계동, 송정빌딩)","26436","연세순풍산후조리원","2018-12-28 13:42:16","I","2023-06-13 00:00:00","","282349.238533988","427573.993979604","18","18","323","33.1","4.6","30.5","11","4","10.7","5.7","3","9","0","1","1","3","6","5","1",
"12","산후조리업","01_01_04_P","4191000","PHMB120144190023042100001","2016-11-03","","01","영업/정상","13","영업중","","","","","033-765-7900","","","강원특별자치도 원주시 단구동 1511-4 대신프라자","강원특별자치도 원주시 서원대로 402, 대신프라자 6층 (단구동)","26484","다올산후조리원","2025-01-16 16:47:38","U","2025-01-18 02:40:00","","284060.844117657","425805.976224163","44","44","367.1","75.73","13.57","13.98","9.61","0","0","14.37","3","4","0","3","1","1","7","6","1",
"13","산후조리업","01_01_04_P","4191000","PHMB120184190023042100001","2018-06-21","","01","영업/정상","13","영업중","","","","","033-901-5959","","","강원특별자치도 원주시 행구동 1710번지 11호","강원특별자치도 원주시 영랑길 14-2, 청연재빌딩 5,8,9층 (행구동)","26456","주식회사 프리티가든 산후조리원","2019-12-09 14:19:24","I","2023-06-13 00:00:00","","286037.048659542","426993.638003468","19","19","24","41.6","10.9","26","27.3","12.5","4.6","11.7","3","6","0","5","4","0","11","9","2",
"14","산후조리업","01_01_04_P","4201000","PHMB120064200028042100001","2006-09-29","","03","폐업","03","폐업","2016-02-29","","","","655-3636","","210-040","강원특별자치도 강릉시 성내동 15번지 1호","강원특별자치도 강릉시 금성로 60 (성내동)","25539","다솜산후조리원","2016-02-29 16:23:58","I","2023-06-13 00:00:00","","366921.474950329","473841.292720674","20","20","400.4","45","7.25","94.11","8.05","4.26","35.64","16.32","3","8","0","2","1","1","4","4","0",
"15","산후조리업","01_01_04_P","4201000","PHMB120064200028042100002","2006-12-08","","03","폐업","03","폐업","2009-03-11","","","","645-1101","","210-080","강원특별자치도 강릉시 임당동 114번지 2호","강원특별자치도 강릉시 경강로 2110 (임당동)","210-715","엄마사랑산후조리원","2009-03-11 17:00:51","I","2023-06-13 00:00:00","","367168.990388628","474231.992217697","14","14","133.68","25.29","3.33","39.19","8.1","3.98","11.76","5.63","2","4","0","1","2","2","6","6","0",
"16","산후조리업","01_01_04_P","4201000","PHMB120124200028042100001","2012-09-12","","01","영업/정상","13","영업중","","","","","033)643-8114","","210-101","강원특별자치도 강릉시 교1동 723번지 7호","강원특별자치도 강릉시 율곡로 2982-6 (교동)","25490","세가온산후조리원","2018-10-01 10:32:20","I","2023-06-13 00:00:00","","366678.684068832","475654.262415356","18","18","205.17","33.44","15.5","0","0","0","45.44","11.2","3","10","0","0","1","0","0","0","0",
"17","산후조리업","01_01_04_P","4201000","PHMB120144200028042100001","2014-11-26","","01","영업/정상","13","영업중","","","","","","","210-933","강원특별자치도 강릉시 옥천동 283번지","강원특별자치도 강릉시 옥가로 21 (옥천동)","25551","아이앤맘산후조리원","2016-06-02 16:22:40","I","2023-06-13 00:00:00","","367272.942353225","474572.726592649","12","12","223.1","20.2","9.7","42.1","8.8","12.6","39.6","10.1","2","5","0","1","1","1","6","0","0",
"18","산후조리업","01_01_04_P","4201000","PHMB120164200028042100001","2016-04-01","","01","영업/정상","13","영업중","","","","","033-641-6680","","","강원특별자치도 강릉시 임당동 112번지 1호","강원특별자치도 강릉시 경강로 2109 (임당동)","25532","행복누리산후조리원","2016-04-21 16:48:10","I","2023-06-13 00:00:00","","367111.831343426","474287.818576962","7","12","180","25","25.44","0","15.94","0","0","7.64","3","3","0","0","0","0","5","5","0",
"19","산후조리업","01_01_04_P","4211000","PHMB120064210020042100001","2006-12-12","","03","폐업","03","폐업","2014-05-24","","","","","","240-810","강원특별자치도 동해시 천곡동 1075번지 2호","강원특별자치도 동해시 천곡로 76 (천곡동)","","다나산후조리원","2014-10-02 13:52:31","I","2023-06-13 00:00:00","","386753.796333872","448835.833838403","7","7","91.8","0","0","0","0","0","13.5","5.4","1","3","0","0","0","1","5","3","0",
"20","산후조리업","01_01_04_P","4211000","PHMB120124210020042100001","2012-01-20","","03","폐업","03","폐업","2016-03-28","","","","0335311004","","240-140","강원특별자치도 동해시 용정동 범주성지2차 아파트 205동 306호","강원특별자치도 동해시 초원2길 5 (용정동)","240-140","숲 산후조리원","2016-03-28 10:18:54","I","2023-06-13 00:00:00","","387754.26497919","447616.056089426","9","9","10.9","20","11","11.6","4.6","3","4","7","2","5","0","2","1","0","2","2","0",
"21","산후조리업","01_01_04_P","4211000","PHMB120084210020042100001","2008-11-10","","01","영업/정상","13","영업중","","","","","033-532-0050","","","강원특별자치도 동해시 천곡동 845번지","강원특별자치도 동해시 천곡로 86-2 (천곡동, 대륜빌딩)","25769","글로리아산후조리원","2019-04-24 09:57:57","I","2023-06-13 00:00:00","","386910.615529845","448836.210353142","15","10","323.78","43.2","19.2","20.24","12.48","11.52","11.52","0","2","2","0","1","1","0","3","3","0",
"22","산후조리업","01_01_04_P","4211000","PHMB120144210020042100001","2014-12-22","","01","영업/정상","13","영업중","","","","","033-532-8082","","","","강원특별자치도 동해시 한섬로 113-7 (천곡동)","25769","아이맘산후조리원","2014-12-22 18:03:17","I","2023-06-13 00:00:00","","386992.953363986","448777.740969764","0","0","15.39","34.37","6.03","34.78","20.74","0","2.73","0","2","5","0","1","1","0","0","0","0",
"23","산후조리업","01_01_04_P","4221000","PHMB120094220024042100001","2009-09-29","","01","영업/정상","13","영업중","","","","","","","235-270","강원특별자치도 태백시 삼수동 1번지 1호 1통 1반 1 1동 1호","강원특별자치도 태백시 바람부리길 221, 1동 1호 (황지동,1)","","test","2009-09-29 11:31:50","I","2023-06-13 00:00:00","","377159.823069656","410799.581490806","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
