"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"1","안경업","01_02_01_P","4181000","PHMB220084180029082200001","2008-01-24","","03","폐업","03","폐업","2016-11-03","","","","033)242-4119","","200-947","강원특별자치도 춘천시 효자3동 617번지 14호","강원특별자치도 춘천시 서부대성로 216 (효자동)","24332","글라스박스","2016-11-08 09:37:08","I","2023-06-13 00:00:00","","265220.443733635","485928.228190362","0","0","0","0","0","0","0","0","0","0",
"2","안경업","01_02_01_P","4181000","PHMB220084180029082200002","2008-02-18","","03","폐업","03","폐업","2015-11-11","","","","033)257-1232","","","춘천시 퇴계동 187-5","강원특별자치도 춘천시 김유정로 1881 (퇴계동)","24432","밝은눈안경(퇴계점)","2015-12-30 15:37:38","I","2023-06-13 00:00:00","","264750.226310888","483790.551956667","0","0","0","0","0","0","0","0","0","0",
"3","안경업","01_02_01_P","4181000","PHMB220134180029082200004","2013-11-22","","03","폐업","03","폐업","2015-12-04","","","","033-243-0110","","200-950","강원특별자치도 춘천시 효자3동 747번지 18호","강원특별자치도 춘천시 춘천로 231 (효자동)","24259","페이머스 안경. 콘택트","2015-12-30 15:34:38","I","2023-06-13 00:00:00","","264967.959560142","486466.557143895","2","2","2","4","2","1","4","2","3","765",
"4","안경업","01_02_01_P","4181000","PHMB220194180029082200002","2019-06-24","","03","폐업","03","폐업","2022-11-25","","","","","","","","강원특별자치도 춘천시 김유정로 1840, 홈플러스 지하2층 (퇴계동)","24423","아이피아 춘천홈플러스","2023-08-09 13:30:21","U","2023-08-11 02:40:00","","264597.191878957","483368.29049207","11","0","0","1","0","0","0","0","0","0",
"5","안경업","01_02_01_P","4181000","PHMB220104180029082200005","2010-05-17","","03","폐업","03","폐업","2012-11-21","","","","","","200-947","강원특별자치도 춘천시 효자3동 628번지 6호","강원특별자치도 춘천시 서부대성로 231 (효자동)","200-947","렌즈스토리","2012-11-21 17:43:00","I","2023-06-13 00:00:00","","265376.956006018","485882.057791524","1","1","1","1","1","1","1","1","1","0",
"6","안경업","01_02_01_P","4181000","PHMB220134180029082200003","2013-06-28","","03","폐업","03","폐업","2016-03-16","","","","033)256-8072","","200-190","강원특별자치도 춘천시 온의동 58번지 7호 미메디컬타워104호","강원특별자치도 춘천시 영서로 2341, 미메디컬타워동 1층 104호 (온의동)","24433","미 안경원","2016-03-16 13:44:21","I","2023-06-13 00:00:00","","262888.576455637","485326.813219134","1","1","1","1","1","1","1","1","1","49.5",
"7","안경업","01_02_01_P","4181000","PHMB220134180029082200001","2013-02-05","","03","폐업","03","폐업","2013-11-15","","","","033-243-0110","","200-950","강원특별자치도 춘천시 효자3동 747번지 18호 2층","강원특별자치도 춘천시 춘천로 231 (효자동)","200-950","페이머스 안경.콘택즈","2013-11-18 16:03:59","I","2023-06-13 00:00:00","","264967.959560142","486466.557143895","1","2","2","1","1","2","1","2","4","315.77",
"8","안경업","01_02_01_P","4181000","PHMB220154180029082200004","2015-10-14","","03","폐업","03","폐업","2017-12-01","","","","033-253-2015","","","강원특별자치도 춘천시 온의동 6번지 40호 제이진빌딩 3층","강원특별자치도 춘천시 방송길 98, 3층 (온의동, 제이진빌딩)","24364","눈을위한안경원","2017-12-01 11:43:38","I","2023-06-13 00:00:00","","263296.917001547","485278.442063059","1","1","1","1","1","1","1","1","1","41.32",
"9","안경업","01_02_01_P","4181000","PHMB220144180029082200003","2014-07-03","","03","폐업","03","폐업","2016-02-29","","","","033-253-8252","","200-947","강원특별자치도 춘천시 효자동 626번지 4호","강원특별자치도 춘천시 서부대성로 221, 1층 (효자동)","24289","오렌즈 강원대점","2016-02-29 14:07:31","I","2023-06-13 00:00:00","","265289.011638312","485932.239096466","1","1","1","1","1","1","2","1","1","89",
"10","안경업","01_02_01_P","4181000","PHMB220164180029082200004","2016-03-24","","03","폐업","03","폐업","2023-09-04","","","","033-243-0486","","","강원특별자치도 춘천시 조양동 34번지","강원특별자치도 춘천시 금강로 지하 68-9 (조양동, 미도파아파트)","24353","M 안경원","2023-09-04 15:33:26","U","2023-09-06 02:40:00","","264033.833068137","486464.959442249","1","1","1","1","1","1","1","1","1","49.6",
