"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물용의약품도매상","02_03_04_P","4181000","418000001220160002","2016-09-01","","01","영업/정상","0000","정상","","","","","251-0331","106.68","","","강원특별자치도 춘천시 효평길 101, 4층 (후평동)","24277","(주)케이앤씨바이오","2016-09-02 10:50:17","I","2023-06-13 00:00:00","","265606.404022422","486742.129395905","동물용의약품도매상","","L00","0",
"2","동물용의약품도매상","02_03_04_P","4181000","418000001220090002","2009-06-10","","01","영업/정상","0000","정상","","","","","033-256-3685","0","","강원특별자치도 춘천시 동내면 학곡리 320-10","강원특별자치도 춘천시 동내면 학곡서3길 20-24","24408","그린가축약품","2023-10-31 16:39:01","U","2023-11-02 02:40:00","","266626.927426385","481665.828067359","동물용의약품도매상","","000","0",
"3","동물용의약품도매상","02_03_04_P","4181000","418000001220120001","2012-09-04","","01","영업/정상","0000","정상","","","","","033-257-3319","161.1","","강원특별자치도 춘천시 신동면 정족리 377-1","강원특별자치도 춘천시 신동면 정족1길 6","24412","(주)일성","2022-01-20 16:03:46","I","2023-06-13 00:00:00","","264513.895761355","481251.378917888","동물용의약품도매상","","L00","0",
"4","동물용의약품도매상","02_03_04_P","4181000","418000001220190001","2019-03-05","","01","영업/정상","0000","정상","","","","","0332542310","0","","강원특별자치도 춘천시 동면 장학리 433-5","강원특별자치도 춘천시 동면 소양강로 423","24210","(주)강원지오영","2019-03-05 16:38:00","I","2023-06-13 00:00:00","","266399.247688763","491155.927237049","동물용의약품도매상","","000","0",
"5","동물용의약품도매상","02_03_04_P","4181000","418100001220240001","2024-10-24","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 온의동 542-2 302호","강원특별자치도 춘천시 충혼길52번길 10, 드림타워 302호 (온의동)","24437","펫웰비 주식회사","2024-10-24 16:30:03","I","2024-10-26 00:12:20","","263250.540593552","484452.409041204","동물용의약품도매상","","000","0",
"6","동물용의약품도매상","02_03_04_P","4181000","418000001219900001","1990-01-17","","02","휴업","0001","휴업","","2000-11-13","","","252-3915","0","","강원특별자치도 춘천시 낙원동 108-5","","","춘천제일가축약품","2003-05-29 11:32:45","I","2023-06-13 00:00:00","","","","동물용의약품도매상","","000","0",
"7","동물용의약품도매상","02_03_04_P","4181000","418000001219840001","1984-11-09","","03","폐업","0002","폐업","2014-05-20","","","","033-252-9011","30","","강원특별자치도 춘천시 효자동 683-1","강원특별자치도 춘천시 춘천로 66 (효자동)","","(주)강원 지오영","2014-05-20 22:32:53","I","2023-06-13 00:00:00","","263710.511821066","485522.89714383","동물용의약품도매상","","000","0",
"8","동물용의약품도매상","02_03_04_P","4181000","418000001219850001","1985-01-16","","03","폐업","0002","폐업","2004-05-04","","","","254-3391","60","","강원특별자치도 춘천시 효자동 685-8","강원특별자치도 춘천시 공지로 349 (효자동)","","춘천가축약품","2012-04-05 15:03:56","I","2023-06-13 00:00:00","","263942.153699699","485487.684294512","동물용의약품도매상","","000","0",
"9","동물용의약품도매상","02_03_04_P","4181000","418000001220040002","2004-03-24","","03","폐업","0002","폐업","2009-07-14","","","","033-257-3319","89.63","","강원특별자치도 춘천시 소양로4가 115-7","강원특별자치도 춘천시 중앙로 140 (소양로4가)","","강동가축약품","2009-07-14 14:21:28","I","2023-06-13 00:00:00","","263240.403660836","486181.337855764","동물용의약품도매상","","000","0",
"10","동물용의약품도매상","02_03_04_P","4181000","418000001220050001","2005-06-17","","03","폐업","0002","폐업","2008-03-14","","","","","60","","강원특별자치도 춘천시 효자동 685-8","강원특별자치도 춘천시 공지로 349 (효자동)","","춘천가축약품","2008-03-14 16:39:09","I","2023-06-13 00:00:00","","263942.153699699","485487.684294512","동물용의약품도매상","","000","0",
"11","동물용의약품도매상","02_03_04_P","4181000","418000001220060001","2006-11-22","","03","폐업","0002","폐업","2015-12-30","","","","033-261-4907","3241","","강원특별자치도 춘천시 동내면 거두리 1144","강원특별자치도 춘천시 동내면 거두단지1길 39","24398","(주)애드바이오텍","2015-12-30 11:33:20","I","2023-06-13 00:00:00","","268610.125364766","485398.610453281","동물용의약품도매상","","000","0",
"12","동물용의약품도매상","02_03_04_P","4181000","418000001220090001","2009-03-31","","03","폐업","0002","폐업","2020-11-09","","","2020-11-09","257-8787","360","","강원특별자치도 춘천시 우두동 711-38","강원특별자치도 춘천시 충열로 45 (우두동)","24226","(주)청해","2020-11-09 13:59:20","I","2023-06-13 00:00:00","","264431.180096876","488751.863772497","동물용의약품도매상","","000","0",
"13","동물용의약품도매상","02_03_04_P","4181000","418000001220090003","2009-07-15","","03","폐업","0002","폐업","2012-09-04","","","","033-257-3319","0","","강원특별자치도 춘천시 동내면 학곡리 359-4","강원특별자치도 춘천시 동내면 학곡동2길 14","24408","강동가축약품","2012-09-04 11:44:04","I","2023-06-13 00:00:00","","266905.093441133","481927.244906062","동물용의약품도매상","","000","0",
"14","동물용의약품도매상","02_03_04_P","4181000","418000001220110001","2011-04-28","","03","폐업","0002","폐업","2013-09-05","","","","033-264-4331","0","","강원특별자치도 춘천시 효자동 367-28 윤일아파트 상가 1층(1, 2호)","강원특별자치도 춘천시 효석로9번길 4 (효자동,윤일아파트 상가 1층(1, 2호))","","대성동물약품","2013-09-05 10:02:59","I","2023-06-13 00:00:00","","264480.184827731","484904.506950679","동물용의약품도매상","","000","0",
"15","동물용의약품도매상","02_03_04_P","4181000","418000001220160001","2016-08-30","","03","폐업","0002","폐업","2020-06-08","","","2020-06-08","261-7610","431.4","","","강원특별자치도 춘천시 동내면 동내로 160","24407","(주)이건약품","2020-06-08 15:32:39","I","2023-06-13 00:00:00","","267620.879446653","483358.137571334","동물용의약품도매상","","L00","0",
"16","동물용의약품도매상","02_03_04_P","4181000","418000001220210001","2021-11-22","","03","폐업","0002","폐업","2023-06-21","","","2023-06-21","033-261-4907","","","강원특별자치도 춘천시 동내면 거두리 1144","강원특별자치도 춘천시 동내면 거두단지1길 39","24398","(주)애드바이오텍","2023-06-22 09:13:55","U","2023-06-24 02:40:00","","268610.125364766","485398.610453281","동물용의약품도매상","","000","0",
"17","동물용의약품도매상","02_03_04_P","4191000","419000001220020002","2002-08-21","","01","영업/정상","0000","정상","","","","","033-735-1482","0","","강원특별자치도 원주시 단계동 924-15","강원특별자치도 원주시 한지공원길 212, 1층 (단계동)","26474","중앙바이오가축약품","2024-12-30 09:20:03","U","2025-01-01 02:40:00","","282505.659154339","426664.27799387","동물용의약품도매상","","000","0",
"18","동물용의약품도매상","02_03_04_P","4191000","419000001220050001","2005-11-08","","01","영업/정상","0000","정상","","","","","033-746-5654","163.8","","강원특별자치도 원주시 중앙동 43-2","강원특별자치도 원주시 평원로 67 (중앙동)","26428","영서가축약품","2023-01-06 14:33:06","I","2023-06-13 00:00:00","","284112.256822708","428142.85725411","동물용의약품도매상","","000","0",
"19","동물용의약품도매상","02_03_04_P","4191000","419000001220160001","2016-09-08","","01","영업/정상","0000","정상","","","","","","93.61","","강원특별자치도 원주시 명륜동 822-4","강원특별자치도 원주시 소방서길 25 (명륜동)","26481","피앤팜","2019-12-02 17:08:07","I","2023-06-13 00:00:00","","283675.585779628","425666.323734624","동물용의약품도매상","","000","0",
"20","동물용의약품도매상","02_03_04_P","4191000","419000001219960001","1996-07-03","","03","폐업","0002","폐업","2012-06-18","2007-01-18","2007-12-31","","","0","","강원특별자치도 원주시 인동 264","","","원주가축약품","2012-07-13 17:39:59","I","2023-06-13 00:00:00","","","","동물용의약품도매상","","000","0",
"21","동물용의약품도매상","02_03_04_P","4191000","419000001220010001","2001-06-23","","03","폐업","0002","폐업","2005-10-27","","","","","0","","강원특별자치도 원주시 중앙동 43-2","","","서진가축약품","2005-10-27 17:06:50","I","2023-06-13 00:00:00","","","","동물용의약품도매상","","000","0",
"22","동물용의약품도매상","02_03_04_P","4191000","419000001220020001","2002-03-08","","03","폐업","0002","폐업","2006-11-01","","","","","0","","강원특별자치도 원주시 중앙동 87-3","","","남경축산수의약품","2006-11-01 11:25:10","I","2023-06-13 00:00:00","","","","동물용의약품도매상","","000","0",
"23","동물용의약품도매상","02_03_04_P","4191000","419000001220140001","2014-06-11","","04","취소/말소/만료/정지/중지","0004","말소","","","","","033-761-4413","199.16","","강원특별자치도 원주시 개운동 445-9","강원특별자치도 원주시 송림길 34-35 (개운동)","26448","(주)기준약품","2015-12-31 11:26:02","I","2023-06-13 00:00:00","","284183.682565935","425904.972385901","동물용의약품도매상","","L00","0",
"24","동물용의약품도매상","02_03_04_P","4201000","420000001220000001","2000-03-18","","01","영업/정상","0000","정상","","","","","646-8964","0","","강원특별자치도 강릉시 회산동 370-5","강원특별자치도 강릉시 회산로 276, 1층 (회산동)","25599","강원동물약품(주)","2025-07-07 16:55:35","U","2025-07-09 02:40:00","","364094.552525446","471835.668872133","동물용의약품도매상","","L00","0",
"25","동물용의약품도매상","02_03_04_P","4201000","420000001219890001","1989-12-15","","03","폐업","0002","폐업","2010-05-24","","","","642-1246","0","","강원특별자치도 강릉시 옥천동 282-3","","","동해가축약품","2010-05-24 10:23:32","I","2023-06-13 00:00:00","","","","동물용의약품도매상","","000","0",
"26","동물용의약품도매상","02_03_04_P","4201000","420000001220010001","2001-07-31","","03","폐업","0002","폐업","2019-01-17","","","2019-01-17","647-8958","0","","강원특별자치도 강릉시 노암동 233-1","","","주남가축약품","2019-01-17 16:52:43","I","2023-06-13 00:00:00","","367943.636923803","473517.225785759","동물용의약품도매상","","000","0",
"27","동물용의약품도매상","02_03_04_P","4251000","425000001220120001","2012-02-17","","01","영업/정상","0000","정상","","","","","435-7279","235","","강원특별자치도 홍천군 홍천읍 하오안리 47-13","강원특별자치도 홍천군 홍천읍 설악로 1475","25117","거산동물약품","2020-11-27 15:43:39","I","2023-06-13 00:00:00","","276251.014359411","464623.701714736","동물용의약품도매상","","000","0",
"28","동물용의약품도매상","02_03_04_P","4251000","425000001220210001","2021-07-02","","01","영업/정상","0000","정상","","","","","070-5112-2511","0","","강원특별자치도 홍천군 홍천읍 연봉리 99","강원특별자치도 홍천군 홍천읍 생명과학관길 94","25142","주식회사 씨티씨백","2021-07-02 18:07:04","I","2023-06-13 00:00:00","","","","동물용의약품도매상","","L00","0",
"29","동물용의약품도매상","02_03_04_P","4251000","425000001220150001","2015-08-21","","03","폐업","0002","폐업","2019-06-20","","","2019-06-20","070-4033-0245","369","","","강원특별자치도 홍천군 홍천읍 생명과학관길 94","25142","(주)씨티씨바이오","2019-06-21 08:57:25","I","2023-06-13 00:00:00","","","","동물용의약품도매상","","L00","0",
"30","동물용의약품도매상","02_03_04_P","4261000","426000001219950001","1995-01-03","","03","폐업","0002","폐업","2015-03-23","","","","343-2333","0","","강원특별자치도 횡성군 횡성읍 읍하리 94-10","강원특별자치도 횡성군 횡성읍 문정로 16-1","","남산가축약품","2015-03-23 14:04:24","I","2023-06-13 00:00:00","","287069.485160531","443526.584660727","동물용의약품도매상","","000","0",
"31","동물용의약품도매상","02_03_04_P","4271000","427000001220140001","2014-01-24","","01","영업/정상","0000","정상","","","","","","66","","","강원특별자치도 영월군 주천면 모내실길 163","26206","일진에프앤피 주식회사","2024-05-16 16:26:58","U","2024-05-18 02:40:00","","","","동물용의약품도매상","","L00","0",
