"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"1","문화예술법인","03_08_03_P","6530000","A0100653000020230031","2023-08-30","","01","영업/정상","1","","","","","","","","","강원특별자치도 화천군 화천읍 하리 84번지 1호 화천문화예술회관","강원특별자치도 화천군 화천읍 상승로 91-0 (화천문화예술회관)","","화천문화원","2023-08-30 11:35:24","I","2023-09-01 00:18:42","","261746.630965855","511994.483136227","문화(사단)","","","","","","","","0","","지역문화의 계발 연구 조사 및 문화진흥 목적","","","화천문화원",
"2","문화예술법인","03_08_03_P","6530000","A0100653000020230032","2023-09-08","","01","영업/정상","1","","","","","","","","","강원특별자치도 삼척시 우지동 18번지 2호","강원특별자치도 삼척시 새천년도로 673-0 (우지동)","","사단법인 강원미디어콘텐츠 연구회","2023-10-31 11:20:57","U","2023-11-02 02:40:00","","390788.561343721","442185.993014982","예술(사단)","","","","","","","","0","","강원지역 영화인 상호간의 친목을 도모하고 회원의 권익을 옹호하며 우리영화 예술창달과 강원지역 영상발전에 기여","","","사단법인 강원미디어콘텐츠 연구회",
"3","문화예술법인","03_08_03_P","6530000","A0100653000020230002","2023-08-03","","01","영업/정상","1","","","","","","","","","강원특별자치도 영월군 영월읍 덕포리 594번지 1호","강원특별자치도 영월군 영월읍 덕포하리2길 18-0, 1층 (사단법인영월칡줄다리기보존회)","","사단법이 영월칡줄다리기보존회","2023-08-03 15:02:31","I","2023-08-05 00:18:48","","331037.27313413","409262.053506801","문화재(사단)","","","","","","","","0","","영월칡줄다리기의 계발, 보존, 전승 및 사료의 수집, 조사, 연구를 통하여 지역 전통문화 발전에 기여","","","사단법이 영월칡줄다리기보존회",
"4","문화예술법인","03_08_03_P","6530000","A0100653000020230003","2023-02-17","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 단계동 1103번지 5호","강원특별자치도 원주시 백간공원길 15-7, 2층 202호 (단계동)","","사단법인 관동무보존회","2023-08-03 17:10:02","I","2023-08-05 00:18:48","","281898.915","427809.435","문화재(사단)","","","","","","","","0","","관동무(전통춤)의 보전을 위한 조사 및 연구사업, 전수교육, 공연, 전시 사업등","","","사단법인 관동무보존회",
"5","문화예술법인","03_08_03_P","6530000","A0100653000020230005","2022-10-31","","01","영업/정상","1","","","","","","","","","강원특별자치도 강릉시 용강동 29번지 0호 서부시장","강원특별자치도 강릉시 임영로155번길 6-0, 2-13호 (용강동,서부시장)","","사단법인 강릉불교문화진흥원","2023-08-03 17:15:53","I","2023-08-05 00:18:48","","366564.34266928","474192.135182166","문화(사단)","","","","","","","","0","","불교문화 공연, 연구, 강의, 자선활동 등","","","사단법인 강릉불교문화진흥원",
"6","문화예술법인","03_08_03_P","6530000","A0100653000020230006","2022-10-17","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 효자동 706번지 3호","강원특별자치도 춘천시 남춘로51번길 22-0, 1층층 (효자동)","","사단법인 강원도굿보존회","2023-08-03 17:18:22","I","2023-08-05 00:18:48","","264222.001259822","485131.255156872","문화(사단)","","","","","","","","0","","강원도굿 계승·발전","","","사단법인 강원도굿보존회",
"7","문화예술법인","03_08_03_P","6530000","A0100653000020230007","2022-10-04","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 부론면 손곡리 343번지 0호","강원특별자치도 원주시 부론면 손비로 330-1","","사단법인 서지마을","2023-08-03 17:21:21","I","2023-08-05 00:18:48","","272443.25455731","413315.145356068","문화(사단)","","","","","","","","0","","천주교 순례길 및 서지마을 운영 및 문화예술기회 제공","","","사단법인 서지마을",
"8","문화예술법인","03_08_03_P","6530000","A0100653000020230008","2022-06-27","","01","영업/정상","1","","","","","","","","","강원특별자치도 평창군 봉평면 창동리 432번지 1호","강원특별자치도 평창군 봉평면 애강나무길 104-0","","사단법인 차강 박기정 선양회","2023-08-03 17:33:22","I","2023-08-05 00:18:48","","321304.435616538","457708.378712227","문화(사단)","","","","","","","","0","","차강·화강 서화의 얼과 예술정신 선양사업","","","사단법인 차강 박기정 선양회",
"9","문화예술법인","03_08_03_P","6530000","A0100653000020230009","2022-05-20","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 행구동 129번지 3호","강원특별자치도 원주시 고문골길 77-47 (행구동)","","사단법인 헌공다례연구보존회","2023-08-03 17:37:27","I","2023-08-05 00:18:48","","289484.675193462","426959.290000844","문화(사단)","","","","","","","","0","","전통 헌공다례 예법 연구 및 보존","","","사단법인 헌공다례연구보존회",
"10","문화예술법인","03_08_03_P","6530000","A0100653000020230010","2022-04-28","","01","영업/정상","1","","","","","","","","","강원특별자치도 강릉시 성산면 위촌리 120번지 3호","강원특별자치도 강릉시 성산면 소목길 194-0","","사단법인 위촌리 대동계","2023-08-03 17:39:59","I","2023-08-05 00:18:48","","362943.517639753","473847.791703277","문화(사단)","","","","","","","","0","","위촌리 도배례 전통민속문화 전승","","","사단법인 위촌리 대동계",
