"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","한옥체험업","03_11_06_P","4181000","CDFI2262222023000004","2023-07-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 옥천동 50","강원특별자치도 춘천시 옥천길 35-8 (옥천동)","24265","쉼 in 家","2023-07-03 17:15:03","I","2023-07-05 00:19:07","","264218.321842279","486943.438959629","한옥체험업","","일반주거지역","0","","","","","0","0","2","0","","","0","0","","0","0","","0","53.73","","0","","","","","","","0","","","","54",
"2","한옥체험업","03_11_06_P","4181000","CDFI2262222010000001","2010-04-15","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 신동면 정족리 643","강원특별자치도 춘천시 신동면 솟발1길 44","","춘천고택","2023-06-09 14:48:13","I","2023-06-13 00:00:00","","264098.411273759","482738.903943884","한옥체험업","","","0","","","MG새마을금고중앙회","단독주택","1","0","3","0","","","0","0","","0","0","","0","163.58","","0","","","","","","","500000000","","","","164",
"3","한옥체험업","03_11_06_P","4181000","CDFI2262222021000001","2021-07-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 약사동 1-71","강원특별자치도 춘천시 중앙로67번길 42-1 (약사동)","24355","스테이 한량","2023-06-09 14:48:33","I","2023-06-13 00:00:00","","264014.607638094","486284.887744168","한옥체험업","","","1","","","","단독주택","1","0","1","0","","","0","0","","0","0","","0","40.4","","0","","","","","","","10000000","","","","40",
"4","한옥체험업","03_11_06_P","4181000","CDFI2262222022000001","2022-11-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 153-56","강원특별자치도 춘천시 법원뒷길 35-7 (효자동)","24339","스테이 그믐","2024-10-08 15:11:36","U","2024-10-10 02:40:00","","264603.418448575","485642.298608409","한옥체험업","","일반주거지역","1","주택가주변","","","단독주택","0","0","1","0","","","0","0","","0","0","","0","62.91","","0","","","","","","","0","","","","63",
"5","한옥체험업","03_11_06_P","4181000","CDFI2262222022000002","2022-12-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 근화동 798-16","강원특별자치도 춘천시 소양로211번길 16-1 (근화동)","24241","스테이 자하","2023-11-02 18:09:05","U","2023-11-04 02:40:00","","263650.614398638","487931.036714248","한옥체험업","","일반주거지역","1","","","","단독주택","1","0","1","0","","","0","0","","0","0","","0","75.31","","0","","","","","","","30000000","","","","75",
"6","한옥체험업","03_11_06_P","4181000","CDFI2262222023000001","2023-02-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 사북면 송암리 619-2","강원특별자치도 춘천시 사북면 솔바우1길 32-23","24201","지혜원","2023-06-09 14:49:08","I","2023-06-13 00:00:00","","259913.070690913","499690.929002169","한옥체험업","","","1","","","","단독주택","0","0","1","0","","","0","0","","0","0","","0","61.16","","0","","","","","","","0","","","","61",
"7","한옥체험업","03_11_06_P","4181000","CDFI2262222023000002","2023-03-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 602-4","강원특별자치도 춘천시 도화길6번길 10-1 (효자동)","24331","스테이 한가로이","2024-06-26 09:47:47","U","2024-06-28 02:40:00","","264755.569608144","486113.739592936","한옥체험업","","일반주거지역","0","","","","단독주택","0","0","1","0","","","0","0","","0","0","","0","71.63","","0","","","","","","","0","","","","72",
"8","한옥체험업","03_11_06_P","4181000","CDFI2262222023000003","2023-05-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 154-15","강원특별자치도 춘천시 백령로75번길 38 (효자동)","24339","스테이 물결","2023-06-09 14:49:42","I","2023-06-13 00:00:00","","264602.948418421","485698.569258535","한옥체험업","","주거지역","0","","","","","0","0","1","0","","","0","0","","0","0","","0","71.82","","0","","","","","","","0","","","","72",
"9","한옥체험업","03_11_06_P","4181000","CDFI2262222024000003","2024-10-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 171-1","강원특별자치도 춘천시 청운길 14-2 (효자동)","24340","음음스테이","2025-01-08 10:47:45","U","2025-01-10 02:40:00","","264638.3932619","485387.560921913","한옥체험업","","","0","","","","","0","0","1","0","","","0","0","","0","0","","0","68.21","","0","","","","","","","0","","","","68",
"10","한옥체험업","03_11_06_P","4181000","CDFI2262222024000002","2024-04-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 후평동 95-25","강원특별자치도 춘천시 수풍골길13번길 8-3 (후평동)","24298","아담 stay","2024-05-03 11:41:08","U","2024-05-05 02:40:00","","265971.066209738","486941.246536912","한옥체험업","","","0","","","","","0","0","1","0","","","0","0","","0","0","","0","93.96","","0","","","","","","","0","","","","94",
"11","한옥체험업","03_11_06_P","4181000","CDFI2262222024000001","2024-02-01","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 305-19","강원특별자치도 춘천시 효석로9번길 11-10 (효자동)","24373","한율재","2025-01-08 10:42:51","U","2025-01-10 02:40:00","","264538.401383854","484989.910951259","한옥체험업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","94","","0","","","","","","","0","","","","94",
