"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","종합여행업","03_12_03_P","4181000","CDFI2260042018000005","2018-07-05","","02","휴업","02","휴업","","2025-08-28","2026-01-24","","070-4100-9500","","","강원특별자치도 춘천시 퇴계동 1166-12","강원특별자치도 춘천시 퇴계로 61-2, 3층 (퇴계동)","24370","하이하이투어 주식회사","2025-08-28 17:52:15","U","2025-08-30 02:40:00","","263985.529133383","484850.2858895","종합여행업","","","0","","","서울보증보험","","0","0","0","0","HIHITOUR CO., LTD.","GENERAL TRAVEL AGENCY","0","0","","0","0","","0","82.73","","0","","","","","","","100000000","20250704","20260704","","83","",
"2","종합여행업","03_12_03_P","4181000","CDFI2260042024000003","2024-02-21","","02","휴업","02","휴업","","2025-10-15","2026-06-30","","070-4001-4582","","","강원특별자치도 춘천시 효자동 651-6","강원특별자치도 춘천시 둥지길 4, 3층 (효자동)","24334","(주)페스티벌온(Festival On)","2025-10-16 10:39:26","U","2025-10-18 02:40:00","","264628.805573156","486046.275827248","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20240221","20250220","","0","",
"3","종합여행업","03_12_03_P","4181000","CDFI2260041998000001","1998-01-08","","03","폐업","03","폐업","2011-04-12","","","","253-4567","","200-941","강원특별자치도 춘천시 조양동 37-5","강원특별자치도 춘천시 금강로 67  (조양동)","","매일월드투어(주)","2011-04-12 17:59:22","I","2023-06-13 00:00:00","","264068.004238726","486556.210664283","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","188.94","","0","","","","","","","350000000","20100418","20110418","","189","",
"4","종합여행업","03_12_03_P","4181000","CDFI2260042002000001","2002-10-11","","03","폐업","03","폐업","2024-07-24","","","","033-253-8888","","","강원특별자치도 춘천시 동면 지내리 571-2","강원특별자치도 춘천시 동면 지내길 101-24","24211","(주)코리아나투어스","2024-07-25 10:12:23","U","2024-07-27 02:40:00","","268211.471472874","490369.096081986","종합여행업","","","0","","","서울보증보험","","0","0","0","0","KOREANA TOURS CO, LTD","GENERAL TRAVEL AGENCY","0","0","","0","0","","0","57.3","","0","","","","","","","350000000","20180401","20200331","","57","",
"5","종합여행업","03_12_03_P","4181000","CDFI2260042004000001","2004-03-15","","03","폐업","03","폐업","2014-12-31","","","","033-243-1111","","200-030","강원특별자치도 춘천시 요선동 9-2","강원특별자치도 춘천시 중앙로 30 (요선동)","200-030","(합) 루디아","2015-01-23 11:14:59","I","2023-06-13 00:00:00","","264005.622086396","486882.449767053","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","RUDIA TRAVEL  LIMITED PARTNERSHIP","GENERAL TRAVEL AGENCY","0","0","","0","0","","0","100","","0","","","","","","","350000000","20140327","20150327","","100","",
"6","종합여행업","03_12_03_P","4181000","CDFI2260042012000001","2012-01-26","","03","폐업","03","폐업","2025-04-07","","","","033-248-5023","","200-719","강원특별자치도 춘천시 동면 장학리 635","강원특별자치도 춘천시 동면 소양강로 274","24210","(주)지원프로덕션","2025-04-07 16:57:25","U","2025-04-09 02:40:00","","265770.452755788","490114.95221028","종합여행업","","","0","","","관광협회중앙회","","2","0","0","0","G1PRODUCTION","GENERAL TRAVEL AGENCY","0","0","","0","0","","0","0","","0","","","","","","","300000000","20240307","20250307","","0","",
"7","종합여행업","03_12_03_P","4181000","CDFI2260042022000002","2022-07-18","","03","폐업","03","폐업","2025-10-22","","","","033-243-6665","","","강원특별자치도 춘천시 동면 장학리 462-6","강원특별자치도 춘천시 동면 소양강로 308, 2호","24210","(주) 오케이항공여행사","2025-10-23 10:11:53","U","2025-10-25 02:40:00","","265697.240774573","490470.382271941","종합여행업","","","0","","","한국관광협회 중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20230727","20240727","","0","",
"8","종합여행업","03_12_03_P","4181000","CDFI2260042023000006","2023-03-02","","03","폐업","03","폐업","2023-07-11","","","","033-262-9905","","","강원특별자치도 춘천시 퇴계동 392-63","강원특별자치도 춘천시 퇴계로 92, 5층 (퇴계동)","24377","(주)크리에이티브곰","2023-08-25 16:34:15","U","2023-08-27 02:40:00","","264213.865179602","484634.237594617","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20230302","20240301","","0","",
"9","종합여행업","03_12_03_P","4181000","CDFI2260042023000008","2023-04-18","","03","폐업","03","폐업","2023-08-31","","","","","","","강원특별자치도 춘천시 효자동 654-3","강원특별자치도 춘천시 춘천로 188, 2층 210호 (효자동)","24329","e편한여행사","2023-09-15 11:01:43","U","2023-09-17 02:40:00","","264625.007546706","486195.45439825","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","67000000","","","","0","",
"10","종합여행업","03_12_03_P","4181000","CDFI2260042023000009","2023-04-26","","03","폐업","03","폐업","2023-12-29","","","","","","","강원특별자치도 춘천시 후평동 878-12","강원특별자치도 춘천시 세실로 200 (후평동)","24307","여여행","2023-12-29 11:14:06","U","2023-12-31 02:40:00","","266614.873092291","486091.634437667","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","55000000","20230426","20240425","","0","",
"11","종합여행업","03_12_03_P","4181000","CDFI2260042014000004","2014-09-16","","03","폐업","03","폐업","2017-08-29","","","","033-251-8787","","200-041","강원특별자치도 춘천시 중앙로1가 9","강원특별자치도 춘천시 중앙로 5 (중앙로1가)","24265","KCL월드투어","2017-08-29 14:10:37","I","2023-06-13 00:00:00","","264128.086851178","487099.154550421","종합여행업","","일반주거지역","1","기타","","한국관광협회중앙회","사무실","1","0","0","0","","","0","0","","0","0","","0","97.15","","0","","","","","","","200000000","20151002","20161002","","97","",
"12","종합여행업","03_12_03_P","4181000","CDFI2260042015000002","2015-02-10","","03","폐업","03","폐업","2024-08-26","","","","070-4150-8463","","200-210","강원특별자치도 춘천시 송암동 644-23","강원특별자치도 춘천시 스포츠타운길 113-1 (송암동)","24239","(주)퓨레코이즘","2024-08-27 13:45:24","U","2024-08-29 02:40:00","","260300.117752865","483848.608538416","종합여행업","","일반주거지역","1","기타","","서울보증보험","체육시설","0","0","0","0","","","0","0","","0","0","","0","106","","0","","","","","","","200000000","20220922","20230921","","106","",
"13","종합여행업","03_12_03_P","4181000","CDFI2260042015000003","2015-11-30","","03","폐업","03","폐업","2023-01-10","","","","033-243-6668,6665","","","강원특별자치도 춘천시 동면 장학리 462-6","강원특별자치도 춘천시 동면 소양강로 308","24210","(주)동서고속관광","2023-01-18 15:31:20","I","2023-06-13 00:00:00","","265697.240774573","490470.382271941","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","230000000","20220105","20230105","","0","",
"14","종합여행업","03_12_03_P","4181000","CDFI2260042016000001","2016-07-29","","03","폐업","03","폐업","2018-11-12","","","","033-242-7791","","","강원특별자치도 춘천시 약사동","강원특별자치도 춘천시 중앙로67번길 18, 6204호 (약사동)","24355","(주)아이잡강원","2018-11-12 16:46:18","I","2023-06-13 00:00:00","","263954.075694438","486406.885561246","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","250000000","20160811","20180810","","0","",
"15","종합여행업","03_12_03_P","4181000","CDFI2260042016000002","2016-12-21","","03","폐업","03","폐업","2025-03-11","","","","","","","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938, 102호 (사농동)","24219","프린스항공여행사","2025-03-11 18:11:38","U","2025-03-13 02:40:00","","263448.811965433","490382.097710504","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20231001","20240930","","0","",
"16","종합여행업","03_12_03_P","4181000","CDFI2260042018000007","2018-09-03","","03","폐업","03","폐업","2022-10-01","","","","033 264 0013","","","강원특별자치도 춘천시 칠전동 538-3","강원특별자치도 춘천시 칠전서1길 42, 1층 (칠전동)","24457","㈜지니안","2022-11-25 15:18:00","I","2023-06-13 00:00:00","","262752.271504034","482624.23611564","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","20210903","20220902","","0","",
"17","종합여행업","03_12_03_P","4181000","CDFI2260042019000001","2019-01-11","","03","폐업","03","폐업","2021-02-25","","","","","","","강원특별자치도 춘천시 서면 서상리 326-3","강원특별자치도 춘천시 서면 뒷개길 94","24460","TASTY EAST TOUR","2021-02-25 16:09:43","I","2023-06-13 00:00:00","","261061.685188198","492965.674799968","종합여행업","","","0","","","한국관광협회중앙회여행공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20200827","20210827","","0","",
"18","종합여행업","03_12_03_P","4181000","CDFI2260042019000002","2019-02-11","","03","폐업","03","폐업","2021-10-25","","","","0332523301","","","강원특별자치도 춘천시 후평동 807-11","강원특별자치도 춘천시 후만로 91-1, 1층 (후평동)","24304","우리여행사","2021-10-25 17:31:10","I","2023-06-13 00:00:00","","266334.157127376","486259.621023237","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20200820","20210819","","0","",
"19","종합여행업","03_12_03_P","4181000","CDFI2260042019000007","2019-11-14","","03","폐업","03","폐업","2023-02-28","","","","033-243-1141","","","강원특별자치도 춘천시 동면 만천리 844-3","강원특별자치도 춘천시 동면 만천양지길 45, 5층","24214","㈜케이아이비","2023-02-28 18:13:34","I","2023-06-13 00:00:00","","266797.308175575","487190.091371701","종합여행업","","","0","","","한국관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20210701","20220701","","0","",
"20","종합여행업","03_12_03_P","4181000","CDFI2260042021000002","2017-02-09","","03","폐업","03","폐업","2025-09-15","","","","","","","강원특별자치도 춘천시 우두동 276-7","강원특별자치도 춘천시 사우로156번길 8 (우두동)","24227","합자회사 하나로트래블","2025-09-15 17:42:20","U","2025-09-17 02:40:00","","265152.469333333","489560.642666666","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20230209","20240208","","0","",
"21","종합여행업","03_12_03_P","4181000","CDFI2260042023000015","2023-11-13","","03","폐업","03","폐업","2024-12-09","","","","","","","강원특별자치도 춘천시 조양동 6-227","강원특별자치도 춘천시 시청길 32, 3층 (조양동)","24348","(주)러브에그","2024-12-11 09:00:14","U","2024-12-13 02:40:00","","264256.518818601","486741.3242034","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"22","종합여행업","03_12_03_P","4181000","CDFI2260042023000013","2021-04-23","","01","영업/정상","13","영업중","","","","","02-451-4972","","","강원특별자치도 춘천시 후평동 716-6","강원특별자치도 춘천시 후석로 437-1, 1층 (후평동)","24251","(주)에쓰오엘","2025-09-17 17:13:27","U","2025-09-19 02:40:00","","265282.462505903","487568.186981194","종합여행업","","","2","","","서울보증보험주식회사","근린생활시설","2","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","120000000","20250423","20260422","","0","",
"23","종합여행업","03_12_03_P","4181000","CDFI2260042009000001","2009-04-13","","01","영업/정상","13","영업중","","","","","033-257-5533","","","강원특별자치도 춘천시 퇴계동 344-23","강원특별자치도 춘천시 남춘로 23, 2층 (퇴계동)","24370","(자)한일여행사","2025-04-21 16:26:26","U","2025-04-23 02:40:00","","264210.91314058","484791.941116121","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","91.72","","0","","","","","","","350000000","20250413","20260413","","92","",
