"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","영화제작업","03_13_05_P","4181000","CDFF5211012015000003","2015-06-23","","03","폐업","03","폐업","2017-01-09","","","","033)257-3983","","","강원특별자치도 춘천시 후평동 ***","강원특별자치도 춘천시 후만로***번길 ** (후평동, 상가동,***호)","200-963","태백산맥","2017-01-10 15:20:25","I","2023-06-13 00:00:00","","266743.003648696","486217.237897675","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20150623","",
"2","영화제작업","03_13_05_P","4181000","CDFF5211012017000005","2017-12-11","","03","폐업","03","폐업","2020-01-17","","","","070-4090-8922","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 **-* (후평동)","24254","주식회사 산사나무픽처스","2020-01-17 09:34:39","I","2023-06-13 00:00:00","","265506.554739553","487171.742474238","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20171211","",
"3","영화제작업","03_13_05_P","4181000","CDFF5211012001000001","2001-07-10","","01","영업/정상","13","영업중","","","","","033)262-5013","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 효석로*번길 ** (효자동)","200-953","(주)필그림 엔터테이먼트","2011-11-03 10:37:07","I","2023-06-13 00:00:00","","264559.897601128","484963.413041742","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20010710","",
"4","영화제작업","03_13_05_P","4181000","CDFF5211012009000001","2009-09-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 낙원동 **-**","강원특별자치도 춘천시 낙원길**번길 *-* (낙원동)","200-100","태성영화제작소","2011-11-03 10:38:32","I","2023-06-13 00:00:00","","263729.231244037","486584.720425923","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20090910","",
"5","영화제작업","03_13_05_P","4181000","CDFF5211012011000001","2011-01-31","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 **-** (*층)","강원특별자치도 춘천시 스포츠타운길 *** (온의동)","200-937","범 필름","2011-11-03 10:39:59","I","2023-06-13 00:00:00","","262808.456357804","485405.244083934","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20110131","",
"6","영화제작업","03_13_05_P","4181000","CDFF5211012012000001","2008-06-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 현암리","강원특별자치도 춘천시 서면 박사로 ***, *층 ***호","200-831","㈜오션망고코리아","2012-03-06 14:13:32","I","2023-06-13 00:00:00","","260819.739664112","488267.312140011","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20080616","",
"7","영화제작업","03_13_05_P","4181000","CDFF5211012012000002","2012-11-07","","01","영업/정상","13","영업중","","","","","033-243-4375","","","강원특별자치도 춘천시 서면 금산리 ****","강원특별자치도 춘천시 서면 박사로 ***","200-831","주)네모컬처스","2012-11-07 15:38:07","I","2023-06-13 00:00:00","","260819.739664112","488267.312140011","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20121107","",
"8","영화제작업","03_13_05_P","4181000","CDFF5211012013000001","2013-03-25","","01","영업/정상","13","영업중","","","","","033-244-0864","","","강원특별자치도 춘천시 소양로*가 **-**","강원특별자치도 춘천시 당간지주길 **, *층 (소양로*가)","200-111","우주의치어리더","2013-03-25 12:56:05","I","2023-06-13 00:00:00","","263742.632077142","487976.01594674","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20130325","",
"9","영화제작업","03_13_05_P","4181000","CDFF5211012013000002","2013-09-24","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 신동면 증리 ***","강원특별자치도 춘천시 신동면 금병의숙*길 **, 실레책방 부속건물","24412","영화사 몸","2020-09-18 11:37:12","I","2023-06-13 00:00:00","","263110.814484607","479254.018615224","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20130924","",
"10","영화제작업","03_13_05_P","4181000","CDFF5211012014000001","2014-09-11","","01","영업/정상","13","영업중","","","","","033)256-7784","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 춘천로 *** (후평동)","200-959","강원문화협동조합","2014-09-11 14:22:56","I","2023-06-13 00:00:00","","265703.654168717","486892.204639319","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20140911","",
