"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품첨가물제조업","07_22_12_P","4181000","4181000-108-2011-00004","2006-06-05","","01","영업/정상","01","영업","","","","","033264 6337","6465.94","","강원특별자치도 춘천시 동내면 거두리 1155","강원특별자치도 춘천시 동내면 거두단지2길 50","24398","(주)팜크로스","2020-06-15 15:59:58","I","2023-06-13 00:00:00","식품첨가물제조업","268897.693487821","485080.757238187","식품첨가물제조업","0","0","","","상수도전용","0","0","9","0","10","자가","0","0","N","1846.86","","","",
"2","식품첨가물제조업","07_22_12_P","4181000","4181000-108-2012-00001","2012-02-08","","01","영업/정상","01","영업","","","","","","250.83","","강원특별자치도 춘천시 신북읍 지내리 702","강원특별자치도 춘천시 신북읍 지내고탄로 199-59","24202","주식회사 에이치앤비","2025-08-22 15:03:35","U","2025-08-24 02:40:00","식품첨가물제조업","263917.468506952","494296.338388408","식품첨가물제조업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","15.74","","","",
"3","식품첨가물제조업","07_22_12_P","4181000","4181000-108-2014-00001","2014-12-02","","01","영업/정상","01","영업","","","","","033 258 6258","2166.56","","강원특별자치도 춘천시 동산면 군자리 1386","강원특별자치도 춘천시 동산면 종자리로 33-30","24409","(주)메디언스 공장","2024-01-13 16:38:21","U","2024-01-15 02:40:00","식품첨가물제조업","","","식품첨가물제조업","0","0","","","상수도전용","0","0","3","0","4","임대","0","0","N","677.75","","","",
"4","식품첨가물제조업","07_22_12_P","4181000","4181000-108-2018-00002","2018-09-04","","01","영업/정상","01","영업","","","","","07074929074","1022.05","","강원특별자치도 춘천시 동내면 거두리 1150","강원특별자치도 춘천시 동내면 거두단지2길 14","24398","(주)휴온스엔","2025-05-22 09:44:11","U","2025-05-24 02:40:00","식품첨가물제조업","268496.742442449","484983.738642153","식품첨가물제조업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"5","식품첨가물제조업","07_22_12_P","4181000","4181000-108-2021-00001","2021-01-13","","01","영업/정상","01","영업","","","","","033 262 3849","53.69","","강원특별자치도 춘천시 동산면 원창리 291-1","강원특별자치도 춘천시 동산면 영서로 1266","24409","춘천종합가스","2024-04-23 11:26:59","U","2024-04-25 02:40:00","식품첨가물제조업","268092.51551825","477407.881630399","식품첨가물제조업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"6","식품첨가물제조업","07_22_12_P","4181000","4181000-108-2023-00001","2023-03-08","","01","영업/정상","01","영업","","","","","033 2442265","357.60","","강원특별자치도 춘천시 신북읍 유포리 23-30","강원특별자치도 춘천시 신북읍 배후령길 215","24203","(주)대성에너지","2025-04-16 09:06:19","U","2025-04-18 02:40:00","식품첨가물제조업","268826.329944608","494246.136074907","식품첨가물제조업","0","0","","","지하수전용","0","0","0","0","0","","0","0","N","3.5","","","",
"7","식품첨가물제조업","07_22_12_P","4181000","4181000-108-2025-00001","2025-02-12","","01","영업/정상","01","영업","","","","","","54.00","","강원특별자치도 춘천시 후평동 198-53","강원특별자치도 춘천시 소양강로 32, 춘천바이오산업진흥원 바이오1동 411호 (후평동)","24232","주식회사세찬","2025-02-12 14:32:05","I","2025-02-14 00:11:18","식품첨가물제조업","265331.3469315","487999.802568208","식품첨가물제조업","0","0","","","","0","0","0","0","0","","0","0","N","36.4","","","",
"8","식품첨가물제조업","07_22_12_P","4191000","4191000-108-2011-00001","2001-10-27","","01","영업/정상","01","영업","","","","","033735 7277","173.40","","강원특별자치도 원주시 호저면 만종리 1093-5 지상1층 A,B동","강원특별자치도 원주시 호저면 굴미실길 33, A,B동","26348","(주)세정","2025-09-15 10:06:54","U","2025-09-17 02:40:00","식품첨가물제조업","279356.739860419","428718.663811315","식품첨가물제조업","0","0","","","상수도전용","0","0","1","0","2","자가","0","0","N","0","","","",
"9","식품첨가물제조업","07_22_12_P","4191000","4191000-108-2012-00001","2012-07-06","","01","영업/정상","01","영업","","","","","033 731 4757","406.00","","강원특별자치도 원주시 부론면 법천리 1473-7 B동","강원특별자치도 원주시 부론면 법후로 56 (B동)","26498","엔카시스템(주)","2019-12-12 13:34:07","I","2023-06-13 00:00:00","식품첨가물제조업","267054.596551716","412516.702785319","식품첨가물제조업","0","0","","","지하수전용","0","0","0","0","0","","0","0","N","0","","","",
"10","식품첨가물제조업","07_22_12_P","4201000","4201000-108-2023-00001","2023-08-11","","01","영업/정상","01","영업","","","","","033 645 7050","15.14","","강원특별자치도 강릉시 강동면 모전리 258-1 대일가스","강원특별자치도 강릉시 강동면 아래장작골길 68, 대일가스 나동","25627","(주)대일가스","2023-08-16 14:22:59","I","2023-08-18 00:18:28","식품첨가물제조업","373249.256569388","470085.563149649","식품첨가물제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"11","식품첨가물제조업","07_22_12_P","4201000","4201000-108-2011-00001","2011-04-26","","01","영업/정상","01","영업","","","","","033  6503381","2600.51","","강원특별자치도 강릉시 대전동 921-2 (강릉과학산업진흥원)","강원특별자치도 강릉시 사임당로 641-22 (대전동,(강릉과학산업진흥원))","25451","(재)강릉과학산업진흥원","2024-05-02 14:45:58","U","2024-05-04 02:40:00","식품첨가물제조업","363310.7119042","478706.976023585","식품첨가물제조업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
