"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","설비규격",
"1","용기냉동기특정설비","07_22_16_P","4181000","2008418016616500014","1998-11-06","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 춘천시 송암동 700-3","강원특별자치도 춘천시 스포츠타운길 113 (송암동)","","의암빙상장","2015-08-27 15:25:01","I","2023-06-13 00:00:00","","260420.565086014","483691.10029183","",
"2","용기냉동기특정설비","07_22_16_P","4181000","2008418016616500031","2008-06-12","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 1019","강원특별자치도 춘천시 지석로 88 (퇴계동)","","투탑시티카펠라","2013-12-27 16:28:53","I","2023-06-13 00:00:00","","265357.389472436","483290.937065008","",
"3","용기냉동기특정설비","07_22_16_P","4181000","2008418016616500033","2007-11-29","","01","영업/정상","01","영업중","","","","2008-06-18","","","","강원특별자치도 춘천시 동내면 거두리 60","강원특별자치도 춘천시 동내면 거두단지2길 60","","일동후디스","2013-12-27 16:27:21","I","2023-06-13 00:00:00","","268830.238891791","485195.41388557","",
"4","용기냉동기특정설비","07_22_16_P","4181000","2008418016616500036","2008-10-25","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 739-5","강원특별자치도 춘천시 방송길 109 (온의동)","","한국방송춘천방송총국","2013-12-27 16:26:33","I","2023-06-13 00:00:00","","263459.272795312","485307.147462636","",
"5","용기냉동기특정설비","07_22_16_P","4181000","2008418016616500037","2008-11-05","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 춘천시 남면 가정리 366-1","강원특별자치도 춘천시 남면 약암길 109","","한화제약(주)","2013-12-27 16:25:12","I","2023-06-13 00:00:00","","249780.870802208","472527.593268109","",
"6","용기냉동기특정설비","07_22_16_P","4181000","2009418016616500018","2009-07-15","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 춘천시 온의동 513-3","강원특별자치도 춘천시 경춘로 2364 (온의동)","","풍양조씨자효회","2013-12-27 16:34:45","I","2023-06-13 00:00:00","","263363.74960516","484877.145433762","",
"7","용기냉동기특정설비","07_22_16_P","4181000","2009418016616500038","2009-01-09","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 춘천시 서면 안보리 863","강원특별자치도 춘천시 서면 경춘로 771-79","","사회복지법인광림복지재단","2013-12-27 16:34:10","I","2023-06-13 00:00:00","","252596.410085181","482189.566101269","",
"8","용기냉동기특정설비","07_22_16_P","4181000","2009418016616500039","2009-11-11","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 춘천시 온의동 6","강원특별자치도 춘천시 방송길 84 (온의동)","","롯데쇼핑(주)롯데마트","2013-12-27 16:18:58","I","2023-06-13 00:00:00","","263109.175778889","485355.40305733","",
"9","용기냉동기특정설비","07_22_16_P","4181000","2010418016616500040","2010-05-28","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 춘천시 중앙로1가 80","강원특별자치도 춘천시 중앙로 45 (중앙로1가)","","제일은행춘천지점","2013-12-27 16:33:20","I","2023-06-13 00:00:00","","264007.77545753","486717.058924492","",
"10","용기냉동기특정설비","07_22_16_P","4181000","2014418027916500001","2014-08-22","","01","영업/정상","01","영업중","","","","","","","","","강원특별자치도 춘천시 남산면 해맞이길 41","","(주)에너솔라","2024-06-11 10:52:21","U","2024-06-13 02:40:00","","255212.572134617","474138.315394491","",
