"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","제과점영업","07_22_18_P","4181000","4181000-121-2023-00008","2023-08-08","","01","영업/정상","01","영업","","","","","","85.90","","강원특별자치도 춘천시 근화동 714","강원특별자치도 춘천시 공지로439번길 15, 1층 (근화동)","24360","근화당","2023-08-11 16:43:23","U","2023-08-13 02:40:00","제과점영업","263259.383383534","485828.207899133","제과점영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","85.9","","","",
"2","제과점영업","07_22_18_P","4181000","4181000-121-2023-00007","2023-08-04","","01","영업/정상","01","영업","","","","","","6.60","","강원특별자치도 춘천시 동내면 학곡리 5-14","강원특별자치도 춘천시 동내면 순환대로 632, 1층","24408","와이어드커피","2024-06-27 15:56:47","U","2024-06-29 02:40:00","제과점영업","267021.041453026","482192.438250429","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","6.6","","","",
"3","제과점영업","07_22_18_P","4181000","4181000-121-2023-00006","2023-06-14","","01","영업/정상","01","영업","","","","","","19.80","","강원특별자치도 춘천시 후평동 848-12","강원특별자치도 춘천시 삭주로108번길 7 (후평동)","24254","브리꼴레르","2023-06-14 13:28:39","I","2023-06-17 00:19:22","제과점영업","265322.413014406","487033.566917669","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","19.8","","","",
"4","제과점영업","07_22_18_P","4181000","4181000-121-2002-00006","2002-10-25","","01","영업/정상","01","영업","","","","","033 253 7645","45.30","","강원특별자치도 춘천시 동면 장학리 450 외3필지","강원특별자치도 춘천시 동면 춘천순환로 901, 1층 (춘천신북농협협동조합내)","24210","케익하우스몽마","2022-02-09 11:46:22","I","2023-06-13 00:00:00","제과점영업","265872.123318469","490937.781902373","제과점영업","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","45.3","","","",
"5","제과점영업","07_22_18_P","4181000","4181000-121-2003-00003","2003-04-22","","01","영업/정상","01","영업","","","","","033 262 8202","63.60","","강원특별자치도 춘천시 퇴계동 968-7 석사동 805-1","강원특별자치도 춘천시 퇴계로 175 (퇴계동, 석사동 805-1)","24380","파리바게뜨춘천주공랜드마크점","2024-05-17 10:15:19","U","2024-05-19 02:40:00","제과점영업","264908.444332011","484214.00233815","제과점영업","0","0","아파트지역","","상수도전용","0","0","0","0","0","","0","0","N","63.6","","","",
"6","제과점영업","07_22_18_P","4181000","4181000-121-2004-00001","2004-02-23","","01","영업/정상","01","영업","","","","","033 2448200","138.00","","강원특별자치도 춘천시 온의동 65-32","강원특별자치도 춘천시 영서로 2347-1, 1층 (온의동)","24433","파리바게트춘천온의점","2022-06-20 11:58:36","I","2023-06-13 00:00:00","제과점영업","262884.078016557","485388.12810043","제과점영업","1","1","아파트지역","","상수도전용","0","0","0","0","0","","0","0","N","138","","","",
"7","제과점영업","07_22_18_P","4181000","4181000-121-1998-00004","1998-01-26","","01","영업/정상","01","영업","","","","","033 262 8277","94.65","","강원특별자치도 춘천시 석사동 729-7","강원특별자치도 춘천시 후석로186번길 14 (석사동, 1층)","24320","파리바게트석사점","2022-11-15 15:50:51","I","2023-06-13 00:00:00","제과점영업","266254.837802744","485232.262888294","제과점영업","0","0","아파트지역","","상수도전용","0","0","0","0","0","","0","0","N","94.65","","","",
"8","제과점영업","07_22_18_P","4181000","4181000-121-2009-00002","2009-02-10","","01","영업/정상","01","영업","","","","","","46.17","","강원특별자치도 춘천시 효자동 612-3","강원특별자치도 춘천시 서부대성로 187 (효자동, 1층)","24294","내가만든케익&쿠키이야기","2022-02-09 11:50:10","I","2023-06-13 00:00:00","제과점영업","264994.542424435","486100.322908307","제과점영업","0","0","주택가주변","","상수도전용","0","0","0","0","0","","0","0","N","46.17","","","",
"9","제과점영업","07_22_18_P","4181000","4181000-121-2001-00001","2001-03-24","","01","영업/정상","01","영업","","","","","033 2617434","87.74","","강원특별자치도 춘천시 동내면 학곡리 306-16","강원특별자치도 춘천시 동내면 영서로 1775 (1층)","24408","애디스","2022-02-09 11:44:49","I","2023-06-13 00:00:00","제과점영업","266833.425362841","481675.157950664","제과점영업","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","87.74","","","",
"10","제과점영업","07_22_18_P","4181000","4181000-121-2002-00001","2002-05-06","","01","영업/정상","01","영업","","","","","033 2538277","58.54","","강원특별자치도 춘천시 우두동 1067-1","강원특별자치도 춘천시 충열로 10-14 (우두동)","24231","파리바게뜨우두강북점","2025-03-19 16:30:32","U","2025-03-22 02:40:00","제과점영업","264041.130404907","488886.455236406","제과점영업","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","58.54","","","",
