"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","관광식당","07_24_01_P","4181000","CDFI3261041997000002","1997-08-18","","03","폐업","03","폐업","2014-11-28","","","","240-8000","","200-200","강원특별자치도 춘천시 삼천동 792","강원특별자치도 춘천시 스포츠타운길 317 (삼천동)","","데포빌","2015-12-03 09:58:40","I","2023-06-13 00:00:00","","260973.682494517","485795.52502275","관광식당업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","703.96","","0","","","","","","","0","","","","704",
"2","관광식당","07_24_01_P","4181000","CDFI3261042007000003","2007-09-05","","03","폐업","03","폐업","","","","","255-9351","","200-938","강원특별자치도 춘천시 온의동 514","강원특별자치도 춘천시 경춘로 2354 (온의동)","","OutBackSteakHouse","2021-02-05 09:18:11","I","2023-06-13 00:00:00","","263297.231644072","484808.077816798","관광식당업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","697.37","","0","","","","","","","0","","","","697",
"3","관광식당","07_24_01_P","4181000","CDFI3261042011000001","2011-04-18","","03","폐업","03","폐업","","","","","253-3179","","200-963","강원특별자치도 춘천시 후평동 891-5","강원특별자치도 춘천시 후석로 242 (후평동)","200-963","메이찬","2014-01-10 13:52:07","I","2023-06-13 00:00:00","","266178.074467257","485866.883564004","관광식당업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","관광식당","07_24_01_P","4181000","CDFI3261042002000002","2002-12-27","","01","영업/정상","13","영업중","","","","","241-5453","","200-943","강원특별자치도 춘천시 퇴계동 1159-4","강원특별자치도 춘천시 우묵길74번길 14 (퇴계동)","24367","쟈스민","2014-01-10 11:39:33","I","2023-06-13 00:00:00","","263677.53501856","485138.605082437","관광식당업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","480.4","","0","","","","","","","0","","","","480",
"5","관광식당","07_24_01_P","4181000","CDFI3261042005000002","2005-10-12","","01","영업/정상","13","영업중","","","","","243-3001","","200-931","강원특별자치도 춘천시 근화동 710-37","강원특별자치도 춘천시 공지로 426 (근화동)","","북경관","2025-03-31 16:41:51","U","2025-04-02 02:40:00","","263306.904606687","485915.433039654","관광식당업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","147.9","","0","","","","","","","0","","","","148",
"6","관광식당","07_24_01_P","4181000","CDFI3261042007000001","2007-03-09","","01","영업/정상","13","영업중","","","","","256-4282","","200-852","강원특별자치도 춘천시 동면 만천리 329-13","강원특별자치도 춘천시 동면 순환대로 1154-42","","라이라이","2025-03-31 16:42:21","U","2025-04-02 02:40:00","","268301.874672275","487416.146731608","관광식당업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","131.03","","0","","","","","","","0","","","","131",
"7","관광식당","07_24_01_P","4181000","CDFI3261042008000002","2008-12-31","","01","영업/정상","13","영업중","","","","","255-2067","","200-200","강원특별자치도 춘천시 삼천동 37-23","강원특별자치도 춘천시 옛경춘로 807 (삼천동)","24239","춘천명물닭갈비,막국수","2022-02-25 14:12:23","I","2023-06-13 00:00:00","","262114.461441104","485474.3445608","관광식당업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","328.83","","0","","","","","","","3000000000","","","","329",
"8","관광식당","07_24_01_P","4181000","CDFI3261042009000001","2009-12-24","","01","영업/정상","13","영업중","","","","","254-3841","","200-113","강원특별자치도 춘천시 소양로3가 180-5","강원특별자치도 춘천시 금강로 38 (소양로3가)","24273","회영루","2025-03-31 16:42:42","U","2025-04-02 02:40:00","","263830.109106208","486721.089820733","관광식당업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","80000000","","","","0",
"9","관광식당","07_24_01_P","4181000","CDFI3261042010000001","2010-06-01","","01","영업/정상","13","영업중","","","","","242-3010","","200-853","강원특별자치도 춘천시 동면 장학리 144-16","강원특별자치도 춘천시 동면 순환대로 1154-97","","산토리니","2010-06-01 10:14:03","I","2023-06-13 00:00:00","","268215.663240199","487927.403356436","관광식당업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","641.52","","0","","","","","","","0","","","","642",
"10","관광식당","07_24_01_P","4181000","CDFI3261042010000002","2010-10-13","","01","영업/정상","13","영업중","","","","","262-1321","","200-180","강원특별자치도 춘천시 석사동 802-2","강원특별자치도 춘천시 후석로 11-4 (석사동)","","룽타우객잔","2025-03-31 16:43:09","U","2025-04-02 02:40:00","","264972.071352915","484067.543927369","관광식당업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
