"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"1","계량기제조업","09_28_03_P","4181000","2019418034906500002","2019-12-30","","01","영업/정상","01","영업중","","","","","033 262 4009","","","강원특별자치도 춘천시 후평동 117-1","강원특별자치도 춘천시 만천로199번길 5(후평동)","24297","이엠일렉트로닉(EM ELECTRONIC)","2021-10-19 17:53:49","I","2023-06-13 00:00:00","","266312.572357802","487338.759496578","033 262 4009","",
"2","계량기제조업","09_28_03_P","4181000","2021418034906500003","2021-10-21","","01","영업/정상","01","영업중","","","","","0338174099","","","강원특별자치도 춘천시 퇴계동 858-2","강원특별자치도 춘천시 시청길 32, 3층 (조양동)","24348","주식회사 케이엘씨","2024-06-03 14:59:09","U","2024-06-05 02:40:00","","265308.03412475","482777.392253641","0338174099","",
"3","계량기제조업","09_28_03_P","4191000","2014419031706500001","2014-02-27","","01","영업/정상","01","영업중","","","","","033 737 8333","","","","강원특별자치도 원주시 문막읍 동화공단로 32","26365","송암시스콤(주)","2025-07-29 17:34:08","U","2025-07-31 02:40:00","","274916.273173597","426113.560211363","033 737 8333","",
"4","계량기제조업","09_28_03_P","4191000","2016419024106500008","2016-11-11","","01","영업/정상","01","영업중","","","","","033 743 0654","","","강원특별자치도 원주시 학성동","강원특별자치도 원주시 원일로 164-18, 1층 (학성동)","26415","우진저울","2016-11-11 15:45:29","I","2023-06-13 00:00:00","","283802.863778721","428443.573831277","033 743 0654","",
"5","계량기제조업","09_28_03_P","4191000","2019419024106500002","2019-09-20","","01","영업/정상","01","영업중","","","","","0337345161","","","","강원특별자치도 원주시 소초면 현촌길 43","26305","(주) 한불케미칼","2020-05-06 14:35:45","I","2023-06-13 00:00:00","","288278.542351879","435941.712424328","0337345161","",
"6","계량기제조업","09_28_03_P","4191000","2025419100606500002","2025-06-30","","01","영업/정상","01","영업중","","","","","0337317778","","","경기도 화성시 영천동 852-1 710호","경기도 화성시 동탄대로 643, 7층 710호 (영천동)","18468","주식회사 아카이전자","2025-06-30 17:13:55","I","2025-07-02 00:20:02","","208628.898938109","412147.220379393","0337317778","",
"7","계량기제조업","09_28_03_P","4191000","2016419024106500004","2016-03-25","","03","폐업","03","폐업","2019-10-10","","","","033 734 5161","","","","강원특별자치도 원주시 소초면 북원로 3110","26308","(주)한불에너지","2019-10-15 13:49:42","I","2023-06-13 00:00:00","","","","033 734 5161","",
"8","계량기제조업","09_28_03_P","4201000","2018420030106500001","2018-08-24","","01","영업/정상","01","영업중","","","","","033 651 0482","","","","강원특별자치도 강릉시 경강로2326번길 4, 강릉과학산업진흥원 2층 203호 (포남동)","25570","(주)이레아이에스","2018-08-27 14:19:00","I","2023-06-13 00:00:00","","368705.113784819","475673.124066199","033 651 0482","",
"9","계량기제조업","09_28_03_P","4201000","2012420011506500002","2012-03-27","","01","영업/정상","01","영업중","","","","","033 644 8943","","210-260","강원특별자치도 강릉시 청량동 574번지 1호","강원특별자치도 강릉시 율곡로 2642 (청량동)","210-260","영동산업계기","2013-12-16 18:02:43","I","2023-06-13 00:00:00","","368574.115183417","473184.731241081","033 644 8943","",
"10","계량기제조업","09_28_03_P","6530000","200964200009100001","2009-11-25","","01","영업/정상","1","등록","","","","","07088188810","","200-944","강원특별자치도 춘천시 퇴계동 861번지 1호  1호","강원특별자치도 춘천시 퇴계공단1길 56-7, 1호 (퇴계동)","200-944","주식회사제이월텍","2014-12-02 09:28:52","I","2023-06-13 00:00:00","","265024.846893486","482722.281575498","07088188810","07088108815",
"11","계량기제조업","09_28_03_P","6530000","201264200009100001","2012-06-05","","01","영업/정상","1","등록","","","","","0336448943","","210-270","강원특별자치도 강릉시 두산동  28번지 20호","강원특별자치도 강릉시 강변로670번길 14 (두산동)","210-270","영동산업계기","2015-07-06 11:30:22","I","2023-06-13 00:00:00","","370232.97526682","475729.751762322","0336448943","",
"12","계량기제조업","09_28_03_P","6530000","201264200009100002","2012-09-12","","01","영업/정상","1","등록","","","","","028564114","","230-884","강원특별자치도 영월군 영월읍 팔괴리 1260번지","강원특별자치도 영월군 영월읍 팔괴1농공단지길 47","230-884","자인테크놀로지(주)","2013-12-18 11:29:19","I","2023-06-13 00:00:00","","330049.201208691","406821.265768522","028564114","0333734114",
"13","계량기제조업","09_28_03_P","6530000","201464200009100001","2014-02-27","","01","영업/정상","1","등록","","","","","","","220-801","강원특별자치도 원주시 문막읍 동화리 1672번지 1호","강원특별자치도 원주시 문막읍 동화공단로 32","220-801","송암시스콤(주)","2014-02-27 10:43:39","I","2023-06-13 00:00:00","","274916.273173597","426113.560211363","","0337378300",
"14","계량기제조업","09_28_03_P","6530000","199664200009100001","1996-12-30","","03","폐업","3","폐업","","","","","0332624663","","200-944","강원특별자치도 춘천시 퇴계동   861번지","강원특별자치도 춘천시 퇴계공단1길 58 (퇴계동)","","정안사","2013-07-29 16:25:18","I","2023-06-13 00:00:00","","265044.54483062","482751.416401258","0332624663","0332643367",
"15","계량기제조업","09_28_03_P","6530000","200164200009100001","2001-06-25","","03","폐업","3","폐업","","","","","0333435555","","225-812","강원특별자치도 횡성군 우천면 오원리  724번지 5호","강원특별자치도 횡성군 우천면 전재로 119","","성원계기산업(주)","2013-12-18 11:34:06","I","2023-06-13 00:00:00","","295981.749285074","438588.638487742","0333435555","0333435555",
"16","계량기제조업","09_28_03_P","6530000","200264200009100001","2002-03-06","","03","폐업","3","폐업","","","","","0334326963","","250-875","강원특별자치도 홍천군 남면 양덕원1리  148번지 1호","강원특별자치도 홍천군 남면 한서로 3366","","(주)남전","2013-12-18 11:35:26","I","2023-06-13 00:00:00","","267539.677309396","457092.209211838","0334326963","0334326963",
"17","계량기제조업","09_28_03_P","6530000","200764200009100001","2007-09-06","","03","폐업","3","폐업","","","","","0317340013","","220-822","강원특별자치도 원주시 지정면 간현리  905번지","강원특별자치도 원주시 지정면 지정로 287","","주식회사 이천텍","2013-03-14 16:20:29","I","2023-06-13 00:00:00","","274255.830556132","429009.384053497","0317340013","0337327323",
"18","계량기제조업","09_28_03_P","6530000","201164200009100001","2011-06-01","","03","폐업","3","폐업","","","","","","","250-920","강원특별자치도 홍천군 홍천읍 상오안리  687번지 7호","강원특별자치도 홍천군 홍천읍 농공단지길 23-26","","엠앤에스공장(주)","2013-07-29 10:57:03","I","2023-06-13 00:00:00","","273073.211201426","461789.318690699","","",
