"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수시공업체","09_29_01_P","4181000","C001412130005140L00","1999-03-03","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 평창읍 천변리","강원특별자치도 평창군 평창읍 천변길 6","","(합)성일","2015-09-21 09:31:15","I","2023-06-13 00:00:00","","323579.168600513","430271.814642636","2","600000000","","1",
"2","지하수시공업체","09_29_01_P","4181000","C002210194403000000","2010-08-06","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 동내면 학곡리 313-23 3통5반 대호빌라 102호","강원특별자치도 춘천시 동내면 학곡서길 25, B동 102호 (덕화빌라)","","대일지하수개발","2021-12-31 10:31:26","I","2023-06-13 00:00:00","","266754.529267255","481617.345382961","2","30000000","한진시추기 SD4000","0",
"3","지하수시공업체","09_29_01_P","4181000","C002210868205000000","2007-04-04","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 동면 장학리 604","강원특별자치도 춘천시 동면 춘천순환로 808","24210","유림지하수개발","2020-10-27 11:34:28","I","2023-06-13 00:00:00","","266127.442102821","490041.828741384","2","116000000","","0",
"4","지하수시공업체","09_29_01_P","4181000","C001401130002735L00","1998-01-16","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 칠전동1길 8-9 (칠전동)","24456","(합)정인건설","2019-02-13 09:11:47","I","2023-06-13 00:00:00","","262901.897550605","482127.413878759","0","0","","0",
"5","지하수시공업체","09_29_01_P","4181000","C002210669234000000","2004-07-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 석사동 697-2","강원특별자치도 춘천시 효석로89번길 35 (석사동)","","한국지하수공사","2025-07-08 10:02:26","U","2025-07-10 02:40:00","","265195.595387305","484555.392418146","2","30000000","천공기 HG-0327(강원22고1207)-350mm
천공기 HG-0328(강원22고1208)-200mm","0",
"6","지하수시공업체","09_29_01_P","4181000","C005910181260712000","2013-06-13","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 남산면 창촌리 300-11 2통2반","강원특별자치도 춘천시 남산면 보매기길 86","200-911","변태용","2013-09-11 14:28:34","I","2023-06-13 00:00:00","","256255.649397124","475999.548306213","2","530000000","파워 6000SCD","0",
"7","지하수시공업체","09_29_01_P","4181000","C002210360251000000","2013-06-13","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 소양로1가 94-7","강원특별자치도 춘천시 소양로 194 (소양로1가)","24247","강촌공사","2020-11-02 10:00:58","I","2023-06-13 00:00:00","","263766.418688919","487799.084614366","2","530000000","","0",
"8","지하수시공업체","09_29_01_P","4181000","C002211348988000000","2015-04-10","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 동면 장학리 541","","","한일지하수개발","2020-02-16 11:58:31","I","2023-06-13 00:00:00","","266402.520634608","490473.092578399","2","182964000","","0",
"9","지하수시공업체","09_29_01_P","4181000","C001345110042826L00","2015-07-31","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 공지로 57-11 (근화동, kt남춘천사옥 2층)","","(주)우경종합건설","2015-08-06 10:23:28","I","2023-06-13 00:00:00","","","","3","700000000","유압식시추기
- power4000d
- rudrl22rh5255","0",
"10","지하수시공업체","09_29_01_P","4181000","C006610271319118000","2015-10-29","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 신북읍 금광길 15, 1동","24202","대동수자원개발","2019-08-13 17:10:15","I","2023-06-13 00:00:00","","264301.714038125","494418.583662542","2","30072000","","0",
"11","지하수시공업체","09_29_01_P","4181000","C001101115987180L00","2016-12-30","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 충혼길52번길 10, 304호 (온의동, 드림타워)","","(주)싱크워터","2024-04-24 10:48:44","U","2024-04-26 02:40:00","","","","2","70000000","","0",
"12","지하수시공업체","09_29_01_P","4181000","C001101111203465L00","2019-04-18","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 남산면 해오름길 117, 302호","","(주)에너솔라","2024-06-10 13:46:24","U","2024-06-12 02:40:00","","","","2","6573899800","","0",
"13","지하수시공업체","09_29_01_P","4181000","C001401110038304L00","2017-05-29","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 효자동 192-1 강원대 자연과학대 3호관 406호","강원특별자치도 춘천시 강원대학길 1 (효자동,강원대 자연과학대 3호관 406호)","24341","(주)지오쓰리에코","2017-05-30 15:21:08","I","2023-06-13 00:00:00","","265481.557982219","485420.871953344","2","50000000","착정기(KST-0623)","0",
"14","지하수시공업체","09_29_01_P","4181000","C006910232332857000","2018-01-19","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 동내면 거두리 457-5","강원특별자치도 춘천시 동내면 거두길 183","24399","우리지하수개발","2018-01-21 13:10:29","I","2023-06-13 00:00:00","","268400.035820668","484489.42323536","2","50000000","0 천   공   기(강원22고1336)
0 공기압축기(강원21고5029)","0",
"15","지하수시공업체","09_29_01_P","4181000","C002210534062000000","2002-02-19","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 동면 감정리 523-1","강원특별자치도 춘천시 동면 연산골길 86","","의암지하수","2012-04-24 16:37:58","I","2023-06-13 00:00:00","","269294.137018979","488778.839230905","2","32478000","1. 시추기 (한진파워4000D)
2. 시추기 (한진파워6000D)
3. 굴삭기 (03W볼보)","0",
"16","지하수시공업체","09_29_01_P","4181000","C001452110019167L00","2018-02-12","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 스포츠타운길 523 (온의동)","24429","(주)강산측량설계공사","2018-02-12 17:57:13","I","2023-06-13 00:00:00","","262762.329959774","485322.187894293","2","300000000","0 천공기, 공기압축기","0",
"17","지하수시공업체","09_29_01_P","4181000","C001401110053443L00","2019-02-28","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 강원대학길 1, 강원대학교 314호 (효자동)","24341","(주)비어스","2022-01-25 08:51:33","I","2023-06-13 00:00:00","","265481.557982219","485420.871953344","2","50000000","-천공기(경남22고5151)","0",
"18","지하수시공업체","09_29_01_P","4181000","C00580914000","2021-11-10","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 우두동 162-8 17통4반","강원특별자치도 춘천시 신샘밭로 165(신동)","24207","석정ENG","2021-11-11 08:45:29","I","2023-06-13 00:00:00","","265119.430868812","489594.933358777","2","35000000","강원22고1419(천공기)","0",
"19","지하수시공업체","09_29_01_P","4181000","C001401110005676L00","1998-01-16","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 중앙로3가 66-14","강원특별자치도 춘천시 중앙로 125 (중앙로3가)","","㈜세신","2024-04-12 10:40:54","U","2024-04-14 02:40:00","","263390.344283278","486177.855056075","2","600000000","","0",
"20","지하수시공업체","09_29_01_P","4181000","C002210653673000000","2002-02-22","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 동내면 사암리 253-1","강원특별자치도 춘천시 동내면 대룡산길 219-50","24408","강남지하수개발","2022-06-15 13:26:23","I","2023-06-13 00:00:00","","268891.638110782","481583.556024158","2","86000000","시추기(PW4000-D) 
유압카고크레인(광림734)","0",
"21","지하수시공업체","09_29_01_P","4181000","C004314301156000000","2024-03-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 칠전동 590-7","강원특별자치도 춘천시 칠전서길 28-1 (칠전동)","24457","용화산지하수개발","2024-03-27 15:27:22","I","2024-03-30 00:15:18","","262680.317626698","482360.321654958","2","33000000","- 천공기 (022가7461 , KMS-0415)
 - 굴착기 (강원02보6979 , 6H-TE4)","0",
"22","지하수시공업체","09_29_01_P","4191000","C001412130006586L00","2002-02-14","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 단구동 139-11","강원특별자치도 원주시 판부면 도매촌길 64","","합자회사 영진이엔지","2021-06-21 15:33:44","I","2023-06-13 00:00:00","","285136.588018994","425291.16701703","2","100000000","착정기(T-4W 유압식) 1대
공기압축기(900-450) 1대","0",
"23","지하수시공업체","09_29_01_P","4191000","C001412130005843L00","2002-04-30","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 판부면 서곡리 2005-10","강원특별자치도 원주시 판부면 오성마을길 77-5","","(자)건원엔지니어링","2021-01-26 15:53:16","I","2023-06-13 00:00:00","","283919.44","424599.56","3","120000000","유압형시추기(LSS-2248) 1대 : 강원22고1686","0",
"24","지하수시공업체","09_29_01_P","4191000","C001351110048251L00","2005-07-15","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 우산동 479-13 기계공구상가 나동 202호","강원특별자치도 원주시 우산로 278-1, 나동 202호 (우산동, 기계공구상가)","","지오엔지니어링(주)","2016-06-01 10:32:48","I","2023-06-13 00:00:00","","283118.278360975","431707.007702164","4","400000000","시추기(T-4)1대-임대","0",
"25","지하수시공업체","09_29_01_P","4191000","C002240158139000000","2004-03-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 문막읍 문막리 240-13","","","풍광지하수개발","2015-09-09 16:48:07","I","2023-06-13 00:00:00","","272223.259126136","422953.969686445","2","53000000","시추기Super4000MD-S80 1대","0",
"26","지하수시공업체","09_29_01_P","4191000","C002240263264000000","2007-11-19","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 우산동 479-9 바동 1층 101호","강원특별자치도 원주시 우산로 276-1, 원주기계공구단지 101호 (우산동)","26335","서원엔지니어링","2021-02-05 11:23:17","I","2023-06-13 00:00:00","","283162.721631892","431701.421868095","2","30160000","시추기 1대(파워5000형)
공기압축기 1대(임대)","0",
"27","지하수시공업체","09_29_01_P","4191000","C002241099490000000","2008-01-11","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 봉산동 50-5","","","삼성ENG","2017-04-10 14:39:55","I","2023-06-13 00:00:00","","287319.365364027","427731.534741553","2","30160000","시추기 1대(파워 4000M)
공기압축기 1대(임대)","0",
"28","지하수시공업체","09_29_01_P","4191000","C002241364901000000","2011-04-21","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 우산동 75-3","강원특별자치도 원주시 천매봉길 50-7, 102호 (단구동)","","성진엔지니어링","2025-04-23 13:52:03","U","2025-04-25 02:40:00","","283256.787822508","430252.562465644","2","60000000","","0",
"29","지하수시공업체","09_29_01_P","4191000","C002242213379000000","2008-04-30","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 소초면 둔둔리 748","","","초원지하수개발","2017-04-11 11:20:02","I","2023-06-13 00:00:00","","286748.055488445","438717.36349931","2","31500000","시추기 2대
 - LGH-0102 1대
 - LGH-0101 1대(소형)","0",
"30","지하수시공업체","09_29_01_P","4191000","C005909271547919000","2013-09-26","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 소초면 흥양리 1197","강원특별자치도 원주시 소초면 송황유사길 101-7","","제일기전","2018-10-11 14:47:22","I","2023-06-13 00:00:00","","287155.621174643","431143.380064891","2","130000000","","0",
"31","지하수시공업체","09_29_01_P","4191000","C006603292000","2022-01-04","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 원주시 입춘내길 42-1(반곡동)","26457","강산지하수개발","2022-01-04 14:08:11","I","2023-06-13 00:00:00","","285779.757032597","426306.48675295","2","43138032","천공기(KYS-0638)-강원22고5103","0",
"32","지하수시공업체","09_29_01_P","4191000","C007604122332918000","2015-04-14","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 단계동 908-13","강원특별자치도 원주시 이화4길 90-15 (단계동)","26474","펌프팜ENG","2018-04-10 14:44:42","I","2023-06-13 00:00:00","","282729.214108332","426969.169229813","2","30000000","천공기 1대(KGO-0258, 강원22고1218 : 임대)
공기압축기 1대(임대)","0",
"33","지하수시공업체","09_29_01_P","4191000","C001412110073753L00","2014-12-29","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 호저면 산현리 141","","","그린한국에너지(주)","2017-04-10 15:36:38","I","2023-06-13 00:00:00","","279074.379100706","436551.244413031","3","250000000","천공기 1대(BCD-1050 : 임대)","0",
"34","지하수시공업체","09_29_01_P","4191000","C001412130001619L00","1998-02-06","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 단계동 930-1","","","(합)인성엔지니어링","2023-01-16 10:17:31","I","2023-06-13 00:00:00","","282715.732465019","426746.175138089","4","240000000","1. 착정기 1대(미니 T-4 300M)","0",
"35","지하수시공업체","09_29_01_P","4191000","C001101110273998L00","2008-07-16","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 태장동 1720-3","강원특별자치도 원주시 태장공단길 57 (태장동)","","동해엔지니어링(주)","2021-02-05 10:57:45","I","2023-06-13 00:00:00","","283480.706955821","433992.938192297","2","250000000","지하수시추기(금강개발 임대)","0",
"36","지하수시공업체","09_29_01_P","4191000","C002240897617000000","2005-02-21","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 판부면 서곡리 629","","","강남지하수개발","2015-09-09 16:32:09","I","2023-06-13 00:00:00","","282802.249967222","423776.144341053","2","66000000","엔진105HP심도100M
엔진171HP심도350M","0",
