"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","욕실수","발한실여부","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","목욕장업","11_44_01_P","4181000","4181000-202-2023-00002","2023-08-07","","01","영업/정상","01","영업","","","","","","265.69","","강원특별자치도 춘천시 동면 만천리 326-30","강원특별자치도 춘천시 동면 순환대로 1156-21, 1층","24212","모토포럼컨벤션","2023-08-07 14:43:14","I","2023-08-09 00:19:30","찜질시설서비스영업","268488.631359992","487185.991010778","찜질시설서비스영업","3","1","1","1","0","0","2","N","","","","","0","0","Y",
"2","목욕장업","11_44_01_P","4181000","4181000-202-1991-00004","1991-10-05","","01","영업/정상","01","영업","","","","","033 2535973","1242.57","","강원특별자치도 춘천시 후평동 704-4 외1필지","강원특별자치도 춘천시 후석로 361 (후평동)","24256","토우목욕탕","2021-07-19 10:50:52","I","2023-06-13 00:00:00","공동탕업","265692.379175398","486958.248551539","공동탕업","2","0","0","2","0","0","0","Y","","","","자가","0","0","N",
"3","목욕장업","11_44_01_P","4181000","4181000-202-2019-00001","2019-12-05","","01","영업/정상","01","영업","","","","","033 250 3610","104.32","","강원특별자치도 춘천시 북산면 오항리 400-5 북산면 행복나눔터","강원특별자치도 춘천시 북산면 북산로 493-1, 북산면 행복나눔터","24208","춘천시 북산면 행복나눔터","2019-12-18 10:28:08","I","2023-06-13 00:00:00","공동탕업","277740.942832222","498689.352117316","공동탕업","2","0","1","1","0","0","1","Y","","","","","0","0","N",
"4","목욕장업","11_44_01_P","4181000","4181000-202-1960-00002","1960-10-25","","01","영업/정상","01","영업","","","","","033 253 3610","211.08","","강원특별자치도 춘천시 효자동 740-6","강원특별자치도 춘천시 춘천로213번길 9 (효자동)","24261","바위목욕탕","2025-09-16 15:12:31","U","2025-09-18 02:40:00","공동탕업","264777.033299891","486429.36443569","공동탕업","2","1","0","0","0","0","2","Y","","","","","0","0","N",
"5","목욕장업","11_44_01_P","4181000","4181000-202-2003-00003","2003-09-19","","01","영업/정상","01","영업","","","","","033 2556777","756.00","","강원특별자치도 춘천시 동면 638-20","강원특별자치도 춘천시 동면 만천로 80-5","24215","암반수사우나","2021-03-22 16:21:06","I","2023-06-13 00:00:00","공동탕업","267285.861163414","486662.884180013","공동탕업","2","0","1","2","0","0","2","N","","","","","0","0","N",
"6","목욕장업","11_44_01_P","4181000","4181000-202-1997-00001","1997-12-29","","01","영업/정상","01","영업","","","","","033 253 4114","767.30","","강원특별자치도 춘천시 퇴계동 1155","강원특별자치도 춘천시 우묵들길 24 (퇴계동)","24367","대한스포렉스","2025-02-06 13:38:09","U","2025-02-08 02:40:00","공동탕업","263708.146153108","485107.143480244","공동탕업","5","1","1","2","0","0","2","Y","","","","","0","0","N",
"7","목욕장업","11_44_01_P","4181000","4181000-202-2021-00002","2021-10-20","","01","영업/정상","01","영업","","","","","033 241 5958","379.45","","강원특별자치도 춘천시 온의동 52-7","강원특별자치도 춘천시 영서로 2333, 지하1층 (온의동)","24433","온의불한증막","2024-06-14 10:17:57","U","2024-06-16 02:40:00","공동탕업","262960.169188415","485250.601968188","공동탕업","5","1","0","0","1","0","0","N","","","","","0","0","Y",
"8","목욕장업","11_44_01_P","4181000","4181000-202-2017-00001","2017-09-08","","01","영업/정상","01","영업","","","","","033 255 3766","707.89","","강원특별자치도 춘천시 퇴계동 891 지하1층, 지상2층","강원특별자치도 춘천시 공원4길 23 (퇴계동)","24441","퇴계목욕탕","2024-05-14 10:54:12","U","2024-05-16 02:40:00","공동탕업","263622.826907246","484368.287575949","공동탕업","0","0","2","2","1","1","2","N","","","","임대","0","0","N",
"9","목욕장업","11_44_01_P","4181000","4181000-202-2022-00002","2022-12-07","","01","영업/정상","01","영업","","","","","033 262 6062","267.89","","강원특별자치도 춘천시 석사동 37","강원특별자치도 춘천시 세실로 100-12, 지하1층 (석사동)","24315","영사우나","2022-12-22 10:16:34","I","2023-06-13 00:00:00","공동탕업","266752.417280968","485104.103457286","공동탕업","4","1","1","1","0","0","3","Y","","","","","0","0","N",
"10","목욕장업","11_44_01_P","4181000","4181000-202-2021-00001","2021-09-07","","01","영업/정상","01","영업","","","","","","315.54","","강원특별자치도 춘천시 남산면 방곡리 53","강원특별자치도 춘천시 남산면 풀무골길 123","24465","강원숯가마","2023-07-06 14:51:27","U","2023-07-08 02:40:00","찜질시설서비스영업","257443.966736513","477762.240959358","찜질시설서비스영업","1","0","1","0","0","0","0","Y","","","","자가","0","0","Y",
