"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"1","관광숙박업","03_11_01_P","4181000","CDFI2260031997000001","1997-04-14","","03","폐업","03","폐업","2015-07-28","","","","240-8000","","200-200","강원특별자치도 춘천시 삼천동 792","강원특별자치도 춘천시 스포츠타운길 317 (삼천동)","","두산큐벡스(주)라데나콘도","2015-07-28 14:29:57","I","2023-06-13 00:00:00","","260973.682494517","485795.52502275","관광숙박업","관광사업","","0","","","","의료시설","0","0","125","0","DOOSAN CUVEX LADENA CONDO","RESORT CONDOMINIUM","0","0","","0","0","","0","11870","","0","","","","","","","0","","","","11870","",
"2","관광숙박업","03_11_01_P","4181000","CDFI2260032014000001","2014-04-28","","03","폐업","03","폐업","2018-10-11","","","","033-818-4200","","200-200","강원특별자치도 춘천시 삼천동 217","강원특별자치도 춘천시 스포츠타운길399번길 22 (삼천동)","24239","케이티앤지 상상마당 춘천 스테이","2018-10-12 13:48:38","I","2023-06-13 00:00:00","","261744.96164932","485806.719462738","관광숙박업","","자연녹지지역","4","기타","","","숙박시설","4","1","58","5445","","","0","0","","0","0","","0","1463.23","","0","","","","","","","30000000","","","","1463","관광호텔업",
"3","관광숙박업","03_11_01_P","4181000","CDFI2260032018000002","2018-04-24","","03","폐업","03","폐업","2022-07-12","","","","033 256 5401","","","강원특별자치도 춘천시 근화동 264-32","강원특별자치도 춘천시 공지로 469, 2층 (근화동)","24246","봄엔게스트하우스","2022-07-13 16:55:31","I","2023-06-13 00:00:00","","262865.074052456","486016.941750244","관광숙박업","","일반상업지역","0","","","","숙박시설","0","0","4","531","","","0","0","","0","0","","0","149.73","","0","","","","","","","0","","","","150","호스텔업",
"4","관광숙박업","03_11_01_P","4181000","CDFI2260032018000003","2018-07-11","","03","폐업","03","폐업","2019-07-22","","","","033-264-1477","","","강원특별자치도 춘천시 효자동 367-17","강원특별자치도 춘천시 남춘로36번길 4 (효자동)","24376","춘천 봄 호텔","2019-07-22 14:05:59","I","2023-06-13 00:00:00","","264333.078869355","484855.78001788","관광숙박업","","상업지역","0","","","","","5","1","0","0","","","0","0","","0","0","","0","633","","0","","","","","","","0","","","","633","소형호텔업",
"5","관광숙박업","03_11_01_P","4181000","CDFI2260031980000001","1980-02-13","","03","폐업","03","폐업","2016-12-02","","","","257-1900","","200-100","강원특별자치도 춘천시 낙원동 30-1","강원특별자치도 춘천시 중앙로68번길 12 (낙원동)","24273","춘천관광호텔","2016-12-02 18:04:55","I","2023-06-13 00:00:00","","263786.747489063","486648.201975675","관광숙박업","관광사업","","7","","","","숙박시설","7","1","52","3400","CHUNCHEON TOURIST HOTEL","TOURIST HOTEL","0","0","","0","0","","0","3399","","0","","","","","","","0","","","","3399","",
"6","관광숙박업","03_11_01_P","4181000","CDFI2260031998000001","1998-10-27","","01","영업/정상","13","영업중","","","","","260-2000","","","강원특별자치도 춘천시 남산면 백양리 29-1 엘리시안 강촌","강원특별자치도 춘천시 남산면 북한강변길 688, 엘리시안 강촌","24464","엘리시안 강촌 콘도미니엄","2025-06-04 10:49:21","U","2025-06-06 02:40:00","","251021.728216938","480612.913126754","관광숙박업","관광사업","관리지역","16","","","","","15","1","222","51235","ELSWEETGANGCHON RESORT CONDOMINIUM","RESORT CONDOMINIUM","0","0","","0","0","","0","49042.28","","0","","","","","","","0","","","","49042","휴양콘도미니엄업",
"7","관광숙박업","03_11_01_P","4181000","CDFI2260032018000001","2018-04-24","","01","영업/정상","13","영업중","","","","","033 262 4183","","","강원특별자치도 춘천시 동산면 조양리 산 199 라비에벨 컨트리클럽","강원특별자치도 춘천시 동산면 종자리로 436, 라비에벨 컨트리클럽","24410","라비에벨 콘도 1차(빌라듄스)","2023-10-24 15:10:09","U","2023-10-26 02:40:00","","266801.723069835","471255.505860593","관광숙박업","","","2","","","","콘도미니엄","2","0","34","3653","","","0","0","","0","0","","0","45063","","0","","","","","","","0","","","","45063","휴양콘도미니엄업",
"8","관광숙박업","03_11_01_P","4181000","CDFI2260032018000004","2018-07-23","","01","영업/정상","13","영업중","","","","","033-256-2230","","","강원특별자치도 춘천시 효자동 683-8","강원특별자치도 춘천시 닥나무길 12 (효자동)","24366","에스파스(ESPACE) 호스텔","2024-07-08 16:35:24","U","2024-07-10 02:40:00","","263794.943527404","485486.524793106","관광숙박업","","일반주거지역","5","","","삼성화재","숙박시설","4","1","23","764","","","0","0","","0","0","","0","488.7","","0","","","","","","","0","","","","489","호스텔업",
"9","관광숙박업","03_11_01_P","4181000","CDFI2260032018000005","2018-12-20","","01","영업/정상","13","영업중","","","","","033-255-3000","","","강원특별자치도 춘천시 삼천동 13-1","강원특별자치도 춘천시 수변공원길 11 (삼천동)","24239","호텔공지천","2024-04-04 14:22:09","U","2024-04-06 02:40:00","","262155.339956187","485796.818762133","관광숙박업","","일반주거지역","0","","","","숙박시설","5","1","50","5858","","","0","0","","0","0","","0","5857.76","","0","","","","","","","0","","","","5858","가족호텔업",
"10","관광숙박업","03_11_01_P","4181000","CDFI2260032022000001","2022-04-01","","01","영업/정상","13","영업중","","","","","033-253-1117","","","강원특별자치도 춘천시 퇴계동 343-43","강원특별자치도 춘천시 퇴계로77번길 22 (퇴계동)","24370","호텔 인트로","2025-06-24 10:27:51","U","2025-06-26 02:40:00","","264242.229087051","484904.312173302","관광숙박업","","일반상업지역","5","","","","","0","0","20","997","","","0","0","","0","0","","0","997.04","","0","","","","","","","0","","","","997","소형호텔업",
