"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","지정일자","민원종류명",
"1","담배소매업","11_43_02_P","4181000","2023418108105600014","2023-08-31","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 삼천동 238-3 MBC춘천문화방송","강원특별자치도 춘천시 수변공원길 54, MBC춘천문화방송 1층 (삼천동)","24239","쉴만한 물가","2023-08-31 13:45:23","I","2023-09-02 00:18:46","","261823.333742905","486063.952881273","20230831","제7조의3제2항에따른경우",
"2","담배소매업","11_43_02_P","4181000","2023418108105600016","2023-09-08","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 퇴계동 1018","강원특별자치도 춘천시 지석로 74-11, 1층 A07,B08호 (퇴계동)","24420","이마트24 SMART 춘천퇴계시장점","2023-09-08 15:23:44","I","2023-09-10 00:18:09","","265346.955057411","483293.365700144","20230908","제7조의3제2항에따른경우",
"3","담배소매업","11_43_02_P","4181000","2023418108105600010","2023-08-01","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 동면 장학리 139-76","강원특별자치도 춘천시 동면 순환대로 1154-113, 2층","24212","지에스(GS)25춘천구봉산","2023-08-09 11:39:40","U","2023-08-11 02:40:00","","268250.900720974","488076.519416888","20230801","제7조의3제2항에따른경우",
"4","담배소매업","11_43_02_P","4181000","2023418108105600012","2023-08-01","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 소양로2가 173-1","강원특별자치도 춘천시 소양로 148 (소양로2가)","24269","서부쌀상회","2023-08-09 11:56:40","U","2023-08-11 02:40:00","","263655.831015453","487323.369869407","20230801","제7조의3제2항에따른경우",
"5","담배소매업","11_43_02_P","4181000","2023418108105600005","2023-06-30","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 사농동 810 춘천 롯데캐슬 더 퍼스트 2단지","강원특별자치도 춘천시 마장길 60, 상가동 1층 101호 (사농동, 춘천 롯데캐슬 더 퍼스트 2단지)","24222","씨유 춘천사농점","2023-06-30 10:34:44","I","2023-07-02 00:19:39","","264225.476616862","489801.111062068","20230630","제7조의3제2항에따른경우",
"6","담배소매업","11_43_02_P","4181000","2023418108105600009","2023-07-27","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 온의동 536-5","강원특별자치도 춘천시 춘주로92번길 38 (온의동)","24438","지에스25 춘천 춘주로점","2023-07-27 10:33:22","I","2023-07-29 00:18:58","","263102.171234487","484309.844689688","20230727","제7조의3제2항에따른경우",
"7","담배소매업","11_43_02_P","4181000","2023418108105600006","2023-07-06","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 삼천동 67-4","강원특별자치도 춘천시 옛경춘로 742 (삼천동)","24431","(주)춘천제일식자재마트","2023-07-07 11:57:29","I","2023-07-09 00:19:03","","262216.05844266","484785.151651868","20230706","제7조의3제2항에따른경우",
"8","담배소매업","11_43_02_P","4181000","2023418108105600007","2023-07-06","","01","영업/정상","0","정상영업","","","","","033-262-4800","","","강원특별자치도 춘천시 석사동 745-3","강원특별자치도 춘천시 우석로 77 (석사동)","24324","지에스(GS)25춘천우석로","2024-04-12 11:25:10","U","2024-04-14 02:40:00","","266229.080935136","484998.611158932","20230706","제7조의3제2항에따른경우",
"9","담배소매업","11_43_02_P","4181000","2023418108105600002","2023-06-22","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 퇴계동 395-5","강원특별자치도 춘천시 남춘로 26, 1층 1-3호 (퇴계동)","24376","씨유 남춘천신시가지점","2023-06-22 15:24:30","I","2023-06-24 00:19:17","","264283.892102585","484778.609172609","20230622","제7조의3제2항에따른경우",
"10","담배소매업","11_43_02_P","4181000","2004418001605600082","2004-06-25","","01","영업/정상","0","정상영업","","","","","033 2623840","","","강원특별자치도 춘천시 신동면 혈동리 334호","","","오봉식품","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","262809.670923368","476254.71530209","","",
"11","담배소매업","11_43_02_P","4181000","2004418001605600083","2004-06-25","","01","영업/정상","0","정상영업","","","","","033 2438011","","","강원특별자치도 춘천시 서면 신매리 529번지 6   호","강원특별자치도 춘천시 서면 보가터길 4","","서춘천농업협동조합","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","261728.194025404","492413.75649102","","",
"12","담배소매업","11_43_02_P","4181000","2004418001605600086","2004-06-30","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 서면 안보리 110번지 2   호","","","강원휴게소","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","251981.5238931","481426.003564161","","",
"13","담배소매업","11_43_02_P","4181000","2004418001605600090","2004-07-03","","01","영업/정상","0","정상영업","","","","","033 2552290","","","강원특별자치도 춘천시 후평동 호 주공3단지(아) 상가 104","","","채널4(3호점)","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","","","","",
"14","담배소매업","11_43_02_P","4181000","2023418108105600003","2023-06-26","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 서면 오월리 197-8","강원특별자치도 춘천시 서면 납실길 17","24460","냇가가든","2023-06-26 17:14:57","I","2023-06-28 00:19:13","","256452.172407607","497560.259291081","20230626","제7조의3제2항에따른경우",
"15","담배소매업","11_43_02_P","4181000","2023418108105600004","2023-06-27","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 근화동 361-1","강원특별자치도 춘천시 옛경춘로 880 (근화동)","24428","조각공원매점","2023-06-28 10:42:12","I","2023-06-30 00:19:11","","262702.594980315","485801.6134042","20230627","제7조의3제2항에따른경우",
"16","담배소매업","11_43_02_P","4181000","2011418016605600031","2011-03-28","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 중앙로1가 91번지 지하상가 가열 39호","강원특별자치도 춘천시 중앙로 지하 33, 지하상가 가열 39호 (중앙로1가)","24271","장미슈퍼","2016-09-27 22:19:12","I","2023-06-13 00:00:00","","264063.07608168","486899.162452165","20110328","제7조의3제2항에따른경우",
"17","담배소매업","11_43_02_P","4181000","2013418022905600072","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","","","강원특별자치도 춘천시 영서로 3102 (사농동)","200-140","92정비대대(황소마트 4호점)","2013-09-24 17:24:37","I","2023-06-13 00:00:00","","263580.836567809","492033.712381179","20130924","2009년11월법개정전자료",
"18","담배소매업","11_43_02_P","4181000","2013418022905600073","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-863","강원특별자치도 춘천시 사북면 지촌리 237번지","강원특별자치도 춘천시 사북면 영서로 4966","","27전차(쌍용공병마트1-1)","2013-09-24 17:28:52","I","2023-06-13 00:00:00","","256550.087635167","505723.454763029","20130924","2009년11월법개정전자료",
"19","담배소매업","11_43_02_P","4181000","2013418022905600074","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-863","강원특별자치도 춘천시 사북면 지촌리 575번지","강원특별자치도 춘천시 사북면 영서로 4809","200-863","105공병마트(쌍용공병마트 1호점)","2014-02-26 11:24:43","I","2023-06-13 00:00:00","","256232.791736765","504199.818690691","20130924","2009년11월법개정전자료",
"20","담배소매업","11_43_02_P","4181000","2013418022905600077","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-822","강원특별자치도 춘천시 신북읍 산천리 876번지 4호","강원특별자치도 춘천시 신북읍 지내고탄로 470","200-822","5000부대(십자성마트본점-1)","2014-02-26 11:12:12","I","2023-06-13 00:00:00","","264645.539290195","496763.980328617","20130924","2009년11월법개정전자료",
"21","담배소매업","11_43_02_P","4181000","2013418022905600078","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-822","강원특별자치도 춘천시 신북읍 산천리 754번지","강원특별자치도 춘천시 신북읍 신북로 430-25","200-822","12화학대마트(십자성마트 본점)","2014-02-25 17:48:25","I","2023-06-13 00:00:00","","264705.629782714","495908.775587529","20130924","2009년11월법개정전자료",
"22","담배소매업","11_43_02_P","4181000","2013418022905600079","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-829","강원특별자치도 춘천시 우두동 사서함","","","2공병여단마트(쌍용공병마트 본점)","2013-09-24 18:00:38","I","2023-06-13 00:00:00","","","","20130924","2009년11월법개정전자료",
"23","담배소매업","11_43_02_P","4181000","2013418022905600080","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-829","강원특별자치도 춘천시 신북읍 율문리 사서함","","","205항공(꿀단지마트본점-1)","2013-09-24 18:09:01","I","2023-06-13 00:00:00","","","","20130924","2009년11월법개정전자료",
"24","담배소매업","11_43_02_P","4181000","2013418022905600081","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-829","강원특별자치도 춘천시 신북읍 율문리 사서함","","","504항공단마트(꿀단지마트 본점)","2013-09-24 18:11:44","I","2023-06-13 00:00:00","","","","20130924","2009년11월법개정전자료",
