"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물미용업","02_03_11_P","4181000","418100004920230002","2023-07-31","","01","영업/정상","0000","정상","","","","","033-244-1171","0","","강원특별자치도 춘천시 동면 만천리 ***-**","강원특별자치도 춘천시 동면 서부대성로 ***-*","24217","호두마루 이발소","2023-07-31 17:02:38","I","2023-08-02 00:18:52","","267251.592274647","485975.07585563","동물미용업","동물미용업(일반)","000","0",
"2","동물미용업","02_03_11_P","4181000","418100004920230001","2023-06-21","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 우두동 **** ***동 ***호","강원특별자치도 춘천시 우두*길 **, ***동 ***호 (우두동)","24221","개꾸밈","2023-06-21 09:49:47","I","2023-06-23 00:19:17","","264679.912044023","489794.047137665","동물미용업","동물미용업(일반)","000","0",
"3","동물미용업","02_03_11_P","4181000","418000004920180038","2018-09-20","","01","영업/정상","0000","정상","","","","","252-7582","0","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 행촌로 **-* (퇴계동)","24441","제일동물병원","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","263722.526220741","484457.58853338","동물미용업","동물미용업(일반)","000","0",
"4","동물미용업","02_03_11_P","4181000","418000004920210002","2021-03-16","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 벌말길**번길 *-* (석사동)","24384","멍살롱","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","265139.313902296","484356.244281316","동물미용업","동물미용업(일반)","000","0",
"5","동물미용업","02_03_11_P","4181000","418000004920210008","2021-06-25","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 ***-* 퇴계(*)주공아파트 상가동 ***호","강원특별자치도 춘천시 퇴계로 ***, 퇴계(*)주공아파트 상가동 ***호 (퇴계동)","24378","루비반지 PET SHOP 퇴계점","2022-06-20 09:35:32","I","2023-06-13 00:00:00","","264862.666927956","484182.8773591","동물미용업","동물미용업(일반)","000","0",
"6","동물미용업","02_03_11_P","4181000","418000004920210010","2021-07-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 우석로 **, *층 (석사동)","24326","이쁘개","2023-08-24 11:45:11","U","2023-08-26 02:40:00","","265788.711951446","484694.16487951","동물미용업","동물미용업(일반)","000","0",
"7","동물미용업","02_03_11_P","4181000","418000004920210014","2021-09-13","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 안마산로 ***(석사동)","24416","비엔몽","2022-04-28 18:08:59","I","2023-06-13 00:00:00","","265881.050273976","483391.733446213","동물미용업","동물미용업(일반)","000","0",
"8","동물미용업","02_03_11_P","4181000","418000004920210015","2021-10-15","","01","영업/정상","0000","정상","","","","","070-7777-3820","0","","강원특별자치도 춘천시 신북읍 산천리 ****-*","강원특별자치도 춘천시 신북읍 신북로 ***","24203","예당 앤 다울","2022-04-28 18:08:59","I","2023-06-13 00:00:00","","265981.722247464","493211.600874052","동물미용업","동물미용업(일반)","000","0",
"9","동물미용업","02_03_11_P","4181000","418000004920180047","2018-10-16","","01","영업/정상","0000","정상","","","","","033-2443969","0","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 춘주로***번길 **, ***호 (퇴계동)","24443","바셋하운드","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","263888.812372849","484443.867369385","동물미용업","동물미용업(일반)","000","0",
"10","동물미용업","02_03_11_P","4181000","418000004920180050","2018-10-26","","01","영업/정상","0000","정상","","","","","2612524","0","","강원특별자치도 춘천시 퇴계동 ***-* 하나로마트(퇴계점)","강원특별자치도 춘천시 지석로 **, 하나로마트(퇴계점) 별관동 ***호 (퇴계동)","24413","닥터각 동물병원","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","264838.52203719","483744.542704867","동물미용업","동물미용업(일반)","000","0",
