"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","사료제조업","02_04_05_P","6530000","653000050220230013","2023-08-03","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 원주시 단구동  186번지 2호 원흥아파트 101동 614호","강원특별자치도 원주시 치악로 1634, 101동 614호 (단구동, 원흥아파트)","26451","MYK 무역","2023-08-03 17:33:00","I","2023-08-05 00:18:48","사료제조업(수입)","285034.9870185","425694.72626518","사료제조업","","0","000","0",
"2","사료제조업","02_04_05_P","6530000","653000050220230014","2023-08-16","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 원주시 귀래면 귀래리 549번지 5호","강원특별자치도 원주시 귀래면 귀운길 4-1","26500","명작푸드","2023-08-16 10:49:33","I","2023-08-18 00:18:28","사료제조업(수입)","277140.237168377","413443.755202452","사료제조업","","0","000","0",
"3","사료제조업","02_04_05_P","6530000","653000050220230004","2023-07-04","","01","영업/정상","0000","정상","","","","","07077978090","","","강원특별자치도 강릉시 용강동  29번지 0호 서부시장 37호","강원특별자치도 강릉시 임영로155번길 6, 서부시장 37호 (용강동)","25528","무지개간식","2023-07-04 14:27:24","I","2023-07-06 00:19:23","사료제조업(단미)","366564.34266928","474192.135182166","사료제조업","","0","000","0",
"4","사료제조업","02_04_05_P","6530000","653000050220230005","2023-07-10","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 북산면 추곡리 97번지 3호","강원특별자치도 춘천시 북산면 소양호로 122","","웰빙영농조합법인 사료공장","2023-07-10 14:08:30","I","2023-07-13 00:19:21","사료제조업(단미)","278095.907571334","503063.738502575","사료제조업","","0","000","0",
"5","사료제조업","02_04_05_P","6530000","653000050220230006","2023-07-10","","01","영업/정상","0000","정상","","","","","0336443116","","","강원특별자치도 강릉시 사천면 산대월리 340번지 0호","강원특별자치도 강릉시 사천면 하남길 30","25441","마이크로알지에스크어스","2023-07-10 13:42:55","I","2023-07-13 00:19:21","사료제조업(배합)","364646.645342428","480469.378258527","사료제조업","","0","000","0",
"6","사료제조업","02_04_05_P","6530000","653000050220230015","2023-08-18","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 강릉시 강동면 임곡리 124번지 0호","강원특별자치도 강릉시 강동면 임곡로 707","25629","주식회사 유니콘","2023-08-18 14:09:55","I","2023-08-20 00:19:02","사료제조업(보조)","374047.94172323","467169.631686695","사료제조업","","0","000","0",
"7","사료제조업","02_04_05_P","6530000","653000050220230016","2023-08-18","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 강릉시 강동면 임곡리 124번지 0호","강원특별자치도 강릉시 강동면 임곡로 707","25629","주식회사 유니콘","2023-08-18 14:25:57","I","2023-08-20 00:19:02","사료제조업(단미)","374047.94172323","467169.631686695","사료제조업","","0","000","0",
"8","사료제조업","02_04_05_P","6530000","653000050220230017","2023-08-18","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 평창군 용평면 장평리 284번지 3호 103호","강원특별자치도 평창군 용평면 평창대로 1910-1, 103호","25315","농업회사법인 주식회사 제이에스내추럴","2023-08-18 14:38:19","I","2023-08-20 00:19:02","사료제조업(단미)","325433.469052084","453691.432315934","사료제조업","","0","000","0",
"9","사료제조업","02_04_05_P","6530000","653000050220230018","2023-08-18","","01","영업/정상","0000","정상","","","","","0337332490","","","강원특별자치도 원주시 문막읍 동화리 1642번지 5호 원주벤처공장 207호","강원특별자치도 원주시 문막읍 동화공단로 130-2, 원주벤처공장 207호","26365","주식회사 네오메디코리아","2023-08-18 14:41:44","I","2023-08-20 00:19:02","사료제조업(보조)","274136.538031774","426337.490886497","사료제조업","","0","000","0",
"10","사료제조업","02_04_05_P","6530000","653000050220230012","2023-07-31","","01","영업/정상","0000","정상","","","","","07077978090","","","강원특별자치도 강릉시 용강동  29번지 0호 서부시장 37호","강원특별자치도 강릉시 임영로155번길 6, 서부시장 1층 37호 (용강동)","","무지개간식","2023-07-31 17:23:56","I","2023-08-02 00:18:52","사료제조업(단미)","366564.34266928","474192.135182166","사료제조업","","0","000","0",
"11","사료제조업","02_04_05_P","6530000","653000050220230007","2023-07-17","","01","영업/정상","0000","정상","","","","","07088355999","","","강원특별자치도 원주시 귀래면 귀래리 549번지 5호","강원특별자치도 원주시 귀래면 귀운길 4-1","26500","명작푸드","2023-07-17 17:08:09","I","2023-07-19 00:18:55","사료제조업(수입)","277140.237168377","413443.755202452","사료제조업","","0","000","0",
"12","사료제조업","02_04_05_P","6530000","653000050220230008","2023-07-21","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 강릉시 대전동  921번지 1호","강원특별자치도 강릉시 사임당로 641-28, 가톨릭관동대학교RD파크 306호 (대전동)","","에코텍","2023-09-07 14:39:33","U","2023-09-09 02:40:00","사료제조업(배합)","363215.057592796","478790.288759702","사료제조업","","0","000","0",
"13","사료제조업","02_04_05_P","6530000","653000050220230009","2023-07-21","","01","영업/정상","0000","정상","","","","","07088355999","","","강원특별자치도 원주시 귀래면 귀래리 549번지 5호","강원특별자치도 원주시 귀래면 귀운길 4-1","","명작푸드","2023-07-21 11:10:54","I","2023-07-23 00:19:03","사료제조업(단미)","277140.237168377","413443.755202452","사료제조업","","0","000","0",
"14","사료제조업","02_04_05_P","6530000","653000050220230010","2023-07-21","","01","영업/정상","0000","정상","","","","","0332553189","","","강원특별자치도 춘천시 후평동  873번지 5호","강원특별자치도 춘천시 후만로126번길 16, 1층 (후평동)","","펫푸드온 주식회사","2023-07-21 11:19:26","I","2023-07-23 00:19:03","사료제조업(단미)","266680.210378259","486224.177370323","사료제조업","","0","000","0",
