"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"1","석유및석유대체연료판매업체","09_28_07_P","6530000","200164200006500001","2001-12-29","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0336516050","","240-806","강원특별자치도 동해시 송정동  940번지","강원특별자치도 강릉시 남강초교1길 55 (송정동)","240-806","(주)금강에너지","2012-11-08 00:00:00","U","2025-07-02 02:40:00","일반대리점","369209.305692856","475939.522243006","550000000","현대",
"2","석유및석유대체연료판매업체","09_28_07_P","6530000","200064200006500001","2000-08-28","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0335332756","","240-050","강원특별자치도 동해시 묵호동   93번지 4호 동해항, 묵호항","강원특별자치도 동해시 일출로 53 (묵호진동,동해항, 묵호항)","","동해급유주식회사","2019-03-07 00:00:00","U","2025-07-02 02:40:00","일반대리점","386694.947664909","452099.246237193","100000000","S-Oil",
"3","석유및석유대체연료판매업체","09_28_07_P","6530000","200364200006500001","2003-06-09","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0337341595","","220-833","강원특별자치도 원주시 소초면 장양리 923번지","강원특별자치도 원주시 소초면 북원로 3104","220-833","(주)세화에너지","2013-12-19 00:00:00","U","2025-07-02 02:40:00","일반대리점","285191.541731901","435577.125878434","120000000","S-Oil",
"4","석유및석유대체연료판매업체","09_28_07_P","6530000","200464200006500001","2004-10-21","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0337470051","","220-963","강원특별자치도 원주시 학성동  596번지 1호","강원특별자치도 원주시 정지길 31 (학성동)","220-963","굿오일네트워크주식회사","2012-11-08 00:00:00","U","2025-07-02 02:40:00","일반대리점","283813.424148848","429533.842389906","500000000","S-Oil",
"5","석유및석유대체연료판매업체","09_28_07_P","6530000","200964200006500002","2009-09-24","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0336370051","","135-996","서울특별시 강남구 논현2동  210번지","서울특별시 강남구 학동로 234 (논현동)","135-996","(주)투미비티","2012-11-08 00:00:00","U","2025-07-02 02:40:00","일반대리점","202989.733899789","445845.968560425","1650519100","SK",
"6","석유및석유대체연료판매업체","09_28_07_P","6530000","201264200006500001","2012-05-07","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","210-390","강원특별자치도 강릉시 운산동  371번지 3호","강원특별자치도 강릉시 독송길 120 (운산동)","210-390","(주)송호에너지","2017-03-28 00:00:00","U","2025-07-02 02:40:00","일반대리점","371122.125411754","472129.568789951","100000000","기타",
"7","석유및석유대체연료판매업체","09_28_07_P","6530000","201364200006500002","2013-08-02","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","122-060","서울특별시 은평구 구산동  9번지 8호","서울특별시 은평구 서오릉로23길 9-8, 2동 2층 201호 (구산동,동익파크아파트)","122-060","진성에너지","2014-11-27 00:00:00","U","2025-07-02 02:40:00","일반대리점","192330.892100552","456449.57992438","100000000","현대",
"8","석유및석유대체연료판매업체","09_28_07_P","6530000","201564200006500003","2015-09-14","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0337344906","","","강원특별자치도 원주시 학성동 596번지 1호","강원특별자치도 원주시 정지길 31 (학성동)","26332","썬에너지주식회사","2023-05-22 00:00:00","U","2025-07-02 02:40:00","일반대리점","283813.424148848","429533.842389906","100000000","SK",
"9","석유및석유대체연료판매업체","09_28_07_P","6530000","200164200006500003","2001-11-10","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0337474235","","220-864","강원특별자치도 원주시 신림면 1284번지 3호","강원특별자치도 원주시 신림면 신림황둔로 833","220-864","(주)대경이앤지","2021-04-26 00:00:00","U","2025-07-02 02:40:00","일반대리점","302393.064835365","416985.341275701","100000000","현대",
"10","석유및석유대체연료판매업체","09_28_07_P","6530000","197864200006500001","1978-03-24","","03","폐업","3","폐지","2012-07-23","","","","0332515102","","200-111","강원특별자치도 춘천시 소양로1가  93번지 8호","강원특별자치도 춘천시 소양로 206 (소양로1가)","200-111","동국석유주식회사","2012-07-23 00:00:00","U","2025-07-02 02:40:00","일반대리점","263805.225913508","487878.308858329","100000000","SK",
