"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","수영장업","10_35_01_P","4181000","CDFH3301011992000001","1992-11-20","","03","폐업","03","폐업","2005-02-22","","","","255-1002","","200-959","강원특별자치도 춘천시 후평동 849-6","강원특별자치도 춘천시 후석로379번길 27  (후평동)","","YMCA수영장","2006-10-08 16:02:11","I","2023-06-13 00:00:00","","265426.824267281","487031.17141339","수영장업","사립","0","0","0","0","0","","",
"2","수영장업","10_35_01_P","4181000","CDFH3301011995000001","1995-05-03","","03","폐업","03","폐업","2009-08-14","","","","254-7650","","200-835","강원특별자치도 춘천시 서면 신매리 36-1","강원특별자치도 춘천시 서면 신매강변길 84","","위도수영장","2009-08-14 15:59:27","I","2023-06-13 00:00:00","","262872.940625681","491480.698562187","수영장업","사립","0","0","0","0","0","","",
"3","수영장업","10_35_01_P","4181000","CDFH3301011997000001","1997-09-11","","03","폐업","03","폐업","2003-05-22","","","","","","200-043","강원특별자치도 춘천시 중앙로3가 69","강원특별자치도 춘천시 공지로 442-10  (중앙로3가)","","춘천학생수영장","2006-10-08 16:06:00","I","2023-06-13 00:00:00","","263218.765323234","486052.083208912","수영장업","사립","0","0","0","0","0","","",
"4","수영장업","10_35_01_P","4181000","CDFH3301011998000001","1998-07-15","","03","폐업","03","폐업","2014-08-20","","","","253-0709","","200-230","강원특별자치도 춘천시 중도동 567-1","","","춘천중도실외수영장","2014-08-20 18:03:08","I","2023-06-13 00:00:00","","261101.378428763","487111.138791883","수영장업","사립","Y","0","0","675.4","0","","",
"5","수영장업","10_35_01_P","4181000","CDFH3301011999000001","1999-03-18","","03","폐업","03","폐업","2014-11-07","","","","033-240-8134","","200-200","강원특별자치도 춘천시 삼천동 792","강원특별자치도 춘천시 스포츠타운길 317 (삼천동)","200-200","라데나콘도 수영장","2014-11-11 11:06:50","I","2023-06-13 00:00:00","","260973.682494517","485795.52502275","수영장업","사립","","0","0","0","0","","",
"6","수영장업","10_35_01_P","4181000","CDFH3301011990000001","1990-01-08","","01","영업/정상","13","영업중","","","","","033-252-7222","","","강원특별자치도 춘천시 사농동 316-1 육림랜드","강원특별자치도 춘천시 영서로 2965, 육림랜드 (사농동)","24235","육림풀장","2022-12-02 14:09:11","I","2023-06-13 00:00:00","","263240.354065638","490667.262820258","수영장업","사립","Y","1","0","0","0","","",
"7","수영장업","10_35_01_P","4181000","CDFH3301011995000002","1995-06-30","","01","영업/정상","13","영업중","","","","","031-580-8119","","","강원특별자치도 춘천시 남산면 방하리 197 남이섬","강원특별자치도 춘천시 남산면 남이섬길 1, 남이섬","24464","호텔정관루 워터가든","2022-12-02 11:24:50","I","2023-06-13 00:00:00","","246149.25303486","476366.52481974","수영장업","사립","Y","1","0","0","0","","",
"8","수영장업","10_35_01_P","4181000","CDFH3301012002000001","2002-06-15","","01","영업/정상","13","영업중","","","","","033-260-2967","","","강원특별자치도 춘천시 남산면 백양리 29-1 엘리시안 강촌","강원특별자치도 춘천시 남산면 북한강변길 688, 엘리시안 강촌","24464","엘리시안강촌수영장","2024-05-02 15:03:06","U","2024-05-04 02:40:00","","251021.728216938","480612.913126754","수영장업","사립","Y","2","0","0","0","","",
"9","수영장업","10_35_01_P","4181000","CDFH3301012007000001","2007-06-29","","01","영업/정상","13","영업중","","","","","033-261-9919","","200-935","강원특별자치도 춘천시 석사동 682-1","강원특별자치도 춘천시 공지로 111 (석사동, 신우수영장)","24389","신우수영장","2021-03-04 16:01:44","I","2023-06-13 00:00:00","","265628.056819471","484040.280563305","수영장업","사립","Y","1","1","2280.22","0","","",
"10","수영장업","10_35_01_P","4181000","CDFH3301012016000001","2016-03-10","","01","영업/정상","13","영업중","","","","","033-818-2001","","","강원특별자치도 춘천시 후평동 67-72 지하1층","강원특별자치도 춘천시 후석로 312 (후평동)","24304","케이에스씨 키즈풀","2023-02-16 17:30:12","I","2023-06-13 00:00:00","","265993.969354751","486528.741471488","수영장업","사립","Y","2","1","2457.23","0","","",
"11","수영장업","10_35_01_P","4181000","CDFH3301012018000001","2018-06-11","","01","영업/정상","13","영업중","","","","","033-256-1111","","","강원특별자치도 춘천시 동면 만천리 869-2","강원특별자치도 춘천시 동면 만천로 106-14, 1층","24215","아쿠아키즈","2020-12-17 18:26:48","I","2023-06-13 00:00:00","","266977.183045151","486920.408540031","수영장업","사립","","1","0","1493.78","0","","",
"12","수영장업","10_35_01_P","4181000","CDFH3301012018000002","2018-07-23","","01","영업/정상","13","영업중","","","","","033-818-2011","","","강원특별자치도 춘천시 퇴계동 493-18","강원특별자치도 춘천시 솟발1길 4-33, 1층 (퇴계동)","24455","케이에스씨수상안전교육센터(주)","2023-11-13 14:14:07","U","2023-11-15 02:40:00","","264371.995174194","483111.371882425","수영장업","사립","Y","1","0","0","0","","",
"13","수영장업","10_35_01_P","4181000","CDFH3301012018000003","2018-12-07","","01","영업/정상","13","영업중","","","","","033-251-0022","","","강원특별자치도 춘천시 동면 장학리 1008 2층","강원특별자치도 춘천시 동면 춘천로 447, 2층","24209","키즈퍼스트스윔스쿨","2022-12-02 14:25:51","I","2023-06-13 00:00:00","","266267.895302087","488064.585866463","수영장업","사립","","1","0","1846.38","0","","",
"14","수영장업","10_35_01_P","4181000","CDFH3301012013000001","2013-06-25","","04","취소/말소/만료/정지/중지","35","직권말소","2019-07-11","","","","033-263-5550","","200-210","강원특별자치도 춘천시 송암동 816-4","강원특별자치도 춘천시 스포츠타운길 113 (송암동)","24239","송암야외수영장","2019-07-11 10:22:43","I","2023-06-13 00:00:00","","260744.068821024","483875.49342865","수영장업","사립","Y","2","0","4777.29","0","","",
