"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2023-00001","2023-07-03","","01","영업/정상","01","영업","","","","","","1954.20","","강원특별자치도 춘천시 삼천동 67-4","강원특별자치도 춘천시 옛경춘로 742, 1층 (삼천동)","24431","(주)춘천제일식자재마트","2023-07-03 14:12:15","I","2023-07-05 00:19:07","기타식품판매업","262216.05844266","484785.151651868","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"2","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2003-00002","2003-08-05","","01","영업/정상","01","영업","","","","","033 2641402","1520.57","","강원특별자치도 춘천시 동내면 거두리 929-2","강원특별자치도 춘천시 동내면 공지로 80","24404","동춘천농협하나로마트사업소","2023-03-24 16:47:02","I","2023-06-13 00:00:00","기타식품판매업","266008.214362088","483806.24603867","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2004-00001","2004-08-30","","01","영업/정상","01","영업","","","","","033 2438222","551.00","","강원특별자치도 춘천시 온의동 515","강원특별자치도 춘천시 경춘로 2342 (온의동)","24436","춘천철원화천양구축산농협하나로마트강남점","2020-05-28 10:19:52","I","2023-06-13 00:00:00","기타식품판매업","263244.686473259","484697.696269724","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"4","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2005-00001","2005-01-04","","01","영업/정상","01","영업","","","","","033 2438888","996.14","","강원특별자치도 춘천시 우두동 707-1","강원특별자치도 춘천시 충열로79번길 37 (우두동)","24226","(주)무상엠에스마트(우두점)","2012-01-31 15:55:22","I","2023-06-13 00:00:00","기타식품판매업","264386.876770642","488839.474051973","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"5","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2005-00003","2005-11-03","","01","영업/정상","01","영업","","","","","033 2401210","10869.00","","강원특별자치도 춘천시 온의동 511 이마트","강원특별자치도 춘천시 경춘로 2353, 이마트 1~2층 (온의동)","24435","(주)이마트춘천점","2024-04-09 14:49:48","U","2024-04-11 02:40:00","기타식품판매업","263141.943193102","484821.289677657","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"6","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2006-00002","2006-11-29","","01","영업/정상","01","영업","","","","","033 2523000","1982.22","","강원특별자치도 춘천시 퇴계동 381-1","강원특별자치도 춘천시 영서로 2195 (퇴계동)","24445","롯데슈퍼(춘천점)","2023-03-23 13:41:12","I","2023-06-13 00:00:00","기타식품판매업","264048.38885859","484444.290618198","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"7","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2007-00002","2007-02-16","","01","영업/정상","01","영업","","","","","033 256 8100","399.24","","강원특별자치도 춘천시 후평동 891-1","강원특별자치도 춘천시 후석로 248 (후평동)","24313","춘성할인마트","2012-09-04 17:30:25","I","2023-06-13 00:00:00","기타식품판매업","266175.519956675","485926.901885781","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2008-00002","2008-05-13","","01","영업/정상","01","영업","","","","","033 243 9720","454.92","","강원특별자치도 춘천시 신북읍 율문리 553-1","강원특별자치도 춘천시 신북읍 율문길 65-8","24206","신북농업협동조합하나로마트","2012-07-12 16:58:54","I","2023-06-13 00:00:00","기타식품판매업","265468.915665196","491756.197642811","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"9","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2008-00005","2008-12-11","","01","영업/정상","01","영업","","","","","033 264 3800","1667.21","","강원특별자치도 춘천시 퇴계동 164-3 외 15필지","강원특별자치도 춘천시 지석로 11 (퇴계동)","24413","춘천철원화천양구축산농협하나로마트퇴계점","2020-05-28 09:48:00","I","2023-06-13 00:00:00","기타식품판매업","264838.52203719","483744.542704867","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"10","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2009-00001","2009-03-11","","01","영업/정상","01","영업","","","","","033 252 3950","659.68","","강원특별자치도 춘천시 동면 장학리 858-2","강원특별자치도 춘천시 동면 춘천로 439","24233","춘천강동농협 장학지점","2018-07-13 11:18:58","I","2023-06-13 00:00:00","기타식품판매업","266211.951580218","487984.69431696","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"11","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2010-00001","2010-02-02","","01","영업/정상","01","영업","","","","","033 240 2500","2778.20","","강원특별자치도 춘천시 온의동 6-25","강원특별자치도 춘천시 방송길 84 (온의동)","24364","롯데쇼핑(주)롯데마트춘천점","2025-04-28 09:06:36","U","2025-04-30 02:40:00","기타식품판매업","263109.175778889","485355.40305733","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"12","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2010-00002","2010-03-09","","01","영업/정상","01","영업","","","","","033 269 8000","21412.21","","강원특별자치도 춘천시 퇴계동 144-1 외 10필지","강원특별자치도 춘천시 김유정로 1840 (퇴계동, 홈플러스 춘천점)","24423","홈플러스 춘천점","2025-06-27 10:43:13","U","2025-06-29 02:40:00","기타식품판매업","264597.191878957","483368.29049207","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"13","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2010-00003","2010-04-12","","01","영업/정상","01","영업","","","","","033 252 7071","897.43","","강원특별자치도 춘천시 동면 만천리 821-2","강원특별자치도 춘천시 동면 만천로 135","24216","벨몽드 만천점","2017-06-14 14:33:14","I","2023-06-13 00:00:00","기타식품판매업","266786.132730214","486803.895972417","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"14","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2012-00001","2012-02-24","","01","영업/정상","01","영업","","","","","033 261 1941","654.24","","강원특별자치도 춘천시 남산면 방곡리 150-2","강원특별자치도 춘천시 남산면 보매기1길 62-25","24465","남산농협 하나로마트사업소","2024-01-23 11:27:21","U","2024-01-25 02:40:00","기타식품판매업","256605.84439628","476707.933040523","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"15","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2012-00002","2012-08-17","","01","영업/정상","01","영업","","","","","033 243 7771","1447.00","","강원특별자치도 춘천시 후평동 79-1","강원특별자치도 춘천시 후석로326번길 14, 1층 (후평동)","24302","무상엠에스마트","2024-06-21 11:11:00","U","2024-06-23 02:40:00","기타식품판매업","266034.226125793","486685.766212976","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","247","","","",
"16","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2014-00001","2014-01-10","","01","영업/정상","01","영업","","","","","033 258 5080","1624.53","","강원특별자치도 춘천시 사농동 99-6 1층","강원특별자치도 춘천시 사우4길 36 (사농동)","24226","(주)새시대체인 벨몽드강북점","2017-06-14 15:10:13","I","2023-06-13 00:00:00","기타식품판매업","263975.351693496","489554.950314904","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"17","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2014-00002","2014-06-03","","01","영업/정상","01","영업","","","","","033 2625700","721.06","","강원특별자치도 춘천시 동내면 학곡리 590 (A동)","강원특별자치도 춘천시 동내면 학곡동2길 17 (A동)","24408","동춘천농협하나로마트사업소학곡점","2023-03-24 16:34:17","I","2023-06-13 00:00:00","기타식품판매업","266868.053125528","482023.592106421","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"18","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2015-00001","2015-08-11","","01","영업/정상","01","영업","","","","","033 818 9277","700.00","","강원특별자치도 춘천시 석사동 885-1","강원특별자치도 춘천시 영서로 2027 (석사동)","24415","이마트에브리데이춘천석사점","2024-07-25 14:49:25","U","2024-07-27 02:40:00","기타식품판매업","265527.439199047","483597.052601334","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"19","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2016-00002","2016-06-20","","01","영업/정상","01","영업","","","","","033 251 6912","2384.00","","강원특별자치도 춘천시 효자동 692-1","강원특별자치도 춘천시 공지로 345 (효자동)","24365","수협바다마트 춘천점","2024-04-24 15:19:11","U","2024-04-26 02:40:00","기타식품판매업","263982.973022046","485445.541011372","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"20","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2016-00003","2016-06-22","","01","영업/정상","01","영업","","","","","033 243 9710","1722.00","","강원특별자치도 춘천시 동면 장학리 450","강원특별자치도 춘천시 동면 춘천순환로 901","24210","신북농협하나로마트사업소","2022-11-17 17:12:33","I","2023-06-13 00:00:00","기타식품판매업","265872.123318469","490937.781902373","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"21","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2016-00006","2016-08-30","","01","영업/정상","01","영업","","","","","033 243 5906","502.47","","강원특별자치도 춘천시 효자동 19-12","강원특별자치도 춘천시 백령로 150 (효자동)","24289","씨씨마트 강대점","2017-02-16 14:19:18","I","2023-06-13 00:00:00","기타식품판매업","265343.823706048","486073.683894056","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"22","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2017-00002","2017-03-07","","01","영업/정상","01","영업","","","","","033 241 4989","2294.08","","강원특별자치도 춘천시 동면 장학리 234","강원특별자치도 춘천시 동면 춘천순환로 600","24213","(주)엠에스리테일","2022-10-28 09:29:17","I","2023-06-13 00:00:00","기타식품판매업","266540.279685759","488014.164781552","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"23","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2018-00001","2018-08-16","","01","영업/정상","01","영업","","","","","033 263 2521","537.00","","강원특별자치도 춘천시 남산면 광판리 591-42","강원특별자치도 춘천시 남산면 장터골길 32","24466","남산농협광판지점","2019-04-18 17:50:36","I","2023-06-13 00:00:00","기타식품판매업","262228.373716671","470416.055820449","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"24","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2018-00002","2018-12-14","","01","영업/정상","01","영업","","","","","033 251 0003","421.92","","강원특별자치도 춘천시 후평동 692-2","강원특별자치도 춘천시 춘천로 300 (후평동)","24277","원마트","2018-12-14 10:47:53","I","2023-06-13 00:00:00","기타식품판매업","265595.555467962","486760.924808177","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"25","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2022-00001","2022-01-28","","01","영업/정상","01","영업","","","","","033 243 6101","726.00","","강원특별자치도 춘천시 사농동 808-5","강원특별자치도 춘천시 우두로 62 (사농동)","24221","춘천원예농협하나로마트","2023-03-30 13:56:28","I","2023-06-13 00:00:00","기타식품판매업","264023.258343607","490209.433469564","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"26","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2022-00002","2022-04-14","","01","영업/정상","01","영업","","","","","","931.96","","강원특별자치도 춘천시 우두동 1119-1","강원특별자치도 춘천시 우두1길 93 (우두동)","24221","(주)이마트에브리데이 춘천우두점","2024-07-19 16:02:07","U","2024-07-21 02:40:00","기타식품판매업","264442.06968204","489767.458631373","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","931.96","","","",
"27","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2022-00003","2022-06-16","","01","영업/정상","01","영업","","","","","033 262 8010","2930.80","","강원특별자치도 춘천시 석사동 980","강원특별자치도 춘천시 후석로 120 (석사동)","24326","춘천농협농수산물종합유통센터","2023-05-09 16:24:32","I","2023-06-13 00:00:00","기타식품판매업","265760.750878195","484782.142992886","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"28","식품판매업(기타)","07_22_13_P","4181000","4181000-114-1997-00002","1997-11-29","","01","영업/정상","01","영업","","","","","033 2526587","1832.84","","강원특별자치도 춘천시 효자동 641-5","강원특별자치도 춘천시 춘천로 197-1 (효자동)","24260","(주)새시대체인벨몽드본점","2017-06-15 17:35:36","I","2023-06-13 00:00:00","기타식품판매업","264685.969062866","486297.611528286","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"29","식품판매업(기타)","07_22_13_P","4181000","4181000-114-1998-00001","1998-02-06","","01","영업/정상","01","영업","","","","","033 2538030","1286.44","","강원특별자치도 춘천시 소양로3가 110-1","강원특별자치도 춘천시 소양로 118 (소양로3가)","24272","춘천농협하나로마트(본점)","2023-03-24 15:59:58","I","2023-06-13 00:00:00","기타식품판매업","263597.187815591","487019.948940286","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"30","식품판매업(기타)","07_22_13_P","4181000","4181000-114-1999-00001","1999-02-06","","01","영업/정상","01","영업","","","","","033 2576572","863.68","","강원특별자치도 춘천시 효자동 179-1","강원특별자치도 춘천시 미려골길 23 (효자동)","24340","새시대체인벨몽드효자점","2017-06-14 15:04:10","I","2023-06-13 00:00:00","기타식품판매업","264712.110272309","485604.191381465","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"31","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2000-00003","2000-05-20","","01","영업/정상","01","영업","","","","","033 2631149","1456.00","","강원특별자치도 춘천시 석사동 818-8","강원특별자치도 춘천시 퇴계로 235 (석사동)","24390","(주)무상엠에스마트봄내점","2013-12-11 10:55:54","I","2023-06-13 00:00:00","기타식품판매업","265478.300037594","483969.81086687","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","17","","","",
"32","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2000-00004","2000-08-03","","01","영업/정상","01","영업","","","","","033 2607700","6320.00","","강원특별자치도 춘천시 석사동 17","강원특별자치도 춘천시 세실로 108 (석사동)","24315","롯데쇼핑(주)롯데마트석사점","2025-04-29 15:34:47","U","2025-05-01 02:40:00","기타식품판매업","266689.747698764","485210.425599848","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"33","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2024-00001","2024-04-18","","01","영업/정상","01","영업","","","","","033 2618488","398.43","","강원특별자치도 춘천시 석사동 694 세경5차아파트","강원특별자치도 춘천시 남춘천새길 42, 1층 (석사동, 세경5차아파트)","24381","대농마트","2024-05-20 11:36:57","U","2024-05-22 02:40:00","기타식품판매업","264807.241666538","484720.141657102","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"34","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2025-00002","2025-09-17","","01","영업/정상","01","영업","","","","","033252 3217","786.25","","강원특별자치도 춘천시 후평동 244-34","강원특별자치도 춘천시 후석로 434 (후평동)","24232","춘천철원화천양구축산농협 하나로마트 후평점","2025-10-14 20:32:10","U","2025-10-16 02:40:00","기타식품판매업","265400.35106042","487577.815703786","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"35","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2024-00002","2024-12-11","","01","영업/정상","01","영업","","","","","033 2614405","1380.00","","강원특별자치도 춘천시 퇴계동 857-3","강원특별자치도 춘천시 퇴계농공로 88 (퇴계동)","24427","제일식자재마트퇴계점","2024-12-11 13:15:49","I","2024-12-13 00:12:11","기타식품판매업","265208.725859809","482847.685784001","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"36","식품판매업(기타)","07_22_13_P","4181000","4181000-114-2025-00001","2025-01-21","","01","영업/정상","01","영업","","","","","033 2579984","3134.90","","강원특별자치도 춘천시 퇴계동 636","강원특별자치도 춘천시 영서로 2250-14 (퇴계동)","24369","플러스마트(남춘천점)","2025-01-21 10:38:25","I","2025-01-23 00:11:25","기타식품판매업","263791.123525188","484852.682261129","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"37","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2023-00002","2023-08-14","","01","영업/정상","01","영업","","","","","033 7652523","990.04","","강원특별자치도 원주시 개운동 332-20","강원특별자치도 원주시 단구로 227-1 (개운동)","26446","주식회사엘마트개운점1","2023-11-24 14:50:47","U","2023-11-26 02:40:00","기타식품판매업","","","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"38","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2023-00001","2023-06-30","","01","영업/정상","01","영업","","","","","033 744 5515","3941.02","","강원특별자치도 원주시 태장동 1403","강원특별자치도 원주시 북원로 2638, 1층 (태장동)","26320","우리홈마켓","2023-09-08 15:50:38","U","2023-09-10 02:40:00","기타식품판매업","283769.869326008","431204.025891904","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"39","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2024-00006","2024-09-20","","01","영업/정상","01","영업","","","","","","3220.76","","강원특별자치도 원주시 지정면 신평리 1059","강원특별자치도 원주시 지정면 기업도시로 111","26348","플러스마트기업도시점","2024-10-18 17:28:35","U","2024-10-20 02:40:00","기타식품판매업","278138.750191931","430522.560099289","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"40","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2024-00005","2024-09-09","","01","영업/정상","01","영업","","","","","033 743 7888","1309.23","","강원특별자치도 원주시 반곡동 1924-2","강원특별자치도 원주시 웅비2길 2, 1층 (반곡동)","26462","혁신마트","2024-10-18 16:45:57","U","2024-10-20 02:40:00","기타식품판매업","287366.938870656","425626.530729008","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"41","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2012-00002","2012-04-20","","01","영업/정상","01","영업","","","","","033 732 9009","975.89","","강원특별자치도 원주시 단구동 624-10","강원특별자치도 원주시 치악로 1646 (단구동)","26451","대상(주)유통 원주점","2019-05-14 17:41:03","I","2023-06-13 00:00:00","기타식품판매업","284964.774292925","425741.181114844","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"42","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2012-00003","2012-05-04","","01","영업/정상","01","영업","","","","","033 749 2519","8437.15","","강원특별자치도 원주시 단계동 1123 단계동,롯데마트내 지하1층","강원특별자치도 원주시 봉화로 1 (단계동, 단계동,롯데마트내 지하1층)","26437","롯데쇼핑(주)롯데마트원주점","2025-10-28 14:09:29","U","2025-10-30 02:40:00","기타식품판매업","282120.73395865","427477.545400161","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"43","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2012-00005","2012-07-09","","01","영업/정상","01","영업","","","","","033 763 8814","4664.00","","강원특별자치도 원주시 관설동 1453 2층, 3층","강원특별자치도 원주시 치악로 1489 (관설동, 2층, 3층)","26471","홈플러스 원주점","2024-02-21 17:05:03","U","2024-02-23 02:40:00","기타식품판매업","285677.402683418","424408.068770392","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"44","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2015-00005","2015-06-12","","01","영업/정상","01","영업","","","","","033 737 0774","942.70","","강원특별자치도 원주시 반곡동 1886-4","강원특별자치도 원주시 혁신로 63 (반곡동)","26465","(주)지에스리테일GS수퍼원주혁신점","2025-04-07 16:52:41","U","2025-04-09 02:40:00","기타식품판매업","286903.050384123","425043.122547713","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","17.3","","","",
"45","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2016-00001","2016-06-17","","01","영업/정상","01","영업","","","","","033747 7636","3458.17","","강원특별자치도 원주시 학성동 978-23","강원특별자치도 원주시 원문로 74 (학성동)","26413","플러스마트원주점","2018-09-04 14:28:59","I","2023-06-13 00:00:00","기타식품판매업","283017.771825827","428762.472961975","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"46","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2016-00004","2016-11-07","","01","영업/정상","01","영업","","","","","","494.68","","강원특별자치도 원주시 명륜동 150-7 지상2층","강원특별자치도 원주시 명륜로 41, 2층 (명륜동)","26440","행복한마트 명륜점","2021-02-04 13:37:49","I","2023-06-13 00:00:00","기타식품판매업","283921.876834272","426925.613531332","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","14.82","","","",
"47","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2017-00001","2017-04-11","","01","영업/정상","01","영업","","","","","033 746 6666","1555.38","","강원특별자치도 원주시 단계동 453-22","강원특별자치도 원주시 백간길 25 (단계동)","26409","주식회사에스지프라자","2021-01-13 16:44:11","I","2023-06-13 00:00:00","기타식품판매업","281978.751654311","428182.524236323","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","1555.38","","","",
"48","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2017-00004","2017-06-28","","01","영업/정상","01","영업","","","","","033 749 8888","3194.77","","강원특별자치도 원주시 반곡동 1880-10 원주원예농협 혁신도시 종합시설 지하1층","강원특별자치도 원주시 양지로 26, 지하1층 (반곡동, 원주원예농협 혁신도시 종합시설)","26465","원주원예농협하나로마트혁신도시점","2019-08-08 13:18:40","I","2023-06-13 00:00:00","기타식품판매업","286933.822944686","425186.306407447","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"49","식품판매업(기타)","07_22_13_P","4191000","4191000-114-1997-00001","1997-12-03","","01","영업/정상","01","영업","","","","","033 7316711","748.00","","강원특별자치도 원주시 태장동 1374-1 ,2","강원특별자치도 원주시 흥양로51번길 1 (태장동,,2)","26316","(주)남원 태장원마트","2017-12-13 11:40:01","I","2023-06-13 00:00:00","기타식품판매업","284293.482086808","431753.074716255","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"50","식품판매업(기타)","07_22_13_P","4191000","4191000-114-1998-00001","1998-05-01","","01","영업/정상","01","영업","","","","","033 7328276","1757.10","","강원특별자치도 원주시 문막읍 문막리 249-5 문막농협하나로마트","강원특별자치도 원주시 문막읍 원문로 1883 (문막농협하나로마트)","26373","문막농협하나로마트(문막점)","2023-04-06 16:20:08","I","2023-06-13 00:00:00","기타식품판매업","272253.039233403","423083.237544462","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","35","","","",
"51","식품판매업(기타)","07_22_13_P","4191000","4191000-114-1999-00002","1999-03-19","","01","영업/정상","01","영업","","","","","033 7491100","6900.06","","강원특별자치도 원주시 무실동 1062-1 ,5 1084 1084-1","강원특별자치도 원주시 북원로 1928 (무실동,,5 1084 1084-1)","26395","(주)이마트원주점","2024-04-23 17:35:42","U","2024-04-25 02:40:00","기타식품판매업","281366.703634706","424684.582635502","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"52","식품판매업(기타)","07_22_13_P","4191000","4191000-114-1999-00003","1999-05-07","","01","영업/정상","01","영업","","","","","033 7641148","1378.00","","강원특별자치도 원주시 개운동 118-2 ,120-1","강원특별자치도 원주시 치악로 1781 (개운동,,120-1)","26442","롯데슈퍼원주점","2023-05-26 15:35:03","I","2023-06-13 00:00:00","기타식품판매업","284548.772950682","427027.162385187","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"53","식품판매업(기타)","07_22_13_P","4191000","4191000-114-2000-00002","2000-09-22","","01","영업/정상","01","영업","","","","","033 7420114","789.92","","강원특별자치도 원주시 단계동 857-2","강원특별자치도 원주시 천사로 46 (단계동)","26436","원주농업협동조합","2019-04-09 11:01:34","I","2023-06-13 00:00:00","기타식품판매업","282365.121230523","427685.809028028","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
