"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","영화상영관","03_13_02_P","4181000","CDFF4220001987000001","1987-11-10","","02","휴업","02","휴업","","2013-11-21","","","033)256-3367","","200-941","강원특별자치도 춘천시 조양동 25-1 (피카디리극장)","강원특별자치도 춘천시 시청길 12 (조양동, (피카디리극장))","24352","피카디리극장","2019-01-04 10:10:37","I","2023-06-13 00:00:00","","264058.010369038","486641.245936737","영화상영관","영화상영관","0","","","0","2","0","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19871110","",
"2","영화상영관","03_13_02_P","4181000","CDFF4220001991000002","1991-09-04","","02","휴업","02","휴업","","2013-02-16","","","033)256-7701","","200-941","강원특별자치도 춘천시 조양동 25-1 2,3호","강원특별자치도 춘천시 시청길 12 (조양동)","24352","아카데미극장","2019-01-04 10:13:27","I","2023-06-13 00:00:00","","264058.010369038","486641.245936737","영화상영관","영화상영관","0","","","0","3","1","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19910904","",
"3","영화상영관","03_13_02_P","4181000","CDFF4220001967000001","1967-10-01","","03","폐업","03","폐업","2006-11-09","","","","033)257-7224","","200-080","강원특별자치도 춘천시 운교동 169","강원특별자치도 춘천시 금강로 86  (운교동)","","육림1관","2006-11-13 11:03:03","I","2023-06-13 00:00:00","","264142.600175984","486369.707177001","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19671001","",
"4","영화상영관","03_13_02_P","4181000","CDFF4220001986000001","1986-08-06","","03","폐업","03","폐업","2004-11-17","","","","033)257-3367","","200-050","강원특별자치도 춘천시 죽림동 7","","","브로드웨이극장","2009-01-15 15:50:16","I","2023-06-13 00:00:00","","","","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19860806","",
"5","영화상영관","03_13_02_P","4181000","CDFF4220001991000001","1991-08-10","","03","폐업","03","폐업","2006-11-09","","","","033)252-7225","","200-080","강원특별자치도 춘천시 운교동 169-29","강원특별자치도 춘천시 금강로 86  (운교동)","","육림2관","2006-11-13 11:03:31","I","2023-06-13 00:00:00","","264128.161229812","486357.921682013","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19910810","",
"6","영화상영관","03_13_02_P","4181000","CDFF4220002001000001","2001-12-27","","03","폐업","03","폐업","2004-07-27","","","","033)262-0778","","200-911","강원특별자치도 춘천시 남산면 강촌리 432-2","","","강촌자동차극장","2004-07-27 16:13:58","I","2023-06-13 00:00:00","","253941.82288911","477266.971653504","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","자동차극장","","20011227","",
"7","영화상영관","03_13_02_P","4181000","CDFF4220002002000001","2002-11-21","","03","폐업","03","폐업","2003-06-01","","","","","","200-200","강원특별자치도 춘천시 삼천동 290,300 번지","","","애플스타 춘천중도점","2003-06-13 11:52:07","I","2023-06-13 00:00:00","","","","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","자동차극장","","20021121","",
"8","영화상영관","03_13_02_P","4181000","CDFF4220002003000001","2003-08-18","","03","폐업","03","폐업","2005-11-23","","","","","","200-200","강원특별자치도 춘천시 삼천동 290","","","춘천자동차극장","2009-04-01 14:14:20","I","2023-06-13 00:00:00","","261281.123247886","485643.874786416","영화상영관","영화상영관","0","기타","","0","0","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","자동차극장","","20030818","자연녹지지역",
"9","영화상영관","03_13_02_P","4181000","CDFF4220002004000001","2004-07-21","","03","폐업","03","폐업","2005-07-08","","","","","","200-911","강원특별자치도 춘천시 남산면 강촌리 224-7","","","강촌자동차극장","2009-04-01 14:17:23","I","2023-06-13 00:00:00","","255767.311401857","479344.013503728","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","자동차극장","","20040721","",
"10","영화상영관","03_13_02_P","4181000","CDFF4220002005000001","2005-02-16","","03","폐업","03","폐업","2006-11-09","","","","","","200-080","강원특별자치도 춘천시 운교동 169","강원특별자치도 춘천시 금강로 86  (운교동)","","육림3관","2009-04-01 14:14:42","I","2023-06-13 00:00:00","","264142.600175984","486369.707177001","영화상영관","영화상영관","2","","","0","2","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20050216","",
