"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","영업내용",
"1","옥외광고업","04_15_01_P","4181000","2023418110008500006","2023-07-28","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 신북읍 율문리 ***","강원특별자치도 춘천시 신북읍 신북로 **-**","24206","유비트론(주)","2023-08-07 13:37:30","I","2023-08-09 00:19:30","","265906.685991406","492278.551903287","옥외광고물 제작 및 설치, LED전광판제작 설치",
"2","옥외광고업","04_15_01_P","4181000","2023418110008500005","2023-12-12","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 백령로***번길 **, 지하*층 (효자동)","24295","협동조합 가시광선","2023-12-18 14:01:38","U","2023-12-20 02:40:00","","265204.2886517","486118.4372044","옥외광고 디자인 제작 설치,영상디자인사업",
"3","옥외광고업","04_15_01_P","4181000","2023418110008500007","2023-08-03","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 칠전동 ***-**","강원특별자치도 춘천시 칠전동길 **, ***호 (칠전동)","24456","주식회사 미터","2023-08-11 15:02:05","I","2023-08-13 00:18:33","","262900.350553081","482586.257534976","옥외광고물 제작 설치",
"4","옥외광고업","04_15_01_P","4181000","2023418110008500002","2023-07-13","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후석로 *** (재)여성기업종합지원센터 ***호 (후평동)","24234","지온","2023-07-20 16:08:11","I","2023-07-22 00:18:52","","265742.317278702","487007.27816154","디자인,광고물제작",
"5","옥외광고업","04_15_01_P","4181000","2023418110008500003","2023-07-17","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 안마산로 ***-*, 소하빌딩 *층 ***호 (퇴계동)","24455","디자인 소통","2023-07-21 10:52:12","I","2023-07-23 00:19:03","","263882.230093045","483683.773428229","편집디자인,인쇄,출판",
"6","옥외광고업","04_15_01_P","4181000","2023418110008500001","2023-06-15","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단*길 **, B동 *층 (퇴계동)","24427","(주)용두애브컴","2024-05-29 15:24:07","U","2024-05-31 02:40:00","","264657.219110556","482965.794832145","옥외광고물 제작설치(도소매, 전광판)",
"7","옥외광고업","04_15_01_P","4181000","1998418002308200099","1998-06-26","","01","영업/정상","20","정상","","","","","033 262 8555","","","강원특별자치도 춘천시 동내면 사암리 ***-*","강원특별자치도 춘천시 동내면 대룡산길 ***-***","24408","알파 P&D","2018-11-22 13:32:48","I","2023-06-13 00:00:00","","269040.750076185","481613.792214872","간판제작업",
"8","옥외광고업","04_15_01_P","4181000","2003418011108200006","2003-03-26","","01","영업/정상","20","정상","","","","","033 251 0023","","","강원특별자치도 춘천시 동내면 사암리 ***-**","강원특별자치도 춘천시 동내면 사암길 **-*","24408","모아디자인","2017-10-10 10:24:40","I","2023-06-13 00:00:00","","267717.207086111","481374.626455544","간판제조",
"9","옥외광고업","04_15_01_P","4181000","2017418023908500012","2017-10-11","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 효자상길 *-** (효자동)","24336","마젠타","2017-10-24 10:02:28","I","2023-06-13 00:00:00","","263894.466159834","485707.049734162","현수막, 광고디자인 등.",
"10","옥외광고업","04_15_01_P","4181000","2024418110008500007","2024-09-19","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계농공로 **, ***호 (퇴계동)","24427","(주)티디아이 코리아","2024-09-24 17:21:28","I","2024-09-26 00:13:12","","265308.03412475","482777.392253641","옥외광고물 제작 설치",
"11","옥외광고업","04_15_01_P","4181000","2024418110008500008","2025-06-12","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후석로***번길 *, 춘천하이테크타워 ***,***호 (후평동)","24232","주식회사 위드이노베이션","2025-06-12 17:11:53","U","2025-06-15 02:40:00","","265474.842593179","487512.552718902","옥외광고물 제작 설치",
"12","옥외광고업","04_15_01_P","4181000","2024418110008500009","2024-11-04","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 동면 지내리 ***-**","강원특별자치도 춘천시 동면 가산로 **-**","24211","주식회사 제이테크","2024-11-11 13:33:21","I","2024-11-13 00:12:05","","268571.149860412","490035.004083114","옥외광고물 제작 설치",
"13","옥외광고업","04_15_01_P","4181000","1997418002308200054","1997-01-03","","01","영업/정상","20","정상","","","","","033 255 1202","","","강원특별자치도 춘천시 후평동 ***","강원특별자치도 춘천시 만천로***번길 ** (후평동)","","기민디자인","2014-07-10 13:34:47","I","2023-06-13 00:00:00","","266193.570739963","487697.038478868","간판제작업",
"14","옥외광고업","04_15_01_P","4181000","1998418002308200083","2015-05-21","","01","영업/정상","20","정상","","","","","033 244 0135","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 삭주로 *** (후평동)","200-957","아이시스 광고사","2015-05-23 11:50:02","I","2023-06-13 00:00:00","","265625.766518536","487347.948766279","광고물 제작",
"15","옥외광고업","04_15_01_P","4181000","1998418002308200084","2021-03-10","","01","영업/정상","20","정상","","","","","033 253 3508","","","강원특별자치도 춘천시 칠전동 ***-**","강원특별자치도 춘천시 칠전서길 **-**, *층 (칠전동)","24457","주식회사 그래픽캠프","2021-03-11 10:24:44","I","2023-06-13 00:00:00","","262676.105153643","482588.021723575","옥외 광고물 제작",
"16","옥외광고업","04_15_01_P","4181000","1998418002308200090","1998-04-22","","01","영업/정상","20","정상","","","","","033 252 9793","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 충혼길 ** (온의동)","","가나현수막","2017-11-07 13:30:58","I","2023-06-13 00:00:00","","263423.981801833","484599.581240448","인쇄업",
"17","옥외광고업","04_15_01_P","4181000","1998418002308200096","1998-06-11","","01","영업/정상","20","정상","","","","","033 241 6000","","","강원특별자치도 춘천시 소양로*가 ***-*","강원특별자치도 춘천시 중앙로 *** (소양로*가)","200-114","공익광고","2017-11-27 17:25:42","I","2023-06-13 00:00:00","","263141.845","486122.08","간판 제작업",
"18","옥외광고업","04_15_01_P","4181000","2008418011108500003","2018-01-31","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 석사동 ***-**","강원특별자치도 춘천시 애막골길**번길 ** (석사동)","","신화디자인","2018-01-31 09:54:08","I","2023-06-13 00:00:00","","265905.903798706","484804.811119424","옥외광고업 종합기획, 컴퓨터그래픽디자인",
"19","옥외광고업","04_15_01_P","4181000","2008418011108500005","2017-10-19","","01","영업/정상","20","정상","","","","","033 251 8536","","","강원특별자치도 춘천시 요선동 *-*","강원특별자치도 춘천시 서부대성로**번길 * (요선동)","24270","밀레니엄 디자인","2017-11-22 09:29:23","I","2023-06-13 00:00:00","","264006.756498433","487046.956734599","간판,현수막",
"20","옥외광고업","04_15_01_P","4181000","2018418033008500009","2023-12-29","","01","영업/정상","20","정상","","2023-01-19","2024-01-18","2023-12-29","","","","강원특별자치도 춘천시 신동 ***-*","강원특별자치도 춘천시 지내고탄로 **-* (신동)","24207","디랩","2023-12-29 13:13:59","U","2023-12-31 02:40:00","","263925.61868485","493105.363775979","옥외광고물 제작설치",
"21","옥외광고업","04_15_01_P","4181000","2019418033008500001","2019-02-19","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 서부대성로 ***-* (효자동)","24331","춘천인쇄","2019-02-22 14:19:53","I","2023-06-13 00:00:00","","264809.132907846","486156.152096044","옥외광고물 제작 및 설치, 인쇄",
"22","옥외광고업","04_15_01_P","4181000","2019418033008500003","2019-03-05","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 소양로*가 ***-* 신동아아파트","강원특별자치도 춘천시 서부대성로 **, *층 **호 (소양로*가, 신동아아파트)","24272","주식회사 스튜디오콘","2021-06-09 16:46:24","I","2023-06-13 00:00:00","","263675.833817836","487157.336209289","디지털광고물 디자인 ,기획",
"23","옥외광고업","04_15_01_P","4181000","2019418033008500004","2020-07-15","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 효석로 *, ***호 (효자동)","24373","내일기획","2020-07-15 11:35:49","I","2023-06-13 00:00:00","","264411.038810913","484943.394688344","광고물 제작 및 설치",
"24","옥외광고업","04_15_01_P","4181000","2019418033008500005","2021-03-08","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 교동 **-*","강원특별자치도 춘천시 서부대성로 ***, *층 (교동)","24261","중앙기획","2021-03-11 10:24:21","I","2023-06-13 00:00:00","","264445.772302294","486597.707233823","옥외광고물제작 및 설치",
"25","옥외광고업","04_15_01_P","4181000","2019418033008500006","2019-06-03","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 동내면 거두리 ****-*","강원특별자치도 춘천시 동내면 거두택지길**번길 *-**","24399","디티피아","2019-06-03 16:35:37","I","2023-06-13 00:00:00","","266651.889167369","483794.865745245","옥외광고물 시설물/ 광고대행",
"26","옥외광고업","04_15_01_P","4181000","2019418036008500002","2019-08-13","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 동면 만천리 ***-*","강원특별자치도 춘천시 동면 만천로***번길 ***-*","24217","@디자인이랑","2019-08-20 18:02:05","I","2023-06-13 00:00:00","","267363.559496353","486327.239740187","옥외광고물제작",
"27","옥외광고업","04_15_01_P","4181000","2009418011108500012","2019-03-27","","01","영업/정상","20","정상","","","","","033 254 1155","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 전원길 **-*, *층 (효자동)","24259","중부광고","2021-05-28 16:58:37","I","2023-06-13 00:00:00","","264924.097181696","486483.042943142","광고물제작",
"28","옥외광고업","04_15_01_P","4181000","2009418011108500015","2009-10-20","","01","영업/정상","20","정상","","","","","033 252 5963","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후만로***번길 ** (후평동)","200-963","꾸밈디자인","2014-07-10 14:40:31","I","2023-06-13 00:00:00","","266726.011402593","486114.277710541","옥외광고업",
"29","옥외광고업","04_15_01_P","4181000","2009418011108500016","2023-12-21","","01","영업/정상","20","정상","","","","","033 255 5011","","","강원특별자치도 춘천시 칠전동 ***-*","강원특별자치도 춘천시 칠전서길 **-*, *층 (칠전동)","24457","스마트산업","2023-12-26 13:39:04","U","2023-12-28 02:40:00","","262703.385","482170.67","옥외광고업",
