"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","외국인관광도시민박업","03_11_04_P","4181000","CDFI2262212019000004","2019-09-26","","02","휴업","02","휴업","","2022-02-21","2027-02-28","","","","","강원특별자치도 춘천시 약사동 68-16","강원특별자치도 춘천시 망대길27번길 15 (약사동)","24357","봄향","2022-02-22 09:49:52","I","2023-06-13 00:00:00","","263824.50823916","486000.3374854","외국인관광 도시민박업","","주거지역","0","학교정화(상대)","","","","4","0","2","81","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","외국인관광도시민박업","03_11_04_P","4181000","CDFI2262212024000018","2024-11-28","","02","휴업","02","휴업","","2025-05-07","2026-05-07","","","","","강원특별자치도 춘천시 동면 장학리 981 춘천두산위브아파트","강원특별자치도 춘천시 동면 삭주로 231, 103동 108호 (춘천두산위브아파트)","24214","고운 게스트하우스","2025-05-08 11:45:06","U","2025-05-10 02:40:00","","266406.87123545","487610.786268657","외국인관광 도시민박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","84.98","","0","","","","","","","0","","","","85",
"3","외국인관광도시민박업","03_11_04_P","4181000","CDFI2262212023000013","2023-08-31","","03","폐업","03","폐업","2024-05-16","","","","","","","강원특별자치도 춘천시 후평동 735-29","강원특별자치도 춘천시 만천로199번길 26 (후평동)","24297","편안한~家","2024-05-17 15:45:07","U","2024-05-19 02:40:00","","266110.364700021","487298.535909128","외국인관광 도시민박업","","주거지역","1","","","","단독주택","1","0","2","0","","","0","0","","0","0","","0","102.5","","0","","","","","","","0","","","","103",
"4","외국인관광도시민박업","03_11_04_P","4181000","CDFI2262212017000001","2017-02-22","","03","폐업","03","폐업","2017-06-26","","","","","","","강원특별자치도 춘천시 조양동 34","강원특별자치도 춘천시 금강로 68-9 (조양동, 미도파아파트)","24353","Liliya 게스트하우스","2017-06-26 15:48:11","I","2023-06-13 00:00:00","","264033.833068137","486464.959442249","외국인관광 도시민박업","","주거지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","외국인관광도시민박업","03_11_04_P","4181000","CDFI2262212018000001","2018-01-31","","03","폐업","03","폐업","2018-03-22","","","","","","","강원특별자치도 춘천시 후평동 523-62","강원특별자치도 춘천시 춘천로269번길 21-1 (후평동)","24255","수한예#2","2018-03-29 09:17:40","I","2023-06-13 00:00:00","","265235.752412113","486821.653870338","외국인관광 도시민박업","","","1","학교정화(상대)","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","84.41","","0","","","","","","","0","","","","84",
"6","외국인관광도시민박업","03_11_04_P","4181000","CDFI2262212023000005","2023-04-13","","03","폐업","03","폐업","2024-05-29","","","","","","","강원특별자치도 춘천시 온의동 590 온의 롯데캐슬 스카이클래스","강원특별자치도 춘천시 방송길 70, 102동 1503호 (온의동, 온의 롯데캐슬 스카이클래스)","24363","춘천 스트링","2024-05-30 15:45:53","U","2024-06-01 02:40:00","","263147.153512908","485489.588263733","외국인관광 도시민박업","","일반상업지역","0","","","","아파트","15","0","2","0","","","0","0","","0","0","","0","154.14","","0","","","","","","","0","","","","154",
"7","외국인관광도시민박업","03_11_04_P","4181000","CDFI3261142013000001","2013-05-13","","03","폐업","03","폐업","2015-01-26","","","","","","200-778","강원특별자치도 춘천시 우두동 1080 롯데인벤스아파트 106동 803호","강원특별자치도 춘천시 충열로 29, 106동 803호 (우두동, 롯데인벤스아파트)","200-778","JULY","2015-01-27 10:10:08","I","2023-06-13 00:00:00","","264244.234017805","488920.577875472","외국인관광 도시민박업","","일반주거지역","15","아파트지역","","","아파트","8","1","0","0","","","0","0","","0","0","","0","122.13","","0","","","","","","","0","","","","122",
"8","외국인관광도시민박업","03_11_04_P","4181000","CDFI2262212019000001","2019-03-07","","03","폐업","03","폐업","2021-06-28","","","","","","","강원특별자치도 춘천시 요선동 200 한신휴플러스아파트 103동 1101호","강원특별자치도 춘천시 서부대성로 34, 103동 1101호 (요선동, 한신휴플러스아파트)","24271","보름장","2021-06-29 09:57:17","I","2023-06-13 00:00:00","","263844.29877785","486973.636541836","외국인관광 도시민박업","","일반주거지역","0","","","","아파트","0","0","0","0","","","0","0","","0","0","","0","108","","0","","","","","","","0","","","","108",
"9","외국인관광도시민박업","03_11_04_P","4181000","CDFI2262212019000002","2019-04-11","","03","폐업","03","폐업","2021-09-03","","","","","","","강원특별자치도 춘천시 효자동 743-13","강원특별자치도 춘천시 효평길 25-5 (효자동)","24293","춘천 게스트하우스 언제라도 봄","2021-09-03 15:30:17","I","2023-06-13 00:00:00","","264939.03744529","486370.484612845","외국인관광 도시민박업","","준주거지역","1","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","59.27","","0","","","","","","","220000000","","","","59",
"10","외국인관광도시민박업","03_11_04_P","4181000","CDFI2262212020000002","2020-08-13","","03","폐업","03","폐업","2022-09-08","","","","","","","강원특별자치도 춘천시 효자동 168-10","강원특별자치도 춘천시 효자로92번길 16 (효자동)","24338","주광색스테이","2022-09-08 14:09:47","I","2023-06-13 00:00:00","","264477.922255021","485543.64488165","외국인관광 도시민박업","","","0","","","","단독주택","0","0","1","0","","","0","0","","0","0","","0","49.2","","0","","","","","","","5000000","","","","49",
