"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","외국인전용유흥음식점업","07_24_03_P","4181000","CDFI3261031981000001","1981-06-13","","03","폐업","03","폐업","2007-06-18","","","","241-8844","","200-941","강원특별자치도 춘천시 조양동 13-1","","","UN클럽","2007-06-19 15:58:21","I","2023-06-13 00:00:00","","","","외국인전용유흥음식점업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","252","","0","","","","","","","0","","","","252",
"2","외국인전용유흥음식점업","07_24_03_P","4181000","CDFI3261031995000001","1995-01-26","","03","폐업","03","폐업","2006-05-24","","","","254-3415","","200-113","강원특별자치도 춘천시 소양로3가 56","","","킹클럽","2013-06-12 10:28:30","I","2023-06-13 00:00:00","","263689.728933259","486899.354702852","외국인전용유흥음식점업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","외국인전용유흥음식점업","07_24_03_P","4181000","CDFI3261032016000001","2016-06-01","","03","폐업","03","폐업","2019-01-14","","","","","","","강원특별자치도 춘천시 운교동 114-1","강원특별자치도 춘천시 운교길 10, 2층 (운교동)","24351","마카오","2019-01-14 13:28:59","I","2023-06-13 00:00:00","","264279.927521285","486294.174376062","외국인전용유흥음식점업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","외국인전용유흥음식점업","07_24_03_P","4181000","CDFI3261032016000002","2016-06-01","","03","폐업","03","폐업","2019-01-14","","","","","","","강원특별자치도 춘천시 운교동 114-1","강원특별자치도 춘천시 운교길 10, 3층 (운교동)","24351","마닐라","2019-01-14 13:43:01","I","2023-06-13 00:00:00","","264279.927521285","486294.174376062","외국인전용유흥음식점업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","외국인전용유흥음식점업","07_24_03_P","4191000","CDFI3261032012000001","2012-11-16","","03","폐업","03","폐업","2014-09-15","","","","033-748-7080","","220-963","강원특별자치도 원주시 학성동 223-8","강원특별자치도 원주시 원일로 173 (학성동)","220-963","황궁 스탠드 나이트 바","2015-07-27 09:52:55","I","2023-06-13 00:00:00","","283719.939348254","428338.77938424","외국인전용유흥음식점업","","일반상업지역","7","","","","","6","1","0","0","","","0","0","","0","0","","0","2722","","0","","","","","","","30000000","","","","2722",
"6","외국인전용유흥음식점업","07_24_03_P","4201000","CDFI3261032016000001","2016-06-28","","03","폐업","03","폐업","2016-10-05","","","","","","","강원특별자치도 강릉시 옥천동 278","강원특별자치도 강릉시 옥천로 63 (옥천동)","25551","홍당무","2016-10-05 17:52:15","I","2023-06-13 00:00:00","","367259.49125446","474702.225980819","외국인전용유흥음식점업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"7","외국인전용유흥음식점업","07_24_03_P","4201000","CDFI3261032017000001","2017-03-15","","03","폐업","03","폐업","2017-04-21","","","","","","","강원특별자치도 강릉시 교동 1890-4","강원특별자치도 강릉시 정원로 52 (교동)","25515","아우라","2017-04-21 10:22:40","I","2023-06-13 00:00:00","","365261.601046081","474980.511146675","외국인전용유흥음식점업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"8","외국인전용유흥음식점업","07_24_03_P","4201000","CDFI3261032014000001","2014-02-27","","01","영업/정상","13","영업중","","","","","","","210-050","강원특별자치도 강릉시 성남동 113-6","강원특별자치도 강릉시 금성로61번길 11, 4층 (성남동)","25544","엔젤클럽","2018-01-10 10:58:50","I","2023-06-13 00:00:00","","367027.373097405","473783.896012083","외국인전용유흥음식점업","","상업지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"9","외국인전용유흥음식점업","07_24_03_P","4211000","CDFI3261032015000001","2015-01-26","","03","폐업","03","폐업","2022-11-29","","","","033-534-1988","","240-809","강원특별자치도 동해시 천곡동 1061","강원특별자치도 동해시 대학로 16 (천곡동)","25768","초코렛관광클럽","2022-11-29 17:17:17","I","2023-06-13 00:00:00","","386777.564549742","448726.86736624","외국인전용유흥음식점업","","일반상업지역","14","유흥업소밀집지역","","","","14","1","0","0","","","0","0","","0","0","","0","288.25","","0","","","","","","","0","","","","288",
"10","외국인전용유흥음식점업","07_24_03_P","4211000","CDFI3261032014000001","2014-09-30","","01","영업/정상","13","영업중","","","","","","","240-010","강원특별자치도 동해시 천곡동 1068 기업은행 지하","강원특별자치도 동해시 중앙로 229 (천곡동, 기업은행 지하)","240-010","에프원","2018-10-23 18:10:40","I","2023-06-13 00:00:00","","386842.161715477","448646.584245127","외국인전용유흥음식점업","","일반상업지역","6","기타","","","근린생활시설","5","1","0","0","","","0","0","","0","0","","0","477","","0","","","","","","","0","","","","477",
