"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","음반.음악영상물배급업","03_14_02_P","4181000","CDFF3241102014000001","2014-03-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 삼천동 **","강원특별자치도 춘천시 수변공원길 **","","춘천문화방송(주)","2021-03-02 10:23:56","I","2023-06-13 00:00:00","","261823.333742905","486063.952881273","음반.음악영상물배급업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","음반.음악영상물배급업","03_14_02_P","4181000","CDFF3241102015000001","2015-06-18","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 ***-* 춘천축협효자지점","강원특별자치도 춘천시 효자로 ***, 춘천축협효자지점 *층 (효자동)","24329","한테크주식회사","2022-06-27 17:55:34","I","2023-06-13 00:00:00","","264563.94245221","486040.71272591","음반.음악영상물배급업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","음반.음악영상물배급업","03_14_02_P","4181000","CDFF3241102022000002","2022-01-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 후평동 *** 금호빌리지","강원특별자치도 춘천시 후만로 ***, ***호 (후평동, 금호빌리지)","24301","주식회사 토양과나무","2022-01-20 15:24:54","I","2023-06-13 00:00:00","","266533.315377313","486448.910650528","음반.음악영상물배급업","유통관련업","0","","광고 및 홍보물 음반 음악 영상물 배급","25.19","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","음반.음악영상물배급업","03_14_02_P","4181000","CDFF3241102022000003","2022-11-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 요선동 ***-* ***호","강원특별자치도 춘천시 소양고개길 **, *층 ***호 (요선동)","24272","주식회사 히비스엘앤비","2023-02-07 11:23:47","I","2023-06-13 00:00:00","","263847.689815308","486866.497847132","음반.음악영상물배급업","유통관련업","0","","음반음악영상물","98.6","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","음반.음악영상물배급업","03_14_02_P","4191000","CDFF3241102021000001","2021-03-18","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 태장동 ****-** 원주의료기기산업기술단지","강원특별자치도 원주시 태장공단길 **-**, 원주의료기기산업기술단지 *동 *층 ***호 (태장동)","26311","(주)하은바이오헬쓰케어","2021-03-18 08:29:58","I","2023-06-13 00:00:00","","284054.839907546","434219.573818976","음반.음악영상물배급업","유통관련업","0","","명상음악 영상물","49","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","음반.음악영상물배급업","03_14_02_P","4191000","CDFF3241102021000002","2021-10-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 일산동 ***-*","강원특별자치도 원주시 옛시청길 * (일산동)","26417","엠엔터테인먼트","2021-10-08 10:56:20","I","2023-06-13 00:00:00","","283774.721655185","428254.665758082","음반.음악영상물배급업","유통관련업","0","","대중가요음반","79","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","음반.음악영상물배급업","03_14_02_P","4191000","CDFF3241102022000001","2022-04-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 판부면 신촌리 ****","강원특별자치도 원주시 판부면 판부신촌길 ***-**","26505","묘음 기획","2022-04-21 09:15:32","I","2023-06-13 00:00:00","","286114.11782193","420679.589587012","음반.음악영상물배급업","유통관련업","0","","창작음악, 고전음악, 종교음악","129.8","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","음반.음악영상물배급업","03_14_02_P","4191000","CDFF3241102024000001","2024-07-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 무실동 ****-*","강원특별자치도 원주시 만대공원길 **-*, ***호 (무실동)","26383","위즈엔터테인먼트","2024-07-16 14:13:43","I","2024-07-18 00:13:45","","282178.585","426659.255","음반.음악영상물배급업","유통관련업","0","","음악 및 영상 콘텐츠","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","음반.음악영상물배급업","03_14_02_P","4191000","CDFF3241102025000001","2025-06-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 호저면 만종리 ***-* 만종 대보아파트","강원특별자치도 원주시 호저면 감박산길 *, 가동 ***호 (만종 대보아파트)","26377","현엔터","2025-06-25 10:08:46","I","2025-06-27 00:20:11","","279679.306662369","428246.552029722","음반.음악영상물배급업","유통관련업","0","","음반제작업","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","음반.음악영상물배급업","03_14_02_P","4341000","CDFF3241102023000001","2023-06-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 고성군 간성읍 신안리 ***-**","강원특별자치도 고성군 간성읍 간성시장*길 *-*","24735","고성디자인","2023-06-23 18:05:00","I","2023-06-25 00:19:42","","328357.787047386","542859.935178944","음반.음악영상물배급업","유통관련업","0","","Martin DRS2","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
