"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","집단급식소식품판매업","07_22_01_P","4181000","4181000-122-2024-00003","2024-11-14","","01","영업/정상","01","영업","","","","","","117.04","","강원특별자치도 춘천시 동면 감정리 377-1","강원특별자치도 춘천시 동면 가락재로 99-10, 1층","24211","농업회사법인 텃밭농산 주식회사","2025-02-24 16:10:24","U","2025-02-26 02:40:00","집단급식소 식품판매업","","","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","집단급식소식품판매업","07_22_01_P","4181000","4181000-122-2008-00014","2008-11-21","","01","영업/정상","01","영업","","","","","033 252 7287","289.08","","강원특별자치도 춘천시 후평동 720-1","강원특별자치도 춘천시 삭주로 154 (후평동)","24234","대덕농산(주)","2022-12-16 11:08:03","I","2023-06-13 00:00:00","집단급식소 식품판매업","265668.873492122","487266.751223032","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","19.68","","","",
"3","집단급식소식품판매업","07_22_01_P","4181000","4181000-122-2009-00002","2009-01-08","","01","영업/정상","01","영업","","","","","","199.28","","강원특별자치도 춘천시 소양로1가 92-30","강원특별자치도 춘천시 번개시장길 26-1 (소양로1가)","24249","(주)부경식품","2020-02-13 16:54:09","I","2023-06-13 00:00:00","집단급식소 식품판매업","263844.633934197","487879.297835188","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","집단급식소식품판매업","07_22_01_P","4181000","4181000-122-2009-00005","2009-03-27","","01","영업/정상","01","영업","","","","","033 262 2553","1950.50","","강원특별자치도 춘천시 남산면 창촌리 300-1","강원특별자치도 춘천시 남산면 보매기길 87","24465","푸른곡산(주)","2024-05-09 10:39:15","U","2024-05-11 02:40:00","집단급식소 식품판매업","256165.216772284","476018.340037227","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","집단급식소식품판매업","07_22_01_P","4181000","4181000-122-2009-00008","2009-12-23","","01","영업/정상","01","영업","","","","","","150.72","","강원특별자치도 춘천시 신북읍 지내리 466-1","강원특별자치도 춘천시 신북읍 금광길 1","24202","동원김치춘천대리점","2022-03-08 16:13:09","I","2023-06-13 00:00:00","집단급식소 식품판매업","264179.199005158","494460.916522806","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"6","집단급식소식품판매업","07_22_01_P","4181000","4181000-122-2011-00003","2011-02-16","","01","영업/정상","01","영업","","","","","033 264 3800","12.00","","강원특별자치도 춘천시 퇴계동 164-3","강원특별자치도 춘천시 지석로 11 (퇴계동)","24413","춘천철원화천양구축산농협하나로마트퇴계점","2020-05-28 10:10:08","I","2023-06-13 00:00:00","집단급식소 식품판매업","264838.52203719","483744.542704867","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"7","집단급식소식품판매업","07_22_01_P","4181000","4181000-122-2011-00008","2011-07-22","","01","영업/정상","01","영업","","","","","033 252 6999","483.60","","강원특별자치도 춘천시 동면 만천리 619-1","강원특별자치도 춘천시 동면 만천로 68","24215","(주) 한국푸드시스템","2020-05-27 16:42:12","I","2023-06-13 00:00:00","집단급식소 식품판매업","267371.64017632","486620.316623145","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"8","집단급식소식품판매업","07_22_01_P","4181000","4181000-122-2011-00011","2011-12-26","","01","영업/정상","01","영업","","","","","033 253 9483","250.00","","강원특별자치도 춘천시 동면 장학리 613-4","강원특별자치도 춘천시 동면 춘천순환로 833","24210","(주)푸드원","2012-07-12 16:43:33","I","2023-06-13 00:00:00","집단급식소 식품판매업","266046.886954952","490290.458294135","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"9","집단급식소식품판매업","07_22_01_P","4181000","4181000-122-2012-00003","2012-08-06","","01","영업/정상","01","영업","","","","","033 253 8030","132.00","","강원특별자치도 춘천시 소양로3가 110-1","강원특별자치도 춘천시 소양로 118 (소양로3가)","24272","춘천농협하나로마트사업소","2023-03-24 16:01:17","I","2023-06-13 00:00:00","집단급식소 식품판매업","263597.187815591","487019.948940286","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"10","집단급식소식품판매업","07_22_01_P","4181000","4181000-122-2012-00006","2012-12-13","","01","영업/정상","01","영업","","","","","033 252 7071","100.00","","강원특별자치도 춘천시 동면 만천리 821-2","강원특별자치도 춘천시 동면 만천로 135","24216","주)새시대체인벨몽드만천점","2017-06-14 15:15:27","I","2023-06-13 00:00:00","집단급식소 식품판매업","266786.132730214","486803.895972417","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
