"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","가축분뇨배출시설관리업(사업장)","09_30_02_P","4181000","418100053202500001","2025-09-03","","01","영업/정상","11","영업","","","","","0332625753","","","강원특별자치도 춘천시 동내면 거두리 457-7","강원특별자치도 춘천시 동내면 거두길 191","24399","(자)대한환경건설","2025-09-03 14:00:07","I","2025-09-05 00:20:02","","268451.112943277","484494.881436759","분뇨등관련영업관리","","","","","0","","0",
"2","가축분뇨배출시설관리업(사업장)","09_30_02_P","4181000","418100053201800001","2018-05-28","","03","폐업","2","폐업","2022-01-01","2022-01-01","2022-01-05","2022-01-05","033-258-8800","","","강원특별자치도 춘천시 후평동 311-8","강원특별자치도 춘천시 삭주로 163 (후평동)","24232","강원도시가스주식회사","2022-01-05 18:29:12","I","2023-06-13 00:00:00","","265773.323962488","487360.489206825","분뇨등관련영업관리","","","","","0","","0",
"3","가축분뇨배출시설관리업(사업장)","09_30_02_P","4181000","418100053202100001","2021-01-21","","03","폐업","2","폐업","2022-02-28","","","","033-241-8300","","","강원특별자치도 춘천시 효자동 708 춘천시 다문화가족지원센터","강원특별자치도 춘천시 공지로 305, 춘천시 다문화가족지원센터 5층 (효자동)","24372","주식회사 케이드","2022-03-14 16:25:18","I","2023-06-13 00:00:00","","264312.5178044","485239.21704575","분뇨등관련영업관리","","","","","0","","0",
"4","가축분뇨배출시설관리업(사업장)","09_30_02_P","4191000","419100053201500002","2015-12-15","","01","영업/정상","11","영업","","","","","033-743-6431","","","강원특별자치도 원주시 호저면 만종리 217-1","강원특별자치도 원주시 호저면 우무개로 326","26349","주식회사 동성환경엔지니어링","2025-04-10 16:19:42","U","2025-04-12 02:40:00","","280935.024259656","429774.133074899","분뇨등관련영업관리","","","","","0","","0",
"5","가축분뇨배출시설관리업(사업장)","09_30_02_P","4191000","419100053202400002","2024-07-30","","01","영업/정상","11","영업","","","","","033-766-7307","","","강원특별자치도 원주시 흥업면 매지리 1184-1 411호","강원특별자치도 원주시 흥업면 북원로 1389, 411호","26493","주식회사 우천환경이엔지","2024-10-14 13:27:36","U","2024-10-16 02:40:00","","280254.288140415","419626.869610252","분뇨등관련영업관리","","","","","0","","0",
"6","가축분뇨배출시설관리업(사업장)","09_30_02_P","4191000","419100053202400001","2024-07-30","","01","영업/정상","11","영업","","","","","033-766-7307","","","강원특별자치도 원주시 흥업면 매지리 1184-1 411호","강원특별자치도 원주시 흥업면 북원로 1389, 411호","26493","주식회사 우천환경이엔지","2024-09-11 10:48:57","U","2024-09-13 02:40:00","","280254.288140415","419626.869610252","분뇨등관련영업관리","","","","","0","","0",
"7","가축분뇨배출시설관리업(사업장)","09_30_02_P","4191000","419100053201200001","2012-04-17","","03","폐업","2","폐업","2013-04-04","","","","033-731-6432","","220-843","강원특별자치도 원주시 흥업면 사제리 337 거장A 상가201호","강원특별자치도 원주시 흥업면 사제로 483","220-843","(주)삼성환경엔지니어링","2013-04-08 15:52:54","I","2023-06-13 00:00:00","","278606.995669343","426001.763374377","분뇨등관련영업관리","","","","","0","","0",
"8","가축분뇨배출시설관리업(사업장)","09_30_02_P","4201000","420100053202000001","2020-05-14","","01","영업/정상","11","영업","","","","","662-1730","","","강원특별자치도 강릉시 주문진읍 교항리 1207-10","강원특별자치도 강릉시 주문진읍 농공단지길 40-22","25422","(주)대양환경기술","2025-04-21 15:52:49","U","2025-04-23 02:40:00","하수, 폐수 및 분뇨 처리업","360689.147050536","486906.388323301","분뇨등관련영업관리","하수, 폐수 및 분뇨 처리업","","","","0","","0",
"9","가축분뇨배출시설관리업(사업장)","09_30_02_P","4201000","420100053200000003","2000-09-16","","03","폐업","2","폐업","2008-04-28","","","","033 6427914","","210-803","강원특별자치도 강릉시 주문진읍 교항리 1207-10","","","케이엠네이쳐(주)","2008-04-28 14:12:12","I","2023-06-13 00:00:00","","360689.147050536","486906.388323301","분뇨등관련영업관리","","","","","0","","0",
"10","가축분뇨배출시설관리업(사업장)","09_30_02_P","4201000","420100053199900009","1999-11-10","","03","폐업","2","폐업","2008-12-31","","","","0336614482","","210-801","강원특별자치도 강릉시 주문진읍 교항리 1207-6","강원특별자치도 강릉시 주문진읍 농공단지길 28-32","","(주)대성환경건설","2009-01-02 10:39:39","I","2023-06-13 00:00:00","","360487.917334175","486867.906205672","분뇨등관련영업관리","","","","","0","","0",
"11","가축분뇨배출시설관리업(사업장)","09_30_02_P","4201000","420100053199900010","1999-10-05","","03","폐업","2","폐업","2009-01-06","","","","0336441730","","210-851","강원특별자치도 강릉시 사천면 석교리 613","강원특별자치도 강릉시 사천면 청솔공원길 207-12","","(주)대양이엔씨","2009-01-07 13:32:54","I","2023-06-13 00:00:00","","360745.122179084","482775.080007162","분뇨등관련영업관리","","","","","0","","0",
"12","가축분뇨배출시설관리업(사업장)","09_30_02_P","4211000","421100053201500001","2015-10-15","","03","폐업","2","폐업","2020-01-16","2018-02-13","","","0335330561","","","강원특별자치도 동해시 천곡동 91-22","강원특별자치도 동해시 감추7길 22 (천곡동)","","(주)대진환경개발","2020-01-16 11:49:11","I","2023-06-13 00:00:00","","387403.377471277","447880.462338016","분뇨등관련영업관리","","","","","0","","0",
"13","가축분뇨배출시설관리업(사업장)","09_30_02_P","4231000","423100053201200002","2012-02-06","","03","폐업","2","폐업","2014-07-31","","","","631-1539","","217-810","강원특별자치도 속초시 동명동 466-42","강원특별자치도 속초시 중앙로 190, 1동 7층 12호 (동명동, 설악센트리움)","217-810","(주)정엔지니어링","2014-07-31 17:30:03","I","2023-06-13 00:00:00","","339470.15928513","523908.757554044","분뇨등관련영업관리","","","","","0","","0",
"14","가축분뇨배출시설관리업(사업장)","09_30_02_P","4231000","423100053201900001","2019-03-21","","03","폐업","2","폐업","2020-02-05","","","","033-636-4981","","","강원특별자치도 속초시 교동 949-11","강원특별자치도 속초시 동해대로 4293 (교동)","24862","㈜청수환경엔지니어링","2020-02-06 10:05:53","I","2023-06-13 00:00:00","환경컨설팅 및 관련 엔지니어링 서비스업","337569.318545551","522952.587017943","분뇨등관련영업관리","환경컨설팅 및 관련 엔지니어링 서비스업","","","","0","","0",
"15","가축분뇨배출시설관리업(사업장)","09_30_02_P","4261000","426100053202400005","2024-09-30","","01","영업/정상","11","영업","","","","","033-344-9955","","","강원특별자치도 횡성군 횡성읍 학곡리 503","강원특별자치도 횡성군 횡성읍 경강로학곡2길 25","25210","(주)일품","2024-09-30 17:08:29","I","2024-10-02 00:12:51","폐기물 수집운반업","284084.152591659","445408.733998775","분뇨등관련영업관리","폐기물 수집운반업","","","","0","","0",
"16","가축분뇨배출시설관리업(사업장)","09_30_02_P","4261000","426100053202500004","2025-08-13","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 횡성군 우천면 양적리 37-11","강원특별자치도 횡성군 우천면 수남로266번길 56","25249","주식회사 이앤에이","2025-08-13 13:23:54","I","2025-08-15 00:20:12","축산 관련 서비스업","293716.374704997","439710.421022806","분뇨등관련영업관리","축산 관련 서비스업","","","","0","","0",
"17","가축분뇨배출시설관리업(사업장)","09_30_02_P","4261000","426100053202500003","2025-08-13","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 횡성군 우천면 양적리 37-11","강원특별자치도 횡성군 우천면 수남로266번길 56","25249","주식회사 이앤에이","2025-08-13 09:24:50","I","2025-08-15 00:20:12","축산 관련 서비스업","293716.374704997","439710.421022806","분뇨등관련영업관리","축산 관련 서비스업","","","","0","","0",
"18","가축분뇨배출시설관리업(사업장)","09_30_02_P","4261000","426100053202400004","2024-09-25","","03","폐업","2","폐업","2025-06-02","","","","","","","강원특별자치도 횡성군 우천면 양적리 37-11","강원특별자치도 횡성군 우천면 수남로266번길 56","25249","주식회사 이앤에이","2025-06-02 15:47:50","U","2025-06-04 02:40:00","축산 관련 서비스업","293716.374704997","439710.421022806","분뇨등관련영업관리","축산 관련 서비스업","","","","0","","0",
