"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053200000001","2000-05-03","","01","영업/정상","11","영업","","","","","033-243-2533","","200-959","강원특별자치도 춘천시 후평동 734-19","강원특별자치도 춘천시 삭주로 196 (후평동)","","(주)청솔환경건설","2025-02-17 16:28:28","U","2025-02-19 02:40:00","","266086.498127332","487368.018950843","분뇨등관련영업관리","","","","","0","","0",
"2","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053200000002","2000-08-28","","01","영업/정상","11","영업","","","","","033 2618544","","200-840","강원특별자치도 춘천시 동산면 조양리 252-1","강원특별자치도 춘천시 동산면 영서로 81-28","","주식회사 청정엔바텍","2000-09-28 19:10:25","I","2023-06-13 00:00:00","분뇨 처리업","272385.746882159","471978.643254224","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"3","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053200000003","2001-05-10","","01","영업/정상","11","영업","","","","","0332625753","","","강원특별자치도 춘천시 동내면 거두리 457-7","강원특별자치도 춘천시 동내면 거두길 191","24399","(자)대한환경건설","2024-07-15 13:13:44","U","2024-07-17 02:40:00","","268451.112943277","484494.881436759","분뇨등관련영업관리","","","","","0","","0",
"4","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053200100004","2001-06-11","","01","영업/정상","11","영업","","","","","","","200-030","강원특별자치도 춘천시 요선동 4-13","강원특별자치도 춘천시 중앙로 18  (요선동)","","(합)강산산업환경","2001-06-12 22:22:51","I","2023-06-13 00:00:00","폐기물 처리 및 오염방지시설 건설업","264034.46794701","486982.282234929","분뇨등관련영업관리","폐기물 처리 및 오염방지시설 건설업","","","","0","","0",
"5","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053200200001","2002-12-30","","01","영업/정상","11","영업","","","","","","","200-092","강원특별자치도 춘천시 효자동 287-1","강원특별자치도 춘천시 공지로 234-1  (효자동)","","미래엔텍(주)","2003-01-05 18:52:01","I","2023-06-13 00:00:00","환경상담 및 관련 엔지니어링 서비스업","264850.592004144","484837.957803838","분뇨등관련영업관리","환경상담 및 관련 엔지니어링 서비스업","","","","0","","0",
"6","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053200500001","2005-05-23","","01","영업/정상","11","영업","","","","","033 244 4285","","200-113","강원특별자치도 춘천시 소양로3가 175-1","강원특별자치도 춘천시 소양로 108  (소양로3가)","","태동개발(주)","2005-05-23 16:15:25","I","2023-06-13 00:00:00","","263549.724492183","486942.691888199","분뇨등관련영업관리","","","","","0","","0",
"7","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053200800001","2008-04-23","","01","영업/정상","11","영업","","","","","033-252-2222","","","강원특별자치도 춘천시 칠전동 261-8","강원특별자치도 춘천시 옛경춘로 487 (칠전동)","24239","(주)이앤비","2021-04-30 17:40:24","I","2023-06-13 00:00:00","","262443.25447264","482659.954129781","분뇨등관련영업관리","","","","","0","","0",
"8","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053201500001","2015-09-01","","01","영업/정상","11","영업","","","","","033-254-8600","","","강원특별자치도 춘천시 동면 장학리 224-2","강원특별자치도 춘천시 동면 춘천로 514","24213","(주)호반환경건설","2021-04-30 17:44:42","I","2023-06-13 00:00:00","","266910.442508995","488303.779835994","분뇨등관련영업관리","","","","","0","","0",
"9","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053200100007","2001-12-31","","03","폐업","2","폐업","2017-12-26","","","","0332640352","","200-935","강원특별자치도 춘천시 석사동 641-2","강원특별자치도 춘천시 후석로 67  (석사동)","","(주)미래환경엔지니어링","2019-03-21 11:07:03","I","2023-06-13 00:00:00","","265341.538214375","484426.175579745","분뇨등관련영업관리","","","","","0","","0",
"10","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053200100005","2001-09-22","","03","폐업","2","폐업","2008-04-22","","","","","","200-938","강원특별자치도 춘천시 온의동 549-7","","","청수환경관리","2008-04-23 11:37:02","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
