"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","건강기능식품일반판매업","07_22_03_P","4251000","4251000-134-2023-00015","2023-08-30","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 홍천군 홍천읍 갈마곡리 **","강원특별자치도 홍천군 홍천읍 닭바위*길 **, *층","25129","힐스템생활건강홍천점","2023-08-30 11:47:33","I","2023-09-01 00:18:42","","279679.702675993","466394.546028064","전자상거래(통신판매업)","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","건강기능식품일반판매업","07_22_03_P","4191000","4191000-134-2023-00159","2023-08-31","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 원주시 지정면 가곡리 **** 원주기업도시 라온프라이빗","강원특별자치도 원주시 지정면 가곡로 ***, ***동 ****호 (원주기업도시 라온프라이빗)","26352","인셀덤기배점","2023-08-31 09:17:27","I","2023-09-02 00:18:46","","277379.389310467","431624.383212252","전자상거래(통신판매업)","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","건강기능식품일반판매업","07_22_03_P","4191000","4191000-134-2023-00152","2023-08-16","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 원주시 지정면 가곡리 ****-*","강원특별자치도 원주시 지정면 신지정로 ***-*, ***호","26353","지에스더프레시원주기업도시점","2023-08-16 13:01:39","I","2023-08-18 00:18:28","","277250.554294063","431515.699932934","영업장판매","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","건강기능식품일반판매업","07_22_03_P","4341000","4341000-134-2023-00005","2023-08-03","","01","영업/정상","01","영업","","","","","","70.00","","강원특별자치도 고성군 간성읍 하리 *-**","강원특별자치도 고성군 간성읍 간성로 **, *층","24735","애터미","2023-08-03 13:56:33","I","2023-08-05 00:18:48","","328213.714674538","542847.277697815","전자상거래(통신판매업)","0","0","","","상수도전용","0","0","0","0","0","임대","10000000","500000","N","0","","","",
"5","건강기능식품일반판매업","07_22_03_P","4301000","4301000-134-2023-00007","2023-08-30","","01","영업/정상","01","영업","","","","","","9.00","","강원특별자치도 철원군 서면 자등리 ****-*","강원특별자치도 철원군 서면 자등로 ***","24062","제이에스본","2023-09-08 11:42:33","U","2023-09-10 02:40:00","","235536.322985997","514408.794925611","전자상거래(통신판매업)","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"6","건강기능식품일반판매업","07_22_03_P","4341000","4341000-134-2021-00008","2021-01-26","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 고성군 토성면 봉포리 ***-* 고성봉포코아루오션파인","강원특별자치도 고성군 토성면 학사촌길 **-*, *층 ***호 (고성봉포코아루오션파인)","24764","밸슈어 코퍼레이션","2023-09-08 17:11:17","I","2023-09-10 00:18:09","","336492.296116954","529092.369411824","전자상거래(통신판매업)","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"7","건강기능식품일반판매업","07_22_03_P","4191000","4191000-134-2023-00164","2023-09-08","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 원주시 문막읍 취병리 ***","강원특별자치도 원주시 문막읍 취병로 ***-**, 가동 *층","26360","셀픽","2023-09-08 15:15:51","I","2023-09-10 00:18:09","","268044.049849978","427540.636022102","전자상거래(통신판매업)","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","건강기능식품일반판매업","07_22_03_P","4191000","4191000-134-2023-00154","2023-08-21","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 원주시 행구동 **** 원주 행구동 골드클래스","강원특별자치도 원주시 영랑길 **, ***동 ****호 (행구동, 원주 행구동 골드클래스)","26456","에스쥐엠더케이영","2023-08-21 16:02:20","I","2023-08-23 00:18:32","","","","방문판매","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"9","건강기능식품일반판매업","07_22_03_P","4191000","4191000-134-2023-00142","2023-08-02","","01","영업/정상","01","영업","","","","","","0.75","","강원특별자치도 원주시 중앙동 ***-**","강원특별자치도 원주시 원일로 **-*, *층 (중앙동)","26428","엑소리체","2024-12-09 15:32:32","U","2024-12-11 02:40:00","","284145.242032997","427860.830288894","영업장판매","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"10","건강기능식품일반판매업","07_22_03_P","4191000","4191000-134-2023-00147","2023-08-09","","01","영업/정상","01","영업","","","","","15770711","","","강원특별자치도 원주시 단구동 ****-**","강원특별자치도 원주시 송림길 **, *층 (단구동)","26449","세븐일레븐원주한신3차점","2023-08-09 18:02:18","I","2023-08-11 00:18:47","","284606.604285207","425850.539474074","영업장판매","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
