"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","게임물배급업","03_05_01_P","4181000","CDFF2241122013000001","2013-03-18","","03","폐업","03","폐업","2017-01-19","","","","070-7762-0716","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 춘천로 *** (효자동)","24329","클린앱스","2017-01-19 14:54:54","I","2023-06-13 00:00:00","","264607.739384354","486205.143820709","게임물배급업","유통관련업","0","기타","게임","12.45","6","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","일반상업지역",
"2","게임물배급업","03_05_01_P","4181000","CDFF2241122015000001","2015-09-04","","03","폐업","03","폐업","2024-02-10","","","","","","","강원특별자치도 춘천시 봉의동 **","강원특별자치도 춘천시 봉의산길**번길 **, B동 B**호 (봉의동)","24265","익드라실 스튜디오","2025-03-17 17:23:28","U","2025-03-19 02:40:00","","264374.316412646","487186.385740051","게임물배급업","유통관련업","0","아파트지역","게임물","40","5","0","아파트","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"3","게임물배급업","03_05_01_P","4181000","CDFF2241122013000002","2013-07-31","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 돌담길**번길 ** (효자동)","24334","마이앱스 소프트","2013-07-31 16:10:08","I","2023-06-13 00:00:00","","264677.377267415","485809.75547742","게임물배급업","유통관련업","0","","배급업","164","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","게임물배급업","03_05_01_P","4181000","CDFF2241122021000001","2021-03-24","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 금산리 ****","강원특별자치도 춘천시 서면 박사로 ***, 강원창작개발센터 ***호","24461","타이니젬","2025-08-26 11:09:00","U","2025-08-28 02:40:00","","260819.739664112","488267.312140011","게임물배급업","유통관련업","0","","모바일게임 소프트웨어, PC게임 소프트웨어 및 기타 게임 소프트웨어","253.71","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","게임물배급업","03_05_01_P","4191000","CDFF2241122017000002","2017-12-01","","03","폐업","03","폐업","2019-08-23","","","","","","","강원특별자치도 원주시 학성동 ****-* *층","강원특별자치도 원주시 남산로 ***, *층 (학성동)","26416","올 다이스","2019-08-23 16:48:41","I","2023-06-13 00:00:00","","283371.648487568","428361.403477524","게임물배급업","유통관련업","5","","PC게임","137.9","4","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"6","게임물배급업","03_05_01_P","4191000","CDFF2241122024000001","2024-02-07","","03","폐업","03","폐업","2024-05-22","","","","","","","강원특별자치도 원주시 단구동 **** 두산아파트","강원특별자치도 원주시 남원로 ***, ***동 ****호 (단구동, 두산아파트)","26485","인피션즈 (INFITIONS)","2024-05-22 16:45:58","U","2024-05-24 02:40:00","","283940.12195007","425299.379019454","게임물배급업","유통관련업","0","","온라인 게임","134.97","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","게임물배급업","03_05_01_P","4191000","CDFF2241122010000001","2010-07-21","","01","영업/정상","13","영업중","","","","","762-9631","","","강원특별자치도 원주시 관설동 ****-*","강원특별자치도 원주시 관설안길 **-** (관설동)","26472","TTS(토탈시스템)","2023-01-03 15:36:28","I","2023-06-13 00:00:00","","285182.67305261","424350.615680654","게임물배급업","유통관련업","0","","아케이드게임","60.5","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","게임물배급업","03_05_01_P","4191000","CDFF2241122016000001","2016-03-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 ****-*","강원특별자치도 원주시 오성마을길 *, *층 ***호 (단구동)","26400","아코전자","2021-12-28 18:18:50","I","2023-06-13 00:00:00","","284449.156454058","424476.24227334","게임물배급업","유통관련업","4","기타","비디오게임기, 전자오락기","72.45","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"9","게임물배급업","03_05_01_P","4191000","CDFF2241122017000001","2017-09-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단계동 ***-**","강원특별자치도 원주시 이화*길 **-*, *층 (단계동)","26474","이룸소프트","2017-09-20 13:52:25","I","2023-06-13 00:00:00","","282555.63720335","426704.310434947","게임물배급업","유통관련업","4","기타","게임물","75.84","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"10","게임물배급업","03_05_01_P","4191000","CDFF2241122022000001","2022-02-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 ****-*","강원특별자치도 원주시 천매봉길 **-**, *층 (단구동)","26483","2S Soft","2022-02-21 17:15:07","I","2023-06-13 00:00:00","","283538.026663461","425006.250787174","게임물배급업","유통관련업","0","","일반게임류","183.22","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"11","게임물배급업","03_05_01_P","4201000","CDFF2241122023000001","2023-10-23","","03","폐업","03","폐업","2025-01-13","","","","033-652-0299","","","강원특별자치도 강릉시 포남동 ****-*** 강릉과학산업진흥원 ***호","강원특별자치도 강릉시 경강로****번길 *, 강릉과학산업진흥원 ***호 (포남동)","25570","이웃사람","2025-01-14 09:20:43","U","2025-01-16 02:40:00","","368705.113784819","475673.124066199","게임물배급업","유통관련업","0","","PC/어플리케이션 게임","41.2","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"12","게임물배급업","03_05_01_P","4201000","CDFF2241122019000001","2019-03-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 연곡면 영진리 ***-** 동방이스트빌","강원특별자치도 강릉시 연곡면 연주로 ***, 동방이스트빌 ***동 ***호","25429","초목","2019-03-27 14:10:14","I","2023-06-13 00:00:00","","361622.71641138","486923.542176055","게임물배급업","유통관련업","0","","게임물","91.66","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"13","게임물배급업","03_05_01_P","4201000","CDFF2241122025000001","2024-12-30","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 옥천동 *** *층 ***호","강원특별자치도 강릉시 경강로 ****, *층 ***호 (옥천동)","25552","여우늘","2025-07-02 09:14:22","U","2025-07-04 02:40:00","","367540.766623865","474662.18007794","게임물배급업","유통관련업","0","","게임 소프트웨어 개발","3.3","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"14","게임물배급업","03_05_01_P","4221000","CDFF2241122010000001","2010-05-18","","03","폐업","03","폐업","2020-12-14","","","","033-580-8100","","","강원특별자치도 태백시 문곡동 **","강원특별자치도 태백시 태백로 **** (문곡동)","26044","(주)하이원엔터테인먼트","2020-12-16 14:14:42","I","2023-06-13 00:00:00","","377985.059683658","404182.306250503","게임물배급업","유통관련업","7","아파트지역","게임소프트웨어 퍼블리싱","492.38","6","1","사무실","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"15","게임물배급업","03_05_01_P","4221000","CDFF2241122007000001","2007-12-10","","04","취소/말소/만료/정지/중지","35","직권말소","2009-05-07","","","","553-7402","","","강원특별자치도 태백시 소도동 ***-*","강원특별자치도 태백시 천제단길 ***  (소도동)","","G 컨퍼런스","2009-06-17 13:13:21","I","2023-06-13 00:00:00","","373495.337373523","403985.151366801","게임물배급업","유통관련업","3","기타","소프트웨어 배급","197.99","3","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","자연녹지지역",
"16","게임물배급업","03_05_01_P","4231000","CDFF2241122015000003","2015-10-29","","03","폐업","03","폐업","2015-12-31","","","","","","","강원특별자치도 속초시 교동 ***-**","강원특별자치도 속초시 청대로***번길 *, *층 (교동)","24863","(주)제타인터렉티브","2016-01-04 15:30:18","I","2023-06-13 00:00:00","","337591.725409061","522832.045189385","게임물배급업","유통관련업","0","","온라인, 모바일게임","100","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"17","게임물배급업","03_05_01_P","4231000","CDFF2241122015000001","2015-10-23","","01","영업/정상","13","영업중","","","","","1599-2516","","","강원특별자치도 속초시 동명동 ***-**","강원특별자치도 속초시 중앙로 *** (동명동)","24824","(주)비씨이노베이션","2015-12-29 16:21:39","I","2023-06-13 00:00:00","","339470.15928513","523908.757554044","게임물배급업","유통관련업","0","","모바일게임 제작","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"18","게임물배급업","03_05_01_P","4231000","CDFF2241122015000004","2015-12-30","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 조양동 ****-*","강원특별자치도 속초시 청대로***번길 ** (조양동,  상가건물 ***-*호)","24876","(주)아담소프트","2015-12-30 16:11:12","I","2023-06-13 00:00:00","","338282.129911374","521872.924685818","게임물배급업","유통관련업","0","","온라인, 모바일 어플리케이션","100","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
