"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"1","계량기수리업","09_28_01_P","4181000","2020418034906500001","2020-07-21","","01","영업/정상","01","영업중","","","","","0332560042","","","강원특별자치도 춘천시 동내면 학곡리 105-90","강원특별자치도 춘천시 동내면 영서로 1498-1, 1층","24408","우리전자저울","2023-05-17 11:04:18","I","2023-06-13 00:00:00","","267100.344755724","479251.772088149","","0332560042",
"2","계량기수리업","09_28_01_P","4181000","2014418027906500001","2014-11-11","","01","영업/정상","01","영업중","","","","","","","","","강원특별자치도 춘천시 신북읍 맥국길 197","200-824","대창주유기(계량기)","2023-05-17 10:26:40","I","2023-06-13 00:00:00","","268209.373587712","494184.127811185","","0",
"3","계량기수리업","09_28_01_P","4181000","2008418016606500001","2002-06-07","","03","폐업","03","폐업","2019-08-27","","","","","","","","강원특별자치도 춘천시 동내면 거두택지길44번길 20","24399","동남계기","2019-08-29 19:40:17","I","2023-06-13 00:00:00","","266627.759948759","483744.919721561","","",
"4","계량기수리업","09_28_01_P","4191000","2023419100606500002","2023-06-14","","01","영업/정상","01","영업중","","","","","07042025252","","","강원특별자치도 원주시 지정면 신평리 1069","강원특별자치도 원주시 지정면 신평로 2-3","26348","코리아케미칼","2023-06-14 14:14:09","I","2023-06-16 00:19:48","","278666.508952274","430272.954513539","","07042025252",
"5","계량기수리업","09_28_01_P","4191000","2014419020306500001","2016-05-02","","01","영업/정상","01","영업중","","","","","","","","","강원특별자치도 원주시 강변로 87, 6호 (단구동)","220-940","미래계량통신","2016-05-02 14:16:11","I","2023-06-13 00:00:00","","285951.348821625","424349.151177741","","010 63802843",
"6","계량기수리업","09_28_01_P","4191000","2010419019006500001","2010-01-14","","01","영업/정상","01","영업중","","","","","0337310517","","220-833","강원특별자치도 원주시 소초면 수암리 1559번지","강원특별자치도 원주시 소초면 갓바우길 118","220-833","오름ENG","2018-06-25 11:08:20","I","2023-06-13 00:00:00","","285797.709110688","432369.819638762","","0337310517",
"7","계량기수리업","09_28_01_P","4191000","2004419015306500001","2002-10-09","","01","영업/정상","01","영업중","","","","","0337313693","","220-030","강원특별자치도 원주시 학성동 969번지 3호","강원특별자치도 원주시 북원로 2386 (학성동)","220-963","카스원주점","2011-12-22 13:41:18","I","2023-06-13 00:00:00","","282991.916059173","428841.753269142","","0337313693",
"8","계량기수리업","09_28_01_P","4191000","1999419019006500001","1999-06-02","","01","영업/정상","01","영업중","","","","","0337334477","","","강원특별자치도 원주시 소초면 교항리 480번지 5호","강원특별자치도 원주시 소초면 치악로 3043","26304","원주계량공사","2020-02-06 14:52:45","I","2023-06-13 00:00:00","","290017.364438663","437207.373977027","","0337334477",
"9","계량기수리업","09_28_01_P","4191000","1980419019006500001","1980-05-15","","01","영업/정상","01","영업중","","","","","033 743 0654","","","강원특별자치도 원주시 학성동 302번지 4호","강원특별자치도 원주시 원일로 164-18, 1층 (학성동)","26415","우진저울","2016-05-17 17:51:24","I","2023-06-13 00:00:00","","283750.567363334","428531.107961749","","033 743 0654",
"10","계량기수리업","09_28_01_P","4191000","1977419019006500001","1977-09-21","","01","영업/정상","01","영업중","","","","","0337427830","","220-130","강원특별자치도 원주시 우산동 127번지 70호","강원특별자치도 원주시 북원로2425번길 3 (우산동)","220-952","영서기업","2011-12-22 14:19:05","I","2023-06-13 00:00:00","","283148.531775201","429188.451149426","","0337427830",
