"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"1","계량기증명업","09_28_04_P","4181000","2017418027906500001","2017-01-19","","01","영업/정상","01","영업중","","","","","033 243 5677","","","","강원특별자치도 춘천시 동내면 순환대로 645","24408","춘천계량증명업소","2017-01-19 15:03:20","I","2023-06-13 00:00:00","","267089.708777736","482306.995856385","033 243 5677","",
"2","계량기증명업","09_28_04_P","4181000","2017418028606500001","2017-03-23","","01","영업/정상","01","영업중","","","","","0332553894","","","","강원특별자치도 춘천시 동면 소양강로 349","24210","천지상사","2017-04-10 10:34:22","I","2023-06-13 00:00:00","","265842.485515542","490817.445962822","0332553894","",
"3","계량기증명업","09_28_04_P","4181000","2018418027706500002","2018-09-11","","01","영업/정상","01","영업중","","","","","2510606","","","강원특별자치도 춘천시 근화동 790번지 6호","강원특별자치도 춘천시 영서로 2622 (근화동)","24244","소양강 자원","2021-08-09 11:48:20","I","2023-06-13 00:00:00","","263274.107635603","487846.091437692","2510606","",
"4","계량기증명업","09_28_04_P","4181000","2021418034906500001","2021-01-27","","01","영업/정상","01","영업중","","","","","2611234","","","","강원특별자치도 춘천시 신동면 한치로 497","24411","(주) 강토개발","2023-02-04 15:15:57","I","2023-06-13 00:00:00","","259692.000138683","475942.141880623","2611234","",
"5","계량기증명업","09_28_04_P","4181000","2021418034906500002","2021-01-27","","01","영업/정상","01","영업중","","","","","2627780","","","","강원특별자치도 춘천시 남산면 한치로 343","24465","덕호산업주식회사","2021-01-29 11:03:19","I","2023-06-13 00:00:00","","258609.008082864","475604.755593434","2627780","",
"6","계량기증명업","09_28_04_P","4181000","2021418034906500004","2021-12-27","","01","영업/정상","01","영업중","","","","","0332410232","","","","강원특별자치도 춘천시 신동면 경춘로 1934","24411","주식회사 춘일실업","2022-01-03 16:04:37","I","2023-06-13 00:00:00","","262448.013529005","480788.532546769","0332410232","",
"7","계량기증명업","09_28_04_P","4181000","2022418034906500001","2022-07-04","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 춘천시 신북읍 율문리 656","강원특별자치도 춘천시 신북읍 신북로 80","24205","춘천모아자원","2022-07-05 09:08:36","I","2023-06-13 00:00:00","","266052.519085925","492467.713401628","","",
"8","계량기증명업","09_28_04_P","4181000","2023418039206500001","2023-02-17","","01","영업/정상","01","영업중","","","","","0332629380","","","","강원특별자치도 춘천시 동산면 종자리로 560","24410","(주) 녹색산업","2023-12-19 08:54:28","U","2023-12-21 02:40:00","","267276.946680783","473830.990212459","0332629380","",
"9","계량기증명업","09_28_04_P","4181000","2025418108106500001","2025-02-18","","01","영업/정상","01","영업중","","","","","0332619361","","","","강원특별자치도 춘천시 남산면 한치로 432","24465","화성개발주식회사","2025-02-27 14:46:32","I","2025-03-01 00:10:37","","259457.325002021","475722.078331178","0332619361","",
"10","계량기증명업","09_28_04_P","4181000","2023418108106500001","2023-12-19","","01","영업/정상","01","영업중","","","","","0332649012","","","","강원특별자치도 춘천시 신동면 김유정로 1593, (A-2호)","24412","증리공인계량소","2023-12-20 13:53:36","I","2023-12-23 00:16:40","","263882.956982464","481125.469393554","0332649012","",
"11","계량기증명업","09_28_04_P","4181000","1996418001606500001","1996-07-16","","03","폐업","03","폐업","2018-05-29","","","","0332513225","","","강원특별자치도 춘천시 근화동 790-6번지","강원특별자치도 춘천시 영서로 2622 (근화동)","200-931","근화계량소","2018-12-18 16:25:15","I","2023-06-13 00:00:00","","263274.107635603","487846.091437692","0332513225","",
"12","계량기증명업","09_28_04_P","4181000","2000418001606500003","1996-07-01","","03","폐업","03","폐업","2013-12-27","","","","033 2510225","","","강원특별자치도 춘천시 근화동 790-6번지","","","근화계량","2013-12-27 15:35:55","I","2023-06-13 00:00:00","","","","033 2510225","",
