"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","골프장","10_31_02_P","4181000","CDFH2302012004000001","2004-10-11","","01","영업/정상","13","영업중","","","","","","","200-914","강원특별자치도 춘천시 남산면 서천리 산 35","","","제이드팰리스솔프클럽","2004-10-11 11:33:18","I","2023-06-13 00:00:00","","","","골프장","사립","0","0","0","0","0","","",
"2","골프장","10_31_02_P","4191000","CDFH2302011994000001","1994-08-30","","01","영업/정상","13","영업중","","","","","732-3700","","220-821","강원특별자치도 원주시 지정면 월송리 산 2-2","강원특별자치도 원주시 지정면 신평석화로 236","","동서울레스피아대중골프장","2003-05-09 17:00:26","I","2023-06-13 00:00:00","","","","골프장","사립","0","0","0","0","0","","",
"3","골프장","10_31_02_P","4191000","CDFH2302011996000001","1996-05-31","","01","영업/정상","13","영업중","","","","","731-4811","","220-833","강원특별자치도 원주시 소초면 수암리 산 24","","","파크밸리대중골프장","2003-05-09 16:55:26","I","2023-06-13 00:00:00","","289836.41623767","432667.482486981","골프장","사립","0","0","0","0","0","","",
"4","골프장","10_31_02_P","4191000","CDFH2302011998000001","1998-06-18","","01","영업/정상","13","영업중","","","","","730-3500","","220-821","강원특별자치도 원주시 지정면 월송리 산 171","","","오크밸리골프장","2003-05-09 16:56:47","I","2023-06-13 00:00:00","","","","골프장","사립","0","0","0","0","0","","",
"5","골프장","10_31_02_P","4191000","CDFH2302012001000001","2001-06-02","","01","영업/정상","13","영업중","","","","","730-3500","","220-821","강원특별자치도 원주시 지정면 월송리 산 171","","","오크밸리대중골프장","2003-05-09 16:58:54","I","2023-06-13 00:00:00","","","","골프장","사립","0","0","0","0","0","","",
"6","골프장","10_31_02_P","4221000","CDFH2302012008000001","2008-10-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 태백시 황지동 산 176-28","강원특별자치도 태백시 서학로 861 (황지동, 오투리조트)","26010","오투리조트 C.C","2025-06-20 17:47:54","U","2025-06-22 02:40:00","","","","골프장","사립","0","0","0","4004.23","0","","",
"7","골프장","10_31_02_P","4221000","CDFH2302012008000002","2008-10-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 태백시 황지동 산 176-28","강원특별자치도 태백시 서학로 861 (황지동, 오투리조트)","26010","오투리조트 골프(대중제 18홀)","2025-06-20 17:31:22","U","2025-06-22 02:40:00","","","","골프장","사립","0","0","0","4004.23","900","","",
"8","골프장","10_31_02_P","4231000","CDFH2302012001000001","2001-07-24","","01","영업/정상","13","영업중","","","","","02-534-2283","","217-807","강원특별자치도 속초시 금호동 600-7","강원특별자치도 속초시 영랑호반길 140 (금호동)","217-807","레익스빌골프장","2011-10-30 13:00:16","I","2023-06-13 00:00:00","","338374.412974913","524654.315852627","골프장","사립","0","0","0","0","0","","",
"9","골프장","10_31_02_P","4281000","CDFH2302011988000001","1988-04-07","","01","영업/정상","13","영업중","","","","","033-335-5757","","232-952","강원특별자치도 평창군 대관령면 용산리 2-4","","","용평대중골프장","2003-06-24 17:41:19","I","2023-06-13 00:00:00","","348583.286855325","461795.914064724","골프장","사립","1","2","0","0","0","","",
"10","골프장","10_31_02_P","4281000","CDFH2302011989000001","1989-05-13","","01","영업/정상","13","영업중","","","","","033-335-5757","","232-951","강원특별자치도 평창군 대관령면 수하리","","","용평리조트골프클럽(회원제)","2003-06-24 17:51:39","I","2023-06-13 00:00:00","","","","골프장","사립","1","2","0","0","0","","",
