"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","공연장","03_06_01_P","4181000","CDFE1230002002000002","2002-12-12","","03","폐업","03","폐업","2007-12-13","","","","033)250-3514","","200-030","강원특별자치도 춘천시 요선동 2-12","강원특별자치도 춘천시 서부대성로47번길 16  (요선동)","","춘천시민회관","2009-01-23 09:11:43","I","2023-06-13 00:00:00","","264070.651237135","487101.68127735","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","공연장","03_06_01_P","4181000","CDFE1230002002000003","2002-12-12","","03","폐업","03","폐업","2016-05-09","","","","033)251-3407","","200-200","강원특별자치도 춘천시 삼천동 200","강원특별자치도 춘천시 스포츠타운길 383-6 (삼천동)","200-200","강원국악예술회관","2016-06-15 13:19:24","I","2023-06-13 00:00:00","","261638.06885953","485738.768274014","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","공연장","03_06_01_P","4181000","CDFE1230002014000001","2014-03-12","","03","폐업","03","폐업","2017-06-26","","","","033)259-1215","","200-718","강원특별자치도 춘천시 삼천동 238-3","강원특별자치도 춘천시 수변공원길 54 (삼천동)","200-718","춘천MBC 예술극장(공개홀)","2017-06-26 17:47:17","I","2023-06-13 00:00:00","","261823.333742905","486063.952881273","공연장","공연장","보전녹지지역","5","기타","","","문화시설","5","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","공연장","03_06_01_P","4181000","CDFE1230002002000001","2002-12-12","","01","영업/정상","13","영업중","","","","","033)250-3593","","200-949","강원특별자치도 춘천시 효자동 산 40-2","강원특별자치도 춘천시 효자상길5번길 13 (효자동)","24336","춘천문화예술회관","2024-12-02 10:32:28","U","2024-12-04 02:40:00","","264116.316332011","485786.290073527","공연장","공연장","","0","","","","문화시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","공연장","03_06_01_P","4181000","CDFE1230002002000004","2002-12-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 사농동 277-3 춘천인형극장","강원특별자치도 춘천시 영서로 3017, 춘천인형극장 (사농동)","24235","춘천인형극장","2024-05-27 15:17:12","U","2024-05-29 02:40:00","","263263.386537171","491207.735328669","공연장","공연장","자연녹지지역","3","","","","문화시설","3","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","공연장","03_06_01_P","4181000","CDFE1230002003000001","2003-02-12","","01","영업/정상","13","영업중","","","","","033)250-7201","","200-948","강원특별자치도 춘천시 효자동 192-1","강원특별자치도 춘천시 강원대학길 1  (효자동)","","백령아트센터","2010-04-13 10:19:15","I","2023-06-13 00:00:00","","265481.557982219","485420.871953344","공연장","공연장","","2","","","","문화시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"7","공연장","03_06_01_P","4181000","CDFE1230002003000002","2003-08-23","","01","영업/정상","13","영업중","","","","","033)243-4368","","200-010","강원특별자치도 춘천시 옥천동 73-2","강원특별자치도 춘천시 서부대성로 71 (옥천동)","24264","봄내극장","2024-11-28 17:22:41","U","2024-11-30 02:40:00","","264271.934179086","486911.569011759","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"8","공연장","03_06_01_P","4181000","CDFE1230002010000001","2010-12-23","","01","영업/정상","13","영업중","","","","","033-730-0101","","200-949","강원특별자치도 춘천시 효자동 531","강원특별자치도 춘천시 춘천로 112 (효자동)","24336","축제극장 몸짓","2025-02-10 18:03:24","U","2025-02-12 02:40:00","","263955.500305413","485849.578757573","공연장","공연장","","3","","","","문화시설","3","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"9","공연장","03_06_01_P","4181000","CDFE1230002011000001","2011-12-20","","01","영업/정상","13","영업중","","","","","","","200-933","강원특별자치도 춘천시 석사동 310-5 삼원빌딩 지하","강원특별자치도 춘천시 공지로 121-1 (석사동)","200-933","소극장 여우","2022-03-08 09:43:34","I","2023-06-13 00:00:00","","265669.053861763","484096.71012815","공연장","공연장","일반주거지역","3","기타","","","근린생활시설","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","공연장","03_06_01_P","4181000","CDFE1230002012000001","2012-01-26","","01","영업/정상","13","영업중","","","","","033)261-7295","","200-956","강원특별자치도 춘천시 후평동 90-1","강원특별자치도 춘천시 세실로 267 (후평동)","200-956","소극장 존","2014-03-12 12:50:56","I","2023-06-13 00:00:00","","266314.415349112","486712.149755854","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
