"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","관광사업자","03_07_02_P","6530000","C02002010000002","2009-12-04","","01","영업/정상","1","영업","","","","","0337429604","330","220-938","강원특별자치도 원주시 단계동 867 - 5","강원특별자치도 원주시 장미공원길 71-7 (단계동)","","래래반점","2010-01-20 17:32:36","I","2023-06-13 00:00:00","","282317.3","427497.66","관광객편의시설","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","관광사업자","03_07_02_P","6530000","C02002010000003","2010-01-20","","01","영업/정상","1","영업","","","","","0337422350","348.27","220-948","강원특별자치도 원주시 명륜동 825 - 17","강원특별자치도 원주시 한지공원길 25-7 (명륜동)","","래래반점","2010-01-20 17:35:26","I","2023-06-13 00:00:00","","283481.672696334","425662.112781987","관광객편의시설","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","관광사업자","03_07_02_P","6530000","C02002010000004","2010-03-04","","01","영업/정상","1","영업","","","","","0332560545","221.4","","강원특별자치도 홍천군 서면 팔봉리 125 - 1","강원특별자치도 홍천군 서면 한치골길 262","","중국성","2013-12-30 11:40:53","I","2023-06-13 00:00:00","","262772.350659299","465843.962768851","관광객편의시설","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","관광사업자","03_07_02_P","6530000","C02002010000005","2010-06-01","","01","영업/정상","1","영업","","","","","0332429030","641.52","","강원특별자치도 춘천시 동면 장학리 144 - 16","강원특별자치도 춘천시 동면 순환대로 1154-97","","산토리니","2010-06-01 09:46:40","I","2023-06-13 00:00:00","","268215.663240199","487927.403356436","관광객편의시설","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","관광사업자","03_07_02_P","6530000","C02002010000006","2010-07-06","","01","영업/정상","1","영업","","","","","0336389993","232.14","","강원특별자치도 속초시 노학동 980 - 36","강원특별자치도 속초시 관광로 454 (노학동)","","황금성","2010-07-07 11:32:43","I","2023-06-13 00:00:00","","334420.836480504","523017.39043025","관광객편의시설","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","관광사업자","03_07_02_P","6530000","C02002010000007","2010-10-13","","01","영업/정상","1","영업","","","","","0332621321","265.49","","강원특별자치도 춘천시 석사동 802 - 2","강원특별자치도 춘천시 후석로 11-4 (석사동)","","롱타우객잔","2010-10-13 13:26:39","I","2023-06-13 00:00:00","","264972.071352915","484067.543927369","관광객편의시설","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"7","관광사업자","03_07_02_P","6530000","C06002013000001","2013-06-27","","01","영업/정상","1","영업","","","","","0335327373","1576.64","","강원특별자치도 동해시 망상동 171 - 1","강원특별자치도 동해시 동해대로 6188 (망상동)","","망상해오름가족호텔","2014-04-07 15:37:36","I","2023-06-13 00:00:00","","385127.981880001","456080.753173899","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"8","관광사업자","03_07_02_P","6530000","C06002019000002","2019-08-12","","01","영업/정상","1","영업","","2019-04-05","2019-07-08","","","0","","강원특별자치도 동해시 망상동 393 - 39 망상오토캠핑리조트 0호","강원특별자치도 동해시 동해대로 6370-0, 0동 (망상동,망상오토캠핑리조트)","","망상오토캠핑리조트","2019-08-12 15:07:21","I","2023-06-13 00:00:00","","383499.30979747","457408.646958951","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20190101","20191231","클럽하우스, 컨벤션센터, 카페테리아, 체육시설, 다목적구장, 공동취사장, 화장실및 샤워실,","0",
"9","관광사업자","03_07_02_P","6530000","C07002006000002","2006-03-10","","01","영업/정상","1","영업","","","","","0334382900","","","강원특별자치도 홍천군 내촌면 화상대리 358 - 2","강원특별자치도 홍천군 내촌면 연못골길 118-9","","한국청소년 여행사","2006-04-24 11:19:33","I","2023-06-13 00:00:00","","291840.094978003","477852.177967253","여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","350000000","","","","0",
"10","관광사업자","03_07_02_P","6530000","C07002006000003","2006-04-24","","01","영업/정상","1","영업","","","","","0332534567","","","강원특별자치도 원주시 중앙동 214 - 2","강원특별자치도 원주시 원일로 68 (중앙동)","","매일월드투어","2006-04-24 11:28:21","I","2023-06-13 00:00:00","","284241.010361768","427746.579574871","여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","35000000","","","","0",
