"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","관광펜션업","03_11_02_P","4181000","CDFI3261092010000001","2010-08-03","","03","폐업","03","폐업","2017-10-27","","","","","","200-911","강원특별자치도 춘천시 남산면 창촌리 86-4","강원특별자치도 춘천시 남산면 보매기1길 62-14","","여우그늘관광펜션","2018-01-18 11:30:41","I","2023-06-13 00:00:00","","256553.977425028","476601.109892398","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","0","0","YEUGEUNEUL TOUR PENSION","TOUR PENSION AGENCY","0","0","","0","0","","0","575.09","","0","","","","","","","1000000000","","","","575",
"2","관광펜션업","03_11_02_P","4181000","CDFI3261092014000001","2014-10-20","","03","폐업","03","폐업","2017-11-16","","","","","","200-914","강원특별자치도 춘천시 남산면 서천리 319","강원특별자치도 춘천시 남산면 서천길 117","24464","쏠리오","2018-01-18 11:31:15","I","2023-06-13 00:00:00","","247650.420128352","482561.620004772","관광펜션업","","관리지역","3","","","","단독주택","3","1","0","0","","","0","0","","0","0","","0","571.3","","0","","","","","","","0","","","","571",
"3","관광펜션업","03_11_02_P","4181000","CDFI3261092020000001","2020-03-06","","03","폐업","03","폐업","2021-04-15","","","","","","","강원특별자치도 춘천시 남산면 서천리 532","강원특별자치도 춘천시 남산면 북한강변길 178","24464","온정 펜션","2021-04-15 17:56:44","I","2023-06-13 00:00:00","","247075.807196938","482237.203313993","관광펜션업","","","2","기타","","한화손해보험","","2","0","0","0","","","0","0","","0","0","","0","198","","0","","","","","","","700000000","","","","198",
"4","관광펜션업","03_11_02_P","4181000","CDFI3261092019000001","2019-07-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남산면 방곡리 252-3","강원특별자치도 춘천시 남산면 풀무골1길 22-1","24465","아이플러스 펜션","2021-06-15 16:06:17","I","2023-06-13 00:00:00","","256495.780436714","477300.984724052","관광펜션업","","자연녹지지역","0","","","","단독주택","3","1","0","0","","","0","0","","0","0","","0","259.93","","0","","","","","","","0","","","","260",
"5","관광펜션업","03_11_02_P","4181000","CDFI3261092020000002","2020-06-29","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남산면 서천리 524-6","강원특별자치도 춘천시 남산면 서천길 49","24464","2020스파엔 풀빌라","2025-03-10 10:19:48","U","2025-03-12 02:40:00","","247085.232177314","482165.535342269","관광펜션업","","관리지역","3","기타","","농협손해보험주식회사","단독주택","3","0","0","0","","","0","0","","0","0","","0","198.63","","0","","","","","","","400000000","","","","199",
"6","관광펜션업","03_11_02_P","4181000","CDFI3261092020000003","2020-09-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 신매리 67-8","강원특별자치도 춘천시 서면 박사로 1214","24460","리버스토리 1210","2021-06-15 16:16:24","I","2023-06-13 00:00:00","","262558.940670224","490728.612732053","관광펜션업","","","1","","","","","0","0","0","0","","","0","0","","0","0","","0","157.63","","0","","","","","","","350000000","","","","158",
"7","관광펜션업","03_11_02_P","4181000","CDFI3261092021000001","2021-01-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 신동면 증리 68","강원특별자치도 춘천시 신동면 삼포길 155","24412","썸원스 페이지","2025-02-11 11:25:13","U","2025-02-13 02:40:00","","263673.010932254","477934.351634747","관광펜션업","","자연녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","1000000000","","","","0",
"8","관광펜션업","03_11_02_P","4181000","CDFI3261092021000002","2021-10-13","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 월송리 770-7","강원특별자치도 춘천시 서면 월송길 381-17","24460","포레스트문","2021-10-14 15:05:09","I","2023-06-13 00:00:00","","259006.518126577","491519.945184327","관광펜션업","","자연녹지지역","2","기타","","","단독주택","2","0","0","0","","","0","0","","0","0","","0","161.4","","0","","","","","","","0","","","","161",
"9","관광펜션업","03_11_02_P","4181000","CDFI3261092022000001","2022-06-15","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 신북읍 용산리 341-3","강원특별자치도 춘천시 신북읍 영서로 3337","24202","산뜰","2025-02-11 11:09:18","U","2025-02-13 02:40:00","","262093.343247948","493816.693117518","관광펜션업","","자연녹지지역","2","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","관광펜션업","03_11_02_P","4181000","CDFI3261092023000001","2023-01-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남산면 서천리 624","강원특별자치도 춘천시 남산면 햇골길 19-5","24464","위시 풀빌라펜션","2025-02-11 11:25:38","U","2025-02-13 02:40:00","","246823.542952823","481608.976113522","관광펜션업","","관리지역","1","","","","","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"11","관광펜션업","03_11_02_P","4181000","CDFI3261092024000009","2024-09-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남산면 방곡리 297-2","강원특별자치도 춘천시 남산면 갯골길 52","24465","호텔루나","2025-03-04 11:40:44","U","2025-03-06 02:40:00","","256076.115414647","477523.280128612","관광펜션업","","관리지역","3","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"12","관광펜션업","03_11_02_P","4181000","CDFI3261092024000008","2024-08-26","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 신북읍 산천리 221-6","강원특별자치도 춘천시 신북읍 샘뜨락길 32","24203","스테이 다래","2025-03-04 11:40:15","U","2025-03-06 02:40:00","","266082.794816771","493851.153655388","관광펜션업","","일반주거지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"13","관광펜션업","03_11_02_P","4181000","CDFI3261092024000010","2024-11-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남산면 서천리 301-10","강원특별자치도 춘천시 남산면 북한강변길 280","24464","춘천 남이섬 채운간 풀빌라&자쿠지","2025-03-04 11:41:13","U","2025-03-06 02:40:00","","247932.839282681","482635.627262026","관광펜션업","","관리지역","3","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"14","관광펜션업","03_11_02_P","4181000","CDFI3261092024000007","2024-07-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 덕두원리 130-28","강원특별자치도 춘천시 서면 박사로 257-32","24462","스테이삼악","2025-02-11 11:18:52","U","2025-02-13 02:40:00","","258724.227126855","483064.406423128","관광펜션업","","보전녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"15","관광펜션업","03_11_02_P","4181000","CDFI3261092024000005","2024-05-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남면 한덕리 466-9","강원특별자치도 춘천시 남면 한덕발산길 91-15","24469","빌라반우","2025-09-12 19:15:54","U","2025-09-14 02:40:00","","254182.397764573","464578.160529917","관광펜션업","","관리지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"16","관광펜션업","03_11_02_P","4181000","CDFI3261092024000006","2024-05-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 서상리 733-3","강원특별자치도 춘천시 서면 툇골길 416","24460","고유시차","2025-03-04 11:39:26","U","2025-03-06 02:40:00","","258064.35577825","492764.403418825","관광펜션업","","관리지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"17","관광펜션업","03_11_02_P","4181000","CDFI3261092024000004","2024-04-22","","01","영업/정상","13","영업중","","","","","033-253-2111","","","강원특별자치도 춘천시 서면 오월리 286-2","강원특별자치도 춘천시 서면 납실길 160","24460","오월학교","2025-03-04 11:38:40","U","2025-03-06 02:40:00","","255695.905587515","496716.616236445","관광펜션업","","","1","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"18","관광펜션업","03_11_02_P","4181000","CDFI3261092024000003","2024-03-28","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 오월리 214-3","강원특별자치도 춘천시 서면 납실길 63-5","24460","버들도원","2025-03-04 11:37:57","U","2025-03-06 02:40:00","","256357.607051219","497131.799445617","관광펜션업","","관리지역","1","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
