"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","취급제품명","담배공급업체명",
"1","담배도매업","11_43_01_P","4181000","1989418016615500004","1989-05-27","","01","영업/정상","1","정상영업","","","","","55-7612","","200-043","강원특별자치도 춘천시 중앙로3가 66번지 14호","강원특별자치도 춘천시 중앙로 125 (중앙로3가)","","천마상사","2008-07-11 14:46:45","I","2023-06-13 00:00:00","","263390.344283278","486177.855056075","수입담배","한로교역(주)",
"2","담배도매업","11_43_01_P","4181000","1989418016615500007","1989-05-29","","01","영업/정상","1","정상영업","","","","","51-2153","","200-060","강원특별자치도 춘천시 교동 55번지 2호","강원특별자치도 춘천시 서부대성로 95-18 (교동)","","동양상사","2008-07-11 14:46:10","I","2023-06-13 00:00:00","","264416.630297626","486758.884049312","수입담배","(주)대안인터내셔널",
"3","담배도매업","11_43_01_P","4181000","1994418016615500022","1994-02-04","","01","영업/정상","1","정상영업","","","","","57-3753","","200-755","강원특별자치도 춘천시 후평동 주공5단지아파트 506동 206호","","","남일상사","2008-07-11 15:02:24","I","2023-06-13 00:00:00","","","","수입담배","한국로스만스(주)",
"4","담배도매업","11_43_01_P","4181000","1998418016615500026","1998-10-19","","01","영업/정상","1","정상영업","","","","","262-7505","","200-220","강원특별자치도 춘천시 칠전동 548번지 10호","강원특별자치도 춘천시 칠전서1길 37 (칠전동)","","재영상사","2008-07-11 15:05:06","I","2023-06-13 00:00:00","","262739.536723027","482574.535709312","던힐라이트, 던힐인터내셔날, 까르띠에밴돔, 보그필터, 팔말, 로그만스 킹사이즈, 휘네스, 켄트IMG, 켄트슈퍼라이트,쿨","브리티쉬아메리칸토바코코리아(주)",
"5","담배도매업","11_43_01_P","4181000","1999418016615500028","1999-11-01","","01","영업/정상","1","정상영업","","","","","241-1274","","200-759","강원특별자치도 춘천시 후평동 석사2지구주공아파트 210동 602호","","","외산담배 영서대리점","2008-07-11 15:07:09","I","2023-06-13 00:00:00","","","","북한산 담배(평양 등)","(주)팀-오주",
"6","담배도매업","11_43_01_P","4181000","2000418016615500029","2000-08-30","","01","영업/정상","1","정상영업","","","","","253-9303","","200-220","강원특별자치도 춘천시 칠전동 548번지 10호","강원특별자치도 춘천시 칠전서1길 37 (칠전동)","","마스크상사","2008-07-11 15:09:14","I","2023-06-13 00:00:00","","262739.536723027","482574.535709312","포인트, 아쏘스슬림, DJ믹스라이트, 레몬후레쉬, 소브라니","태원인터내셔날(주), 아남인터내셔날, 대성유통, (주)엔티씨타바코",
"7","담배도매업","11_43_01_P","4181000","2004418016615500041","2004-06-22","","01","영업/정상","1","정상영업","","","","","263-6723","","200-220","강원특별자치도 춘천시 칠전동 548번지 10호","강원특별자치도 춘천시 칠전서1길 37 (칠전동)","","(주)재영상사","2008-07-11 15:13:15","I","2023-06-13 00:00:00","","262739.536723027","482574.535709312","던힐라이트, 던힐라이트멘솔, 훼네스, 쿨 등","브리티쉬아메리칸토바코코리아(주)",
"8","담배도매업","11_43_01_P","4181000","2005418016615500001","2005-05-07","","01","영업/정상","1","정상영업","","","","","257-1557","","200-161","강원특별자치도 춘천시 후평동 745번지","강원특별자치도 춘천시 삭주로205번길 12 (후평동)","","에버필 강원","2008-07-11 15:25:11","I","2023-06-13 00:00:00","","266148.516446153","487528.142314537","필레몬, 필애플, 필스트로베리","(주)에버필",
"9","담배도매업","11_43_01_P","4181000","2007418016615500001","2007-07-06","","01","영업/정상","1","정상영업","","","","","","","200-170","강원특별자치도 춘천시 퇴계동 79번지 퇴계타운 B27호","강원특별자치도 춘천시 안마산로 213, B27호 (퇴계동,퇴계타운)","","타박앤패밀리","2008-07-11 15:29:37","I","2023-06-13 00:00:00","","264855.838698284","483301.263496797","니드주몽실크, 니드주몽트윈, 니드주몽핑크, 니드주몽블루","(주)타박앤패밀리",
"10","담배도매업","11_43_01_P","4181000","2008418016615500001","2008-01-10","","01","영업/정상","1","정상영업","","","","","241-2141","","200-093","강원특별자치도 춘천시 효자동 753번지 21호","강원특별자치도 춘천시 삭주로70번길 41 (효자동)","","(주)호반인터내셔널","2009-09-10 13:13:37","I","2023-06-13 00:00:00","","265018.3333578","486623.936817276","위고원, 위고블루, 위고와인, 스윙 외","우리담배판매 주식회사",
"11","담배도매업","11_43_01_P","4181000","2013418022915500001","2013-10-02","","01","영업/정상","1","정상영업","","","","","","","","","강원특별자치도 춘천시 서부대성로 169-1 (효자동)","200-947","스누스코리아(강원북부총판)","2013-10-02 16:05:02","I","2023-06-13 00:00:00","","264851.610718009","486176.295874422","잎담배","(주)Snus Korea",
"12","담배도매업","11_43_01_P","4181000","2015418027715500001","2015-03-23","","01","영업/정상","1","정상영업","","","","","070-8843-8080","","200-041","강원특별자치도 춘천시 중앙로1가 91번지 지하상가 나열 44호","강원특별자치도 춘천시 중앙로 지하 33 (중앙로1가, 나열 44호)","200-041","파스타바코 춘천점","2015-03-24 16:06:27","I","2023-06-13 00:00:00","","264063.07608168","486899.162452165","담배","다래사 (DATAE Co.)",
"13","담배도매업","11_43_01_P","4181000","1989418016615500009","1989-10-25","","01","영업/정상","1","정상영업","","","","","57-8122","","200-882","강원특별자치도 춘천시 동내면 학곡리 4번지 2호 2통 2반","강원특별자치도 춘천시 동내면 학곡동2길 63","","태광상사","2008-07-11 14:50:44","I","2023-06-13 00:00:00","","267154.474775638","482275.057604134","피에르카르텡 외 3종, 칼톤, 캐롤콤파스, 마스코트","(주)신벽, (주)화일교역, (주)남영인터내쇼날",
"14","담배도매업","11_43_01_P","4181000","1989418016615500012","1989-12-26","","01","영업/정상","1","정상영업","","","","","51-4737","","200-959","강원특별자치도 춘천시 후평동 847번지 6호","강원특별자치도 춘천시 후석로393번길 30-1 (후평동)","","형제상사","2008-07-11 14:57:08","I","2023-06-13 00:00:00","","265347.886181286","487093.526902063","말보루, 버지니아슬림, 팔리아멘트, 라크","삼양인터내셔날",
"15","담배도매업","11_43_01_P","4181000","1992418016615500020","1992-01-30","","01","영업/정상","1","정상영업","","","","","51-2153","","200-092","강원특별자치도 춘천시 효자동 159번지 8호","강원특별자치도 춘천시 효제길37번길 6 (효자동)","","선일상사","2008-07-11 14:59:04","I","2023-06-13 00:00:00","","264870.013688522","485707.119022143","칼토, 실컵, 소브라믹, 아메리칸","삼양인터내셔날(주)",
"16","담배도매업","11_43_01_P","4181000","2003418016615500039","2003-12-12","","03","폐업","3","폐업처리","2007-02-02","","","","253-4266","","200-170","강원특별자치도 춘천시 퇴계동 888번지 6호","강원특별자치도 춘천시 공원4길 5 (퇴계동)","","시밀래상사","2008-08-07 16:25:14","I","2023-06-13 00:00:00","","263746.003392445","484520.674720522","시밀래","샹떼",
"17","담배도매업","11_43_01_P","4181000","2004418016615500001","2004-10-01","","03","폐업","3","폐업처리","2008-01-08","","","","","","200-180","강원특별자치도 춘천시 석사동 643번지","강원특별자치도 춘천시 후석로59번길 9-3 (석사동)","","(주)호반인터내셔널","2009-01-19 17:08:57","I","2023-06-13 00:00:00","","265251.82196941","484408.491568602","던힐라이트, 던힐라이트멘솔, 휘네스, 쿨 등","브리티쉬아메리칸토바코코리아 주식회사",
"18","담배도매업","11_43_01_P","4181000","2008418016615500002","2008-02-26","","03","폐업","3","폐업처리","2016-03-09","","","","033-262-8988","","200-180","강원특별자치도 춘천시 석사동 848번지 6호","강원특별자치도 춘천시 새롬공원길4번길 3-3 (석사동)","","(주)글로벌유통","2016-03-10 09:24:05","I","2023-06-13 00:00:00","","265689.324940939","483624.46891909","던힐, 보그","브리티쉬 아메리칸 토바코 코리아",
"19","담배도매업","11_43_01_P","4181000","2009418016615500001","2009-07-22","","03","폐업","3","폐업처리","2013-02-25","","","","033-257-3992","","200-160","강원특별자치도 춘천시 후평동 689번지 5호","강원특별자치도 춘천시 춘천로296번길 24-1 (후평동)","","청솔숫불갈비","2013-02-25 16:58:44","I","2023-06-13 00:00:00","","265555.312324996","486601.511529285","전자담배및 기기","(주)한국전자담배",
"20","담배도매업","11_43_01_P","4181000","2011418016615500001","2011-02-24","","03","폐업","3","폐업처리","2011-09-22","","","","033-262-0621","","200-883","강원특별자치도 춘천시 동내면 거두리 946번지 2호","강원특별자치도 춘천시 동내면 거두택지길 6","","한국전자담배 춘천지점","2011-09-23 11:58:39","I","2023-06-13 00:00:00","","266127.423221616","483606.944456742","전자담배","한국전자담배",
"21","담배도매업","11_43_01_P","4181000","2014418027715500001","2014-10-23","","03","폐업","3","폐업처리","2018-01-22","","","","","","200-240","강원특별자치도 춘천시 신동 651번지 13호","강원특별자치도 춘천시 지내고탄로 86 (신동)","200-240","스누스코리아 강원남부총판","2020-02-05 13:23:13","I","2023-06-13 00:00:00","","263886.431195601","493101.434904331","담배","(주) Snus Korea",
"22","담배도매업","11_43_01_P","4191000","2022419031715500001","2022-02-04","","01","영업/정상","1","정상영업","","","","","025207712","","","강원특별자치도 원주시 문막읍 반계리 2262-13","강원특별자치도 원주시 문막읍 원문로 2057","26362","(주)비지에프리테일 원주지점","2024-01-23 17:42:26","U","2024-01-25 02:40:00","","271125.242191868","422427.917953942","레종 외 94종, 말보로 외 102종 등 담배상품","(주)KT&G, 한국필립모리즈(주), BAT코리아, JTI코리아, 몬스(주)",
"23","담배도매업","11_43_01_P","4191000","2005419016615500002","2005-06-04","","01","영업/정상","1","정상영업","","","","","033-761-0692","","220-769","강원특별자치도 원주시 단구동 성일아파트 702동 504호","","","원주유통","2009-03-12 15:22:44","I","2023-06-13 00:00:00","","","","METOO","(주)트리플라인",
"24","담배도매업","11_43_01_P","4191000","2007419015305100001","2007-06-27","","01","영업/정상","1","정상영업","","","","","033-731-1180","","220-020","강원특별자치도 원주시 평원동 252번지 8호 2층","강원특별자치도 원주시 중평길 60 (평원동,2층)","","타박앤패밀리원주대리점","2008-06-04 10:05:42","I","2023-06-13 00:00:00","","284315.18076765","428049.189668137","니드 주몽 실크.핑크.블루.트윈","(주)타박앤패밀리",
"25","담배도매업","11_43_01_P","4191000","2010419019015500001","2010-11-24","","01","영업/정상","1","정상영업","","","","","","","220-956","강원특별자치도 원주시 일산동 111번지","강원특별자치도 원주시 일산로 43 (일산동)","","전자담배데캉","2010-11-24 16:45:17","I","2023-06-13 00:00:00","","283981.566707232","427707.774967498","전자담배","전자담배코리아 데캉",
"26","담배도매업","11_43_01_P","4191000","2011419020315500001","2011-06-30","","01","영업/정상","1","정상영업","","","","","","","220-878","강원특별자치도 원주시 문막읍 동화리 1264번지 상가9호","강원특별자치도 원주시 문막읍 원문로 1570","220-800","인필링 경기강원총판","2013-11-15 14:35:40","I","2023-06-13 00:00:00","","273833.786834045","424754.751318329","전자담배","(주)인필링",
"27","담배도매업","11_43_01_P","4191000","2013419020315500001","2013-11-07","","01","영업/정상","1","정상영업","","","","","","","","","강원특별자치도 원주시 이화3길 31 (단계동)","220-939","SnusMan 강원영서총판","2013-11-07 21:04:59","I","2023-06-13 00:00:00","","282571.960434885","426641.912304635","snus무연담배","(주)스누스맨",
"28","담배도매업","11_43_01_P","4191000","2016419024115500001","2016-11-03","","01","영업/정상","1","정상영업","","","","","","","","강원특별자치도 원주시 개운동 451번지 4호","강원특별자치도 원주시 서원대로 383, 112호 (개운동, 한신프라자)","26448","파스타바코","2016-11-04 09:01:10","I","2023-06-13 00:00:00","","283988.068430024","425979.3239463","전자담배, 권련담배, 파이프담배, 시가","다래사",
"29","담배도매업","11_43_01_P","4191000","2006419016615500003","2006-01-24","","03","폐업","3","폐업처리","2018-03-12","","","","033-731-1870","","220-807","강원특별자치도 원주시 문막읍 취병리 925번지 3호","강원특별자치도 원주시 문막읍 원문로 2057","220-800","동부로지스(주)","2018-03-12 14:41:58","I","2023-06-13 00:00:00","","271125.242191868","422427.917953942","디스 외 57종","케이티엔지,옥산유통,브리티쉬아메리칸토바코코리아,(주),제이티인터내쇼날코리아(주)",
"30","담배도매업","11_43_01_P","4191000","2006419016615500004","2006-07-04","","03","폐업","3","폐업처리","2014-10-29","","","","","","220-939","강원특별자치도 원주시 단계동 908번지 9호","강원특별자치도 원주시 이화1길 38-1 (단계동)","","드림 씨가텍","2014-11-21 11:40:21","I","2023-06-13 00:00:00","","282739.457166116","426952.363043769","Dream, Dream Fresh","(주) 드림 씨가텍",
"31","담배도매업","11_43_01_P","4191000","2007419015315500001","2007-12-20","","03","폐업","3","폐업처리","2008-11-13","","","","033-745-1120","","220-952","강원특별자치도 원주시 우산동 89번지 7호","강원특별자치도 원주시 북원로 2487 (우산동)","","우리담배 원주·횡성대리점","2009-03-05 09:40:51","I","2023-06-13 00:00:00","","283213.984957659","429796.013428948","위고(1mg, 3mg, 5.5mg 3종) 스윙(1mg, 4.5mg 2종)","우리담배판매(주)",
"32","담배도매업","11_43_01_P","4191000","2009419019015500001","2009-08-07","","03","폐업","3","폐업처리","2014-06-16","","","","033-745-5753","","220-939","강원특별자치도 원주시 단계동 896번지 2호   203호","강원특별자치도 원주시 이화6길 75, 203호 (단계동)","","우리담배원주대리점","2014-12-05 09:59:41","I","2023-06-13 00:00:00","","282447.267994353","426813.080676528","위고원,위고블루,위고레드,위고독도,스윙1,스위4.5","우리담배판매(주)",
"33","담배도매업","11_43_01_P","4191000","2010419019015500002","2010-12-09","","03","폐업","3","폐업처리","2011-09-19","","","","033-742-0006","","220-956","강원특별자치도 원주시 일산동 95번지 1호","강원특별자치도 원주시 일산로 25 (일산동)","220-956","한국전자담배","2014-12-05 09:57:04","I","2023-06-13 00:00:00","","283882.405531585","427839.152755863","전자담배","(주)한국전자담배",
"34","담배도매업","11_43_01_P","4201000","2007420011515500001","2007-12-21","","01","영업/정상","1","정상영업","","","","","0336554224","","210-100","강원특별자치도 강릉시 교동 1906번지 3호","강원특별자치도 강릉시 정원로 77-9 (교동)","","우리담배 강릉대리점","2008-10-30 17:56:05","I","2023-06-13 00:00:00","","364973.566539306","474926.570153543","위고(1㎎,3㎎,5,5㎎), 스윙(1㎎,4.5㎎)","우리담배주식회사",
"35","담배도매업","11_43_01_P","4201000","2010420011515500001","2010-09-16","","01","영업/정상","1","정상영업","","","","","","","210-923","강원특별자치도 강릉시 교1동 860번지 26호","강원특별자치도 강릉시 강릉대로 189 (교동)","","한국전자담배 강릉지점","2013-12-31 17:50:48","I","2023-06-13 00:00:00","","366603.571910028","474513.103593617","전자담배","(주)한국전자담배",
"36","담배도매업","11_43_01_P","4201000","2011420011515500001","2011-08-22","","01","영업/정상","1","정상영업","","","","","651-1471","","210-111","강원특별자치도 강릉시 포남1동 1171번지 7호 1층","강원특별자치도 강릉시 경강로 2283 (포남동,1층)","","전자담배프라자카토강원지사","2014-10-16 13:40:44","I","2023-06-13 00:00:00","","368335.506643516","475529.735516848","전자담배","카토(CATO)",
"37","담배도매업","11_43_01_P","4201000","2016420025215500001","2016-07-14","","01","영업/정상","1","정상영업","","","","","","","","강원특별자치도 강릉시 포남동 1171번지 7호","강원특별자치도 강릉시 경강로 2283, 1층 (포남동)","25571","명품전자담배","2016-07-18 08:02:53","I","2023-06-13 00:00:00","","368335.506643516","475529.735516848","전자담배, 롤링타바코, 파이프연초, 시가","다래사",
"38","담배도매업","11_43_01_P","4201000","2022420032215500001","2022-01-28","","01","영업/정상","1","정상영업","","","","","025207714","","","강원특별자치도 강릉시 사천면 방동리 808-13","강원특별자치도 강릉시 사천면 과학단지로 137-49, 강릉과학산업단지내 A-1-5-2","25440","(주)비지에프리테일 강릉지점","2024-01-18 09:39:55","U","2024-01-20 02:40:00","","362940.044719654","480013.05006575","레종외 94종, 말보로 외 102종 등 담배","(주)KT&G, 한국필립모리즈(주), BAT코리아, JTI코리아, 몬스(주)",
